2015II,解答,解説
12,4,臨床指標は、医療の質や効率を測定するためのもので、次の3種類に分類できる。1.アウトカム指標 : 診療後の患者の状態など「医療の結果・成果」を測る指標(具体例) : 死亡率、回復率、再入院率、患者満足度、予定しない48時間以内の再手術率、入院中の骨折率　2.プロセス指標 : 実際に行われた診療の適切さなど「医療の過程」を測る指標(具体例) : 早期リハビリテーション開始率、急性心筋梗塞患者における入院時早期アスピリン投与割合　3.ストラクチャー (構造)指標 : 医療サービスを提供する物質資源、人的資源および組織体制を測る指標(具体例) : 施設、医療機器、医療スタッフの種類・数、医師一人当たりの入院患者数など
13,3.4,病院報告に用いられる平均在院日数の算定式は　集計期間内の在院患者延数÷{集計期間内の(新入院患者数 + 退院患者数)÷2}　で示される。
14,2,1)会計には管理会計と財務会計とがあり、管理会計は主に原価計算と予算管理からなり、経営管理者の意思決定や組織内部の業績測定・業績評価に役立てることを目的としている。一方、財務会計は以下の3表をもって、組織の会計情報を外部に提供することを目的とする。① 4)貸借対照表 : 組 織のある一定時点(任意時点)における資産、負債、純資産の状態を表す。② 2)損益計算書 : ある一定期間における収益と費用の状態を表す。③ 5)キャッシュフロー計算書 : ある一定期間における資金 (現金および現金同等物)の増減、つまり収入と支出(キャッシュフローの状況)を営業活動・投資活動・財務活動ごとに区分して表示する。3)損益分岐点は、売上高と費用の額がちょうど等しくなる売上高を指し、費用は「固定費」と「変動費」とに分けることができる。
15,4.5,4)インシデントレポートは、医療安全を目的とした自主的な報告であるため、通常匿名であり、個人の懲罰には用いない。5)医療機関における医療安全の推進のために、「失敗から学び共に解決するシステム」であるため、患者に不利益が生じていなくても報告する必要がある。1)インシデントは患者への影響度が比較的軽微なものを指し、アクシデントは重篤なものを意味する。WHOの用語集では、患者への影響如何にかかわらず、「インシデント」と表現されており、報告義務がある。2)インシデントや重大な有害事象の再発防止策を検討するためには、根本的な原因を追究することが必要であり、これを根本原因分析(Root Cause Analysis : RCA)と呼び、さまざまな分析ツールが開発されている。3)インシデントレポートは、医療現場に内在するハザード(危険)を把握するための情報収集ツールであり、医療安全を目的とした自主的な報告制度である。
16,2,2)臨床の現場では、有益な治療や輸血療法などを拒否する患者への対応、蘇生不要の指示、末期患者に対する延命治療、がん告知など、さまざまな倫理的問題が生じる。これらについての対応を審議・助言するのが臨床倫理委員会であり、病院などの医療施設で設置される。ただ、臨床倫理委員会は、国の指針などによって明確に定義されているわけではないので、施設によっては、臨床の倫理的問題についての対応だけではなく、臨床における研究倫理を審査するという役割も兼ね備えて場合もある。どちらにせよ、臨床倫理委員会の設置は、医療安全管理体制として義務づけられてはいない。1)安全管理指針の整備、3)医療事故等の院内報告体制、4)医療安全管理委員会の開催、5)医療安全に関する職員研修は、「医療法施行規則第1章の2 第1条の11」に医療安全の確保として規定されている。
17,5,5)ランゲルハンス島は、膵臓の内部に島状に散在する内分泌細胞の集まりである。1)水晶体は、カメラに例えるとレンズに当たる人の目の組織である。2)洞結節は、心房の大静脈開口部にある小さな特殊心筋組織の塊であり、心臓の拍動リズムを生成するペースメーカの働きを担う。3)糸球体は、腎臓の皮質にある細血管が糸玉のように球状に集まった組織で、血液を濾過して血球やタンパク質以外の成分を原尿として生成する器官である。4)三半規管は、内部をリンパ液で満たされた内耳にある三つの半環状の管で、それぞれの半規管は互いに直角をなすように配置されており、身体の平衡感覚に関係する。
18,1,1)O-157は大腸菌の一種で、ベロ毒素を産生し、出血性大腸炎や溶血性尿毒症症候群を引き起こすが、肺がんとの関係は知られていない。2)ピロリ菌 (Helicobacter pylori)は胃内に生息できるらせん状の細菌で、感染の持続が慢性胃炎、胃十二指腸潰瘍、胃がんや血小板減少性紫斑病の発症と関連することが知られている。3)ノロウイルスは経口感染により感染性の急性胃腸炎を引き起こす。4)ムンプスウイルスは飛沫感染により流行性耳下腺炎(おたふくかぜ)を引き起こす。5)ヒトパピローマウイルス(HPV)は接触感染により皮膚や粘膜の細胞に感染し、疣贅 (イボ)や子宮頸がんの発症に関与する。
19,3.4,1) 2) 5)脳幹は大脳と脊髄の中間に位置する部分で、連続した構造だが、外形により大脳側から中脳、橋、延髄に区分される(間脳を含める場合もある)。大脳からの下行線維、脊髄からの上行線維が内部を通過し、多数の神経核を含み、頭部の運動・感覚を司る脳神経の大部分は脳幹から出る。3)小脳とも密接な線維連絡を持つが、小脳自体は脳幹には含まれない。4)脊髄は、延髄に接続するが、構造的、機能的に、脳幹とは区別される。
20,1,小腸で栄養を吸収した血液は腸間膜静脈に入り、腸間膜静脈の流れが集まり門脈となり、1)肝臓に流入する。
21,3,3)呼吸循環管理は、看護業務区分の診療・治療補助に分類される。1)患者の移送、2)排泄の世話、4)終末看護処理、5)入退 院時の世話は、いずれも直接看護に分類される。看護業務は、診療・治療補助と直接看護に加えて、間接看護 I(記録・申し送り等)、 間接看護 Ⅱ (物品管理・指導)、 連絡、その他の6つに区分されている。
22,2,2)緊急時の医行為は、看護業務における「診療の補助」の範囲に含まれてお り、「保健師助産師看護師法第37条」に「医師の指示がある場合に、 自らの業務として医行為を行うことができる。」と規定されている。看護業務の範囲は同法で規定される「傷病者もしくはじょく婦に対する療養上の世話または診療の補助」である。「療養上の世話」には医師の指示を必要としないため、 日常生活への支援に関する看護上の判断により実施するということになり、その結果に責任を負うことが求められる。1)、3)～5)は 、看護倫理に基づいて実践されるものである。
23,3,"""アレルギーは、本来体を病気から守るための免疫反応が、特定の外来性の異物 (抗原)に対して過剰に発現する病態である。免疫反応の一部はリンパ球のB細胞が作る免疫グロブリン(抗体)により担われ、抗体分子はその構造からIgA, D, E, G, Mに分類される。3)IgEは肥満細胞や好塩基球と結合し、抗原と結合するとこれらの細胞からヒスタミンなどの生理活性物質を放出させ、アレルギー性鼻炎、気管支喘息、専麻疹やアナフイラキシーショックなどのI型アレルギーを引き起こす。アレルギー疾患では血中IgEの総濃度(RIST)が高くなることが多く、特定の抗原(アレルゲン)に対するIgEを測定するRASTという検査も行われる。"""
24,1,血中の物質はそれぞれの代謝系によりその濃度が調節されているが、栄養素として腸管から取り込まれる糖質 (ブドウ糖)や中性脂肪は組織に取り込まれる速度が比較的遅く、血中濃度の生理的な日内変動が大きい。1)中性脂肪は、メタボリックシンドロームや脂質異常症の診断のために測定されるが、食後最大14時間は高値が持続することが知られており、十分な絶食後の採血で検査・判定される必要がある。2)～ 5)は食事による変動は少ないが、絶食により脱水を生じると、ナトリウム、ヘモグロビンは高めになりやすい。
25,5,5)クレアチニンクリアランスは、糸球体濾過量 (GFR)の推定値として、腎臓の血液浄化能の評価のために行われる検査である。一定時間尿をため(蓄尿)、その尿量、蓄尿時間、尿中および血中のクレアチニン濃度から、単位時間に尿中に排泄されたクレアチニンを含む血漿量 (クリアランス)として計算される。1) 2)の検査は蓄尿を行わない随時尿で検査され、3) 4)は血液を検体として測定される検査である。
26,5,通常、臨床検査のための採血は静脈で行われるが、動脈と静脈、つまり肺を通過する前後で値が大きく異なる検査項目は、動脈からの採血が必要になる場合がある。5)静脈血中の炭酸ガスは肺で呼気中に排泄されるため、動脈血の炭酸ガス分圧は肺の換気機能を反映し、通常酸素分圧と同時に動脈血で測定され、換気状態の判定や呼吸不全の診断に用いられる。1)～ 4)は静脈血で測定される。
27,5,5)心臓カテーテル検査は、末梢血管から心臓まで挿入したカテーテルより造影剤を注入してX線透視下で冠動脈の狭窄や心臓の動きを観察する検査である。1)核医学検査は放射性同位元素を含むがんなどに取り込まれやすい化合物を体内に投与し、体内から体外に放出される放射線を画像化して投与化合物の局在を調べる検査である。外部からのX線照射は行わない。2)～4)は、いずれも生理学的検査であり、X線とは無関係である。2)筋電図検査は神経筋疾患の際に筋で発生する微小な電圧変化を観察する生理学的検査である。
28,1.4,2)頭部CT検査は頭部にX線を照射して断層像を得る検査であるが、胎児の被曝を完全には回避できない。3)腹部X線検査では胎児被曝を避けることは困難であり、妊娠時期によっては流産や奇形のリスクとなる。5)下部消化管内視鏡検査は肛門から内視鏡を挿入して光学的に観察する検査であるが、妊婦では結腸が子宮で圧排されて検査自体が困難となり、腸穿孔などの危険が高くなる。また、胎児に対するリスクも考えられる。
29,5,5)腹部MRI検査では強力な磁場を用いるので、 目的とする検査部位から離れた場所であっても、金属や電子回路は磁力による移動や発熱、故障を起こすことがあり、危険である。近年、MRI対応のペースメーカが導入されはじめているが、MRI検査前のペースメーカや体内金属の確認は不可欠である。1)心電図検査をベースメーカ装着者に行うと、特徴的な刺激信号が記録される。診断時に装着を確認することはあるが、検査自体は問題なく行える。2)胸部X線検査ではペースメーカの透過像が映りこむだけで問題はない。3)上部内視鏡検査では検査への影響も、検査による影響も特にない。4)心臓超音波検査ではペースメーカの電極が観察されるが、3)と同様である。
30,4.5,4)超音波検査は体表から超音波を対象臓器に照射し、その反射波によって臓器の形態・性状の変化を観察する。肝臓がんでは診断的価値が高い。5)心臓は肋骨の間、前胸壁に接している部分から観察可能である。とくに弁や心臓壁の動き、血流がリアルタイムで観測できるので、心臓弁膜症では診断的価値が高い。1)脳は硬い頭蓋骨におおわれている。超音波は硬い骨は透過しないため、脳内の病変は観察できない。2)肺など空気の多い組織では、超音波が乱反射するために内部の観察はできない。3)白血病などの血液疾患では顕微鏡を用いた血球形態の観察が必要である。
31,2.3,2)毒薬は、「医薬品、医療機器等の品質、有効性及び安全性の確保に関する法律(略称 : 医薬品医療機器等法)第48条」によって施錠保管義務が規定されている。3)麻薬は、「麻薬及び向精神薬取締法」により、施錠保管が規定されている。1)劇薬、4)OTC薬品、および5)特定生物由来製品には、施錠保管は義務づけられていない。
32,2.5,2)移植では、非自己である移植された臓器を免疫系が攻撃するのを防ぐために継続的に免疫抑制療法を行う。5)関節リウマチは、免疫系が自己の関節を攻撃する免疫の異常(自己免疫)が関与しており、免疫を抑制する治療がしばしば行われる。1)肺炎は細菌などの感染症であり、免疫の抑制は感染の重症化を招くので通常は行わない。3)脳梗塞は動脈硬化による血管閉塞によるもので、免疫治療とは無関係である。4)人工関節にはチタン合金やセラミックなど生体適合性のよい物質が使われており、免疫抑制の必要はない。
33,5,骨髄は骨の中心部の網目状の構造部分であり、白血球や赤血球など血球の元となる造血幹細胞が多く含まれている。その機能は血球を作ることであり、血液疾患やその治療によって造血機能が失われた場合に移植が行われる。5)白血病では抗がん剤や放射線でがん細胞を含む骨髄中のすべての細胞を破壊した後に、他者からの正常な骨髄細胞を移植する。1)～4)はいずれも血液疾患ではなく、骨髄移植は関係しない。2)腎不全が高度となると貧血を伴うが、腎臓からの造血ホルモン(エリスロポエチン)不足によるもので骨髄は正常である。
34,4,4)入院基本料を算定する要件として、入院の際、医師、看護師、その他必要に応じ関係職種が協働して総合的な診療計画を策定し、患者に対し、書面により、病名、症状、治療計画、検査内容および日程、手術内容および日程、推定される入院期間などについて、入院後7日以内に説明を行うことが決められている。
35,1,クリニカルパスの導入目的は2)～5)であり、1)医療費の削減は、効率化され結果的に達成されることはあっても、目的とはならない。また、医療上の有用性として、これ以外にも、①医療資源と時間の効率化が図られ、医師・看護師の業務量が軽減する、②医療管理の効率化が図られ、入院期間の短縮や治療コストの適正化に繋がる、③標準治療との対比により異常の早期発見と迅速な対処が可能になる、④医療スタッフの教育に利用できる、⑤指示漏れを防止できる、⑥患者満足度が上昇する、⑦経営分析や診療データ解析に利用できる、などが挙げられている。
36,2,"""介護保険の保険者は、原則として市町村および特別区である(介護保険法第3条)。要介護認定には非該当のほか、軽度から重度によって要支援(1, 2)、 要介護 (1～ 5)の7段階の介護度がある。介護サービスには、介護給付、介護予防給付、地域支援事業がある。要介護認定の手続きは以下の通りである。1.市町村は被保険者宅に調査員を派遣し、認定調査を行う。2.市町村は医師(主治医)に対し、主治医意見書の作成を依頼する。3.認定調査結果と主治医意見書は、あらかじめ国の定めた基準により、介護にかかる時間(要介護認定基準時間)が評価される(一次判定、コンピュータ利用)。4.介護認定審査が行われ、要介護度および認定有効期間が最終 的に判定される(二次判定)。"""
37,5,診療ガイドラインとは、医療者と患者が特定の臨床状況で適切な判断を下せるよう支援するために、体系的な方法に則って作成された文書のことで、その目的は、エビデンスの提供、施設間格差の解消、医療の質の向上と標準化の推進、患者への情報提供である。なお、治療方針はガイドラインの情報だけでなく、患者の希望・信条や医療者としての倫理性、社会的な制約条件などを考慮し、医療者と患者の合意の上で決定されるものであるため、5)治療方法の統一化は適切でない。
38,4,疫学研究で得られるエビデンスは、それが導き出された研究デザインにより再現性が異なり、信頼度に差がある。もっとも信頼度が高いのは、3)複数のランダム化比較試験を統合したメタ・アナリシスで、次いで2)少なくとも一つのランダム化比較試験となる。ランダム化されていなくても、3)対照群のある研究は、ないものより信頼される。対照群のない4)と5)のうち、5)は観察期間が長く、過去のコントロールを伴っており、4)より信頼性は高いと考えられ、4)から導かれたエビデンスがもっとも低いレベルとなる。
39,3,「医師法」では、診療録の記載および保管義務について規定している。「医師法施行規則第23条」では、診療録の記載事項について定めている。3)保険者番号は、医療保険に関わることであるため「保険医療機関及び保険医療養担当規則」に規定されている。1)病名、2)治療方法、4)診療の年月日、5)診療を受けた者の住所は、診療録記載項目として「医師法施行規則」に規定されている。
40,1,1)紹介状の保存は、「地域医療支援病院」では「医療法第22条」、「医療法施行規則第21条の5」に、「特定機能病院」では「医療法第22条の2」 、「医療法施行規則22条の3」に規定されている。しかし、一般病院では規定されていない。2)X線写真、3)看護記録、4)手術記録、5)入院診療計画書は「医療法第21条」および「医療法施行規則第20条の10」に、「診療に関する諸記録」として病院は記録を備えておくことと規定されている。なお、5)入院診療計画書は、「医療法施行規則第1条の5」によって入院後7日以内に交付して適切な説明を行うことが規定されている。
41,3,1)国際疾病分類 (疾病及び関連保健問題の国際統計分類 : International Statistical Classification of Diseases and Related Health Problems)とは、疾病、傷害および死因の統計を国際比較することを目的として、世界保健機関(WHO)によって作成された統計分類であり、3)病理学的な分類を目的としたものではない。2)ICD-10の一部改正(アップデート)はその区分にしたがい、大改正は3年ごとに、小改正は毎年行われている。4)、5)国内では、この分類の第10回改訂版(ICD-10)に独自の項目を追加して、人口動態統計の死亡統計など、統計法に基づく各種統計調査に使用されている。
42,1.5,1)照射録は、「診療放射線技師法第28条」によって作成が義務づけられているが、保存期間に関する記載はない。5)調剤済み処方箋は、3年間の保存義務が「薬剤師法第27条」により薬局開設者に課せられている。2)助産録は、「保健師助産師看護師法第42条」に5年間の保存が規定されている。3)診療録は、「医師法第24条」により、治癒してから5年間の保存が義務づけられている。4)救急救命処置録は、「救急救命士法第46条」により5年間の保存が規定されている。
43,5,5)特定生物由来製品使用記録は、「医薬品医療機器等法」により医療機関に対しては20年間の保存が義務付けられている。販売会社は30年間の保存が義務づけられている。1)X線写真は、「医療法施行規則第20条」(一般病院)、 「同21条の5」 (地域医療支援病院)および「同22条の3」 (特定機能病院)により2年間の保存が義務づけられている。2)死亡診断書は、診療録の保存期間と同様と考える。3)退院時要約は、一般病院を除く地域医療支援病院、特定機能病院について「医療法施行規則」により保存が規定されている。「同21条の5」(地域医療支援病院)および「同22条の3」 (特定機能病院)により2年間の保存が義務づけられている。4)麻薬処方箋の保存期間は、最終記載から2年間である。
44,4,外れ値とは他の値から大きく外れた値のことを言う。例えば、最大の観測値が極端に大きな値になった場合、3)最大値はそのまま極端な値になり、最大値と最小値との間の区間である1)範囲もそのまま影響を受ける。5)平均値はデータの総和をデータ数で割って求めるが、極端に大きな外れ値があれば影響は無視できない。2)分散も平均値と個々のデータとの差から求めるので同様に影響は無視できない。4)中央値は値の大小順位で中央に位置するデータの値であり、大きな値がいくら大きくなっても中央の順位は変わらないので影響を受けにくい。
45,5,5)標本平均が従う確率分布は、確率変数の母集団の分布型がどのようなものであっても、標本数が大きければ正規分布で近似される。このことは中心極限定理として知られている。1) 2)平均値、最頻値、 中央値は、母集団分布が正規分布のような単峰性の対称性分布の場合にはほぼ同じ値をとるが、非対称分布では一般に異なる。3)標本の分布は母集団の分布を反映し、さまざまな分布型をとりうる。4)標本分散の分布も母集団分布に依存する。
46,4,4)予測値(適中度)は、検査陽性/陰性のときの疾患/非疾患である確率であり、検査結果、感度、特異度、検査前確率からベイズの定理を用いて計算できる。検査前確率は、検査結果を知る前の疾患の確率 (疾患頻度)で、他に情報がなければ疾患の有病率とするのが妥当である。1)感度は、疾患群のなかの検査陽性者の割合、3)特異度は、非疾患群のなかの検査陰性者の割合、2)基準値は、健常者の検査値分布の中央95%の値の範囲なので、いずれも疾患頻度や有病率とは関係がない。5)カットオフ値は、定量的な検査において疾患群と非疾患群とを識別するための閾値であるが、陽性一陰性の境界値を動かしたときの感度と特異度の関係(ROC曲線)を用いて決定され、有病率には直接依存しない。
47,4.5,1)～3)は 、母集団の分布に正規分布を仮定し、理論的に各検定統計量の確率を求める手法で、1)F検定は2つの群の分散や平均、2)ｔ検定は等分散である2群の平均、3)分散分析は多群の分散を分析して要因の効果を検定する。平均値や分散という考え方が、値が中央部に多く、平均値から離れるに従い、値が現れる確率が急速に減少する分布 (正規分布)を前提としたものと言える。 一方、4)符号検定と5)Wilcoxonの順位和検定は、元の分布を仮定せずに、各群の観測値の順位分布や大小関係を用いて2群の差を検定する手法である。
48,3.4,3)前向きコホート研究は、ある特定の要因への曝露群と非曝露群を一定期間追跡して疾病の発生率を比較し、要因と疾病発症の関係を調べる研究手法である。要因への曝露状況が記録として残っている場合は、時間を遡って調査を行う後ろ向きコホート研究が行われる場合もある。4)曝露群と非曝露群の疾病の発生率の比を相対危険度とよび、コホート研究では相対危険度を直接計算できる。1)観察的研究であり、研究者が対象者の治療内容などを操作する介入試験ではない。2)横断的研究は、ある一定の時点で集団の調査を行う研究手法で、対象者を継続的に追跡する縦断的研究であるコホート研究とは異なる。5)前向きコホート研究では、疾病の発症は調査後に判明するので、観察数は揃えられない。
49,1,臨床試験は第I相から第Ⅲ相までの3段階で行われる。いずれも十分なインフォームド・コンセントの下に行われ、被験者は自由に臨床試験から離脱することも保証されている。第I相試験は少数の健常成人を対象とし、被験薬を少量から段階的に増量し、薬物動態や安全性について検討する。第Ⅱ相試験は1)少数の患者を対象に、有効性・安全性・薬物動態などの検討を行う。第Ⅲ相試験はより大きな規模の患者を対象に、有効性や安全性を検討する。
50,1.3,1)地域がん登録は、「がん対策基本法」により定められた制度で、個人情報保護法(利用目的による制限)の例外とされる「公衆衛生の向上、児童の健全な育成の推進のために特に必要な場合」にあたり、患者本人の同意を必要としない。3)、5)地域がん登録は、対象地域で発生したすべてのがんについて、罹患率、生存率を集計するため実施されている。2)予後調査は院内がん登録で実施されている。4)地域がん登録は、都道府県を単位として実施されている。
