2015JS,問題文,選択肢,,,,
22,IPアドレス(IPv4)に関する記述として正しいのはどれか。番号を解答記入欄( 22 )にマークしなさい。,128ビットで構成される。,製造者固有番号が含まれている。,グローバルアドレスは自由に設定できる。,ホスト部によリネットワークが識別できる。,192.16800/16はプライベートアドレスである。
23,複数のLANを接続し中継するために用いるデータリンク層の装置はどれか。番号を解答記入欄( 23 )にマークしなさい。,ル ー タ,ブリッジ,リピータ,ゲートウェイ,ファイアウォール
24,通信速度を表す単位はどれか。番号を解答記入欄( 24 )にマ一クしなさい。,bps,cps,fps,FLOPS,MIPS
25,インターネット上の資源にアクセスするための方法とその位置を指定する記法はどれか。番号を解答記入欄( 25 )にマークしなさい。,CGI,HTML,HTTP,URL,XML
26,SQLコマンドのうち、データを挿入するコマンドはどれか。番号を解答記入欄( 26 )にマークしなさい。,CREATE,DELETE, INSERT,SELECT,UPDATE
27,"表""注射薬使用記録 ""に対して次のSQL文を実行した場合、得られる結果はどれか。番号を解答記入欄( 27 )にマークしなさい。SELECT COUNT(注射薬コード) FROM 注射薬使用記録;",2,5,7,9,11
28,問27の表に対する操作として、結果がエラーとならないのはどれか。番号を解答記入欄( 28 )にマークしなさい。,SELECT 日付 FROM 注射薬コード,SELECT 薬品名 FROM 注射薬使用記録,SELECT COUNT()FROM 注射薬使用記録,SELECT ID FROM 注射薬使用記録 GROUP BY ID,SELECT 数量 FROM 注射薬使用記録 WHERE COUNT(*)>10
29,患者基本情報などの変更が少ない基本的な情報を格納したファイルはどれか。番号を解答記入欄( 29 )にマークしなさい。,ログファイル,マスタファイル,インデックスファイル,バックアップファイル,トランザクションファイル
30,関係データベースのデータ操作を規定した演算のうち、 2つの表の一方、または両方に属しているものを取り出すのはどれか。番号を解答記入欄( 30 )にマークしなさい。,積,和,射影,選択,直積
31,関係データベースの正規化による効果について誤っているのはどれか。番号を解答記入欄( 31 )にマークしなさい。,一意性を担保できる。,整合性を確保できる。,冗長性を排除できる。,真正性を担保できる。,メンテナンス性を向上できる。
32,共通鍵暗号方式について正しいのはどれか。番号を解答記入欄( 32 )にマークしなさい。,電子署名に利用される。,暗号化と復号で鍵が異なる。,代表的な暗号化アルゴリズムとしてRSAがある。,公開鍵方式より暗号化アルゴリズムが複雑である。,送信者と受信者の組み合わせの数だけ鍵が必要である。
33,情報セキュリティの3要素 (CIA)に含まれるのはどれか。番号を解答記入欄( 33 )にマークしなさい。,機密性,原子性,見読性,脆弱性,信頼性
34,障害発生時における安全性を確保するために、被害を最小限におさえる設計手法はどれか。番号を解答記入欄( 34 )にマークしなさい。,フェールソフト,フェールセーフ,フールプルーフ,フォールバック,フェールオーバー
35,暗号方式が用いるアルゴリズムの組み合わせで正しいのはどれか。番号を解答記入欄( 35 )にマークしなさい。,共通鍵暗号方式 一 AES,公開鍵暗号方式 一 DES,共通鍵暗号方式 一 MD5,公開鍵暗号方式 一 SSH,共通鍵暗号方式 一 ZIP
36,認証局(CA)の役割に関する記述のうち適切なのはどれか。番号を解答記入欄( 36 )にマークしなさい。,ドメイン名を管理する。,ソフトウェアの脆弱性情報を提供する。,IDとパスワードによるユーザ認証を行う。,公開鍵の正当性を保証する証明書を発行する。,公開鍵暗号方式を用いてデータの暗号化を行う。
37,公開鍵暗号方式で10人が相互に通信する場合、必要な鍵の総数はいくつか。番号を解答記入欄( 37 )にマークしなさい。,5,9,10,20,45
38,HTTPSについて正しいのはどれか。番号を解答記入欄( 38 )にマークしなさい。,SSLを利用している。,電話回線でのみ利用される。,通信手続き記述言語である。,専用ハードウェアが必要である。,HTTPを高速化したものである。
39,パスワードの不正入手のために、一致する文字の組み合わせを総当たりで調べる方法はどれか。番号を解答記入欄( 39 )にマークしなさい。,ポートスキャン,データサルベージ,ピギーバッキング,ショルダーハッキング,ブルートフォースアタック
40,コンピュータウイルス感染時の被害を低減させるために、実施しても有効でないのはどれか。番号を解答記入欄( 40 )にマークしなさい。,定期的にアクセス履歴を確認する。,定期的にウイルスチェックを行う。,定期的にIPアドレスを変更する。,定期的にデータバックアップを行う。,定期的にログインパスワードを変更する。
41,無線LANのセキュリティ規格はどれか。番号を解答記入欄( 41 )にマークしなさい。,P2P,WAP,SSID,WPA2,IMAP4
42,内部設計通りにモジュール間の連携が処理されているかを確認するテストはどれか。番号を解答記入欄( 42 )にマークしなさい。,運用テスト,結合テスト,単体テスト,内部テスト,システムテスト
43,スケジュール管理に用いるネットワーク図の役割でないのはどれか。番号を解答記入欄( 43 )にマークしなさい。,ボトルネックの把握,データの流れの確認,全体的な進捗状況の把握,工程単位の人的コストの把握,工程全体の最早時刻や最遅時刻などの算出
44,ウォーターフォールモデルの特徴でないのはどれか。番号を解答記入欄( 44 )にマークしなさい。,システムを分割して開発できる。,各工程の遅れが全体の遅れになる。,大規模なシステム開発に向いている。,下流工程での変更への対応は難しい。,開発終盤までユーザは全体像を把握できない。
45,システム開発の基本工程のうち、外部設計の内容はどれか。番号を解答記入欄( 45 )にマークしなさい。,システム全体の動作確認,ユーザ要求の抽出と明確化,機能仕様に基づくモジュール分割,システム作成のための詳細仕様の設計,要求仕様書に基づく機能・インターフェイスの設計
46,プログラムの構造によらず、起こりえる全入カデータに対する出力が設計通りかを調べるテストの手法はどれか。番号を解答記入欄( 46 )にマークしなさい。,ストレステスト,トップダウンテスト,ボトムアップテスト,ブラックボックステスト,ホワイトボックステスト
47,次のネットワーク図におけるクリティカルパスはどれか。番号を解答記入欄( 47 )にマークしなさい。,A→ B→ E→ G,A→ C→ D→ F→ G,A→ C→ F→ E→ G,A → B→ D→ F→ E→ G,A→ C→ D→ F→ E→ G
48,情報システムのサーバ室の安全管理対策として適切でないのはどれか。番号を解答記入欄( 48 )にマークしなさい。,温湿度の管理,電源の二重化,入退室の記録,スプリンクラーの設置,無停電電源装置の設置
49,ネットワーク機器の監視に使うプロトコルはどれか。番号を解答記入欄( 49 )にマークしなさい。,FTP,NTP,POP3,SMTP,SNMP
50,図に記載した情報から求められるシステム稼働率はどれか。番号を解答記入欄( 50 )にマークしなさい。,0.05,0.5,0.95,0.995,1
