2015JS,解答,解説
18,4,OSI参照モデルはコンピュータの持つべき通信機能を7つの階層に分けてまとめたものである。4)トランスポート層(第4層)は、データの送受信タイミング、エラー処理、速度などの制御を担当している。1)物理層(第1層)では、物理的な接続のための電気的、機械的、機能的な仕様が規定されている。2)データリンク層(第2層)では、同一ネットワークに接続されている機器同士の通信を扱い、電気信号の送出制御やエラー制御を行う。3)ネットワーク層(第3層)では、異なるネットワーク間の通信を扱い、IP(Internet Protocol)を使ってネットワーク上の機器にIPアドレスを割り振るアドレッシングと、ネットワーク間の経路決定(ルーティング)を行う。5)セッション層(第5層)では、コンピュータ間での通信の確立からデータ転送、終了までの処理を行う。
19,4,無線LANの規格では米国電気電子学会(IEEE)が策定する標準規格IEEE 802.11シリーズが普及している。4)802.11nは2.4GHz帯と5GHz帯の電波を使い540Mbpsの伝送速度の通信を行う。1)802.11bは2.4GHz帯の電波を使い11Mbpsの伝送速度の通信を行う。2)802.11gも2.4GHz帯の電波を使い54Mbpsの伝送速度の通信を行う。3)802.11aは5GHz帯の電波を使い54Mbpsの伝送速度の通信を行う。5)802.11acは5GHz帯の電波を使い最大6.9 Gbpsの高速な通信を行う。
20,4,"""当するビットを0としたものである。255.255.252.0を2進数であらわすと11111111(2).11111111(2).11111100(2).00000000(2)となり、ホストアドレスは10bitである。ここで、ホストアドレスがすべて0のアドレスはネットワークアドレスであり、すべて1のアドレスはブロードキャストアドレスであるため、これら2つは機器などに割り当てできない。したがって、割り当て可能なホストアドレスの最大数は2^10 - 2 = 1,024 - 2 = 1,022台となる。"""
21,4,DHCP(Dynamic Host Configuration Protocol)は、IPアドレスを自動的に割り当てるためのプロトコルである。ホストのIPアドレス、サブネットマスク、デフォルトゲートウェイアドレス、DNSサーバのIPアドレスなどを自動的に設定できる。1)時刻を同期するためのプロトコルはNTP(Network Time Protocol)である。2)WebページにアクセスするプロトコルはHTTP(HyperText Transfer Protocol)であるが、Webページを検索するための専用のプロトコルは存在しない。3)電子メールソフトがサーバからのメール受信に用いるプロトコルには、POP3、IMAP4がある。5)MACアドレスからIPアドレスを求めるプロトコルは、RARP(Reverse Address Resolution Protocol)である。
22,5,5)プライベートアドレスは、10.0.0.0/8、172.16.0.0/12、192.168.0.0/16である。1)IPv4のアドレスは32ビットで構成される。128ビットで構成されるのはIPv6のアドレスである。2)IPアドレスには製造者固有番号が含まれていない。一方、MACアドレスでは上位24ビットが「ベンダーコード」となっており、製造者を識別できる。3)グローバルアドレスは、インターネット上で同じアドレスが重複することがないよう、IANA(Internet Assigned Numbers Authority)を最上位とするIPアドレス管理組織により管理されている。グローバルアドレスが必要な際は、接続するネットワークを管理する組織などに申請を行い、アドレス管理組織から直接または間接的に割り当てを受けたもの を設定する。4)ネットワークの識別は、IPアドレスのホスト部ではなく、ネットワーク部により可能である。
23,2,ブリッジは、データリンク層の情報であるパケット内のMACアドレスを参照し、宛先MACアドレスを持つ機器が接続されているポートにのみデータを中継する機器である。1)ルータはネットワーク層の情報であるパケット内の宛先IPアドレスを参照して転送経路を決定し、 中継する機器である。3)リピータは、受信した電気・光信号を増幅し、歪みを整形して再送信する機器であり、物理層での中継を行っている。4)ゲートウェイは、異なるネットワーク間を、必要なプロトコルの変換を行うことで中継する機器やソフトウェアの総称である。変換するプロトコルに応じて、OSI参照モデルのそれぞれの層で動作する。5)ファイアウォールは、パケット内の送信元・宛先IPアドレス(ネットワーク層)やポート番号(トランスポート層)の情報を基に、当該パケットの通信を制御する機器である。
24,1,bps(bits per second)はデータ通信速度の単位で、1秒間に転送されるビット数のことである。2)cps(cycles per second)は周波数の単位で、Hzともいう。コンピュータでは、CPUなどのクロック周波数を表すのに用いられる。3)fps(flames per second)はフレームレートの単位で、動画における1秒間あたりの画面の更新描画回数のことである。4)FLOPS(floating-point operations per second)はCPUの処理性能の指標で、1秒間あたりの浮動小数点演算の回数である。5)MIPS(million instructions per second)はCPUの処理性能の指標で、1秒間あたり何百万個の命令を実行できるかを表したものである。
25,4,URL(Uniform Resource Locator)は、インターネット上の資源の位置を一意に表す記法である。書式は[スキーム名]://スキーム毎の表記法]となっており、Webページの場合、http://[サーバ名]:[ポート番号]/[ディレクトリ名を含むファイル名]となっている(例　http://www.example.or.jp/path/index.html)。1)CGI(Common Gateway Interface)は、Webサーバ上で外部プログラムを実行するための仕組みのことである。2)HTML(HyperText Markup Language)は、Webベージを記述するためのマークアップ言語である。3)HTTP(HyperText Transfer Protocol)は、WebサーバとWebブラウザなどのクライアント間で、データを送受信するためのプロトコルである。5)XML(eXtensible Makeup Language)は、タグ付けにより文書の論理的構造や意味構造を記述する汎用的なマークアップ言語である。構造化した文書の記述に用いるほか、システム間のデータ送受信にも使用されている。
26,3,テーブル(表)にデータ行を挿入するコマンドはINSERTである。1)CREATEはオブジェクトを作成するコマンドである。他の語と組み合わせて使用する。CREATE DATABASEでデータベースを、CREATE TABLEでテーブルを作成する。2)DELETEはテーブルからデータ行を削除するコマンド、4)SELECTはテーブルからデータ行を取得するコマンド、5)UPDATEはテーブルのデータ行を更新するコマンドである。
27,4,COUNT関数は行数を数える。 設間のSELECT文では、表''注射薬使用記録''から注射薬コードのみを取り出し、行数を数えている。表の1列(項目)を取り出しているだけなので行数はもとの表の行数であり、「9」が出力される。よって、4)が正解である。
28,4,正しく実行され、IDがGROUP BY句によってまとめられ、「012、955、148、203、745、457、003」が出力される。1)表''注射薬使用記録''であり、「注射薬コード」ではない。2)表''注射薬使用記録''には薬品名という列(項目)はない。3)COUNT関数の引数は必ず指定しなければならない。5)WHERE句の中に直接、集計関数を入れることはできない。
29,2,患者基本情報のように、ほとんど変更することがない基本となるデータが収められているのがマスタファイルである。1)ログファイルには、データベースに対して行った操作の記録 (ログ)が収められている。3)インデックスファイルには、インデックスが収められている。インデックスとはテーブルに格納されているデータを高速に検索するためのデータ構造である。4)バックアップファイルには、バックアップにより保存されたデータが収められている。5)トランザクションファイルには、データの追加・更新や削除など処理ごとに発生するデータが記録されている。
30,2,関係データベースのデータ操作で、2つの表の一方、または両方に属しているものを取り出す操作を「和」という。1)積は2つの表の両方に属しているものを取り出す操作、3)射影はある表から必要な属性(列)のみを取り出す操作、4)選択はある表から条件に合致した行だけを取り出す操作、5)直積は2つの表の要素 1つずつを取り出して、すべての組み合わせを作る操作である。
31,4,関係データベースの正規化は、データが1事実1箇所になるように表を分割する操作で、これにより1)データの一意性が担保され、2)整合性を確保できる。また、データの重複 (3)冗長性)を排除することができるため、5)メンテナンス性の向上が可能となる。4)真正性は「医療情報システムの安全管理に関するガイドライン」で法的に保存義務のある文書等の電子保存の要件として示されている3基準のひとつで、故意または過失による虚偽入力、書換え、消去および混同を防止すること、作成の責任の所在を明確にすることである。
32,5,共通鍵暗号方式は、暗号化と復号に同じ鍵を用いる方式で、代表的な暗号化アルゴリズムとしてAES、 DESがある。暗号化アルゴリズムが簡単であるため処理が早く、長い文章の暗号化に用いられる。5)しかし、送信者と受信者の組み合わせの数だけ鍵が必要であるため、鍵の管理が面倒で、また鍵を安全に相手に伝送する必要があることが問題点である。1)～ 4)は公開鍵暗号方式の特徴である。
33,1,情報セキュリティの3要素 (CIA)は、情報の「機密性」(Confidentiality)、 「完全性」(Integrity)、 「可用性」(Availability)と定義され、これらの3要素の頭文字をとって「CIA」といわれている。1)機密性は、情報が漏えいしないようにすることで、完全性は情報を改ざんされないようにすることである。2)原子性は、トランザクション処理において必要とされる4つの要素 (ACID特性)のひとつで、トランザクションは分離できないひとつの処理単位であることを表している。3)見読性は、「医療情報システムの安全管理に関するガイドライン」で法的に保存義務のある文書等の電子保存の要件として示されている3基準のひとつで、情報の内容を必要に応じて肉眼で見読可能な状態に容易にできることである。4)脆弱性は、OSやソフトウェアにおいて不具合や設計上のミスが原因で発生した情報セキュリティ上の欠陥のことで、セキュリティホールとも呼ばれる。5)信頼性は、コンピュータシステムに関する評価指標であるRASISのひとつで、故障や障害、不具合の発生しにくさを表すもので、平均故障間隔 (MTBF)などの指標で表すことが多い。
34,2,フェールセーフは、故障や操作ミスなどの障害が発生することを想定して設計を行い、発生してもシステムの被害を最小限におさえる設計手法である。1)フェールソフトは、障害が発生しても最小限のサービスが維持できるようにする設計手法である。3)フールプルーフは、操作ミスに配慮した設計で、操作ミスがあった場合、要求を受け付けないことにより操作ミスを防ぐ設計手法である。4)フォールバックは、障害が発生したときに限定的ながら稼動を続行する、あるいは代替となる機能に切り替える設計手法である。5)フェールオーバーは、稼働中のシステムに障害が発生した際に、代替システムがその機能を自動的に引き継ぎ、処理を続行する設計手法である。
35,1,共通鍵暗号方式で使用されるアルゴリズムには1)AES、2)DESなどがあり、公開鍵暗号方式ではRSAなどがある。3)MD5は、任意の長さの平文を元に128ビットの値を生成するハッシュ関数(要約関数)のひとつで、生成された値はハッシュ値と呼ばれる。4)SSHは、ネットワークを介して別のコンピュータを遠隔操作するために使われるプロトコルで、共通鍵暗号方式と公開鍵暗号方式を組み合わせて通信経路を暗号化している。5)ZIP(ジップ)は、パーソナルコンピュータにおいて一般的なデータ圧縮やアーカイブを行うフォーマットである。
36,4,4)認証局(CA)は、公開鍵基盤 (PKI)において被認証者の公開鍵の正当性を保証する電子証明書を発行する機関である。1)ドメイン名やIPアドレスなどのインターネット資源を一元的に管理している機関はICANN(アイキャン)である。2)ソフトウェアの脆弱性情報を提供する機関として情報処理推進機構(IPA)があり、またOSやソフトウェアを提供している会社も提供している。3)は情報セキュリティにおいて、ユーザの正当性を確認するための基本的な認証方式である。5)は公開鍵基盤(PKI)において、本人確認や偽造・改ざんの防止のために用いられる電子署名を目的とした使用が中心である。
37,4,公開鍵暗号方式では、n人のそれぞれに公開鍵と秘密鍵の2つが必要なので、鍵の総数は2nである。したがって、n = 10のときは、2n = 2×10 = 20が必要な鍵の総数である。一方、共通鍵暗号方式では、n人のペアの組み合わせの数だけ鍵が必要であるから、鍵の総数はn人の中から2人を選ぶ組み合わせの数nC2 = n(n - 1) / 2となり、n = 10のときは、10C2 = 10×(10 - 1) / 2 = 45となる。
38,1,HTTPS(HyperText Transfer Protocol over SSL/TLS)は、その名のとおりHTTPにSSL(Secure Sockets Layer)/TLS(Transport Layer Security)の暗号化通信機能を付加したプロトコルである。したがって、1)が正解であり、5)は誤りである。3)HTTPは、WebサーバとWebクライアント間でデータを送受信するために使われるプロトコルである。2)、 4)トランスポート層(レイヤ4)以上のSSL/TLSを利用するので、特定の通信回線やハードウェアには依存しない。
39,5,ブルートフォースアタック(brute force attack)のbrute forceは「力づく」の意味で、一致する文字の組み合わせを総当たりで調べる方法である。1)ポートスキャンは、対象のコンピュータのポートに順番にアクセスし、そのポートで動作しているサービスを調べてセキュリティホールを探す不正侵入の方法である。2)データサルベージは、廃棄された物理メディアからデータを復旧し機密情報などを抽出することである。3)ピギーバッキングは、入室する正規ユーザの背後に密着し認証を受けないで入室することである。4)ショルダーハッキングは「のぞき見」のことで、ユーザがキーボード入力している所を肩越しに盗み見てパスワードなどの機密情報を入手することである。
40,3,定期的にIPアドレスを変更しても感染してしまったウイルスが見つかったり、活動を停止したりすることは考えられない。定期的な変更は、固定グローバルIPアドレスヘの度重なるポートスキャン攻撃などには有効かもしれないが、ファイアウォールの設定やセキュリティホールヘの対処により固定IPアドレスでも十分対応できる場合が多い。1)定期的にアクセス履歴を確認することで異常なアクセスを発見することができればウイルス感染を早期に発見することにつながり、被害を低減させることができる。2)定期的にウイルスチェックを行うことはウイルス感染による被害を低減させる。4)定期的にデータバックアップを行っていればウイルスに感染してもその時点までのデータは復元できる。5)定期的にログインパスワードを変更することは不正アクセスヘの対策となり、ウイルスを埋め込まれる危険への予防となる。
41,4,WPA2(Wi-Fi Protected Access 2)は、最初に登場した無線 LANのセキュリテイ規格WEP(Wired Equivalent Privacy)の脆弱性の対策を施したWPAの改良版のセキュリティ規格である。1)P2P(Peer to Peer)はコンピュータ同士が対等な立場で相互に接続するネットワーク構成である。2)WAP(Wireless Application Protocol)は携帯電話などの携帯端末用の通信プロトコルである。3)SSID(Service Set ID)は無線アクセスポイントの識別子であり、これ自身がセキュリティ規格ではない。5)IMAP4(Internet Message Access Protocol version 4)は電子メールを受信するためのプロトコルである。
42,2,結合テストでは、サブシステムを構成するモジュールを結合して、モジュール間のデータ受け渡しが内部設計通りに行えるかを確認する。1)運用テストでは、ユーザが参加して要求仕様で求められた機能が正しく動くかを確認する。3)単体テストでは、モジュール単位でプログラムの機能を確認する。4)内部テスト(ホワイトボックステスト、構造テスト)では、プログラム構造に基づき、可能性のある全てのケースを網羅的に用意して正しく機能するかを確 認する。5)システムテストでは、サブシステムをすべて結合して、外部設計通りにシステム全体が機能するかを確認する。
43,4,プロジェクト管理におけるネットワーク図は、各作業工程が互いにどのように依存し、各工程の遅れがどの程度全体の遅れにつながるかを把握しやすくしたものである。4)工程単位の人的コストの把握はネットワーク図作成の直接の目的ではない。
44,1,ウォーターフォールモデルの最大の特徴は、各工程を順番に進めていくことである。したがって、各工程の遅れは開発延滞につながる。また、外部設計ではぼ仕様が確定し、後戻りをしないことも特徴である。外部設計が適切に行われれば、大規模なシステムの開発でも信頼性は高い。逆に外部設計が終わるまではシステムを分割して開発することはできないとともに、下流工程 (内部設計以後)で変更を行おうとすると、外部設計をやり直すことになる。以上から、正解は1)である。
45,5,要求仕様書に基づく機能・インターフェースの設計は、外部設計時に行われる。1)システム全体の動作確認はテスト(結合テストもしくは運用テスト)、 2)ユーザ要求の抽出と明確化は要求分析、3)機能仕様に基づくモジュール分割はプログラム設計、4)システム作成のための詳細仕様の設計は内部設計の工程でそれぞれ行われる。
46,4,4)ブラックボックステストはプログラムの構造によらず、起こりえる全入カデータに対する出力が設計通りかを調べるテストである。1)ストレステストは負荷に対する耐久性のチェックを目的として行われる。2)トップダウンテストはモジュールの結合構造を最上位モジュールから確認していく手法である。呼び出しが正しく行われるかの確認が主な目的である。3)ボトムアップテストはモジュールの結合構造を最下位モジュールから確認していく手法である。上位モジュールに対して正しい出力ができるかの確認が主な目的である。5)ホワイトボックステストはプログラムの構造に基づいて、可能性のあるケースを網羅的に用意する技法である。プログラム中の全ての分岐や判断条件を基にしたテストである。
47,3,プロジェクト管理におけるネットワーク図はノード間の矢印に作業名と工数を表示する(図では工数のみ表示している)。また、クリティカルパスとはもっとも工数が多くなる作業プロセスのことである。選択肢の工数の合計値は、それぞれ1)14、 2)23、 3)27、 4)20、 5)26である。よって、工数の合計値がもっとも大きい3)が正解である。
48,4,スプリンクラーは一般的な火災の消火に使用されるが、サーバ室にはサーバ機をはじめ多くの電子機器があるため消火に水を使用できない。そのため大きなサーバ室には窒素ガスなどの不活性ガスを噴出する設備を設置するのが一般的である。1)電子機器は高温・多湿状況に弱いため、温湿度の管理は必要である。2)電源の二重化、5)無停電電源装置の設置はサーバの電源確保のため必要である。3)サーバ室へは許可された者しか入室できないように管理した上で、不正行為を防止するために、誰が何の目的で何時から何時まで入室していたかを記録することが必要である。
49,5,SNMP(Simple Network Management Protocol)はネットワーク機器から稼働状況データや設定情報を取得したり、ネットワーク機器の設定をしたりする際に用いる。1)FTP(File Transfer Protocol)はファイルを転送する際に用いる。2)NTP(Network Time Protocol)はネットワーク上の機器の内蔵時計を同期するために用いる。3)POP3(Post Office Protocol version 3)はメールサーバからクライアント機がメールを受信する際に用いる。4)SMTP(Simple Mail Transfer Protocol)はメールサーバヘクライアント機がメールを送信する際およびメールサーバが別のメールサーバにメールを送信する際に用いる。
50,3,"""システム稼働率は、全稼働時間 (200時間 + 400時間 + 350時間 = 950時間)の総時間 [全稼働時間 + 全修理時間 (20時間 + 20時間 + 10時間 = 50時間)]に対する割合である。よって、システム稼働率 = 950時間 / 1,000時間 = 0.95となる。"""
