2015IS,解答,解説,,,,
28,ベッドサイドにおけるバーコードを使った注射実施入力で期待できないのはどれか。番号を解答記入欄( 28 )にマークしなさい。,患者誤認の防止,診療録への実施記録,ミキシングミスの防止,医事課への実施情報連携,ラベル発行後の指示変更検知
29,CT装置の年間データ発生量を求めるために必要のない項目はどれか。番号を解答記入欄( 29 )にマークしなさい。,1年間の稼働日数,画像1枚あたりの容量,1検査の平均撮像時間,1日あたりの検査件数,1検査あたりの平均画像枚数
30,部署ごとの電子カルテシステム端末数を決定する際に考慮しないでよいのはどれか。番号を解答記入欄( 30 )にマークしなさい。,収益,スタッフ数,端末の種類,端末操作時間,ピーク時の業務量
31,電子カルテシステムの「運用管理規程」に記載すべき事項はどれか。番号を解答記入欄( 31 )に2つマークしなさい。,診療の効率化に関する事項,患者待遇の向上に関する事項,端末の操作手順に関する事項,患者のプライバシー保護に関する事項,運用管理を総括する組織・体制に関する事項
32,病院情報システムの機器管理に関する記述で誤っているのはどれか。番号を解答記入欄( 32 )にマークしなさい。,管理者を明確にする。,紛失や盗難予防策を講じる。,機器管理は導入したベンダが行う。,すべての機器を管理台帳にて管理する。,ウイルス管理ソフトの導入などを適切に行う。
33,病院情報システムのマスタ管理について正しいのはどれか。番号を解答記入欄( 33 )にマークしなさい。,変更履歴を管理する。,同じIDを異なる項目に用いる。,マスタ作成後はシステム更新まで変更しない。,標準マスタ導入後はマスタの履歴管理が不要である。,過去のデータを利用するには標準マスタの導入が必要である。
34,電子カルテシステム等の情報システムを利用するにあたり、利用者の責務として誤っているのはどれか。番号を解答記入欄( 34 )にマークしなさい。,離席する際は、ログアウトする。,参照した情報を、 目的外に利用しない。,パスワードは自身で管理し、これを他者に利用させない。,不正アクセスを発見した場合、不正内容を調査・対応の後、管理者に報告する。,システムの異常を発見した場合、速やかにシステム管理者に連絡し、その指示に従う。
35,外部業者によるシステム保守を実施させる場合の利用者管理について正しいのはどれか。番号を解答記入欄( 35 )にマークしなさい。,保守記録があればアクセスログは不要である。,保守SEの利用者IDは病院側で発番管理する。,保守SEの代表者IDを作成し、複数人で利用する。,テスト環境における利用者IDは外部業者が管理する。,保守SEの利用者運用については運用管理規程への記載は必要ない。
36,ある医師より情報管理部に「パスワードを忘れたので教えて欲しい」と電話での間い合わせがあった。もっとも推奨できる対応はどれか。番号を解答記入欄( 36 )にマークしなさい。,規程に従い新規のIDを発行した。,一時的な仮パスワードを電話で伝えた。,所属と名前を確認して、パスワードを教えた。,本人が情報管理部に職員証を持って来るように指示した。,掛け直しのため電話番号を教えるよう指示し、掛け直し後パスワードを教えた。
37,電子カルテシステムのアクセスログの管理について適望でないのはどれか。番号を解答記入欄( 37 )にマークしなさい。,データ容量に応じて自動的に削除する。,定期的に内容をチェックしなければならない。,改ざん等が行われないように防止策を講じる必要がある。,管理するシステム全体で時刻情報の同期をとらなければならない。,リモートメンテナンスによリアクセスされた後に、責任者がその内容を確認する。
38,電子カルテシステムの権限設定の組み合わせとして誤っているのはどれか。番号を解答記入欄( 38 )にマークしなさい。,処置実施 ― 医師,転床 ― 看護師,病名登録確定 ― 医事課職員,検査項目の追加 ― 臨床検査技師,ICD-10コーディング ― 診療情報管理士
39,病院情報システムの障害対策として効果がもっとも低いのはどれか。番号を解答記入欄( 39 )にマークしなさい。,ネットワークの二重化,ハードディスクの二重化,バックアップ電源の設置,データの定期的なバックアップ,ログインパスワードの有効期限設定
40,病院情報システムの障害対応として不適切なのはどれか。番号を解答記入欄( 40 )に2つマークしなさい。,影響範囲の見極めよりも原因調査を優先する。,システム障害に備えた運用マニュアルを作成する。,プリンタの障害は24時間対応できる体制を準備する必要はない。,基幹システムが停止した場合、原因が判明するまで院内放送はしない。,リソース監視やネットワーク監視は24時間行える仕組みが必要である。
41,特定健康診査の項目のうち、特定保健指導の階層化に使用されないのはどれか。番号を解答記入欄( 41 )にマークしなさい。,腹囲,血圧,尿糖,BMI,喫煙歴
42,遠隔診療に関する厚生労働省通知 ※の中で、遠隔診療を行う際に留意すべき内容として示されていないのはどれか。番号を解答記入欄( 42 )にマークしなさい。,患者側のプライバシー保護に配慮する。,診療の実施の責任は実施した医師又は歯科医師が負う。,情報通信機器が故障した場合における対処方法を取り決めておく。,患者及びその家族等に対して十分な説明を行い、理解を得た上で行う。,患者が医師の指示に従わないために生じた被害でもその責任は医師が負う。
43,遠隔診療に関する厚生労働省通知※の中で、遠隔診療を行っても差し支えないとされているのはどれか。番号を解答記入欄( 43 )にマークしなさい。※ : 情報通信機器を用いた診療 (いわゆる「遠隔診療」)について (平成 23年3月31日),初診の場合,直接の対面診療を行うことができる場合,往診又は来診に相当な長時間を要する場合,他の医療機関に対面診療を依頼できる場合,診療を継続してきた慢性期疾患の患者が急変した場合
44,医療機関における名寄せの説明として適切なのはどれか。番号を解答記入欄( 44 )にマークしなさい。,登録患者から同じ家族を集めること,登録患者から同一患者を集めること,登録患者から同一疾患患者を集めること,登録患者から同姓同名の患者を集めること,登録患者から住所単位にグループ化すること
45,下記の組み合わせでもっとも関係が薄いのはどれか。番号を解答記入欄( 45 )にマークしなさい。,疾病分類 一 ICD-10,国際疾病腫瘍学 一  ICD-O-3,診療報酬請求 一 ICD-9-CM,国際生活機能 一 ICF,臨床検査 一 JLAC10
46,日本において手術に関する保険請求用のコードとして使用されるのはどれか。番号を解答記入欄( 46 )にマークしなさい。,ICD-10,ICD-9-CM,JANコード,Kコード,SNOMED-CT
47,HOTコードマスタの説明として誤っているのはどれか。番号を解答記入欄( 47 )にマークしなさい。,JANコードと対応している。,個別医薬品(YJ)コードと対応している。,使用されなくなった薬品は削除される。,薬価基準収載医薬品コードと対応している。,厚生労働省の標準マスタとして認められている。
48,MFERが扱うデータはどれか。番号を解答記入欄( 48 )にマークしなさい。,血管造影などの動画像,DNAなどの遺伝子検査,心電図、脳波などの医用波形,放射線、内視鏡、超音波などの医用画像,血算、血液生化学、感染症検査などの臨床検査
49,HL7の特徴でないのはどれか。番号を解答記入欄 ( 49 )にマークしなさい。,特定の部門に特化しない。,施設間の臨床情報を扱う。,タグはテキスト情報である。,OSIの物理層に対応している。,データ交換における標準的な規約である。
50,削除,,,,,
51,IHE-ITIを用いた医療情報連携基盤についての組み合わせで誤っているのはどれか。番号を解答記入欄( 51 )にマークしなさい。,PIX ― 時刻の整合性,XDS ― ドキュメント共有,ATNA ― 監査証跡とノード認証,PDQ ― 患者基本情報問い合わせ,XCA ― コミュニティ間アクセス
52,標準的な診療情報交換を普及・促進するためのSS-MIX標準化ストレージの考え方に該当しないのはどれか。番号を解答記入欄( 52 )にマークしなさい。,導入・運用のコストを抑制する。,あらゆる医療施設で利用できる。,画像の交換は考慮されていない。,誰もが理解しやすい単純な構造である。,特定の企業やベンダの技術・製品に依存しない。
53,病院情報システムと連携したデータウェアハウスに関して誤っているのはどれか。番号を解答記入欄( 53 )に2つマークしなさい。,経営改善に用いられることがある。,加工していないデータからの情報検索を行う。,病院情報システムのバックアップが目的である。,データの利用には常に患者の了解を得る必要がある。,正確なデータが蓄積されるように病院情報システムを設計する必要がある。
54,研究目的のデータ抽出依頼を受けた医療情報部門の職員が行う作業として、もっとも適切なのはどれか。番号を解答記入欄( 54 )にマークしなさい。,休日午前2時に、電子カルテのデータベースヘ、参照権限でアクセスする。,休日午前2時に、電子カルテのデータベースヘ、更新権限でアクセスする。,平日午前10時に、電子カルテのデータベースヘ、参照権限でアクセスする。,平日午前10時に、データウェアハウスのデータベースヘ、参照権限でアクセスする。,平日午前10時に、データウェアハウスのデータベースヘ、更新権限でアクセスする。
55,医療現場で蓄積されたデータを分析し、有益な情報を見出す発見的手法を何と呼ぶか。番号を解答記入欄( 55 )にマークしなさい。,二重盲検法,データマート,症例対照研究,データマイニング,データクレンジング
56,データの二次利用について誤っているのはどれか。番号を解答記入欄( 56 )にマークしなさい。,倫理委員会の承認が得られていることを確認する。,データを持ち出しできる端末を特定する必要がある。,「 二次利用申請書」は一度提出すれば他の目的にもデータを使用できる。,あらかじめ包括的な同意が得られていても、個別の同意が必要な場合がある。,学会で使用するために抽出した画像は、患者に許可を得た上で全て匿名化する。
57,診療のアウトカム評価の指標となるのはどれか。番号を解答記入欄( 57 )にマークしなさい。,手術件数,再入院率,分娩件数,処方件数,臨床検査件数
58,DPC関連データを用いて分析できないのはどれか。番号を解答記入欄( 58 )にマークしなさい。,術式別の手術時間,入院患者の居住地分布,入院期間II以内の患者比率,がん患者のステー ジ別頻度,入院時と退院時のADL変化
59,病院情報システムにおける情報セキュリティ管理の目的は何か。番号を解答記入欄( 59 )にマークしなさい。,病院の経営改善,患者の診療情報の保護,薬剤安全性情報の提供,診療行為の妥当性の担保,医療廃棄物の適切な処理
60,「どこでもMY病院」構想の目的でないのはどれか。番号を解答記入欄( 60 )にマークしなさい。,重複投薬の防止,生活習慣病の予防,健康情報の自己管理,病院のオンライン連携,慢性疾病患者の重症化防止
