2015IS,解答,解説
11,5,PACSは、 Picture Archiving and Communication System(画像保存通信システム)の略称である。一方、放射線部門の業務を電子化する放射線部門システムはRIS(Radiology Information System)と呼ばれる。したがって、5)は誤りである。1)～4)のシステムとそれらに対応する説明は正しい。
12,4,患者基本情報には、氏名、生年月日、性別、住所、保険情報などの管理的情報に加えて、診療科・部門で共有する医療的情報として次に挙げるものがある。患者に関する既知の重要な情報であるため、電子カルテシステムでは患者プロファイル情報として扱われることが多い。身体的情報(身長、体重、血液型、感染症、障害など)、アレルギー情報、生活習慣情報、同意情報、紹介情報、既往歴情報、治療情報、治験情報。4)家族の面会の予定は、上記にはあてはまらず、患者基本情報として共有が必要な情報とは言えない。一方、1)～3)、5)は、共有が必要な情報である。
13,1.4,画像検査や生理機能検査では、検査の種類や検査対象となる臓器によって、検査室・検査装置を一定時間占有するもの、検査体制の違いや検査前準備が必要なものなどがあり、この予約には枠管理が必要となる。2)MRI検査、3)内視鏡検査、5)血管造影検査はこれらにあたり、通常予約枠管理を行う。一方、1)検体検査は、血液、尿、便、喀痰などの検体を採取して実施される検査であり、通常予約枠による管理は行われない。4)胸部X線検査は、検査室・検査機器を長時間占有する検査ではないため、予約枠は設定せずに運用する場合が多い。
14,4,DICOM(Digital Imaging and Communications in Medicine)は、主に医療におけるデジタル画像と通信に関する国際標準である。したがって、DICOMは薬剤に関連するシステムと直接関係しない。1)GS1(Global Standard One)は国際流通標準化機関であり、医療用医薬品の商品コードなどにはGS1バーコードシンボルが用いられている。2)HL7の中に処方データや注射データの交換規約が存在する。3)個別医薬品コードは、通称YJコードと呼ばれている。5)医薬品HOTコードマスタの基本となる番号は、HOT番号と呼ばれる13桁の管理番号である。
15,2,抗がん剤の投与は、抗がん剤、輸液、制吐剤などを時系列で統合した治療計画 (レジメン)に基づいて行う。外来化学療法システムは、レジメンに基づいた注射オーダの発行や実施を支援するシステムである。2)すべての医師が自由に投与内容を変更できる仕様は、レジメンの目的を大きく損なうので適切でない。1)レジメンの登録は薬剤部門の担当者が一括して行うのが一般的である。そのためには、利用者ごとにアクセス権限を設定できる必要がある。3)過量投与を防ぐことは同システムの目的のひとつであり、正しい。4)体重や体表面積は、抗がん剤の投与量を決定する重要な要素である。がん患者は病状の変化によってこれらが変化しやすいため、設間のような警告機能は有益である。5)抗がん剤は腎機能や肝機能によっては投与できないことがあるため、結果を見てから投薬の可否を判断する仕様は適切である。
16,1.2,1)従来より1日量での処方が行われてきたが、医療安全上の観点から、2010年に厚生労働省が「最小基本単位である1回量を記載する」ことを推奨するようになった。2)同様の理由から、実施入力も最小基本単位ごとに行うことが望ましい。3)輸液やインスリンなど薬剤によってはmgでの単位入力ができないものもあり、不適切である。4)後発医薬品を推進する観点から、院外処方箋については一般名処方も推奨されている。しかし、院内処方については、誤薬を防ぐため商品名を使用することが適切である。5)薬剤名の入力間違いを防ぐため、3文字以上の入力が推奨されている。
17,1,持参薬の場合は、 自院で採用していない医薬品が持ち込まれることが多いので、すべての医療用医薬品を登録したマスタが不可欠である。2)取り違えを防ぐ観点から、 自院採用品の名称には置き換えず、患者が持参したものをそのまま登録することが望ましい。3)、4)外来で処方されたものと同一の薬品であっても、入院中は主治医の指示がなければ投与できない。5)DPC対象病院では、入院の契機となる疾患に対して使用する薬剤を患者に持参させて使用することは禁止されている。
18,1.2,JAHIS処方データ交換規約に基づいて、処方せんの情報をQRコードで示すことが可能である。2)2013年に改定された「医療情報システムの安全管理に関するガイドライン4.2版」では、調剤後の処方箋を電子保存することが認められた。3)～5)処方箋自体を電子化することは、複製防止策を確立する必要があることなどから、まだ実現していない。
19,3,超音波検査は画像検査であり、画像データの標準交換規約であるDICOMを用いる。最近ではDICOM出力に対応した機種が多いが、非対応の場合には、モダリティから取得した画像データをDICOMコンバータで変換する。1)、2)、4)、5)いずれも波形検査であるため、DICOMは用いない。波形情報の標準交換規約にはMFERがあり、心電図などで用いられる。
20,5,インシデントレポートシステムは、医療安全を目的としてインシデントを収集管理するシステムであり、検査報告を保存するものではない。1)、2)、4)いずれも検査機器からデータを取得する部門システムであるため、検査報告を保存するシステムとして適切である。3)上記の部門システムから検査報告を受け取り、保存することが可能である。
21,2,患者IDは血液センターで書き込むことができないため、3点認証に用いるためのバーコードなどは病院で貼付する。1)、3)～5)輸血用血液製剤のラベルに貼付する新バーコードは、日本赤十字社の血液センターで貼付される。このため、これらの情報はバーコードに書き込まれる。
22,1,服薬管理は、オーダエントリシステムあるいは薬剤部門システムで行う。2)、 4)透析管理の大きな目的として、IN/OUTの管理がある。このため除水情報や透析前後の体重はきわめて重要である。3)透析は長時間ベッドを占有して行う治療であるため、ベッドの予約管理が必須である。5)透析は、クレアチニンなどの血液中の老廃物を人工的に除去する療法である。このため、クレアチニン値などの推移は重要なデータであり、透析管理システムでの管理対象となる。
23,5,当該病院での1)接続試験にはIPアドレスなどの設定をする必要があるが、その前に接続できるか否かを調査する必要がある。これにはDICOMのどのようなサービスクラスがサポートされているか、5)コンフォーマンスステートメントを確認する必要がある。2)コネクタソンの実績確認は、あることが望ましいが、コネクタソンの実績は最低3システムでの接続により認めるものであり、日本で販売されている機器がすべて日本でのコネクタソンの実績を要求されるものではないので、必須にはできない。4)MEDIS標準マスタの確認も現在日本国内で稼働させる機器について必須ではない。
24,3,CD表面の記載に関しては、「患者に渡す医用画像媒体についての合意事項改訂版 (平成23年11月8日)」の「3.運用的対応」に記載することとある。1)画像の一般的な圧縮方法はDICOMでも利用可能であり、その旨を記載するタグがある。2)同合意事項の「3.運用的対応」に、1CD-Rに1患者IDとの記載がある。4)動画像に関しても、同合意事項の「3.運用的対応」に事前合意のないものは同梱禁上と記載されている。5)ビューワのオートスタートについては、同合意事項に禁止と記載されている。
25,5,"""日本乳がん検診精度管理中央機構の「ソフトコピー臨床画像評価受検の必須条件」(http://www.qabcs.or.jp//mmg_eva/scroad.html)では、「5MP以上 (解像度 : 2,056×2,048、 画像ビッチ : 165μm相当)のマンモグラフィー用モニター2面とサブモニターによるワークステーションで読影診断すること。また、1面モニターの場合は、モニター2面と同等の解像度を有すること。」「モニターのキャリブレーション推奨輝度が500cd/m2程度, またはそれ以上であること。」「ワークステーションにはマンモビューワソフトがインストールされており、適切な読影操作が可能なこと。」などの記載がある。今回のモニターでは画素数から5)が正解となる。"""
26,1,1)治療食の指示は、治療のため病態に合わせて医師が行うオーダであり、看護業務ではない。看護業務を支援するシステムは、主に診療の補助業務や接点業務を支援するものとして開発・運用されている。診療の補助業務を的確に遂行するために、看護ワークシートがあり、4)指示内容の一覧表示や、5)放射線検査予約の確認機能などがある。与薬管理機能の一つに2)患者の服薬確認がある。点滴や輸血実施時には患者のリストバンドにあるバーコードの認証を行うことで、3)患者取り違え防止に役立つ。
27,5,歯科衛生実地指導料は、う蝕 (いわゆる虫歯)または歯周病に罹患している患者に対して、主治の歯科医師の指示を受けた歯科衛生士が、15分以上の時間をかけて指導した場合に算定することができる。システム的には、患者交付用文書の作成、歯科衛生士の業務記録記載および歯科医師の診療録記載で、診療情報の交換が発生する。5)この文書は患者の了解を得るものではなく、患者 (またはその家族)の署名は必要としない。1)保険医療機関名、2)歯科衛生士の署名、3)指示を行った歯科医師名、4)指導の開始および終了時刻は、いずれも患者交付用文書に記載するよう定められている。
28,3,ベッドサイドで行う注射実施入力は、既に薬剤部門や処置室などでミキシング(混注)され、バーコードが貼付された注射薬に対して行うもので、ミキシング行為そのものの正確性を確認するものではない。1)、2)、4)、5)はいずれもバーコードを使った注射実施入力により期待できる効果である。
29,3,CT装置の年間データ発生量は、1)年間稼働日× 4)1日あたりの検査数× 5)1検査あたりの画像枚数× 2)1画像容量で計算できる。3)1検査の平均撮像時間があっても、緊急検査などもあるので1日あたりの平均稼働時間の情報がないとCT装置の年間データ発生量は計算できない。
30,1,1)収益の多寡にかかわらず、必要な場所には端末を配置しなければならない。2)～4)、スタッフ数、端末の種類、端末の操作時間は、業務の量と内容の影響が大きく、端末数を決定する際は考慮が必要である。5)ピーク時の業務量を考慮して端末を配置しないと、端末が足りないことにより業務に支障が出る可能性がある。
31,4.5,「医療情報システムの安全管理に関するガイドライン第4.2版」では、診療録等の電子保存を行う場合の留意事項として、1 施設の管理者は診療録等の電子保存に係る運用管理規程を定め、これに従い実施すること。2 運用管理規程には以下の事項を定めること。　① 5)運用管理を総括する組織・体制・設備に関する事項　② 4)患者のプライバシー保護に関する事項　③その他適正な運用管理を行うために必要な事項があげられている。1)、2)は電子カルテシステムの運用とは直接関係がない。3)は運用管理規程ではなく、運用・操作マニュアルに記載すべき事項である。
32,3,病院情報システムの機器管理は、「運用管理規程」に基づき実施される。3)機器の保守はベンダにより行われるが、機器管理は病院側が管理者を定めて行わなければならない。
33,1,2)IDと項目は1対1で用いなければならない。異なる項目に使用すると、誤った情報を提供することになり、大きな問題となる。3)トランザクションデータに記録された日時に対応して適切な世代のマスタが適用されるようにしなければならないため、マスタは定期的な見直しを行い、まとめて更新・履歴(世代)管理をする必要がある。4)標準マスタであっても、他のマスタと同様に履歴管理が必要である。5)過去のデータを利用できるようにマスタの履歴管理は必要であるが、標準マスタの導入は必ずしも必要ではない。
34,4,「医療情報システムの安全管理に関するガイドライン第4.2版 」では、利用者の責務として運用的対策に「システム異常、不正アクセスを発見した場合の速やかな運用管理者への通知」が挙げられている。具体的な方法については、組織ごとに定められているセキュリティポリシーなどに従うことになる。したがって、4)は誤りであり、5)は正しい対応である。1)～ 3)は利用者の基本的な責務であり、正しい。
35,2,すべての利用者管理は、情報システムの運用主体である病院側で行わなければならない。1)保守作業の詳細を把握するためには保守記録だけでは十分とはいえず、アクセスログが必須である。3)作業管理を適切に行うためにも利用者 IDは個人ごとに作成すべきである。4)テスト環境も情報システムの一部であるので、運用主体である医療機関側で管理すべきである。5)すべての利用者の運用について運用管理規程を定める必要がある。
36,4,パスワードの問い合わせ者が本人であることを確認する必要があるので、4)がもっとも推奨される対応である。1)同一人物に複数のIDを付与することは、運用管理面で推奨できない。2)、3)、5)「なりすまし」に対応できず、推奨できない。
37,1,アクセスログは、トラブル時の原因の究明やデータの復旧に不可欠である。一定期間の保管が必要であり、データの容量を削除の理由にしてはならない。2)システムが正常に稼動していることを確認するために行うべきである。管理者も利用者もトラブルに気付かないことは十分あり得る。3)アクセスログが改ざんされると、トラブル時の原因究明やデータの復旧が不可能になることから、真正性、保存性を損なうことになる。4)アクセスの順番が問題となることが多いので、時刻情報の同期は重要である。5)正当なアクセスであったかどうか、責任者が確認する必要がある。
38,3,病名を登録し確定することは、診断を確定することであり、医師の責務である。よって、医師ではない医事課職員が確定操作を行うことは適切とは言えない。1)処置は医師が自ら行う、または指示して行うことであり、医師がその責任を負う。2)転床は患者の状態にあわせて適切な療養が行えるようにするためのものであり、病床管理の一環として患者の状態をよく知る看護師が行うことが好ましい。4)検査項 目の設定は臨床検査部門で行っており、臨床検査技師が行うことに問題はない。5)ICD-10のコーディングは、医師が診断確定した病名に対してもっとも適切なコードを割り当てることであるので、診療情報管理士が行っても差し支えない。
39,5,定期的にパスワードを変更することになり、安全管理上は好ましい対応であるが、障害対策にはならない。1)、2)ハードウェアの冗長化は障害対策の基本ともいえ、有効な対策である。3)バックアップ電源の設置は、病院情報システムのみならず病院運営上、障害対策として必須である。4)データの定期的なバックアップは、障害が起こった事後のデータの復旧のために必須である。
40,1.4,障害の業務への影響を見極めることを最優先に行い、できるだけ速やかに業務の変更の必要性などを判断しなければならない。4)基幹システムが停止すれば、多くの場合、業務に支障が出る。業務に影響が出る可能性がある場合には、原因の判明の前にできるだけ速やかに通知をする必要がある。2)、 3)、 5)は適切な対応である。
41,3,特定保健指導の階層化は、まず内臓脂肪の蓄積と肥満に着目してリスクを判定する。このとき1)腹囲と4)BMIが基準となる。追加リスクとして、血糖、脂質、2)血圧、5)喫煙歴が用いられる。3)尿糖は階層化に用いられない。
42,5,通知には「医師又は歯科医師が患者又はその家族等に対して相応の指示や注意を行っているにもかかわらず、これらの者がその指示や注意に従わないため患者に被害が生じた場合には、その責任はこれらの者が負うべきものである。」と記載されており、患者が医師の指示に従わないために生じた被害の責任は患者が負うものとされている。1)～ 4)は、通知に記載されている。
43,3,3)は、対面診療を行うことが困難なため、遠隔診療を行っても差し支えがない例として記載されている。1)、2)、4)は、原則として対面診療を行うこととされており、遠隔診療を行うべきではない。5)慢性疾患の安定しているものは遠隔診療を行っても差し支えないが、急変時には対面診療を行うこととされている。
44,2,患者が複数の医療機関を受診すると、それぞれの医療機関において異なったIDで登録される。医療機関が情報連携を図ろうとするときには、患者ごとにIDを統合しないと連携が困難である。同じ患者を集めることが医療機関における名寄せの必要性である。すなわち、2)の同一患者を集めることが「名寄せ」である。1)、3)～5)は名寄せに該当しない。
45,3,ICD-9-CMは国際疾病分類第9版を基に作られた疾病分類と医療行為の分類である。診療報酬請求には、ICD-9-CMではなくKコードが用いられる。1)ICD-10は国際疾病分類第10版、2)ICD-O-3は国際疾病分類腫瘍学第3版、4)ICFは国際生活機能分類、5)JLAC10は臨床検査項目分類コードである。
46,4,Kコードは診療報酬点数表の手術・処置の領域にふられたコードで、保険請求に使用される。1)ICD-10は国際疾 病分類第10版で、これに対応した標準病名マスターが保険請求に利用される。2)ICD-9-CMは国際疾病分類第9版を基にした疾病と医療行為の分類で、保険請求には用いられない。3)JANコードは流通業界の共通商品バーコードで、医療用医薬品などに使われる。5)SNOMED-CTは国際医療用語集で、保険請求には用いられない。
47,3,HOTコードは医薬品マスターの基本となる13桁の管理番号で、電子カルテにおける使用を目的に作成された。薬価基準収載医薬品コード、個別医薬品(YJ)コード、レセプト電算処理用コード、JANコードとの対応表を持っている。3)一度登録されたコードが削除されると、過去にそのコードを利用して登録されたデータは意味をなさなくなる。HOTコードに限らずマスターテーブルのコードの削除は行わない。
48,3,MFERとは医用波形記述規約 (Medical waveform Format Encoding Rules)のことで、心電図、脳波、血圧波形などの医用波形データの様々な要件に対応できるように開発された標準規格である。3)医用波形はMFERの対象となっている。1)動画像、2)遺伝子情報、4)医用画像、5)臨床検査数値データは波形情報でないため、MFERの対象ではない。
49,4,HL7は「医療情報システム間のISO-OSI第7層アプリケーション層」に出来している。ちなみに物理層は第1層である。1)HL7は特定の部門やシステムに特化することなく、臨床情報や管理情報を交換するための規約である。2)施設間での臨床情報の交換にも適用される。3)タグも含めてテキスト情報とすることで、異なったシステム間での情報の交換を可能としている。5)医療情報交換のための標準規約として策定された。
50,削除,
51,1,PIXはPatient Identifier Cross-referencing(患者情報相互参照)の略である。時刻の整合性はCT Consistent Timeと呼ぶ。2)XDSはCross-Enterprise Document Sharing(ドキュメント共有)の略、3)ATNAはAudit Trail and Node Authentication(監査証跡とノード認証)の略、4)PDQはPatient Demographic Query(患者基本情報問い合わせ)の略、5)XCAはCross Community Access(コミュニティ間アクセス)の略である。
52,3,日本医療情報学会のSS-MIX2標準化ストレージ構成の説明と構築ガイドライン(http://www.jami.jp/jamistd/docs/SS-MIX2-V1.2c/SS-MIX2stdstrglv12c.pdf)の2.1コンセプトには、1)「導入・運用の際のコストを抑制すること」、2)「あらゆる医療施設で利用できること」、4)「 誰もが理解しやすい単純な構造」、5)「 特定の企業やベンダの技術・製品に依存しないこと」があげられている。3)画像の交換については、「3.2 診療情報の交換に関わる情報の格納 (3)他医療施設にて作成されたIHE-J PDIプロファイルに準拠した検査画像情報」に、PDI CDの取り込みを行い、当該医療施設内で参照する機能を提供している、と記載されている。
53,3.4,データウェアハウスは分析を目的として構築され、そのために最適化された方式でデータが格納される。病院情報システムと同一のデータが格納され、結果としてバックアップとなり得るとしても、それが目的とは言えない。4)データウェアハウスのデータは通常何らかの分析を目的としており、二次利用に含まれるため、原則として患者の同意が必要となる。ただし、包括同意を得ている場合、あるいは患者が特定できないデータを利用する場合などは、必ずしも患者の了解を得る必要はなく、常に必要とは言えない。1)、2)、5)はデータウェアハウスの使用目的から考えて、いずれも妥当な記述である。
54,4,病院の診療業務に影響を与える恐れがない点で、電子カルテよリデータウェアハウスにアクセスする方がより適切である。また、データ抽出目的のアクセスでは、万一誤操作があっても、データベースを破損する恐れがないという点で、更新権限より参照権限でのアクセスがより適切である。選択肢の中で比較した場合、この2条件を満たす4)がもっとも適切と言える。ちなみに、1)と3)の比較では、病院の診療業務量が多くなる午前10時より、減少する休日午前2時の方が、病院の診療業務に影響を与える恐れが少ないという点でより適切と考えられる。ただし、職員の労務管理の面で問題がある。データウェアハウスであれば診療業務とは切り離されているため、アクセスする時間帯に配慮する必要はない。
55,4,4)何らかの仮説を立て検証する統計的手法に対し、データマイニングは仮説を前提とせず、データの中から何らかの法則性を発見しようとする手法である。1)二重盲検法と3)症例対照研究はいずれも統計的手法の中で用いられ、発見的手法とは関係しない。2)データマートは、発見的手法の解析対象データの格納に用いられるデータウェアハウスの一部を、ある目的に沿って抽出したものをいう。5)発見的手法は、データ中の表記ミスや重 複などが結果に大きく影響するため、解析の前にそれらを取り除く操作を行う。これをデータクレンジングという。
56,3,3)二次利用は一次利用とは目的が異なる利用を意味し、原則として患者の同意を必要とするが、その場合は必ず具体的な目的を指定する必要がある。「二次利用申請書」は、申請者の利用目的が、認められた範囲を超えていないかどうかを判断する根拠となる書類である。したがって目的が異なれば、例外なく改めて提出しなければならない。1)、2)、4)、5)は、ケースバイケースで必ずしも当てはまらない場合もありうるが、少なくとも誤りとは言えない。
57,2,2)患者の構成が同じと仮定した場合、診療の質が高いほど、退院後再びる患者は少なくなると考えられる。したがって、再入院率は診療のアウトカム評価の指標のひとつである。1)、3)～5)は、いずれも診療の要素となる各業務の量的指標であり、診療の質を直接反映するものではない。
58,1,DPCに基づく診療報酬請求に必要となる診療情報は、いくつかのファイルに分けて提出されるが、手術時間はいずれのファイルにも記録されない。したがって、DPC関連データだけでは、手術時間のデータを必要とする分析はできない。2)～ 5)は、いずれもDPCに基づく診療報酬請求に用いられるファイルに記録されるデータから得られる情報であり、分析が可能である。
59,2,病院情報システムが取り扱う診療情報は、患者の個人情報であるとともに、診断や治療に不可欠である。そのため、漏えい、改ざん、破壊などの脅威から厳重に保護されている必要がある。そのような状態が維持されていることを情報のセキュリティという。したがって、情報セキュリティ管理の目的は、患者の診療情報の保護以外の何ものでもない。1)適切な情報セキュリティ管理は、結果的に経営にプラスとなり得るが、直接の目的とは言えない。3)～5)は、それぞれ診療や病院経営の質の確保に不可欠な要素であるが、情報セキュリティ管理とは直接関係しない。
60,4,「どこでもMY病院」構想は、国民が自らの医療・健康情報を電子的に管理・活用し、健康管理に取り組めるようにするとともに、全国どこでも過去の診療情報に基づいた医療が受けられるようにすることが基本理念である。結果として病院のオンライン連携が進む可能性はあるが、それは直接の目的ではない。1)複数の医療機関にかかると各々に分散してしまう処方情報を一元的に患者に集め、重複投薬の防止を図ることは、主要な目的のひとつである。2)、3)、5)医療・健康情報を自己管理し、主体的に発症や重症化の予防を図ることは、主要な目的のひとつである。
