2015II,問題文,選択肢,,,,
18,病原体と疾患との組み合わせで誤っているのはどれか。番号を解答記入欄( 18 )にマークしなさい。,O-157 ― 肺がん,ピロリ菌 ― 胃がん,ノロウイルス ― 急性胃腸炎,ムンプスウイルス ― 流行性耳下腺炎,ヒトパピローマウイルス ― 子宮頸がん
19,脳幹に含まれないのはどれか。番号を解答記入欄( 19 )に2つマークしなさい。,橋,延髄,小脳,脊髄,中脳
20,小腸で栄養を吸収した血液が最初に通る臓器はどれか。番号を解答記入欄( 20 )にマークしなさい。,肝臓,心臓,腎臓,膵臓,大腸
21,直接看護でないのはどれか。番号を解答記入欄( 21 )にマークしなさい。,患者の移送,排泄の世話,呼吸循環管理,終末看護処理,入退院の世話
22,看譲実践で誤っているのはどれか。番号を解答記入欄( 22 )にマークしなさい。,緊急事態に対する効果的な対応を行う。,緊急時には医師の指示なく医行為を行う。,患者が変化に適応できるように支援する。,継続的に観察、判断して問題を予知し対処する。,身体的・精神的・社会的側面からの手助けを行う。
23,アレルギーにもっとも関与しているのはどれか。番号を解答記入欄( 23 )にマークしなさい。,IgA,IgD,IgE,IgD,IgM
24,十分な絶食後の採血が必要な検査はどれか。番号を解答記入欄( 24 )にマークしなさい。,中性脂肪,カリウム,ナトリウム,ヘモグロビン,プロトロンビン時間
25,尿量の測定が必要な検査はどれか。番号を解答記入欄( 25 )にマークしなさい。,尿潜血,尿沈渣,血清尿酸値,ヘモグロビンA1c,クレアチニンクリアランス
26,主に動脈からの採血が行われる検査はどれか。番号を解答記入欄( 26 )にマークしなさい。,血糖,浸透圧,アンモニア,クレアチエン,炭酸ガス分圧
27,X線を照射して行う検査はどれか。番号を解答記入欄( 27 )にマークしなさい。,核医学検査,筋電図検査,心臓超音波検査,スパイロメトリー,心臓カテーテル検査
28,妊婦にも安全に行える検杏はどれか。番号を解答記入欄( 28 )に2つマークしなさい。,心電図検査,頭部CT検査,腹部X線検査,腹部超音波検査,下部消化管内視鏡検査
29,心臓ペースメーカ装着の確認が必須である検査はどれか。番号を解答記入欄( 29 )にマークしなさい。,心電図検査,胸部X線検査,上部内視鏡検査,心臓超音波検査,腹部MRI検査
30,診断のために超音波検査が用いられるのはどれか。番号を解答記入欄( 30 )に2つマークしなさい。,脳出血,肺がん,白血病,肝臓がん,心臓弁膜症
31,施錠保管が義務づけられているのはどれか。番号を解答記入欄( 31 )に2つマークしなさい。,劇薬,毒薬,麻薬,OTC薬品,特定生物由来製品
32,免疫を抑制する治療が行われるのはどれか。番号を解答記入欄( 32 )に2つマークしなさい。,肺炎,腎移植,脳梗塞,人工関節,関節リウマチ
33,骨髄移植が行われるのはどれか。番号を解答記入欄( 33 )にマークしなさい。,骨折,腎不全,糖尿病,自内障,白血病
34,入院診療計画書を患者に交付する期限は入院後いつまでか。番号を解 答 記入欄( 34 )にマークしなさい。,1日以内,3日以内,5日以内,7日以内,14日以内
35,クリニカルパスの目的でないのはどれか。番号を解答記入欄( 35 )にマークしなさい。,医療費の削減,医療の最適化,医療ケアの標準化,チーム医療の促進,インフォームドコンセントの充実
36,介護保険について誤っているのはどれか。番号を解答記入欄( 36 )にマークしなさい。,各自治体の窓口に申請を行う。,コンピュータによる2次判定を行う。,主治医の意見書と担当者による訪問調査が行われる。,要介護認定には、要介護、要支援、非該当の区分がある。,介護サービスには、介護給付、介護予防給付、地域支援事業がある。
37,診療ガイドラインを作成する目的として適切でないのはどれか。番号を解答記入欄( 37 )にマークしなさい。,医療の質の向上,エビデンスの提供,患者への情報提供,施設間格差の解消,治療方法の統一化
38,エビデンスレベルがもっとも低いのはどれか。番号を解答記入欄( 38 )にマークしなさい。,症例対照研究,ランダム化比較試験,ランダム化比較試験のメタアナリシス,対照群を伴わない処置前後の比較などの前後比較研究,対照群を伴わない過去のコントロールを伴うコホート研究
39,医師法施行規則で定められていない診療録記載項目はどれか。番号を解答記入欄( 39 )にマークしなさい。,病名,治療方法,保険者番号,診療の年月日,診療を受けた者の住所
40,医療法および同施行規則で、「全ての病院が備えるべき記録」として定められていないのはどれか。番号を解答記入欄( 40 )にマークしなさい。,紹介状,X線写真,看護記録,手術記録,入院診療計画書
41,国際疾病分類 (ICD)について誤っているのはどれか。番号を解 答記入欄( 41 )にマークしなさい。,WHOが作成している。,小改正は毎年行われている。,病理学的分類を目的としている。,日本では現在第10版 (ICD-10)が用いられている。,日本語版には、日本で追加した細分類が含まれている。
42,5年間の保存義務が定められていないのはどれか。番号を解答記入欄( 42 )に2つマークしなさい。,照射録,助産録,診療録,救急救命処置録,調剤済み処方箋
43,最も長期の保存が医療機関の管理者に義務づけられているのはどれか。番号を解答記入欄( 43 )にマークしなさい。,X線写真,死亡診断書,退院時要約,麻薬処方箋,特定生物由来製品使用記録
44,外れ値の影響を受けにくいのはどれか。番号を解答記入欄( 44 )にマークしなさい。,範囲,分散,最大値,中央値,平均値
45,標本数が十分大きいとき正しいのはどれか。番号を解答記入欄( 45 )にマークしなさい。,中央値と最頻値はほぼ一致する。,平均値と最頻値はほぼ一致する。,標本分布は正規分布で近似される。,標本分散の分布は正規分布で近似される。,標本平均の分布は正規分布で近似される。
46,有病率の影響を受けるのはどれか。番号を解答記入欄( 46 )にマークしなさい。,感度,基準値,特異度,予測値 (適中度),カットオフ値
47,母集団の分布を仮定せずに行える検定はどれか。番号を解答記入欄( 47 )に2つマークしなさい。,F検定,ｔ検定,分散分析,符号検定,Wilcoxonの順位和検定
48,コホート研究について正しいのはどれか。番号を解答記入欄( 48 )に2つマークしなさい。,介入試験である。,横断的研究である。,前向きと後向きがある。,相対危険度を求めることができる。,疾患・非疾患群の観察数を揃えやすい。
49,臨床試験における第Ⅱ相試験の対象はどれか。番号を解答記入欄( 49 )にマークしなさい。,少数の患者,多数の患者,少数の健常者,多数の健常者,多数の実験動物
50,地域がん登録について正しいのはどれか。番号を解答記入欄( 50 )に2つマークしなさい。,患者同意は必要ない。,予後調査は含まない。,すべてのがんを対象とする。,市町村単位で実施されている。,がん拠点病院の患者が対象である。
