2009JS,問題文,選択肢,,,,
14,TCPヘッダに含まれない情報はどれか。解答記入欄( 16 )にマークしなさい。,ヘッダ長,チェックサム,シーケンス番号,宛先ポート番号,宛先IPアドレス
15,TCP/IPモデルで下位の層から順に並べた場合の正しい組み合わせはどれか。なお、選択肢では層の表記を省略している。解答記入欄( 17 )にマークしなさい。,物理、セッション、トランスポート、プレゼンテーション,データリンク、ネットワーク、トランスポート、アプリケーション,データリンク、トランスポート、ネットワーク、アプリケーション,物理、データリンク、ネットワーク、セッション、アプリケーション,データリンク、ネットワーク、トランスポート、プレゼンテーション、アプリケーション
16,IPv4のIPアドレスについての正しい記述はどれか。解答記入欄( 18 )にマークしなさい。,長さは48ビットである。,ネットワーク部の長さは固定されている。,IPアドレスの上位ビット部がネットワーク部である。,ネットワーク部が16ビットの場合、クラスAと呼ばれる。,1つのサプネットでIPアドレスは255個しか割り当てられない。
17,IPv6について誤っているのはどれか。解答記入欄( 19 )にマークしなさい。,IPv4と共存できる。,16進数表記が利用される。,256ビットで構成されている。,セキュリティ機能がサポートされている。,IPv4のIPアドレス枯渇問題が誕生の背景にある。
18,IPv4で29ビットのサブネットマスクの表記として正しいのはどれか。解答記入欄( 20 )にマークしなさい。,255.255.0.0,255.255.192.0,255.255.255.0,255.255.255.248,255.255.255.252
19,OSI参照モデルの第1層においてデータを中継する装置はどれか。解答記入欄( 21 )にマークしなさい。,ルータ,リピータ,スイッチ,ブリッジ,ゲートウェイ
20,信号の符号化方式としてプロードバンド伝送方式に分類されないのはどれか。解答記入欄( 22 )にマークしなさい。,ADSL,CATV,FTTH,FWA,ISDN
21,通信内容を暗号化する機能のないプロトコルはどれか。解答記入欄( 23 )にマークしなさい。,SSH,SSL,PPTP,SMTP,Ipsec
22,DNSについて正しいのはどれか。解答記入欄( 24 )にマークしなさい。,電子メールを配信する。,ドメイン名とIPアドレスの対応付けをする。,要求に応じてIPアドレスを自動的に割り当てる。,ブラウザからの要求を受けてコンテンツを送り返す。,プライベートIPアドレスをグローバルIPアドレスに変換する。
23,以下のURLに関する説明として誤っているのはどれか。解答記入欄( 25 )にマークしなさい。http://www.jami.jp:8080/hcit/index.html,ファイルはhcitディレクトリに存在する。,ファイル名はindex.htmlである。,サーバアクセスキーは8080である。,通信プロトコルはHTTPである。,サーバ名はwww.jami.jpである。
24,以下はデータベースに関する記述である。(　)に入る用語を語群から選び、解答記入欄( 26 )~( 27 )にマークしなさい。,"""( 26 )1,( 27 )2""","""( 26 )2,( 27 )3""","""( 26 )3,( 27 )4""","""( 26 )4,( 27 )5""","""( 26 )5,( 27 )6"""
25,患者番号、患者氏名、診療科コード、診療科名、受診日、請求金額の項目を持っ関係データベースを作る場合、第3正規形として得られる表の項目の組み合わせはどれか。解答記入欄( 28 )にマークしなさい。,1),2),3),4),5)
26,SQLはどのモデルに基づいて作られたか。解答記入欄( 29 )にマークしなさい。,階層モデル,関係データモデル,3層スキーマモデル,ネットワークモデル,オブジェクト指向モデル
27,表Aと表Bからなる関係データベースがあり、表Aには表Bへの外部キーが設定されている。参照整合性が保証されない操作はどれか。解答記入欄( 30 )にマークしなさい。,表Aの行を削除する。,表Bの行を削除する。,表Bに新しい行を追加する。,表Aの主キー以外の列を追加する。,表Bの主キー以外の列を追加する。
28,SQLの演算子の説明として誤っているのはどれか。解答記入欄( 31 )にマークしなさい。,NULLは空白(またはゼロ値)を抽出する。,BETWEENはある範囲のデータを抽出する。,ORDER BYは列の値により昇順(降順)に並べ替える。,GROUP BYは指定した行(列)をまとめてグループ化する。,HAⅥNGはグループ化された結果に対して検索条件を実行する。
29,以下のSELECT文を実行した結果の表で、先頭に来るのは何か。解答記入欄( 32 )にマークしなさい。,NULL,AB商事,A薬品株式会社,G薬局,X薬品
30,データベースの回復時、バックアップテープからデータをリストアした後、バックアップ時以降の更新を反映させ最新の状況にする方法はどれか。解答記入欄( 33 )にマークしなさい。,リブート,デッドロック,イニシャライズ,トラックバック,ロールフォワード
31,データマイニングに関する記述として正しいのはどれか。解答記入欄( 34 )にマークしなさい。,データの形式を統一すること。,常に最新のデータに置き換えること。,大量データから隠れた規則や関係を抽出すること。,組織的な意思決定支援に利用するためにデータを抽出すること。,用途ごとにデータを切り出して、データベースに再格納すること。
32,4名の人がお互い秘密に通信文を送受信する場合、公開鍵暗号方式で必要な鍵はいくつか。解答記入欄( 35 )にマークしなさい。,4,6,8,12,16
33,情報セキュリティに関する三大要件は、「完全性」と「機密性」ともう1つはどれか。解答記入欄( 36 )にマークしなさい。,効率性,見読性,安全性,可用性,耐久性
34,以下の(　)内に当てはまる用語を語群から選び、解答記入欄( 37 )~( 39 )にマークしなさい。,"""( 37 )4,( 38 )6, ( 39 )1""","""( 37 )5,( 38 )7, ( 39 )2""","""( 37 )4,( 38 )6, ( 39 )3""","""( 37 )5,( 38 )7, ( 39 )1""","""( 37 )3,( 38 )8, ( 39 )2"""
35,公開鍵方式暗号について正しいのはどれか。解答記入欄( 40 )にマークしなさい。,暗号化・復号に同じ鍵を使う。,平文と暗号文の長さは常に等しい。,秘匿性の低い通信路で鍵を送信できる。,代表的なアルゴリズムにAESがある。,秘密鍵方式に比べ、暗号化・復号の処理速度が速い。
36,以下の(　)内に当てはまる用語を語群の中から選び、解答記入欄( 41 )~( 43 )にマークしなさい。,"""( 41 )1,( 42 )4,( 43 )7""","""( 41 )2,( 42 )6,( 43 )8""","""( 41 )3,( 42 )5,( 43 )7""","""( 41 )2,( 42 )4,( 43 )8""","""( 41 )3,( 42 )5,( 43 )7"""
37,情報システムの不正利用に該当しないのはどれか。解答記入欄( 44 )にマークしなさい。,コンテンツを所有者の許可なく書き換えた。,ユーザIDとパスワードを第3者に提供した。,セキュリティホールを利用してサーバにアクセスした。,利用者の要請に基づき管理者がパスワード変更を代行した。,院内LAN経由で他人のユーザIDを無断使用してサーバへログインした。
38,システム開発のプロセスモデルに関する記述で誤っているのはどれか。解答記入欄( 45 )にマークしなさい。,インクリメンタル・モデルでは、同時開発の規模を最小限に抑制できる。,インクリメンタル・モデルでは、サブシステムに分割し独立して開発を進める。,ウォータフォール・モデルでは、最終工程でのみレビューを行う。,ウォータフォール・モデルでは、上流工程から下流工程へ逆戻りしないように進める。,プロトタイピング・モデルでは、試作システムを作り要求仕様を明確にする。
39,以下の(　)に当てはまる用語を語群から選び、解答記入欄( 46 )~( 49 )にマークしなさい。,"""( 46 )8,( 47 )4,( 48 )1, ( 49 )2""","""( 46 )9,( 47 )6,( 48 )4, ( 49 )3""","""( 46 )10,( 47 )5,( 48 )7, ( 49 )3""","""( 46 )9,( 47 )1,( 48 )2, ( 49 )6""","""( 46 )10,( 47 )5,( 48 )3, ( 49 )2"""
40,以下のネットワーク図でクリティカルバスはどれか。番号を解答記入欄( 50 )にマークしなさい。,①→②→③→⑤→⑦,①→②→③→⑥→⑦,①→②→④→⑥→⑦,①→③→⑤→⑦,①→③→⑥→⑦
41,DFD(Data Flow Diagram)について正しいのはどれか。解答記入欄( 51 )にマークしなさい。,データ間の静的な関連性の分析に用いられる。,処理の時間的流れを図形を用いて描いたものである。,業務をデータの流れとプロセスの関係で図示したものである。,作成手順として個別処理からプロセス全体へと組み立てる。,ユーザの視点でシステムの機能的な流れを記述する記法である。
42,UMLで用いる図について誤っているのはどれか。解答記入欄( 52 )にマークしなさい。,クラス図はシステムをデータの視点から静的に記述する。,ユースケース図はシステムの個々の機能とユーザの関係を記述する。,オブジェクト図はオブジェクトやコンポーネントの物理的配置関係を記述する。,シーケンス図はオブジェクト間のメッセージの送受信関係を時系列で記述する。,アクティビティ図は一連の作業を構成するアクティビティ間の関係を記述する。
43,365日24時間運用のサーバ室の管理について適切なのはどれか。解答記入欄( 53 )にマークしなさい。,スプリンクラーを設置する。,いつでも誰でも入室可能としておく。,365日24時間、管理員を常駐させる。,自家発電設備からの電源供給を準備しておく。,室温調整は必要であるが湿度調整は不要である。
44,ネットワークトラブルの調査に用いられるコマンドとその機能の組み合わせとして誤っているのはどれか。解答記入欄( 54 )にマークしなさい。,ifconfig ― 端末のIPアドレスを表示する。,nslookup ― ログを参照する。,ping ― 通信先端末の反応を確認する。,telnet ― サーバへの接続可否を確認する。,traceroute ― 途中経路を調べる。
45,個人認証用パスワードの取扱いとして適切でないのはどれか。解答記入欄( 55 )にマークしなさい。,定期的に変更する。,メモ等に記録しない。,他人に貸与、譲渡しない。,自分の名前と数字で構成する。,初期パスワードは直ちに変更する。
46,障害発生時に故障部分を切り離したシステムの運転はどれか。解答記入欄( 56 )にマークしなさい。,フェイルソフト,フールプルーフ,フォールバック,フェイルセーフ,ホットスタンバイ
47,業務用パソコンでウイルスに感染したとのメッセージが表示された場合、利用者の適切な対応はどれか。解答記入欄( 57 )にマークしなさい。,直ちにパソコンの電源を落とす。,直ちにデータバックアップを行う。,動作が正常なら、そのまま使用する。,直ちにパソコンからLANケープルを外す。,原因を追及してからシステム管理者に連絡する。
48,システム監視項目のうち数値が大きい方がよいのはどれか。解答記入欄( 58 )にマークしなさい。,平均故障間隔,データ転送時間,ロック待ち時間,入出力待ち時間,レスポンスタイム
49,MTBFとMTTRがともに2倍になったとき稼働率は何倍になるか。解答記入欄( 59 )にマークしなさい。,0.25倍,0.5倍,1倍,2倍,4倍
50,以下の説明文の①~③に当てはまる用語の正しい組み合わせはどれか。解答記入欄( 60 )にマークしなさい。,①信頼性、②安全性、③効率性,①安全性、②効率性、③信頼性,①効率性、②信頼性、③安全性,①信頼性、②効率性、③安全性,①安全性、②信頼性、③効率性
