2009IS,問題文,選択肢,,,,
14,観血処置の比率が高い歯科・口腔外科の外来診療予約システムで、患者情報として表示すべき内容でもっとも重要度が高いのはどれか。解答記入欄( 14 )にマークしなさい。,感染情報,薬剤禁忌情報,妊娠区分情報,食物禁忌情報,安静度区分情報
15,業務フローを検討するにあたり病理部門システムともっとも関連する部門はどれか。解答記入欄( 15 )にマークしなさい。,輸血部,薬剤部,内視鏡部,集中治療部,放射線治療部
16,検体検査に関する部門システムについて誤っているのはどれか。解答記入欄( 16 )にマークしなさい。,1つの検査オーダに対して複数の検体番号を管理する機能が必要である。,検査結果の報告は分析機器から電子カルテシステムへ直接送信する方式が主流である。,基準値マスタは性別・年齢の他に、測定方法・分析機毎の設定に対応できる必要がある。,標準的なデータ交換規約としてHL7に準拠した「JAHIS臨床検査データ交換規約」がある。,臨床検査マスタのJLAC10コードは分析物5桁、識別4桁、材料3桁、測定法3桁から成る。
17,手術申込オーダで、もっとも優先度が低い入力項目はどれか。解答記入欄( 17 )にマークしなさい。,病名,手術術式,手術予定日,手術同意書,仕様予定器材
18,輸血部門システムに関する記述のうち誤っているのはどれか。解答記入欄( 18 )にマークしなさい。,血液製剤の有効期限を管理する。,血液製剤の副作用履歴を管理する。,特定生物由来製品の投与歴を20年間保管する。,患者の血液型と異なる血液型の血液製剤を出庫することはない。,溶血性輸血副作用の防止のため不規則性抗体の検査歴を管理する。
19,オーダ工ントリシステムに関する記述のうち正しいのはどれか。解答記入欄( 19 )にマークしなさい。,検体検査オーダでは病歴サマリが必ず伝送される。,給食オーダでは入院中にオーダ内容を変更する機能はない。,処方オーダでは会計終了まで薬剤部に処方情報は伝送されない。,注射オーダでは1本渡し運用は病棟の注射薬在庫を減らす効果がある。,放射線検査オーダではDICOMサーバに送られたのち放射線部門システムに伝送される。
20,クリニカルバスについて誤っているのはどれか。解答記入欄( 20 )にマークしなさい。,在院日数の短縮に役立つ。,退院計画作成の合理化につながる。,患者への説明用ツールとして有用である。,内容は医師のみで作成しなければならない。,バリアンスの分析は医療の標準化に役立つ。
21,診療録には傷病名の転帰を記載する必要がある。下記のうち、転帰に含まれないのはどれか。解答記入欄( 21 )に2つマークしなさい。,治癒,再発,死亡,中止,継続
22,変更がない限り医師による確認操作を要しないのはどれか。解答記入欄( 22 )に2つマークしなさい。,看護度の設定,定期処方オーダ,放射線照射のオーダ,入院病棟・病床の指定,定期的に行われる注射オーダ
23,医事会計システムについて正しいのはどれか。解答記入欄( 23 )に2つマークしなさい。,初来患者では、思者の基本情報の登録を行う。,医事会計システムの導入により、紙伝票は不要になる。,診療報酬明細書の病名欄には、疑い病名も含めて記載する。,医事会計システムとは、レセプト電算処理システムのことである。,医療費の自己負担額の計算は、全国で算定方式が統一されている。
24,臨床検査部門システムについて、正しいのはどれか。解答記入欄( 24 )にマークしなさい。,検査部門システムでは画像情報も扱う。,検査結果訂正の履歴の記録は不要である。,一つのオーダに対して結果の報告は1回のみである。,一つの依頼項目に対し結果情報の数は常に一定である。,検査材料容器に貼るバーコードラベルにはHL7規格が使われている。
25,看護師が使用するシステムの機能で誤っているのはどれか。解答記入欄( 25 )にマークしなさい。,注射オーダの代行入力を行う。,看護職員の勤務割りを作成する。,医師の指示を受け、その記録を行う。,PDAにバイタルサインの測定結果を入力する。,患者ごとの検査、処置、内服薬、注射、食事等の予定表を作成する。
26,病院情報システム導入にあたって誤っているのはどれか。解答記入欄( 26 )にマークしなさい。,各部門の業務フローを十分に調査した。,紙媒体で残る補助診療録の管理方法を決めた。,業務を一部システムの仕様に合わせてもらった。,個人や各部門対象にできる限り操作研修を行った。,利便性のため職種によるアクセス制限はしないことにした。
27,ITプロジェクトの失敗要因として、影響の小さいのはどれか。解答記入欄( 27 )にマークしなさい。,バグの発生,要求の膨張,導入目的が不明瞭,不十分なニーズ調査,システム化の対象範囲が不明瞭
28,無床の診療所において電子カルテシステムを構築する際に、現時点でもっとも必要とされない機能はどれか。解答記入欄( 28 )にマークしなさい。,経営分析,診療報酬計算,DICOM画像管理,DPCコーディング,外注検体検査結果取り込み
29,医療情報システムの導入管理で適切なのはどれか。解答記入欄( 29 )にマークしなさい。,システム完成直前であっても各部署の要求を受け付ける。,作成した仕様書に誤りがあった場合でもそのまま作業を進める。,各部署から仕様書にない独自の要望が上がった場合、即時に却下する。,作成した仕様書どおりに作業が進められていると信じてべンダ作業の監視は行わない。,各部署から独自の要望が上がった場合は変更に関する影響度を調査した上で対応を決定する。
30,大規模システムの安定した連続稼働を目標とした場合にもっとも必要性が低いのはどれか。解答記入欄( 30 )にマークしなさい。,サーバの二重化,サーバ室の空調設備,クライアントPCの冗長化電源,ネットワークスイッチと幹線の二重化,無停電電源装置や自家発電装置の導入
31,医療情報システムの開発をベンダに業務委託し、病院内に作業場所を確保して開発を行わせる場合、病院の情報システム担当者の行為として適切でないのはどれか。解答記入欄( 31 )にマークしなさい。,個人情報保護を含む機密保持契約を締結する。,開発用のパーソナルコンピュータを無償で貸し出す。,病院の情報システム担当者が持っていないノウハウや専門知籤を提供してもらう。,病院情報システムの開発について、べンダの担当者と打合せを行いながら開発を進める。,病院情報システムの開発について、病院の情報システム担当者の指揮命令下で開発を行う。
32,病院情報システムのトラブルについて誤っているのはどれか。解答記入欄( 32 )にマークしなさい。,発生を完全に防ぐことは難しい。,順調に稼働しているシステムに突然発生することがある。,発生防止に十分なコストをかければバックアップは不要である。,発生に十分備えるためにはシステム担当職員の育成が必要である。,発生防止にカけるコストが不十分であれば生じる損失が大きくなることが多い。
33,病院情報システムの利用者管理について誤っているのはどれか。解答記入欄( 33 )にマークしなさい。,職種毎に設定する操作権限の範囲は医療機関全体で決定する。,同一職種の同僚のIDを借りても医療関係資格に係る守秘義性の確保を担保する意味がある。,IDとパスワードによる電子力ルテのアクセス管理は、真正情報保護法に違反している。,職員本人の同意なしにアクセスログを監視する行為は、個人ューザ教育は不可欠である。,利用者に対する生体認証を完備してもセキュリティに係る務には違反しない。
34,電子力ルテを操作しているPCでウイルス検知のメッセージが表示された場合、利用者の最適な行動はどれか。解答記入欄( 34 )にマークしなさい。,PCはそのままにして、セキュリティの管理部門に連絡する。,PCの電源をOFFにして、セキュリティの管理部門に連絡する。,PCをネットワークから切り離して、セキュリティの管理部門に連絡する。,PCの画面のハードコピーを印刷して、セキュリティの管理部門に連絡する。,アンチウイルスツールでウイルスを駆除して、セキュリティの管理部門に連絡する。
35,システム担当者の行動として好ましいのはどれか。解答記入欄( 35 )に2つマークしなさい。,障害発生後、状況に変化はなかったが定期的に現状報告を行った。,障害発生時、詳細な情報が入手できるまで関係者への広報を控えた。,レセプト印字内容の確認のため、実物の写しをそのまま開発業者へ転送した。,障害発生時、緊急連絡網で定めていた最初の連絡先が不在だったので上位に連絡した。,問い合わせに対応するため個人ノートパソコンに全ユーザのIDとパスワードを保持した。
36,病院情報システムで日常点検をしなければならない保守項目として優先度がもっとも低いのはどれか。解答記入欄( 36 )にマークしなさい。,サーバ室の室内温度の点検,サーバに搭載されたディスク容量の残り,サーバに接続された全端末の起動開始時刻,バックアップメディアが正常に動作しているかの確認,サーバに記録したログ(システム、アプリケーションなど)の確認
37,システム障害への対応で誤っているのはどれか。解答記入欄( 37 )にマークしなさい。,障害の原因が分かるまでは、院内全体への放送はしない。,障害時の連絡先などの体制を決め、院内全体に周知しておく。,端末等の予備機を用意し、すぐに交換できるよう準備しておく。,障害の復旧見込み時刻によっては、伝票での運用に切り替える。,障害を発見したとき、診療への影響判断のための情報収集を打つ。
38,医療情報システムの端末について誤っているのはどれか。解答記入欄( 38 )にマークしなさい。,職員の個人所有パソコンの使用制限等を検討する。,ノートパソコンは、ワイヤー等で盗難防止の対策を取る。,業務に必要なソフトは、各職員の判断でインストールする。,USBメモリは使用制限等について院内で検討し方針を決める。,必要性やリスクを検討し、インターネットへの接続方針を定める。
39,ユーザ教育を行う場合にもっとも適切な方法はどれか。解答記入欄( 39 )にマークしなさい。,教育訓練はべンダが派遣したインストラクタに任せる。,マニュアルを作成せず教育訓練端末で自主的に訓練を行わせる。,職員が作成した運用操作マニュアルを全員に配布し、操作方法を覚えさせる。,業務に沿った運用操作マニュアルを作成し、実際の運用に則して訓練を行う。,べンダが作成した端末操作マニュアルを職員全員に配布し、操作方法を覚えさせる。
40,医療情報技師の役割のうち誤っているのはどれか。解答記入欄( 40 )にマークしなさい。,常日頃から各部署とのコミュニケーションを円滑に行っておく。,システムの障害が発生した場合、診療業務に影響が出ないよう努める。,各種マスタの維持管理を行う際は、必ずべンダの許可を得た上で行う。,ハードウェアの維持管理だけでなくソフトウェアの維持管理も行う必要がある。,システムの障害が発生した場合に備え、緊急時の対応についてべンダと決定しておく。
41,医療情報システムに関連する物品の廃棄方法で適切なのはどれか。解答記入欄( 41 )に2つマークしなさい。,データを記録したCDは専用のシュレッダーにて粉砕廃棄した。,不要になったパソコンはハードディスクを取り外し、本体のみ廃棄した。,不要になったUSBメモリは、10回以上フォーマットを行ってから廃棄した。,使用済み熱転写リボンは材質を確認し、プラスチックゴミとして分別廃棄した。,使用済みトナーカートリッジは材質を確認し、プラスチックゴミとして分別廃棄した。
42,情報システム監査について、監査請負者が作成する監査報告書の提出先として正しいのはどれか。解答記入欄( 42 )にマークしなさい。,依頼組織の長,依頼組織の経営陣,依頼組織の監査依頼者,依頼組織の会計部門責任者,依頼組織の情報システム管理部門責任者
43,セキュリティポリシーの作成管理について誤っているのはどれか。解答記入欄( 43 )にマークしなさい。,リスク分析を行った。,セキュリティ確保のための組織を作った。,基本方針や対策方法と実施手順を決めた。,ポリシーを第三者に知られないように厳重に保管した。,どのような情報があるか調査し、その重要性を決めた。
44,快適なVDT作業を行う環境として正しいのはどれか。解答記入欄( 44 )にマークしなさい。,ディスプレイ画面照度を可能な限り明るくする。,ディスプレイはその画面の上端を眼の高さとほほ同じにする。,一定時間ごとに休憩をとれば、1日の作業時間を制限する必要はない。,室温は、冬は暖かく(約28℃)、夏は涼しく(20~24℃)なるようにする。,眼とディスプレイの距離が30cmくらいになるよう、椅子の高さを調節する。
45,診療所の情報システムについて正しいのはどれか。解答記入欄( 45 )にマークしなさい。,ORCAは電子カルテシステムとしての要件を満たしている。,ワードプロセッサは診療所の電子カルテの要件を満たさない。,診療所の電子カルテシステムはインターネットにつなぐ必要がある。,診療所の電子カルテシステムは過去のカルテ参照に対応する必要はない。,電子カルテシステムは厚生労働省が認可したものを利用する必要がある。
46,介護保険制度について誤っているのはどれか。解答記入欄( 46 )にマークしなさい。,介護認定審査会が二次判定を行い、要介護度が判定される。,介護サービスにかかる費用のうち9割が介護保険から支払われる。,要支援者と判定されると、予防給付として介護予防サービスが受けられる。,介護施設に入所している人の居住費や食費の一部が介護保険から支払われる。,訪問調査の結果をもとに、コンピュータによる要介護度の一次判定が行われる。
47,地域における予防医学に用いられる情報システムでないのはどれか。解答記入欄( 47 )にマークしなさい。,市町村における健診結果管理システム,地域住民のがん検診を支える情報システム,地域での乳幼児健診を支える情報システム,休日や夜間の急患のための救命救急情報システム,地域健康診断やその評価のための統計解析システム
48,特定健康診査で実施される「基本的な項目」に含まれるのはどれか。解答記入欄( 48 )に2つマークしなさい。,胸部X線検査,身体測定(体重、腹囲),血糖検査(空腹時血糖またはHbA1c),貧血検査(赤血球、血色素量、ヘマトクリット値),脂質検査(中性脂肪、HDLコレステロール、LDLコレステロール)
49,労働安全衛生法で定められている企業の検診に用いられる情報システムで誤っているのはどれか。解答記入欄( 49 )にマークしなさい。,検診結果を健康保険組合に通知する義務がある。,検診結果や集計結果を事業所に通知しなければならない。,労働者によって異なる検診項目に対応しなければならない。,健康管理に用いるさまざまな指標を産業医に提供できることが望ましい。,特定保健指導の対象者の選択基準は健康保険組合の指示にしたがう必要がある。
50,特定健診・特定保健指導で誤っているのはどれか。解答記入欄( 50 )にマークしなさい。,特定保健指導は電子メールを用いて行うことができる。,特定健診の結果はXML形式のファイルで保険者に送られる。,特定健診の項目に保険者が独自の項目を追加している場合がある。,特定保健指導で電子メールなどを駆使すれば面接を行う必要はない。,特定健診の決済情報は健診事業者からXML形式で保険者に送られる。
51,わが国における遠隔医療システムの現状について誤っているのはどれか。解答記入欄( 51 )に2つマークしなさい。,離島やヘき地に対する医療支援として行われている。,ほとんどの病院に遠隔医療を行う設備が導入されている。,遠隔医療の一部については医療保険の対象となっている。,通信手段による在宅ケア支援は介護保険の対象となっている。,遠隔医療を継続可能な事業とするビジネスモデルの確立が課題である。
52,次の(　)内に入れるべき用語を下の語群の中から選び、解答記入欄( 52 )~( 54 )にマークしなさい。,"""( 52 )2,( 53 )6,( 54 )1""","""( 52 )3,( 53 )5,( 54 )2""","""( 52 )1,( 53 )3,( 54 )6""","""( 52 )5,( 53 )4,( 54 )6""","""( 52 )2,( 53 )4,( 54 )1"""
53,医療の標準化にもっとも関係しないのはどれか。解答記入欄( 55 )にマークしなさい。,IHE,HL7,POP3,DICOM,ICD-10
54,誤っているのはどれか。解答記入欄( 56 )にマークしなさい。,レセプト電算システムの傷病名マスタはICD-10に対応している。,米国病理学会が作成したSNOMED/CTの日本語版は存在しない。,診療報酬請求用の手術・処置コードにはICD-9-CMが使用される。,HOTコードは、同じ成分の薬剤を複数の会社が販売していても区別できる。,WHO(世界保健機関)が作成したICDに基づきわが国の死因統計が作成される。
55,(財)医療情報システム開発センターの標準病名マスタについて正しいのはどれか。解答記入欄( 57 )にマークしなさい。,あらゆる病名を網羅する方針が取られている。,ICD-10のすべての病名が標準病名マスタに含まれている。,レセプト電算処理マスタの病名コードと連携が取られている。,DPCコードの決定には、標準病名マスタの利用が必須である。,病名と修飾語の組合せにより自動的に正しいICD-10コードが決定できる。
56,次の用語の説明で誤っているのはどれか。解答記入欄( 58 )に2つマークしなさい。,IHE ― 病院業務フローの標準規格,EAN-128 ― 医療材料の管理に使うバーコード,J-MIX ― 電子保存された診療録情報の交換のためのデータ項目セット,HL7 ― 医療情報システムで医療情報保存に用いられる共通のデータ形式,DICOM ― 異なる装置、保存媒体の医用デジタル画像情報を相互に伝送するための規格
57,データウェアハウス、データマイニングに関して誤っているのはどれか。解答記入欄( 59 )にマークしなさい。,データマイニングでは発見的手法が用いられる。,データウェアハウスは診療業務に最適化されている。,データウェアハウスはデータの検索や抽出を容易にする。,データマイニングは多量のデータの電子的蓄積によって可能したものである。,データマートはデータウェアハウスのデータを用途別に分類となった。
58,データマイニングで必要としないのはどれか。解答記入欄( 60 )にマークしなさい。,欠損値の処理,データ形式の統一,データの割り付け,データの正規性の確認,異常値・外れ値の処理
59,経営指標の算出式について誤っているのはどれか。解答記入欄( 61 )に2つマークしなさい。,損益分岐点比率=固定費/変動費,労働生産性(年間)=年間付加価値額/年間平均職員数,病床利用率(年間)=年間延入院患者数/(病床数×365),入院1日あたり点数(年間)=年間入院総請求点数/年間延入院患者数,平均在院日数(年間)=(年間延入院患者数÷2)/(新入院患者数+退院患者数)
60,原価計算について正しいのはどれか。解答記入欄( 62 )に2つマークしなさい。,給与は変動費である。,原価計算には減価償却費を含めない。,原価計算には配賦基準を決める必要がある。,原価計算には物品の購入や消費情報が必要である。,原価計算は統一した物品コード体系が必要である。
