2013II,解答,解説
21,4,4)慢性肝炎は、B型、C型などの肝炎ウイルスの感染、自己免疫、薬剤、アルコールや代謝異常により肝実質の炎症が6カ月以上持続する状態で、高血圧との直接的な関係はない。1)、2)、5)高血圧は、脳、腎臓等の細動脈硬化を引き起こし、脳動脈の破綻(脳出血)、閉塞(脳梗塞)、腎機能の低下(腎硬化症)の原因となる。3)また、持続的な心負荷の増大により心不全の原因にもなりうる。
22,2.4,2)、4)小腸は十二指腸、空腸、回腸からなり、食物の消化と吸収が行われる。1)結腸は、大腸のうち盲腸と直腸の間の部分で、上行結腸、横行結腸、下行結腸、S状結腸からなる。3)盲腸は、回腸から大腸への開口部である回盲弁より下にあり、下端が盲端となっている大腸の一部分である。5)直腸は、S状結腸に続き肛門に至る大腸の終末部分である。
23,5,5)ヒトパピローマウイルスは、接触感染により伝搬し、子宮頸がんをはじめとする腫瘍を誘発するウイルスである。1)ノロウイルスは、伝染性の急性胃腸炎を引き起こすウイルスである。2)ロタウイルスは、主に冬季に乳幼児に自色の下痢症(乳児白色便性下痢症)を引き起こすウイルスである。3)アデノウイルスは、のどの風邪(咽頭炎)をはじめとして気管支炎、肺炎、結膜炎、下痢症などを引き起こすウイルスである。4)インフルエンザウイルスは、発熱などの全身症状、呼吸器症状を引き起こすインフルエンザの原因ウイルスである。
24,4,4)看護業務の範囲は、保健師助産師看護師法で「傷病者もしくはじよく婦に対する療養上の世話または診療の補助」と規定されている。看護業務のなかで、医師の指示を必要としないのは、療養上の指導を含む日常生活への支援に関する看護上の判断と実施である。1)注射、2)抜糸、3)検査の依頼、などは、診療の補助業務であり、医師の指示に基づいて行わなければならず、看護師の判断では行えない。5)急変時の気管内挿管が行えるのは医師・歯科医師・救急救命士のみで、看護師は医師の指示があっても行えない。
25,4,看護過程(nursingprocess)は、一般的な問題解決プロセスであり、ケアのニーズの5)アセスメント、1)診断、ケア計画の立案、ケアの2)実施、実施したケアの3)評価という要素によって構成される。4)治療計画は医師が立案するもので、看護過程には含まれない。
26,2.4,2)CEA(carcinoembryonic antigen:癌胎児性抗原)は、胎児消化管粘膜と共通の抗原性を有する糖蛋白であり、大腸がんや胃がんなどの消化器がんやそれらの転移により血中濃度が増加する代表的な腫瘍マーカーである。4)PSA(prostate-specinc antigen:前立腺特異抗原)は、前立腺上皮細胞内で産生される蛋自分解酵素で、前立腺がんにより血中濃度が早期から増加するため、前立腺がんのスクリーニング検査として用いられる。1)ASTは、主に肝細胞、筋肉、赤血球に存在する酵素で、肝炎などによる細胞の壊死により血中に逸脱して血清活性が上昇する。3)LDHは、体内のすべての細胞に存在する酵素で、急性肝炎、心筋梗塞、血液疾患などによる細胞壊死を反映して血清活性が上昇する。白血病等の悪性腫瘍でも活性が上昇するが、がんに特異性が高いわけではないので腫瘍マーカーには分類されない。5)HbA1cは、糖化されたヘモグロビンを測定する検査で、過去1カ月程度の糖尿病のコントロールの指標として用いられる。
27,4,4)クレアチニンは筋肉中のクレアチンの代謝産物で、腎臓の糸球体で濾過され尿細管での再吸収や分泌が少ないので、腎機能を評価する指標として用いられる。腎機能を正確に評価するためには糸球体濾過量(GFR)を測定しなければならないが、複雑な検査を行わなければ測定できないため、血清クレアチニン値を用いて推算した糸球体濾過量(eGFR)が代用される。1)アミラーゼは膵臓、唾液腺に存在する酵素で、これらの臓器の炎症や腫瘍により血清活性が上昇する。2)グロブリンは血漿蛋自のうちのアルブミン以外の蛋自の総称である。3)ビリルビンは体内でヘモグロビンなどのヘム蛋自の代謝産物として生成され(間接ビリルビン)、肝臓でグルクロン酸抱合され(直接ビリルビン)、胆汁に排泄される。溶血性貧血や肝胆道疾患で血中濃度が増加し、黄疸を生じる。5)ヘモグロビンは赤血球中に存在し、酸素を運搬する役割を担う蛋白質である。
28,2.4,放射線被曝はX線やν線・ベータ線などの電離放射線による被曝であり、X線発生装置やアイソトープ(核種)の使用で生じる。2)MRI検査は磁場とラジオ波、4)超音波検査は超音波を利用するため放射線被曝はないので、正しい。1)CT装置および5)血管造影検査はX線を、3)PET検査は陽電子消滅で放出されるγ線を利用するため被曝がある。
29,1,磁場により変化した原子核のスピンが復する時に発生する電磁波(ラジオ波)をコイルで受信して画像化する。発生する磁場は1.5T(テスラ)以上が一般的で強力であり、金属類(磁性体)の持込は制限される。放射性同位元素や外部からの放射線照射は使用しないので1)は誤りである。2)～5)は正しい。なお、3)の特徴から脳血管撮影などに日常的に利用されており、MRA(MR血管撮影)と呼ばれる。4)は、正確には体内の水素原子のスピンの復元時に電磁波が放出される、の意味である。
30,5,5)吸入剤とは、液状の薬を霧状にして吸いこませるタイプの吸入器、ガスの圧力で薬を噴射する吸入器、粉末状の薬を吸いこませるための吸入器などを用いて、薬を直接気道に作用させる薬物のことであり、経口投与によって全身または消化管の局所に作用させることを目的に作られた内服薬とは異なる。1)錠剤とは一定形状に固めた医薬品のことである。2)散剤とは粉末状の医薬品のことである。3)液剤とは液体状の医薬品のことである。4)顆粒剤とは、散剤より粒子の大きな、粒のそろった顆粒状の医薬品のことである。
31,1.4,医師は、医師法第22条によって処方せんを交付する義務を有している。処方せんの記載内容は、医師法施行規則第21条によって「患者に交付する処方せんには患者の氏名、年齢、薬名、分量、用法・用量、発行年月日、使用期間、及び病院若しくは診療所の名称および所在地または医師の住所を記載し、記名押印または署名しなければならない」と定められている。したがって、1)と4)は正しい。2)体重、3)薬剤の適応、5)検査結果は、処方せんの必須記載項目とはなっていないので、いずれも判断できない。
32,1.4,麻薬および向精神薬取締法、薬事法で分類ごとの管理方法が規定されている。施錠が必要なものは、1)毒薬、4)向精神薬である。2)劇薬、3)治験薬、5)生物学的製剤については、保管の際の施錠は規定されていない。
33,2,根治的治療とは、病気の原因を取り除くことによって根本的に治すことを目的とした治療をいう。2)姑息的治療とは、対象とする疾患の根治を目指す治療以外の全ての医療行為を指す。1)薬物治療は、薬を使用して、病気の治癒、または患者のQOLの改善などを目指す治療である。すべての薬物治療が根治を目的とはしていないが、根治を目的とした薬物治療もある。3)観血的治療とは、外科手術など出血を伴う治療・処置のことである。4)侵襲的治療とは、生体を傷つけるようなことを伴う治療・処置のことである。5)放射線治療は、たとえば食道がんなどのがん病巣に放射線を照射(多くは抗悪性腫瘍薬を併用)して病巣を退縮させる治療法で、根治線量を照射して根治を目的とすることも少なくない。
34,1.3,麻酔法は、局所麻酔、伝達麻酔、全身麻酔に大別される。したがって、1)局所麻酔、3)全身麻酔は、伝達麻酔には含まれない。伝達麻酔は、麻酔薬を注入して神経を麻酔することによって、その神経の支配領域全体を麻酔するもので、2)脊椎麻酔、4)硬膜外麻酔、5)神経ブロックなどが含まれる。
35,2.3,2)心筋梗塞は冠動脈の開塞や狭搾に基づく疾患でカテーテルによる拡張術やステント治療が行われる。3)肝細胞がんは肝動脈からの血流を受けるためカテーテル塞栓術による治療が行われる。よって、2)、3)が正解となる。1)自内障は眼球の水晶体の疾患、4)気管支喘息は気管支(気道)の疾患、5)関節リウマチは関節の疾患であり、いずれも血管と直接の関係はない。
36,3,3)内科診療では、原則としてまず問診(医療面接)により患者、家族から主訴や病歴を聴取し、その後に視診、触診、打診、聴診などの身体診察を行い、必要に応じて診断を確定するための検査を行う。
37,4,間診では、1)現病歴(現在の疾病の発生状況・経過)、2)既往歴(患者が過去に罹患した疾患)、3)家族歴(患者の血縁親族の疾患)、5)アレルギー情報(患者のアレルギーの有無)など、検査で得られない情報を聴取する。4)血液型は、患者の申告が正しいとは限らず、また輸血事故防止の観点から正確な検査により確認する必要があるので、間診が主な情報源とはならない。
38,4,4)クリニカルパス(クリティカルパス)は、患者に必要な治療・検査やケアを縦軸に、それらを提供する時間(日付)を横軸にとって、患者に最適と考えられる医療の介入内容を示した、診療スケジュールのことである。通常、クリニカルパスは、医師をはじめとする医療スタッフが合意を形成し、病院ごとに、疾患ごとに作成される。1)、3)、5)は、クリニカルパスの医療上の有用性を述べたものである。2)クリニカルパスの日標は、患者ケアの質的向上と効率化であるが、当然、日標が達成できないこともある。
39,4,4)介護保険では、40歳から第2号被保険者として介護保険料を負担し、65歳から第1号被保険者として介護サービスを受給できる。よって、4)が正解である。1)介護保険の自己負担は、現在1割(今後、収入により2割へ)である。2)要介護認定は市町村が行う。3)介護度は、要支援2段階(要支援1、要支援2)、要介護5段階(要介護1から要介護5)の計7段階に分けられる。5)被保険者は40歳以上である。
40,3,SOAPとは、問題志向型医療記録の一般的な記録形式のことで、解決すべき問題毎に、S(Subiective)の記述枠に患者の訴え、O(Objective)の記述枠に身体所見・検査結果、A(Assessment)の記述枠にS枠とO枠のデータを基に記録者が行った評価、P(Plan)の記述枠にA枠の内容に基づいた行われるべき検査、治療、教育方針を整理して記述する。したがって、3)問題点はSOAPには含まれない。1)評価はAの記述枠に記述される。2)計画はPの記述枠に記述される。4)主観的情報はSの記述枠に記述される。5)客観的情報はOの記述枠に記述される。
41,3,患者基本情報は、患者を特定するための個人情報であり、疾患とは無関係である。よって、3)既往歴は患者基本情報には含まれない。なお、5)連絡先電話番号は当該患者の医療遂行上必要な情報であり、患者基本情報に含まれる。
42,2,2)現病歴は、主訴を含む症状の発現日時、様式、部位、程度、持続時間、随伴症状、増悪・寛解因子、経過などを記録したもので、疾患名ではない。1)、3)、4)、5)は正しい。
43,3,3)地域がん登録事業では、「国際疾病分類―腫瘍学第3版(ICD-O-3)」を用いて分類することが定められている。1)地域がん登録の実施主体は都道府県である。2)2006年に成立した「がん対策基本法」のなかで、国として全国的な整備を進める方向性は示されているが、地域がん登録の文言は直接明示されていない。4)外科的治療の有無は地域がん登録の標準登録票項目(共通収集基本項目)に指定されているが、手術術式は標準登録票項目に指定されていない。5)地域がん登録は協力する医療機関のみが行っており、すべてのがん患者が登録されているわけではない。注)2013年12月に成立した「がん登録等の推進に関する法律」によって、病院または都道府県知事により指定された診療所の管理者に原発性のがんについて届け出が義務付けられた。
44,2.3,2)、3)ICD(Internaional Statistical Classification of Diseases and Related Health Problems)は、死因や疾病の国際的な統計基準として世界保健機関(WHO)によって公表されている分類で、現在の最新版は、1990年の第43回世界保健総会で採択された第10版(ICD-10)である。1)ICD-10は、大きく全身症、解剖学的系統別疾患、分娩・奇形・新生児疾患、症状・兆候、傷害・外因、傷病の外因、保健サービス、および特殊目的に体系化されている。4)DPCでは、コーディングの際の主傷病名、入院の契機となった傷病名、入院時併存症、入院後合併症などの傷病名にICD-10を用いるルールがある。したがって、DPCのコード体系には含まれない。5)手術・処置の標準コードは、ICD-9-CM(International Classification of Diseases 9th Revision Clinical Modification)であり、これはICD-9をもとに米国で作られたもので、疾病分類と医療行為分類の2つの分類をもつ。
45,2,2)2007年の医療法改正により病院が備えておくべき「診療に関する」記録に「看護記録」が追加された。医療法による「看護記録」の保存義務年限は2年間である。1)手術記録、4)検査所見記録は、医療法施行規則では2年間、保険医療機関及び保険医療養担当規則(療養担当規則)では3年間保存しなければならない。3)処方せんは、薬剤師法では3年間の保存義務があるが、医療法施行規則では2年間、療養担当規則では3年間、医師法では診療録に含まれる記録として5年間の保存義務がある。5)診療録の保存義務年限は、医療法ではなく医師法で定められている。
46,4,分散とは、偏差(各データと平均値との差)の二乗の期待値で、偏差の二乗和を標本数で割った標本分散、または(標本数-1)で割った不偏分散として計算される。各値の平均からのばらつき方が増し、偏差が増せば分散の値は大きくなる。標準偏差は分散の正の平方根なので、ばらつきが増せば、当然、標準偏差の値も大きくなるため、4)は誤りである。1)、2)、3)、5)は定義そのままである。
47,5,統計学的仮説検定では、検定のための有意水準を設定し、研究目的に合った対立仮説(たとえば新薬は従来の薬より効果的)に対して、それを否定する帰無仮説(新薬の効果は従来と差がない)を立て、帰無仮説のもとで検定統計量がその仮説の棄却域に含まれた場合、帰無仮説を棄却して差があったという対立仮説を採択する。したがって、5)は誤りである。
48,5,医療情報サービスMinds[厚生労働省委託事業:EBM(根拠に基づく医療)普及推進事業]の診療ガイドライン作成の手引き2007によれば、エビデンスレベル分類は、質の高い順に1.システマテイック・レビュー/RCTのメタアナリシス2.1つ以上のランダム化比較試験による3.非ランダム化比較試験による4.分析疫学的研究(コホート研究)5.分析疫学的研究(症例対照研究、横断研究)6.記述的研究(症例報告はケース・シリーズ)7.患者データに基づかない、専門家委員会や権威者の意見となっている。したがって、もっとも信頼度が高いのは、5)複数のランダム化比較試験のメタ分析である。
49,5,5)特異度とは非疾患群における検査結果の陰性率のことで、d/(b+d)として計算する。特異度が高いということは偽陽性率が低いことを意味し、検査陽性であれば疾患に罹患している可能性が高い。1)a/(a+b)は検査陽性者中の真陽性者の割合であり、陽性予測値と呼ばれる。2)a/(a+c)は、疾患群の検査陽性率であり、感度と呼ばれる。3)b/(a+b)は、1-陽性予測値を示す。4)c/(c+d)は、1-陰性予測値を示す。
50,4,4)公正性が担保される必要があるので、治験依頼者が監査に従事することは適切ではない。1)～3)の被験者の権利は、ヘルシンキ宣言に規定されている。5)治験実施医療機関の長への有害事象の報告は、「医薬品の臨床試験の実施の基準に関する省令」に定められている。
