2013JS,解説,解答
11,3,"""アナログデータをデジタルデータに変換した場合の1秒間のデータ量は、サンプリング周波数×量子化ビット数で求められる。この問題の場合1kHz(1,000Hz)×8(ビット) = 8,000(8キロ)ビットとなり、10秒間では8,000(ビット)×10(秒) = 80,000(80キロ)ビットとなる。8ビットは1バイトなので、この値を8で割ると3)10キロバイトとなる。"""
12,2,非可逆圧縮方式とは、データを復元したときに完全には元に戻らない圧縮方式で、画像や動画像など一部が欠損しても問題のないデータの圧縮方式として用いられる。代表的なものに2)予測符号化方式がある。1)、3)、4)、5)は可逆圧縮方式である。圧縮前のデータと復元したデータが完全に一致する圧縮方式で、プログラムや文字データなどの圧縮に用いられる。
13,5,5)IEEE802.11nの周波数帯域は2.4GHzまたは5.2GHzである。最大伝送速度は600Mbpsであり、実行伝送速度は100Mbpsから200Mbpsである。1)ZigBeeはIEEE802.15.4規格を用いた通信方式である。複数の周波数帯域が割り当てられているが、実際に使用できるのは2.4GHzであり、最大伝送速度は250kbpsである。2)Bluetoothの周波数帯域は2.4GHzであり、最大伝送速度はバージョンによって異なる。最新バージョン4.0の最大伝送速度は1Mbpsである。3)IEEE802.11aの周波数帯域は5.2GHzであり、最大伝送速度は54Mbpsである。4)IEEE802.11gの周波数帯域は2.4GHzであり、最大伝送速度は54Mbpsである。
14,2,2)光ファイバケーブルを用いた通信は、石英もしくは樹脂を用いて作られた光ファイバ中にレーザー光を通すことで行う。したがって、通常は電磁波の影響を受けることはない。1)光ファイバには、その構造によリシングルモード、マルチモードという区分はあるが、ツイストペアケーブルのようなカテゴリという区分はない。3)光ファイバは、その材質によって最小半径が定められており、それより小さい曲線にすると折れる恐れがある。したがって、自由に折り曲げることはできない。4)、5)光ファイバは1芯につき1方向の光を用いて通信を行う。したがって、3芯にする必要はない。また、クロスケーブルやストレートケーブルという区分はない。
15,5,5)第7層はアプリケーション層であり、アプリケーションサービスを提供する。1)通信のセッション管理はセッション層(第5層)で行われる。2)データを物理信号に対応させるのはデータ・リンク層(第2層)である。3)データの表現形式はプレゼンテーション層(第6層)で規定する。4)ネットワーク間の経路制御はネットワーク層(第3層)で行われる。
16,5,ネットマスクはIPv4において32bitで表現されるアドレスのネットワーク部とホスト部の境界を決定する。2進数で表現した場合、ネットマスクはネットワーク部にあたる長さまで左から1を詰めた形である。通常はそれを8ビットずつ10進数に変換して表現する。したがって、この原則から外れるものを選択すればよい。5)2進数に変換すると11111111.11111111.01110000.00000000であり、途中に0が入るため誤りである。1)2進数に変換すると11111111.11111111.11111111.11100000であり、正しい形式(ビット長27bitのマスク)である。2)2進数に変換すると11111111.11111111.11111111.00000000であり、正しい形式(ビット長24bitのマスク)である。3)2進数に変換すると11111111.11111111.11110000.00000000であり、正しい形式(ビット長20bitのマスク)である。4)2進数に変換すると11111111.11111111.11000000.00000000であり、正しい形式(ビット長18bitのマスク)である。
17,5,5)RARP(Reverse Address Resolution Protocol)は、物理的アドレス(Media Access Control Address、MACアドレス)からIPアドレスを問い合わせるためのプロトコルである。1)ARP(Address Resolution Protocol)は、IPアドレスから通信相手の物理的アドレス(MACアドレス)を知るためのプロトコルである。2)DHCP(Dynamic Host Configuration Protocol)は、ホストのネットワーク設定を自動化する仕組みで用いるプロトコルである。ホストをネットワークに接続した際、サーバから自身のIPアドレスやDNS(Domein Name System)サーバの設定が自動的に取得される。3)DNS(Domain Name System)は、ホストにつけられたホスト名またはドメイン名とIPアドレスの割り当てを管理するシステムである。4)ICMP(Internet Control Message Protocol)は、IPを用いた通信において誤り通知や通信に関する情報通知に用いるプロトコルである。
18,3,3)リピータは、信号の増幅や整形を行い、通信距離を延長する機能がある。第1層(物理層)における中継に用いられる。1)ルータは、パケットの宛先Pアドレスを参照して転送経路を決定する。第3層(ネットワーク層)における中継に用いられる。2)ブリッジは、パケット内のMACアドレスを見て転送の要否を判定する機能がある。第2層(データリンク層)における中継に用いる。4)ゲートウェイは、通信プロトコルによる通信内容を監査するものや、不正な通信を遮断するものなどがある。いずれも第4層(トランスポート層)から第7層(アプリケーション層)までの間の層における中継に用いる。5)スイッチングハブはL2スイッチとも呼ばれる。マルチポートブリッジとは異なり、複数の転送を同時に並行処理できる。ブリッジと同じく第2層(データリンク層)における中継に用いる。
19,2,2)NAT(Network Address Translation)はIPアドレスを変換する技術で、主に組織内で使われるプライベートIPアドレスをインターネット上で利用できるグローバルIPアドレスに変換する目的で主に使われる。これにより、ひとつのグローバルIPアドレスを複数の端末で共有できるためグローバルIPアドレスを有効利用できる。なお、グローバルIPアドレス同士、プライベートIPアドレス同士でも同様の変換は可能である。また、ポートもあわせて変換する技術はNAPTと呼ばれる。1)DNS(Domain Name System)はホスト名とIPアドレスを関連付ける仕組み、3)NIC(Network Interfoce Card)はコンピュータをネットワークに接続するためのインターフェースカード、4)UDP(User Datagram Protocol)はストリーム配信などによく使われる通信プロトコルのひとつ、5)UTP(Unshielded Twist Pair)はネットワークケーブルの種別のひとつである。
20,3,IMAP4(Internet Message Access Protocol Version 4)とPOP3(Post Office Protocol Version 3)は、ユーザ端末でメールサーバから電子メールを受信するためのプロトコルである。3)IMAP4は、5)POP3とは異なり、メールサーバ上のメールに直接アクセスし、閲覧・受信するメールを選択できる。なお、電子メールの送信にはSMTPが使われる。
21,1,VLAN(virtual LAN)は、物理的な接続ではなく、仮想的なネットワーク構成のことを表す。VPN(Virtual Private Network)とは異なり、通信データ、もしくはそのVLANに接続した端末上のデータを暗号化する機能はないので、1)は誤りである。
22,4,ネットワークアドレスのビット数が大きくなると、ホストアドレスのビット数は小さくなり、設置可能な端末数は少なくなる。IPv4は32ビットであるため、32ビットからネットワークアドレスのビット数を引いた残りがホストアドレスのビット数となる。また、実際に割当可能なIPアドレス数の算出には、ネットワークアドレスとブロードキャストアドレスの2つを考慮しなければならない。問題の表に示された端末の合計台数は23 + 6 + 7 + 18 + 9 = 63台であるため、全台が同一サブネットである場合に必要なIPアドレス数はネットワークアドレスとブロードキャストアドレスの2個を加えた65個である。65個のIPアドレスを割り当てることができるホストアドレスの最小ビット数は7ビットとなる。4)のネットワークアドレスが25ビットの場合、ホストアドレスのビット数は32 - 25 = 7ビットであるため、割り当て可能なIPアドレス数は2の7乗の128個となる。ここからネットワークアドレスとブロードキャストアドレスを差し引くと、ネットワークアドレスが25ビットの場合に設置可能な端末数は126台である。なお、1)の場合は1022台、2)の場合は510台、3)の場合は254台、5)の場合は62台となるので、4)が正解である。
23,3,DNS(Domain Name System)は、ホスト名とIPアドレスを関連付ける仕組みである。3)電子メールの送信時に、SMTPサーバ(送信サーバ)は、メールアドレスの@マークの右側に記載されるドメイン名(ホスト名)をDNSにより解析し配送する。1)はPAT(Port Address Translation)を意味している。2)はルータの主な機能、4)はDHCPサーバの機能である。5)にあるMACアドレスをIPアドレスから探索することはARPにより行え、得られたMACアドレスはARPテーブルに登録される。
24,2,P2Pはpeer to peerの略で、端末同士が直接接続して通信を行う方式のことである。インターネット上の多くのサービスはクライアントサーバ方式であり、どちらか一方がサービス提供側、一方がサービス利用側に分かれるが、P2Pではどちらも対等の関係になる。2)P電話は、音声をデジタル化してPネットワーク上に流して通話する方式でVoIP(Voice Over IP)が利用される。多くの場合、IP電話での通話開始時には番号(アカウント)を管理しているサーバに接続するが、通話が成立した後は、端末同士が直接接続し、通信が行われる。2)以外はクライアントサーバー方式のサービスである。1)ASPはインターネット上でアプリーケーションを提供するサービス、3)SaaSはソフトウェアの必要な機能だけをインターネット上で提供するサービス、4)プリンタ共有はプリンタ機能を提供するサービス、5)クラウドストレージはインターネット上でストレージ機能を提供するサービスである。
25,3.4,3)データベース設計においては、対象となる組織や業務をデータによって表現することになるが、最初に行うのが対象の構成要素やその属性を抽象化して表現する概念モデルの作成である。抽象化の方法として、実体と関連する概念で表現するERモデルがある。本設問ではERモデルの説明である4)も正解としたが、ERモデルは概念モデルのひとつであることを理解しておく必要がある。1)論理モデルのひとつである階層モデルの特徴である。2)論理モデルを具体的なデータベースシステムに実装するための物理モデルについての説明である。5)論理モデルのひとつであるネットワークモデルのデータベーススキーマの説明である。
26,削除,
27,1,「候補キー」とは、関係データベースにおける「表の中の個々のタプル(行)を一意に特定できる属性または属性の集合」である。1)1人の職員は1年間に1回以上の休暇をとる可能性があるので、「職員コード」だけでタプル(行)を一意に特定することはできない。例えば、問題の表では職員コードが「101」のタプル(行)は2つある。よって、「職員コード」は候補キーにならない。2)～5)は、これらの属性の組合せが同じ値になるタプル(行)は有り得ないので候補キーになり得る。
28,1,1)「真正性」とは、ある主体または資源が、主張どおりであることを確実にする特性のことで、利用者、プロセス、システム、情報などのエンティティに対して適用するものであり、情報セキュリティの要素のひとつである。データ以外の利用者、プロセス、システムについても適用されるもので、DBMSが管理する範囲を超えており、データの真正性を保証することはDBMSの役割ではない。2)～5)は、DBMSが提供する基本的な役割である。
29,3,SELECT文でデータの検索を行うとき、GROUPBY句でグループ化された対象に対してHAVING句で条件を絞ることができる。本設間のSELECT文では、「患者番号」でグループ化された対象(例えば、患者番号「30001」では3行がグループ化される)について、HAVING句で属性「検査A」の値の個数が2以上という条件(COUNT(検査A) >= 2)で絞り込んだ患者番号が出力される。したがって、患者番号「30001」と「30003」の2行が検索結果として出力される。よって、3)が正解である。
30,2,トランザクションのACID特性についての問題である。2)隔離性(Isolation)はACIDのIであり、実行中のトランザクション処理が他のトランザクション処理の影響を受けない性質をあらわす。1)一貫性(または整合性、Consistency)はACIDのCであり、トランザクション完了時のデータの一貫性をあらわす。3)原子性(Atomicity)はACIDのAであり、トランザクションは分離できないひとつの作業単位であることをあらわす。4)耐久性(Durability)はACIDのDであり、コミットしたトランザクション中のデータ操作は、その後の障害などで消滅しないことをあらわす。5)保存性は「電子保存の3基準」のひとつで、法令に定める保存期間内、復元可能な状態で保存することをあらわす。
31,2,データベースのトランザクションとは、アプリケーションやユーザから見た、ひとまとまりのデータベース操作の処理単位のことである。トランザクション処理の途中のどこかで異常終了した場合は、途中まで行われた処理を最初の状態に戻し(ロールバック)、当該処理はなかったものとして取り消し(アボート)、データの整合性を維持しなければならない。2)トランザクションの完了は、ファイナライズ(finalize)ではなくコミット(commit)といい、データがデータベースに正常に反映されたことを意味する。1)、3)～5)はいずれも正しい説明である。
32,3,情報セキュリティの3要素CIAのAについての問題である。3)可用性(Availability)とは、認可されたエンティティが要求したときに、アクセスおよび使用が可能である特性であり、CIAのAである。1)活動性(Activity)は、情報処理技術用語ではなく、一般的な単語として使われることが多い。カタカナ表記されるアクティビティ(Activity)は、PERTで利用されるネットワーク図で作業を表す矢印を指す用語として使われる。2)原子性(Atomicity)はトランザクションのACID特性のAである。4)真正性(Authenticity)と5)責任追跡性(Accountability)は、情報セキュリティの3要素CIAに追加された組織管理に対する要素のうちの2つである。
33,5,公開鍵基盤(PKI)では、認証局(Certincate Authority)が被認証者の公開鍵が適正なものであることを保証し、その証明としてデジタル証明書を発行する。すなわち、5)公開鍵が被認証者の所有する正当なものであることを保証するのが認証局の役割である。認証局が発行するのはデジタル証明書であり、1)秘密鍵、4)公開鍵、2)デジタル署名などを発行することはない。また、デジタル証明書の正当性を保証するが、3)IDやパスワードは保証しない。
34,1,共通鍵暗号方式では、2)同じ鍵(共通鍵)を用いて暗号化・復号を行う。そのため、3)通信相手ごとに異なる共通鍵を用意する必要がある。また、暗号化した鍵と同じ鍵で復号を行うため、4)厳重に鍵を管理しなければならない。5)暗号化・復号の処理は短時間で済む。1)電子署名には公開鍵暗号方式が用いられる。
35,2,ハッシュ関数は与えられたデータのサイズに関係なく固定長のハッシュ値を生成する。SHA-1で生成されたハッシュ値の長さは、もとのデータ(メッセージ)の長さにかかわらず160ビットである。したがって、2)が正解である。
36,3,SSL/TLSは、インターネット上で情報を暗号化して送受信するためのプロトコルである。TLSはTransport Layer Securityの略であり、セッション層(第5層)とトランスポート層(第4層)の境界で動作する。SSL/TLSを用いることによって、データの盗聴、改ざん、なりすましを防ぎ、機密情報を安全に送受信できるようになる。したがって、3)が正解である。HTTPS(Hypertext Transfer Protocol over SSL/TLS)はHTTPとSSL/TLSを組み合わせ、HTTPによる通信を安全に行う。
37,5,5)VPNはVirtual Private Networkの略で、カプセル化によるトンネリング、暗号化、認証といったセキュリティ技術を利用して設けられた仮想専用回線のことである。VPNサービスにより公衆回線をあたかも専用回線のように利用できる。1)LAN(Local Area Network)は構内通信網のことである。2)LTE(Long Term Evolution)は携帯電話の通信規格である。送信50Mbps以上、受信100Mbps以上の高速な通信が実現できるとされている。3)P2P(Peer to Peer)は、端末(コンピュータ)同士が一対一の対等の関係で通信する方式のことである。4)PPP(Point-to-Point Protocol)は2点間を接続してデータ通信を行うための通信プロトコルである。
38,4,4)ソーシャルエンジニアリングは、コンピュータやネットワークの技術を用いないで機密情報を入手する方法ことである。本人を詐称した電話によるパスワードの不正入手、ディスプレイに貼られたパスワードの盗み見などの行為がある。1)フィッシングは、正規の機関からのメールやウェブサイトを装い、暗証番号やクレジットカード番号などを詐取する詐欺行為のことである。2)ポートスキャンは、コンピュータのポートに順番にアクセスし、各ポートで動作しているサービスの状態を調べる行為である。3)DoSアタック(Denial of Service Attack)は、サーバやネットワーク機器に過剰な負荷を与えることによリサービスの低下あるいは停止を引き起こさせる行為である。5)クロスサイトスクリプティングは、Webサイトのセキュリティホールのために悪意のあるスクリプトが書き込まれると、そのサイトの訪問者に害を及ぼすなどが生じる脆弱性のことである。
39,2,この問題では「意味がない」という判断がどのような観点でなされるのかが記されていないため、選択肢から推測する必要がある。コンピュータウイルスの感染では感染拡大の防止や情報漏洩の防止を第一に考えるべきである。2)プリンタ設定を変更しても感染拡大の防止には役立たない。1)ウイルス感染によリパスワードが外部に漏れる可能性があるので、情報漏洩の防止としては効果がある。3)OSのアップデートで感染拡大を防止できる保証はないが、OSのセキュリティホールを減らすことは感染のリスクを減らすことに寄与する。4)感染したコンピュータをネットワークストレージから切り離すことは感染拡大の防止と情報漏洩のリスク低減に寄与する。5)新種のウイルス感染を防止することに役立つ。
40,1,アクセスログは、利用者がいつ、どこで、どの情報に対してどのような操作を行ったのか(しようとしたのか)を記録したものである。したがって、2)不正アクセスの検知、3)漏洩した情報にアクセスした利用者の特定、4)本来の業務以外のアクセスの検知などを行うことができる。こうした機能を周知することによって、5)不正アクセスを抑止することができる。一方で、アクセスログから偶然システム障害を検知できることがあるが、1)システム障害を検知することが本来の目的ではない。
41,2,システム開発においては、最初のステップでユーザが導入したいシステムの要求について技術的実現性、コストや納期の妥当性を踏まえて''要求分析''を行う。第2ステップである''外部設計''では、ユーザや外部システムに対してどのような機能やインターフェースを提供するのかを示す外部仕様書を作成する。第3ステップである''内部設計''では、具体的にシステム作成するための詳細な仕様を設計する。第4ステップである''プログラム設計''では、内部設計に基づいてプログラム処理の流れやデータの入出力、モジュールの設計を行う。第5ステップでは、''プログラム設計''をもとに''プログラミング''を行い、最終ステップでは、成果物の''テスト''を行う。
42,2,2)運用テストは、システム運用前に業務遂行に支障がないか確認するためにユーザとともに行う。したがって、運用と並行して運用テストを行うことはない。テストの順番は、3)単体テスト、1)結合テスト、4)システムテストと進み、運用前に2)運用テストを行う。
43,3,3)シーケンス図は、オブジェクト間の時間関係と同期・非同期を表す図で、通信の時系列を表す。1)ER図は、データベースに格納しようとする実際の内容を実体と関連させるという概念を図式化したものであり、UMLとは関係がない。2)クラス図は、機能や役割など同じ特性を持つオブジェクトを抽象化し、クラス名、機能、構成要素を図にしたものである。4)ユースケース図は、システムが外部に提供する機能やユーザが要求する機能・動作をユーザの視点で表したものである。5)コミュニケーション図は、オブジェクト間の相互作用を平面的に表したものである。
44,2,2)IDEはIntegrated Development Environmentの略で、開発効率を上げるのに必須の統合開発環境のことである。IDE上でプログラムの編集、コンパイル、デバックやテストなどが行える。1)DTDはDocument Type Definitionの略で、XMLにおいて文書構造を定義するために用いられる。3)PHPは、サーバ側でホームページを動的に生成するためのスクリプト言語である。4)UMLはUnified Modeling Languageの略で、図式化の標準化とオブジェクト指向によるアプリケーション開発の共通フレームワークの基盤である。5)PERTはProgram Evaluation and Review Techniqueの略で、プロジェクトのスケジュール管理手法のひとつである。
45,1,1)DFDは、要求分析中で用いられる構造化設計手法のひとつで、対象業務の処理に対するデータの流れを図で表したものである。具体的には、独立した処理をひとつのプロセスとして抽象化して表現し、これを複数の処理に分割していく作業を繰り返し、細分化できない段階まで分解して作成される。したがって、2)プロセスの処理能力は表現されない。3)実体間の関連はER図で表現する。4)データベースの物理構造はシステム分析とは関係がない。UMLにおいては、5)オブジェクトの相互関係はオブジェクト図で表現する。
46,4,4)バックアップは実際に行わなければ意味がないので、仮想はあり得ない。1)フルバックアップは、すべてのデータをバックアップすることである。2)増分バックアップは、フルバックアップの後に増えたデータだけをバックアップすることである。3)差分バックアップは、前回のバックアップから増えたデータだけをバックアップすることである。5)ログバックアップは、前回のバックアップ以降のログ情報をバックアップすることである。
47,4,4)SNMPはSimple Network Management Protocolの略で、ネットワーク機器の通信状態や設定情報を収集したり、ネットワーク機器の設定を変更したりするために使われるプロトコルである。1)HTTPはHyper Text Transfer Protocolの略で、HTMLで記述されたファイルを送受信するプロトコルである。2)ICMPはInternet Control Message Protocolの略で、IPを用いた通信における誤りメッセージや通信制御メッセージを通知するために使われるプロトコルである。3)SMTPはSimple Mail Transfer Protocolの略で、電子メールを読み書きするアプリケーションからメールサーバに電子メールを送信するプロトコルである。5)TFTPはTrivial File Transfer Protocolの略で、UDP(User Datagram Protocol)を使った簡易なファイル転送のプロトコルである。
48,1,1)回線使用率は、ネットワークシステムの性能指標である。2)CPU使用率はサーバのCPUの負荷状況、3)メモリ使用率はサーバのメモリの使用状況、4)ディスク使用率はサーバのハードディスクの使用状況を監視する指標である。5)レスポンスタイムは、端末から命令を出してサーバから応答が返るまでの時間であり、サーバの性能指標となる。
49,3,3)耐火金庫は、機密文書等の重要なものを保管し、火災が発生しても消失しないようにするものである。したがって、情報システムの障害対策という観点から考えると、3)耐火金庫は必要なものとはいえない。1)UPSの設置は、停電などで供給電力が停止する障害への対策である。2)情報機器の部品は耐久年数を過ぎれば故障するので、故障した時に直ちに交換できるようにしておく必要がある。4)サーバやネットワークのスイッチなどの重要機器では、電源供給を受ける電源ユニットを二重化することによって、2系統から電源供給を受けられるようにしておき、電源供給障害への耐性を強化する。5)ネットワークケーブルが誤って断線されたり、ネットワーク機器が故障したりした際に、各部署の端末機がすべて使えなくなることを防ぐために、2系統の配線を行っておくなどの対策である。
50,2,同じ故障率の装置が2台直列に繋がった処理システムなので、このシステムの稼働率はそれぞれの装置の稼働率のかけ算で決まる。この装置の稼働率は90時間(平均故障間隔) / (90時間(平均故障間隔) + 10時間(平均修復時間)) = 0.9なので、このシステム全体の稼働率は0.9×0.9 = 0.81となる。すなわち、2)が正解である。もし、2台の装置のどちらかが稼働していれば、処理システムとして機能提供できるような構成(並列接続)であれば、2台の装置が同時に故障した時だけシステムとして停止することになる。したがって、この場合には同時に故障する確率0.1×0.1 = 0.01を1から引いた確率0.99が稼働率となる。
