2013JS,問題文,選択肢,,,,
41,システム開発工程の順序で正しいのはどれか。番号を解答記入欄( 41 )にマークしなさい。,要求分析―内部設計 一外部設計 一プログラム設計 一プログラミングーテスト,要求分析一外部設計 ―内部設計 一プログラム設計 一プログラミングーテスト,要求分析一外部設計 一内部設計 一プログラミングープログラム設計 ―テスト,要求分析一プログラム設計 一外部設計 一内部設計 一プログラミングーテスト,要求分析―プログラム設計 一プログラミングー内部設計 一外部設計 ―テスト
42,開発工程のテストについて誤っているのはどれか。番号を解答記入欄( 42 )にマークしなさい。,結合テストはプログラム設計の検証となる。,運用テストは運用と並行して行うテストである。,単体テストはモジュール単位での動作確認テストである。,システムテストはスループットなどの性能の確認テストである。,テストは単体テスト、結合テスト、システムテストと進められる。
43,UML(Unined Modeling Language)の表記図のうち、オブジェクト間の通信の時系列を表す図はどれか。番号を解答記入欄( 43 )にマークしなさい。,ER図,クラス図,シーケ ンス図,ユースケース図,コミュニケーション図
44,ひとつのインターフェースでプログラムソースの編集、テスト、デバッグなどが行えるシステム開発の支援環境はどれか。番号を解答記入欄( 44 )にマークしなさい。,DTD,IDE,PHP,UML,PERT
45,システム分析で用いられるDFD(Data Flow Diagram)で表現されるのはどれか。番号を解答記入欄( 45 )にマークしなさい。,データと処理の関連,プロセスの処理能力,実体間の関連の表現,データベースの物理構造,オブジェクトの相互関係
46,データベースのバックアップの種類のうち存在しないのはどれか。番号を解答記入欄( 46 )にマークしなさい。,フルバックァップ,増分バックアップ,差分バックアップ,仮想バックアップ,ログバックアップ
47,ネットワーク機器の状態の監視 ・管理に利用されるプロトコルはどれか。番号を解答記入欄( 47 )にマークしなさい。,HTTP,ICMP,SMTP,SNMP,TFTP
48,サーバの性能監視対象項目でないのはどれか。番号を解答記入欄( 48 )にマークしなさい。,回線使用率,CPU使用率,メモリ使用率,ディスク使用率,レスポンスタイム
49,障害対策に必要でないのはどれか。番号を解答記入欄( 49 )にマークしなさい。,UPSの設置,交換部品の確保,耐火金庫の設置,電源ユニットの二重化,ネットワーク配線の冗長化
50,平均故障間隔が90時間、平均修復時間が10時間の装置を2つ直列に接続したシステムの稼働率はいくらか。番号を解答記入欄( 50 )にマークしなさい。,0.78,0.81,0.9,0.95,0.99
