2013IS,問題文,選択肢,,,,
29,病院情報システムにおける仮想化端末(シンクライアント)の活用目的にふさわしくないのはどれか。番号を解答記入欄( 29 )にマークしなさい。,院外からセキュリティを担保して電子カルテ情報を参照する。,端末の故障率の低減を図り、システムの運用コストの削減を図る。,電子カルテ端末でセキュリテイを担保してインターネットを参照する。,病棟および外来で使用途中の電子カルテを、そのまま別の端末で継続使用する。,端末に複数の医療機器や周辺機器を接続し、データやアプリケーション連携を密に行う。
30,情報システムの導入にあたってもっとも優先すべき事項はどれか。番号を解答記入欄( 30 )にマークしなさい。,個別事情,導入目的,病院長の意向,従来の業務フロー,職員の多い部署の意見
31,電子カルテシステムの導入にあたって必須となる事項はどれか。番号を解答記入欄( 31 )に2つマークしなさい。,利用者の教育,紙カルテの撤廃,代行入力者の採用,運用管理規程の作成,医療機器ベンダの統一
32,情報システム稼動前に実施する電子カルテシステムリハーサルの目的として正しいのはどれか。番号を解答記入欄( 32 )にマークしなさい。,現場からの要求仕様を可能な限り抽出すること。,プログラム単体のデータの流れをテストすること。,プログラム全体のデータの流れをテストすること。,部門システムとのインターフェースをテストすること。,運用、操作方法を周知し業務が行えるかをテストすること。
33,病院情報システムの導入スケジュールに遅れが生じ始めたときの対処として適切でないのはどれか。番号を解答記入欄( 33 )にマークしなさい。,遅れの原因を調査する。,必要に応じてスケジュールの変更を行う。,遅れた箇所の作業を全員で協力して行う。,遅れがプロジェクトにもたらす影響について確認する。,遅れが一時的なものなのか、今後も拡大していくものなのかを判断する。
34,病院情報システムの導入にあたって適切でないのはどれか。番号を解答記入欄( 34 )にマークしなさい。,リハーサルはベンダが中心となって企画する。,業務の流れにそった操作説明マニュアルを作成する。,要件仕様書は導入システムの規模がわかるように書く。,リハーサルでは各部門システムとの接続も確認する必要がある。,本番稼動でトラブルが発生した場合の運用方法についても決めておく必要がある。
35,病院情報システムのメンテナンス業務について誤っているのはどれか。番号を解答記入欄( 35 )にマークしなさい。,保守作業は病院関係者の了解のもとで行う。,情報システムの保守会社と守秘義務契約を結ぶ。,リモートメンテナンスの場合の保守の手順を作成する。,保守会社が個人情報を含むデータを組織外に持ち出す場合の手順を作成する。,保守要員が作業するときは、病院職員のアカウントを使用し、作業記録を残す。
36,サーパの時刻管理を必要とする理由にあたらないのはどれか。番号を解答記入欄( 36 )に2つマークしなさい。,時間外診療の医療費計算に影響する。,カルテ記載時刻の真正性が保てなくなる。,クライアントPCの時刻との同期が崩れる。,システム稼働中の時刻修正はOSの動作を保証しない。,データベースの更新ジャーナルに矛盾が生じて、復旧で使えなくなる可能性がある。
37,サーバ室の震災対策にもっとも関係が薄いのはどれか。番号を解答記入欄( 37 )にマークしなさい。,免震対策の実施,非常用電源の確保,個人認証方式の二重化,システム停止時の対応の策定,外部のデータセンターでのバックアップ
38,電子カルテシステムを中心とした病院情報システムを使用する際、法的に許される行為はどれか。番号を解答記入欄( 38 )にマークしなさい。,医事請求のために事務職員の判断で病名を変更する。,通常業務で看護師が医師のIDを用いて処方薬を請求する。,パスワードを忘れたので同僚のIDとパスワードでログインする。,患者が急変したので研修医が指導医の承諾をえずに処方をオーダする。,検査レポートの入力に他の職員がログインしている端末をそのまま用いる。
39,病院情報システムのユーザ管理・アクセス権管理について適切でないのはどれか。番号を解答記入欄( 39 )にマークしなさい。,強制的に定期的にパスワードを変更させる。,ユーザ認証にはICカードとパスワードを用いる。,新規のユーザには、病 院情報システムの研修を行う。,ユーザが退職した際には、速やかにユーザIDを削除する。,病院情報システムヘのアクセス・ログをとり、定期的にアクセス状況を点検する。
40,内科外来から電子カルテ端末が動かなくなったとの連絡が入った。状況を確認したところ、影響範囲は病院全体に及んでいた。原因としてもっとも考えにくいのはどれか。番号を解答記入欄( 40 )にマークしなさい。,サーバ用スイッチの故障,サーバのハードウェア障害,電子カルテソフトの不具合,ウイルス対策ソフトの不具合,クライアント端末のハードウェア障害
41,医療情報の漏えいの防止に有効でないのはどれか。番号を解答記入欄( 41 )にマークしなさい。,検疫ネットワークの設置,サーバなどの機器の二重化,職員へのセキュリテイに関する教育,電子カルテヘのアクセス権限設定の厳密化,SBメモリなど外部保存メデイアの使用禁止
42,病院情報システムの安全管理監査を実施する際の注意事項として誤っているのはどれか。番号を解答記入欄( 42 )にマークしなさい。,内部監査は病院の管理責任者が依頼する。,監査技法としてヒアリングやレビューがある。,監査の頻度は内部、外部合わせて数年に一度でよい。,内部監査の実施計画書に監査の具体的な内容を記載する。,監査人としては、組織上の独立性と知識としての専門性を有した人物を選ぶ必要がある。
43,「医療情報を受託管理する情報処理事業者向けガイドライン」において「原則として行うべきではない行為」とされているのはどれか。番号を解答記入欄( 43 )に2つマークしなさい。,利用者の接続記録を保管しておくこと,情報処理事業者施設において無線 LANを利用すること,ウェブブラウザの接続するサーバを業務上必要なサーバに限定すること,医療機関等とのネットワークとしてインターネットVPNを利用すること,情報処理事業者がリモートアクセスにより情報処理システムを運用管理すること
44,医療情報システムの運用管理規程に通常含まれないのはどれか。番号を解答記入欄( 44 )にマークしなさい。,病院の電源管理,苦情・質問の受付窓口,個人情報の記録媒体の管理の方法,理念(基本方針と管理 目的の表明),リスクに対する予防、発生時の対応
45,訪間看護を支える情報システムについて正しいのはどれか。番号を解答記入欄( 45 )にマークしなさい。,ノートパソコンと携帯電話が必須である。,訪問看護を行うとき情報システムが必須である。,在宅診療を行っている医療機関との連携が必要である。,連携診療所のシステムと同じものを使わなければならない。,訪間患者宅にネットワークに接続された端末が必要である。
46,特定健診制度について誤っているのはどれか。番号を解答記入欄( 46 )にマークしなさい。,検査方法を記載して報告しなければならない。,決済情報を保険者に送付する際にはXML形式のファイルが用いられる。,検査項目を電子的に記述するコードとしてJLAC10が採用されている。,特定健診の結果はネットヮークを介して保険者に提出しなければならない。,結果を保険者に報告する際にHL7 CDA R2L3規格に準拠したファイルが用いられる。
47,遠隔診療について正しいのはどれか。番号を解答記入欄( 47 )にマークしなさい。,新たな処方を発行することができる。,患者がメールで医師と相談することをいう。,画面を通じて患者を診断する際の画質が定められている。,今まで診療したことのない患者の診療を行ってはならない。,医師は患者と直接話をすることができれば電話で診療してもよい。
48,遠隔放射線診断について正しいのはどれか。番号を解答記入欄( 48 )にマークしなさい。,会社が遠隔放射線診断を業として受託できる。,被依頼施設への報酬額は診療報酬上で定められている。,依頼を受ける医師は放射線科の専門医でなければならない。,診断結果の責任は被依頼医師にあり、依頼した医師に責任はない。,依頼施設と被依頼施設の双方に同じ画像管理システムを導入する必要がある。
49,遠隔病理診断について正しいのはどれか。番号を解答記入欄( 49 )にマークしなさい。,診断する画像の質が法で定められている。,診療報酬上の診断料を算定することができる。,依頼した医師と依頼された医師とが電話などで直接話す必要がある。,依頼施設と被依頼施設の双方に電子カルテが導入されていなければならない。,標本を病理診断医に郵送し、診断結果 をネットワークを介して受け取ることである。
50,地域医療連携について誤っているのはどれか。番号を解答記入欄( 50 )にマークしなさい。,条件が満たされれば、運用にかかる経費を医療保険に請求できる。,在宅医療で訪問看護師と主治医が情報を共有するために利用できる。,調剤薬局と連携することでジェネリック薬への変更などの調剤情報を共有できる。,検査センターと連携することで検査結果が自動的に入力されるシステムを構築できる。,ASP型システムを用いれば、場所を限定せずに利用できる医療連携システムが構築できる。
51,ベンダ変更の際にデータ移行がもっとも困難なのはどれか。番号を解答記入欄( 51 )にマークしなさい。,病名登録,処方オーダ,放射線オーダ,クリニカルパス,検体検査オーダ
52,正しい組み合わせはどれか。番号を解答記入欄 ( 52 )にマークしなさい。,NIC　―　看護介入分類,NOC　―　北米看護診断協会看護診断分類,ICNP　―　看護ミニマムデータセット,NMDS　―　看護成果分類,NANDA　―　看護実践国際分類
53,医薬品バーコードの表示目的で誤っているのはどれか。番号を解答記入欄( 53 )に2つマークしなさい。,地域連携の推進,医薬品流通の効率化,医薬品販売価格の把握,トレーサビリティの確保,医薬品の取り違え事故の防止
54,JLAC10に関する説明として正しいのはどれか。番号を解答記入欄( 54 )にマークしなさい。,主に病理診断の領域で利用されている。,依頼時と結果返却時に同じコードが使われる。,LOINCとのコード互換性を持たせている。,分析物、材料、測定法などの要素コードを連ねて構成される。,医療情報システム開発センター(MEDIS-DC)によって提供されている。
55,HL7について誤っているのはどれか。番号を解答記入欄( 55 )に2つマークしなさい。,処方の標準規格を含む。,特定健診のデータ収集に用いられている。,データ交換のトランザクションを規定していない。,HL7の「7」はISOのOSI参照モデルの第7層を表している。,大半の病院情報システムでHL7 Version 3が採用されている。
56,DICOMにおいて定義されていないのはどれか。番号を解答記入欄( 56 )に2つマークしなさい。,コネクタソン,SCU/SCP,サービスクラス,統合プロファイル,コンフォーマンスステートメント
57,IHE-PDIに関する説明として適切なのはどれか。番号を解答記入欄( 57 )にマークしなさい。,XMLを用いた医用画像の交換規格である。,可搬媒体を用いた医療データの交換規格である。,携帯端末で医用画像を表示するための規格である。,異なるシステム間における医療情報の通信規格である。,複数のデジタル画像装置間で情報交換するための規格である。
58,IHEについて誤っているのはどれか。番号を解答記入欄( 58 )にマークしなさい。,HL7を適用している。,DICOMを適用している。,標準規格を作成する機関である。,医療連携のための情報統合プロジェクトである。,多くの医療機関で利用できる共通の業務フローモデルを定義する。
59,電子カルテなどの診療情報の二次利用を目的とするのはどれか。番号を解答記入欄( 59 )にマークしなさい。,CRM,DWH,RAS,EMR,HER
60,通常の病院情報システムでは収集が困難な指標はどれか。番号を解答記入欄( 60 )にマークしなさい。,紹介率,病床稼働率,外来待ち時間,平均在院日数,がんの5年生存率
