2013II,解答,解説,,,,
11,トリアージタグの識別色とトリアージ分類の組み合わせで正しいのはどれか。番号を解答記入欄( 11 )にマークしなさい。,黄色 ― 軽症群,緑色 ― 中等症群,赤色 ― 重症群,灰色 ― 不処置群,青色 ― 死亡群
12,薬剤師が行う業務として適切でないのはどれか。番号を解答記入欄( 12 )にマークしなさい。,薬品の在庫を管理する。,患者に対して服薬の指導を行う。,レジメン対象の抗がん剤の調剤を行う。,医師や看護師に対して薬剤の情報提供を行う。,患者の状態に合わせて処方せんの内容を変更する。
13,平均在院日数の計算式として正しいのはどれか。番号を解答記入欄( 13 )にマークしなさい。なお、Aは一定期間の延べ入院患者数を、Bは一定期間の新入院患者数を、Cは一定期間の退院患者数を表す。,A / (B + C),A / (B - C),(B + C) / 2A,2(B - C) / A,A / ( (B + C) / 2)
14,病院管理会計において変動費に分類されるのはどれか。番号を解答記入欄( 14 )に2つマークしなさい。,給与費,賃借料,医薬品費,診療材料費,減価償却費
15,医療の質の指標のうちストラクチャー (構造)を評価するのはどれか。番号を解答記入欄( 15 )にマークしなさい。,医師1人当たりの入院患者数,救急カテーテル開始までの時間,2日以内のICUへの再入室件数,予定しない再手術 (48時間以内)件数,脳梗塞患者における早期リハビリ開始率
16,インシデントレポートの分析に必要がないのはどれか。番号を解答記入欄( 16 )にマークしなさい。,患者の氏名,当事者の職種,患者の治療状況,当事者の経験年数,患者への説明内容
17,臓器とその機能的分類の組み合わせで誤っているのはどれか。番号を解答記入欄( 17 )にマークしなさい。,胸腺 ― 免疫系,副腎 ― 泌尿・生殖器系,総胆管 ― 消化器系,気管支 ― 呼吸器系,S状結腸 ― 消化器系
18,がんの危険因子と考えられてないのはどれか。番号を解答記入欄( 18 )にマークしなさい。,たばこ,結核菌,放射線,ピロリ菌,B型肝炎ウイルス
19,動脈血が流れていないのはどれか。番号を解答記入欄( 19 )にマークしなさい。,肺動脈,腎動脈,内頸動脈,大腿動脈,腹腔動脈
20,冠動脈が閉塞じ心筋が壊死に陥る疾患はどれか。番号を解答記入欄( 20 )にマークしなさい。,心筋症,狭心症,心内膜炎,心筋梗塞,心臓弁膜症
21,高血圧が関与しない疾患はどれか。番号を解答記入欄( 21 )にマークしなさい。,脳出血,脳梗塞,心不全,慢性肝炎,腎機能障害
22,小腸にあたるのはどれか。番号を解答記入欄( 22 )に2つマークしなさい。,結腸,回腸,盲腸,空腸,直腸
23,子宮頸がんの原因となるのはどれか。番号を解答記入欄( 23 )にマークしなさい。,ノロウイルス,ロタウイルス,アデノウイルス,インフルエンザウイルス,ヒトパピローマウイルス
24,医師の指示がなくても看護師の判断で行えるのはどれか。番号を解答記入欄( 24 )にマークしなさい。,注射,抜糸,検査の依頼,療養上の指導,急変時の気管内挿管
25,介護過程に含まれないのはどれか。番号を解答記入欄( 25 )にマークしなさい。,診断,実施,評価,治療計画,アセスメント
26,腫瘍マーカーはどれか。番号を解答記入欄( 26 )に2つマークしなさい。,AST,CED,LDH,PSA,HbA1c
27,腎機能の評価に用いられる検査はどれか。番号を解答記入欄( 27 )にマークしなさい。,アミラーゼ,グロブリン,ビリルビン,クレアチニン,ヘモグロビン
28,放射線被曝のない検査はどれか。番号を解答記入欄( 28 )に2つマークしなさい。,CT検査,MRI検査,PET検査,超音波検査,血管造影検査
29,MRIについて誤っているのはどれか。解答記入欄( 29 )にマークしなさい。,放射性同位元素を使用する。,核磁気共鳴現象を利用している。,造影剤なしに血管の撮影ができる。,撮影時に人体から電磁波が発生する。,撮影室への金属類の持込が制限される。
30,内服薬に分類されないのはどれか。番号を解答記入欄( 30 )にマークしなさい。,錠剤,散剤,液剤,顆粒剤,吸入剤
31,処方せんの必須記載項目から判断できるのはどれか。番号を解答記入欄( 31 )に2つマークしなさい。,薬剤と用法が合致しているか。,体重と処方用量が適切であるか。,病名と薬剤の適応が一致しているか。,薬剤の1日量が適応用量に合致しているか。,薬剤の処方内容が検査結果と矛盾していないか。
32,保管するとき鍵をかける必要があるのはどれか。番号を解答記入欄( 32 )に2つマークしなさい。,毒薬,劇薬,治験薬,向精神薬,生物学的製剤
33,根治的治療と対極的な治療法はどれか。番号を解答記入欄( 33 )にマークしなさい。,薬物治療,姑息的治療,観血的治療,侵襲的治療,放射線治療
34,伝達麻酔でないのはどれか。番号を解答記入欄( 34 )に2つマークしなさい。,局所麻酔,脊椎麻酔,全身麻酔,硬膜外麻酔,神経ブロック
35,血管内カテーテル治療を行うのはどれか。番号を解答記入欄( 35 )に2つマークしなさい。,白内障,心筋梗塞,肝細胞がん,気管支喘息,関節リウマチ
36,内科外来初診の診療の順序で正しいのはどれか。番号を解答記入欄( 36 )にマークしなさい。,診察 → 問診 → 検査,診察 → 検査 → 問診,問診 → 診察 → 検査,問診 → 検査 → 診察,検査 → 問診 → 診察
37,間診が主な情報源とならないのはどれか。番号を解答記入欄( 37 )にマークしなさい。,現病歴,既往歴,家族歴,血液型,アレルギー情報
38,クリニカルパス(クリティカルパス)の説明として適切でないのはどれか。番号を解答記入欄( 38 )にマークしなさい。,診療プロセス改善効果がある。,目標が達成できないこともある。,チーム医療を推進しやすくなる。,疾患ごとに全国で統一されている。,病院内での診療プロセスの統一化が可能である。
39,介護保険の説明として正しいのはどれか。番号を解答記入欄( 39 )にマークしなさい。,自己負担比率は3割である。,要介護認定は都道府県が行う。,2段階の要介護度が設定されている。,65歳以上の被保険者を第1号被保険者という。,45歳以上の医療保険加入者が被保険者である。
40,SOAP形式に含まれないのはどれか。番号を解答記入欄( 40 )にマークしなさい。,評価,計画,問題点,主観的情報,客観的情報
41,患者基本情報に含まれないのはどれか。番号を解答記入欄( 41 )にマークしなさい。,氏名,性別,既往歴,生年月日,連絡先電話番号
42,誤っている組み合わせはどれか。番号を解答記入欄( 42 )にマークしなさい。,主訴 ― 受診の動機となった症状,現病歴 ― 現在の疾患名,既往歴 ― 過去にかかった疾患名,家族歴 ― 血縁者や配偶者がかかった疾患名,理学的所見 ― 他覚的な身体所見
43,地域がん登録について正しいのはどれか。番号を解答記入欄( 43 )にマークしなさい。,実施主体は市町村である。,国の事業として法制化されている。,ICD-O-3コードが用いられる。,手術術式の登録が義務付けられている。,すべての病院に登録が義務付けられている。
44,ICD-10について正しいのはどれか。番号を解答記入欄( 44 )に2つマークしなさい。,症状は含まれない。,WHOが作成している,疾病分類のコードである。,DPCのコードに含まれる。,手術・処置のコードである。
45,正しいのはどれか。番号を解答記入欄( 45 )にマークしなさい。,手術記録は医師法により最低3年間保存しなければならない。,看護記録は医療法により最低2年間保存しなければならない。,処方せんは薬剤師法により最低2年間保存しなければならない。,検査所見記録 は医師法により最低2年間保存しなければならない。,診療録 (カルテ)は医療法により最低5年間保存しなければならない。
46,誤っているのはどれか。番号を解答記入欄( 46 )にマークしなさい。,分散の正の平方根を標準偏差という。,標準偏差はデータのばらつきの指標である。,偏差とは各測定値と平均値との差のことをいう。,標準偏差が小さいほどデータのばらつきは大きくなる。,偏差の二乗の総和を標本数で割ったものを分散という。
47,仮説検定について誤っているのはどれか。番号を解答記入欄( 47 )にマークしなさい。,標本抽出を行う。,有意水準を設定する。,帰無仮説と対立仮説をたてる。,帰無仮説のもとで標本の出現確率を調べる。,検定統計量が棄却域に含まれれば対立仮説を棄却する。
48,エビデンスレベルがもっとも高いのはどれか。番号を解答記入欄( 48 )にマークしなさい。,症例対照研究,権威者の臨床経験,非ランダム化比較試験,1つのランダム化比較試験,複数のランダム化比較試験のメタ分析
49,検査結果と疾患の有無の関係が下の表のようになっているとき、特異度を示すのはどれか。番号を解答記入欄( 49 )にマークしなさい。,a / (a + b),a / (a + c),b / (a + b),c / (c + d),d / (b + d)
50,治験について適切でないのはどれか。番号を解答記入欄( 50 )にマークしなさい。,被験者の人権の保護が優先される。,適切な説明を行って同意を得なければならない。,被験者はいつでも参加をとりやめることができる。,監査に従事する者は治験依頼者でなければならない。,有害事象は実施医療機関の長および治験依頼者に報告する。
