2022II,問題文,選択肢,,,,
11,地域包括ケアシステム構築の主体となるのはどれか。番号を解答記入欄( 11 )にマークしなさい。,医師会,市町村,保健所,厚生労働省,地域医療支援病院
12,医療法による医療安全管理体制について、一般病院および有床診療所で義務付けられていないのはどれか。番号を解答記入欄( 12 )にマークしなさい。,患者相談窓口の設置,感染制御体制の整備,医療安全に関する職員研修,医療事故等の院内報告体制,医薬品安全管理体制の整備
13,多職種で構成される栄養管理を担当するチームはどれか。 番号を解答記入欄( 13 )にマークしなさい。,AST,ICT,NST,DMAT,PERIO
14,薬剤投与の安全確保のため、薬剤準備や投与直前の確認が必要とされている「6つの R(Right)」 に該当しないのはどれか。番号を解答記入欄 ( 14 )にマークしなさい。,正しい患者 (Right Patient),正しい計画 (Right Plan),正しい時間 (Right Time),正しい目的 (Right Purpose),正しい用法(Right Route)
15,医療機器の安全性を確保するための方策として適切でないのはどれか。番号を解答記入欄( 15 )にマークしなさい。,始業時・終業時の点検を徹底する。,ME室で中央管理し、定期的に保守管理を行う。,選定。更新時には、可能な限り多くの機種を購入する。,多職種で構成される選定委員会で選定や更新計画を策定する。,適正使用を行えるように、医療スタッフに対する安全教育を行う。
16,EBMの手順として正しいのはどれか。番号を解答記入欄( 16 )にマークしなさい。,e→ c→ b→ a→ d,b→ c→ a→ d→ e,b→ c→ d→ a→ e,c→ a→ b→ d→ e,c→ b→ a→ d→ e
17,脳幹に含まれるのはどれか。番号を解答記入欄( 17 )にマークしなさい。,延髄,小脳,脊髄,大脳,側頭葉
18,静脈血が流れているのはどれか。番号を解答記入欄(18)にマークしなさい。,肝動脈,冠動脈,腎動脈,肺動脈,内頸動脈
19,細菌感染と関係の深い疾患はどれか。番号を解答記入欄( 19 )にマークしなさい。,胃がん,脳梗塞,悪性中皮腫,子宮頸がん,潰瘍性大腸炎
20,出生直後の新生児の状態を評価するアプガースコアで用いられないのはどれか。番号を解答記入欄( 20 )にマークしなさい。,血圧,呼吸,筋緊張,心拍数,皮膚色
21,薬の代謝・排泄を担う主な臓器はどれか。番号を解答記入欄（21）に2つマークしなさい。,胃,肺,肝臓,腎臓,膵臓
22,医薬品の取り扱いについて誤っているのはどれか。番号を解答記入欄( 22 )にマークしなさい。,麻薬と覚せい剤は同じ金庫に保管してもよい。,麻薬施用者、麻薬管理者は知事の免許を受ける必要がある。,劇薬は、自地に赤文字・赤枠で薬剤名を表示しなければならない。,向精神薬を廃棄した場合は、分類を問わず必ず記載しなければならない。,特定生物由来製品は、患者情報やロット等に関して記録の作成と20年間の保管義務がある。
23,"薬価基準収載の翌月1日から起算して1年を経過していない医薬品における1回の処方日数の限度は、原則として何日か。番号を解答記入欄( 23 )にマークしな
さい。",7日,14日,28日,30日,90日
24,看護過程に関連しないのはどれか。番号を解答記入欄( 24 )にマークしなさい。,看護計画,看護診断,看護管理日誌,看護基本情報,看護アセスメント
25,看護管理日誌に記載された患者搬送の記述のうち適切でないのはどれか。番号を解答記入欄( 25 )にマークしなさい。,護送の患者に付き添った。,護送の患者を歩行器で搬送した。,担送の患者を車いすで搬送した。,担送の患者をベッドで搬送した。,担送の患者をストレッチャーで搬送した。
26,看譲必要度に関する記述で誤っているのはどれか。番号を解答記入欄( 26 )にマークしなさい。,2日に1回記載する。,入院患者について評価する。,DPCデータを利用できる項目がある。,日常生活機能評価表に従って評価する。,看護必要度に応じて入院料・加算が決められる。
27,糖尿病の診断に有用な検査項目はどれか。番号を解答記入欄( 27 )にマークしなさい。, CEA,赤血球数,C反応性蛋白(CRP),クレアチンキナーゼ(CK),グリコヘモグロビン(HbAlc)
28,血液ガス分析でアルカローシスを示す状態はどれか。番号を解答記入欄( 28 )にマークしなさい。,糖尿病,尿毒症,気道閉塞,呼吸不全,過換気状態
29,てんかんの診断で最も重要な検査はどれか。番号を解答記入欄( 29 )にマークしなさい。,脳波,筋電図,心電図,聴性脳幹反応,体性感覚誘発電位
30,生理機能検査でないのはどれか。番号を解答記入欄 ( 30 )に マークしなさい。,聴力検査,筋電図検査,尿素呼気試験,スパイロメトリー,睡眠ポリグラフイー検査
31,検査の実施前に、妊娠の有無について確認する必要がないのはどれか。番号を解答記入欄 ( 31 )にマークしなさい。,MRI検査,PET検査,造影CT検査,Mモード超音波検査,上部消化管内視鏡検査
32,放射線を使う検査はどれか。番号を解答記入欄( 32 )にマークしなさい。,脳波,心電図,CT検査,MRI検査,エラストグラフィー
33,成人の超音波検査で観察が難しい臓器はどれか。番号を解答記入欄( 33 )にマークしなさい。,胸腺,心臓,腎臓,膀胱,甲状腺
34,内視鏡による内部観察に適さない臓器はどれか。番号を解答記入欄(34)にマークしなさい。,肺,肝臓,血管,膀胱,十二指腸
35,がんの放射線治療について正しいのはどれか。番号を解答記入欄( 35 )に2つマークしなさい。,侵襲的治療に分類される。,非観血的治療に分類される。,全身的治療法のひとつである。,用いる放射線は粒子線が主である。,他の治療法が不可能な場合にのみ適応となる。
36,診療録について正しいのはどれか。番号を解答記入欄( 36 )にマークしなさい。,診療録の記載は退院までに行えばよい。,診療録の記載は医療法で定められている。,診療録には医師(歯科医師)以外は記載してはならない。,指導管理料の算定には指導内容を診療録に記載する必要がある。,病院における診療録の法的保存義務者は、記載を行った医師である。
37,医科保険診療録の2号用紙に記載すべき項目はどれか。番号を解答記入欄( 37 )にマークしなさい。,転帰,既往症,生年月日,保険情報,保険点数
38,転帰区分において「一時的な改善にとどまらず、治療によって異常所見や症状が消失した状態」を指す区分としてもっとも適切なのはどれか。番号を解答記入欄( 38 )にマークしなさい。,寛解,軽快,増悪,中止,不変
39,入院診療計画書に記載する必要がない項目はどれかの番号を解答記入欄( 39 )にマークしなさい。,病名,主治医名,治療計画,推定される入院期間,推定される入院費用
40,説明と同意書の取得を必須としない診療行為はどれか。番号を解答記入欄(40)にマークしなさい。,手術・麻酔,内視鏡検査,造影CT検査,心臓カテーテル検査,ホルター心電図検査
41,システマテイックレビューの説明として正しいのはどれか。番号を解答記入欄( 41 )にマークしなさい。,ある一定期間、集団を追跡調査する。,現存する文献の徹底的なレビューを行う。,一時点でアウトカムを測定し、過去に遡って要因を測定する。,要因を測定した後に、将来の一時点においてアウトカムを測定する。,介入を無作為に割り振ることで介入をより客観的に評価することを目的とする。
42,コホート研究について正しいのはどれか。番号を解答記入欄(42)にマークしなさい。,横断的研究である。,後ろ向き研究は行えない。,因果関係を決定することができる。,固定集団を一定期間追跡調査する。,患者集団と対象集団の危険因子の有無について比較を行う。
43,スクリーニング検査において、妥当性が高いと評価できるのはどれかの番号を解答記入欄( 43 )にマークしなさい。,感度が高く、特異度が高い。,感度が高く、特異度が低い。,感度が高く、特異度は関係しない。,感度が低く、特異度が高い。,感度は関係なく、特異度が高い。
44,治験の3段階のうち、第Ⅱ相試験の説明として正しいのはどれか。番号を解答記入欄( 44 )にマークしなさい。,多数の患者に「治験薬」を使い、その効果や安全性を確認する。,ウサギやネズミ、イヌなどの動物で「治験薬」の効果と安全性を調べる。,少数の患者に「治験薬」を使い、治療効果や効き方、副作用の程度や用法・用量を検討する。,化学合成物質や自然界に存在する物質から目的とする作用を持つ成分を「治験薬」として選択する。,"少数の健康な成人ボランティアあるいは患者を対象に、ごく少量から徐々に「治験薬」の投
与量を増やし、安全性を調べる。"
45,変量の種類と例示との組み合わせで正しいのはどれか。番号を解答記入欄(45)にマークしなさい。,順序変量 一性別(1.女性、 2.男性),名義変量 一健康状態(1.良い、 2.普通、 3.悪い),離散変量 一 年齢,連続変量 ― 血圧,離散変量 一 体温
46,データの収集後、最初に行うべきことは何か。番号を解答記入欄( 46 )にマークしなさい。,尖度を求める。,歪度を求める。,平均値と標準偏差を求める。,データ分布の形状を把握する。,データ分布の確率密度関数を把握する。
47,表に示す統計量の標本で、赤血球数が420万 /μI以下の人数はどれくらいか。なお、赤血球数の分布は正規分布に従うものとする。番号を解答記入欄( 47 )にマークしなさい。,400万人,800万人,"""1,200万人""","""1,600万人""","""2,000万人"""
48,複数の説明変数があるとき、これらを用いて目的変数の事象発生確率をモデル化するのはどれか。番号を解答記入欄 ( 48 )に マークしなさい。,重回帰分析,主成分分析,クラスター分析,多変量生存時間回帰分析,ロジステイック回帰分析
49,ナショナルデータベース(NDB)に格納されてない項目はどれか。番号を解答記入欄( 49 )にマークしなさい。,転帰,BMI,傷病名,HbAIc,TNM分類
50,がん登録に関して正しいのはどれか。番号を解答記入欄( 50 )に2つマークしなさい。,都道府県から死亡情報が提供される。,「地域がん登録」は「全国がん登録」に発展した。,院内がん登録は全国がん登録のデータを活用して管理される。,全国の医療機関は「がん」と診断された人のデータを市町村長に届け出ることが義務化された。,"全国がん登録のデータベースに登録される情報には「がんと診断された人の氏名」が含まれ
る。"
