2022II,解答,解説
11,2,厚生労働省は、重度な要介護状態となっても住み慣れた地域で自分らしい暮らしを人生の最後まで続けることができるよう、住まい・医療・介護 ・予防・生活支援が一体的に提供される「地域包括ケアシステム」の構築を進めており、保険者である 2)市町村や都道府県が、地域の自主性や主体性に基づき、地域の特性に応じて作り上げていくものである。
12,1,医療法施行規則第1条11では、病院等における医療安全管理体制の確保について、医療安全管理に関する指針の整備、医療安全管理委員会の設置、医療事故等の調査および分析、改善に向けた方策立案と従業員への周知、その状況調査と見直し、3)医療安全に関する職員研修、4)医療事故等の院内報告体制、2)院内感染制御体制の整備、5)医薬品安全管理体制の整備、医療機器安全管理体制の整備、高難度新規医療技術又は未承認新規医薬品等管理体制の整備を義務付けている。さらに特定機能病院では、同規則第 15条4で医療安全確保に関する監査委員会の設置と開催、1)患者相談窓口の設置が義務付けられている。したがって、1)は一般病院および有床診療所では義務付けられていない。
13,3,3)NST(Nutrition Support Team : 栄養サポートチーム)は、医師、看護師、管理栄養士、薬剤師、臨床検査技師など、多職種で構成される患者への適切な栄養管理を実施し支援するチームである。1)AST(Antimicrobial Stewardship Team : 抗菌薬適正使用支援チーム)は、感染症の治療効果を高め、耐性菌の出現を防ぐチーム、2)ICT(Infection Control Team : 感染制御チーム)は、感染対策が正しく実践されることにより院内で発生する様々な感染症から患者や職員を守る活動を行うチーム、4)DMAT(Disaster Medical Assistance Team : 災害派遣医療チーム)は、災害急性期に活動できる機動性を持ったトレーニングを受けた医療チーム、5)PERIO(Perioperative Management Center : 周術期管理センター)は、手術を受ける患者に快適で安全、安心な術前・術中・術後の環境を効率的に提供するものである。
14,2,日本医療機能評価機構では、添付文書に記載された用法と違う経路で薬剤を投与した4件の事例報告を受け、医療安全情報No.101(2015年4月)を発出し、そのなかで、薬剤の準備時・投与直前に6R(6つのRight)を確認することを提唱している。この6Rとは、1)正しい患者(Right Patient)、正しい薬剤(Right Drug)、 4)正しい目的 (Right Purpose)、正しい用量(Right Dose)、 5)正しい用法(Right Route)、3)正しい時間 (Right Time)である。2)正しい計画 (Right Plan)は含まれていない。
15,3,3)医療機器の選定・更新計 画においては、多くの機種を購入するのではなく、少ない機種に限定して購入することが望ましい。すなわち、機器の操作研修、保守点検や部品のストック確保のために有用である。1)、2)、4)、5)はいずれも正しい。
16,5,EBMはEvidence Based Medicineの略で、「科学的根拠(エビデンス)に基づく医療」と訳される。EBMの実際の手順は、①目の前の患者に関して臨床上の疑間を抽出する(c.問題の定式化)、 ②疑間点に関する文献を検索し、情報収集を行う(b.情報検索)、 ③手に入れた情報を批判的に吟味する(a.批判的吟味)、 ④情報の患者への適応(こ判断の適用)、 ⑤一連の作業を振り返る(e.自己評価)、の5段階に分けられる。したがつて、5)の手順が正しい。
17,1,中枢神経系は脳と3)脊髄からなり、脳は4)大脳半球、脳幹、2)小脳に分けられる。脳幹は中脳、橋、1)延髄からなる。大脳半球は脳溝により前頭葉、頭頂葉、後頭葉、5)側頭葉に分けられる。したがって、1)が正しい。
18,4,4)静脈血は右心房に集まり、右心室、肺動脈を経て肺に送り込まれる。したがって、肺動脈は動脈という名前がついているが静脈血が流れている。1)～ 3)、 5)には動脈血が流れている。
19,1,1)胃がんの多くは、細菌であるヘリコバクター・ピロリ感染により引き起こされる萎縮性胃炎を基礎として発生する。2)脳梗塞は脳の動脈の開塞によるもので、高血圧・糖尿病 (動脈硬化による「アテローム血栓性梗塞」)、心房細動(心原性塞栓症 )などが関係する。3)悪性中皮腫はアスベストなどの粉じん吸入が主たる原因となる。4)子宮頸がんの多くはヒトパピローマウイルス(HPV)の感染によって生じる。5)潰瘍性大腸炎は大腸粘膜がびまん性におかされ、しばしばびらんや潰瘍を形成する原因不明の非特異性炎症である。
20,1,アプガースコアとは、出生直後の新生児の状態を評価し、新生児仮死の有無を判断するためのスケールで、生後1分後と5分後に測定する。評価項目は、5)Appearance(皮 膚 色 )、 4)Pulse(心拍数)、 Grimace(刺激)への反応、3)Activity(筋緊張)、 4)Respiration(呼吸)、の頭文字をとってApgar scoreと称されている。この中に1)血圧は含まれていない。
21,3.4,薬物の体内動態のなかで、生体防御機構として異物を体外に排出する経路の過程を代謝と呼び、主に3)肝臓で様々な薬物代謝酵素群により行われる。人種や個人により、代謝酵素の構成や遺伝子が多様化しているため、個々の代謝に違いが生じる。肝臓のほか、小腸上皮細胞にも薬物代謝酵素群が存在する。薬は代謝により構造が変化し、水溶性の代謝物となり 4)腎臓から排泄されるが、脂溶性の薬は肝臓から胆汁中に移行 (排泄)される。このほか、乳汁、唾液、呼気、汗などの排泄経路もある。以上より、薬の代謝・排泄を担う臓器は 3)肝臓および 4)腎臓である。1)胃は消化、2)肺は呼吸(ガス交換)、 5)膵臓は各種消化酵素分泌やインスリンなどの内分泌が主な機能である。
22,4,「譲り渡し、譲り受け、又は廃棄した向精神薬(第三種向精神薬を除く。)の品名及び数量並びにその年月を記録しなければならないと定められている。したがって、記録対象となるのは第一種および第二種向精神薬である。1)麻薬の保管については、同法第34条2に「麻薬の保管は、麻薬以外の医薬品(覚せい剤を除く。)と区別し、かぎをかけた堅固な設備内に貯蔵して行わなければならない。」(同法第34条2)とあり1)は正しい。ほか、2)、3)、5)はいずれも正しい記述である。
23,2,投薬量は、予見することができる必要期間に従ったものでなければならない。この場合、厚生労働大臣が定める内服薬及び外用薬については当該厚生労働大臣が定める内服薬及び外用薬ごとに1回14日分、30日分又は90日分を限度とする(療養担当規則第20条2へ)と定められている。このなかで、2)14日分を限度とされるものとして、「新医薬品であって、使用薬剤の薬価(薬価基準)への収載の日の属する月の翌月の初日から起算して1年を経過していないもの(例外あり)」 (厚生労働省告示第 107号第10-2投薬期間に上 限が設けられている医薬品(一 )ハ)が定められている。
24,3,3)看 護管理日誌は、病棟全体の入院患者の状況、病院全体の外来患者の状況、看護師の勤務状況などを記したものであり、看護過程には関連しない。看護過程とは、まず患者・家族の健康状態や生活環境などを総合的に捉えた4)看 護基本情報を5)看 護アセスメント(査定)し、アセスメントに基づき、2)看 護診断を行い、必要となる1)看 護計画を立案、実行、評価を行うことである。
25,3,担送とは、ストレッチャーやベッドなどでの移送で、2人の介助者を要する状態のことであり、車いすでの移送は護送に含まれるため、3)は誤りである。護送とは、搬送時に付き添いや見守りといった介助が必要な状態であり、肩を貸すことも含まれる。独歩とは、介助がなくても1人で移動できる状態のことである。
26,1,看護必要度は、日々評価を行う必要があるが、「根拠となる記録」の記載は、2020年度の診療報酬改定で不要となっているため、1)は誤りである。看護必要度は、2)入院患者について評価するものであり、3)DPCデータを利用できる項目がある(A項 目・B項 目)。回復期リハビリテーションでの看護必要度は、4)日常生活機能評価表に従って評価する。急性期一般入院料、7対1入院基本料、看護必要度加算など、5)看護必要度に応じて入院料・加算が決められる。
27,5,赤血 球内で酸素輸 送を担うヘモグロビン(Hb)は非酵素的に血中のブドウ糖と緩徐に結合して5)グリコヘモグロビン(HbAlc)分画に含まれるようになる。HbAlc値はHb全体に対するHbAlc分画の割合(%)であり、赤血球の寿命である過去90日間程度の平均的な血糖値とよく相関することから糖尿病の診断に用いられる。1)CEAは胃がん。大腸がんなどの腫瘍マーカーである。2)赤 血球数は貧血の指標で糖尿病とは無関係である。3)C反応性蛋 白 (CRP)は炎症反応性物質で炎症のマーカーである。4)クレアチンキナーゼ(CK)は骨格筋、心筋、脳に多く含まれており、心筋梗塞、筋炎、外傷、脳炎などで上昇する。
28,5,5)過換気状態では、炭酸ガスが体外へ排泄されて血液中の濃度が下がり、血液pHは上がリアルカローシスとなる。1)糖尿病や2)尿毒症では代謝性のアシドーシスとなり、3)気道閉塞や4)呼吸不全では呼吸性のアシドーシスとなる。
29,1,1)脳波は意識の混濁や脳の機能低下により徐波となり、てんかんではその病型ごとに特徴的な波形(発作波)がみられる。このため、てんかんの診断には不可欠な検査である。2)筋 電図は筋 肉 (主に骨格筋)の活動性(収縮)を調べる検査で、筋肉や神経、脊髄の病気の診断に用いられる。3)心電図は心臓が拍動するときに生ずる起電力の時間的変化を波形として記録するもので、虚血性心疾患や不整脈などの診断に用いられる。4)聴性脳幹反応(ABR)、 5)体性感覚誘発電位はともに誘発電位検査で、感覚刺激に対して誘発される神経系の電位反応を検出し、反復刺激で波形を加算して反応波を抽出する。ABRは他覚的聴力検査で、手術時や昏睡状態の患者の脳幹機能の判定のほか、脳死判定に用いられる。
30,3,3)尿素呼気試験は、ヘリコバクター・ピロリ(Hp)感染症の診断に用いる検査の一つである。Hpの持つウレアーゼ活性により尿素((NH2)2CO)+H20→ 2NH3+C02に分解され、吸収されたC02は肺に移行し、炭酸ガスとして呼気に排出される。この原理を応用して、13Cで標識された尿素を内服させ、その前後で呼気を採取して13c02を測定する。Hp感染者では呼気中の13C02が増加することで診断が可能である。感染診断および除菌判定で広く用いられている。1)、 2)、 4)、 5)はいずれも患者にセンサーを装着し、そこから得られる情報を記録する生理機能検査である。
31,4,超音波検査は胎児に対しても安全であり妊娠中でも実施可能である。4)Mモード超音波検査とは、体表から深部にかけての断面を2次元画像として観察するBモードとは異なり、特定の1点について、縦軸を体表からの距離、横軸を時間経過として観察する。主に心臓壁や弁の動きの観察に用いられる。1)MRI検査は放射線を使わない点では胎児に対する影響は少ないが、造影剤に対しては安全性が確立しておらず注意が必要、2)PET検査、3)造影CT検査は放射線を用いる検査であり注意が必要、5)上 部消化管内視鏡検査は、検査時に平滑筋を弛緩する薬剤や麻酔薬が投与される場合があるので確認が必要である。
32,3,3)CT(コンピューター断層撮影)は放射線を用いて人体の断層画像を撮影する検査。X線の透過度に応じた濃淡画像が得られる。1)脳波は頭部に貼付した多数の電極により脳の活動電位を測定するもので、てんかんなどの診断に用いられる。2)心電図は四肢およびに胸部 6箇所に貼付(標準12誘導心電図検査の場合)した電極により心臓の活動電位を観察するもので、不整脈や虚血性心疾患(心筋梗塞など)の診断に用いられる。4)MRI検査は、体外から強い磁場を与え体内から放出される電波を用いて体内の状態を画像化する。5)エラストグラフイーは超音波検査装置を用いて組織の弾性を観察するもので、肝臓の線維化(肝炎や肝硬変)や乳腺腫瘤の評価に用いられる。
33,1,1)超 音波検査ではプローブ(探触子)から発せられる超音波が深部に直進し反射して戻るまでの時間と強度により組織の状態を検査する。したがって、音波を遮るもの(骨など)や拡散・乱反射するもの(空気など)があると観察が難しくなる。胸腺は免疫系 (T細 胞の分化成熟)に重要な組織であるが、胸骨の裏側に存在することや、成人後は退縮していくことから超音波による観察は難しい。2)心臓は肋骨の間や心寓部から観察できる。3)腎臓は側腹部～腰部から容易に観察できる。4)膀 脱は下腹部～恥骨上部から観察できるが、検査前に尿を貯めておく必要がある。5)甲 状腺は下頸部で皮膚のすぐ下に存在するため、高い周波数のプローブ(探触子)が用いられる。
34,2,上腹部に存在する2)肝 臓は、肝細 胞とそれを取り巻く脈管からなる実質臓器で、腹腔鏡による表面観察は可能であるが、内視鏡による内部観察は不可能である。気管支内視鏡により1)肺の内部の亜区域気管支付近 (比較的末梢に近い部位)まで観察できる。3)血 管は、極めて細く作られた血管内視鏡により冠動脈や末梢動脈の内腔が観察できる。4)膀 脱は、尿道から内視鏡を挿入して内腔を観察することができる。5)十二指腸は胃に連続する臓器であり、内視鏡検査に適している。上部消化管内視鏡検査(いわゆる胃カメラ)では十二指腸の一部まで内視鏡を挿入して観察する。
35,1.2,放射線治療は「がん病巣」に放射線を照射するが、病巣のみならず周囲の正常組織にも様々な副作用を引き起こすため、1)侵襲的治療である。しかし、手術治療のように体に傷をつけて出血させないので、2)非 観血的治療である。がん病巣に限定して照射するため、3)全身的ではなく局所的治療で、一般に使用される放射線は4)粒子線ではなくX線である。粒子線はその放射線特性から病巣部位の線量を高めることができるため、低侵襲治療として期待されている。5)放射線治療は根治を目的に行う根治照射と、QOL向上や症状の改善や緩和を目的とする症状寛解 (姑息)照射があり、5)は誤りである。
36,4,4)診療 録の記載内容は保険請求の根拠となるため、算定に必要な指導内容は遅滞なく記載する必要がある。1)医師法第 24条では「医師は、診療をしたときは、遅滞なく診療に関する事項を診察録に記載しなければならない」と定められている。2)記載のとおり、診療録の記載は医師法によって定められている。3)診療録には医師(歯科医師)のほか、看護師や薬剤師なども記載することができる。また医師の指示のもとで行う医師事務作業補助者による代行記載もある。5)医師法第 24条2により、診療録の保存義務者は病院または診療所の管理者である。
37,2,2)保険医療機関及び保険医療養担当規則第22条によって、医科では1号用紙、2号用紙、3号用紙に記載すべき事項が定められている。既往症のほか、原因・主要症状・ 経 過等と処方。手術・処置等は2号用紙に記載する必要がある。1)転帰、3)生年月日、4)保険情報は1号用紙に、5)保険点数は3号用紙に記載すべき項目である。
38,1,1)寛解 は一時的 な改善 に とどま らず、治療に よって異常所 見や症状が消失 した状態である。 これは、慢性疾患や難病について よく用いられる転帰区分である。2)軽快 は診療結果 に改善がみ られた状態であ り、治療 によ り異常所見や症状が消失 した状態 とは限 らない。3)増 悪 は当該疾患 に対 して治療 を行 ったが、改善がみ られず悪化 した状態、4)中 止 は医師の判断 もしくは患 者の都合で治療 を中止 した状態、5)不 変 は入 院前 と退院後に差がない状態 を指す。
39,5,5)推定される入院費用は、医療法第 6条の4および基本診療料の施設基準にある入院診療計画で策定し説明すべき項 目に含まれていない。医療法第 6条の4において、患者の氏名、生年月日及び性別、2)当該患者の診療を主として担当する医師又は歯科医師の氏名、1)入院の原因となった傷病名及び主要な症状、3)入院中に行われる検査、手術、投薬その他の治療(入院中の看護及び栄養管理を含む。)に関する計画、その他厚生労働省令で定める事項の記載が定められている。また、基本診療料の施設基準にある入院診療計画 (2)において、入院の際に、医師、看護師、その他必要に応じ関係職種が共同して総合的な診療計画を策定し、患者に対し、文書により1)病名、症状、3)治療計画、検査内容及び日程、手術内容及び日程、4)推定される入院期間等について入院後7日以内に説明を行うこと、と定められている。
40,5,5)ホルター心電図検査は穿刺・投薬・外科的な治療、手術等を伴わない侵襲性が低い検査であり、同意書の取得は必須とされていない。侵襲性が高い検査・治療である1)手術・麻酔、2)内視鏡検査、3)造影CT検査、4)心臓カテーテル検査は、説明と同意書の取得は必須である。
41,2,システマティックレビューとは、文献をくまなく調査して、出版バイアスのようなデータの偏りを限りなく除き、研究のエビデンスについて、系統的な検索、特定、選択、評価、統合を行うことであり、2)は正しい。1)と4)はコホート研究、3)は症例対照研究(ケース・コントロール研究)、 5)は無作為化比較試験 (Randomized Controlled Trial:RCT)の説明である。
42,4,4)コホート研 究とは要因を測定した後に、将来の一時点(あるいは複数の時点)においてアウトカムを測定する研究方法を指し、縦断的研究の一種である。1)横断的研究は、ある特定の集団に対してある一時点におけるデータを収集し、分析や検討をすること。2)前向きコホート研究、後ろ向きコホート研究、コホート内症例対照研究の3つの研究デザインがある。3)因果関係の推定を行うことが目的ではあるが、決定することまではできない。5)は症例対照研究の説明である。
43,1,1)スクリーニング検査において、対象とする病気を持っている人と持っていない人を正しく識別する能力のことを妥当性と呼ぶ。感度とは疾患ありの人のなかの検査陽性者の割合、特異度とは疾患なしの人のなかの検査陰性者の割合であり、感度と特異度がともに高い検査が妥当性の高い検査である。2)特 異度が低いと疾患なしの人を疾患ありと判定してしまう確 率が高くなり、4)感度が低いと疾患のある人を検出しにくくなる。3)、5)感度も特異度も妥当性の評価に関係する。
44,3,3)治験は、臨床薬理試験 (主に第 I相 )、探索試験 (主に第 I相から第 Ⅱ相)、検証試験 (主に第 Ⅲ相)からなる。第 Ⅱ相 (探索試験)では、少数(50～ 300人)の患者を対象とする。1)多数の患者を対象とするのは、主に第 Ⅲ相 (検証試験)である。2)治験は人を対象として実施する「臨床試験」で動物実験は含まない。4)は治験の前段階で行う基礎研 究やスクリーニングのこと、5)は主に第 I相で行う臨床薬理試験のことである。
45,4,4)血圧は連続変量であり正しい。変量は量的変量と質的変量に大別できる。量的変量は、数の大きさが量としての意味を持ち、足し算などができる変量である。量的変量は連続変量と離散変量に分けられる。データ型でいえば、連続変量は実数型に、離散変量は整数型に対応する。質的変量は、本質的に数量でない標本の特性である。性別や好きな色のような名義変量と、健康状態(良い、普通、悪い)のような順序変量がある。年齢、体温は連続変量である。
46,4,4)デ ー タの収集後、最初 に行 うべ きことは、デー タ分布の形状 を把握することである。量的変量であれば、た とえばヒス トグラムを用いて分布の形状、特 に左右対称か どうか を確認す る。デー タの分布がおおむね正規分布であれば平均値や標準偏差 な どの代表値 を求める。尖度 とは分布が正規分布か らどれだけ尖っているかを表す統計量、歪度 とは分布が正規分布からどれだけ歪 んでいるか を表す統計量である。母集団のヒス トグラムを確率密度関数 と呼ぶ。
47,2,赤血球数が420万 /μ ′とは、平均値(Mean)-1標準偏差(SD)の値である。正規分布であれば、Mean± lSDの間には約 68%が分布する。したがって、その外側には左右対称なため各々16%ずつが分布する。Mean-lSDである420万/μ ′以下には5.000万人の16%である800万人が分布することになる。
48,5,主文は5)ロジステイック回帰分析の説明である。1)重回帰分析は1つの目的変数(量 的変数)を複数の説明変数で予測するものである。2)主成分分析は、多くの変数を持つデータを集約して、主成分を作成する方法である。3)クラスター分析は個々のデータから似ているデータ同士をグルービングする分析方法である。4)多変量生存時間回帰分析であるCoxの比例ハザードモデルでは、生存時間を従属変数とするのではなく、ハザード(瞬 間死亡率)が説明変数によってどれくらい影響を受けるのかをモデル化する。
49,,5)病期でがんを分類する方法であるTNM分類はナショナルデータベース(NDB)に格納されている匿名レセプト情報および匿名特定健診情報のどちらにも含まれていない情報である。1)転帰、3)傷病名は匿名レセプト情報の一部として、2)BMI、 4)HbAlcは匿名特定健診情報の一部として格納されている。
50,2.5,2)都 道府県が実施主体となり行われてきた地域がん登録は、2016年から始まった全国がん登録に統合され、全国規模でのデータ収集が行われている。5)がんと診断された人の情報を一元管理するため、氏名、カナ氏名、性別、生年月日などの基本情報がデータベースには登録される。1)死亡情報は市町村から提供される。3)全国がん登録の基本となる情報を院内がん登録で用いるが、登録項 目は各医療機関の裁量に任されているため、全国がん登録に用いるデータ以外も登録される。4)データは都道府県知事に届け出ることが義務化されている。
