2022JS,解答,解説
29,4,単一波長、マルチモードは複数波長への対応を示す。他はいずれも金属線のLANケーブルの説明で、1)カテゴリ分けは通信特性による分類、2)RJ45は8極8芯のコネクタ規格である。3)8本の芯線を撚り合わせるのは金属線の電磁ノイズを相 互干渉で打ち消す仕組みである。5)結線方法のストレートは両端で同じ端子に同じ線を結線する方法、クロスは配線を交差させ送信端と受信端を相互に結線する方法である。
30,5,5)電子レンジは2.45GHz付近の強いマイクロ波を放射して水分子を共振させ加熱する仕組みである。1)PHSは1.9GHz帯を使用する。2)ICタグでは、一部で2.45GHz帯が使用されるが、出力が微弱なパッシブタグで用いるもので、影響は小さい。3)携帯電話は、規格上は2.4GHz帯を使用しない。ただし、スマートフォンのWi-Fiテザリングには注意が必要である。4)気象レーダは5GHz帯、9′ GHz帯を使用する。
31,1,1)TCP/IPにおいて、通信プロトコルはポート番号で区別される。基本的には最初の接続要求に使用するサーバ側のポート番号が決められているので、宛先ポート番号で対象のプロトコルを指定できる。2)接続許可時間帯は、前提条件に使用する時間帯が明記されていないので、関係ない。3)送信元ポート番号は通信先の特定には寄与しない。4)宛先IPアドレス、5)送信元IPアドレスは、通信機器は特定できるが、プロトコルは特定できない。
32,1,サブネットマスク255.255.255.128では、2進数での下7桁がホスト部になる。ネットワークアドレスはホスト部が2進数で全て0のアドレスを指すので、第4オクテットは0000 0000(2)=0(10)、1000　0000(2)=128(10)のいずれかとなる。IPアドレス192.168.1.62の場合、第 4オクテットが62で128より小さいので、ネットワークアドレスは1)192.168.1.0である。
33,5,5)IPv6のIPアドレスは128ビットのビット列を4ビットずつ16進数に変換した上で、4桁ごとにコロン(:)で区切って表現する。さらに、4桁の先頭にある0およびそれに続く0は省略でき、コロンとコロンの間がすべて0の場合はすべて省略することが可能である(省略表記)。したがって、これに該当するのは 5)のみである。1)はIPv4のIPアドレスの表記である。2)と3)はともにMAC(Media Access Control)アドレスの表記である。4)は書籍についているISBN(InternatiOnal Standard Book Number)の表記である。
34,5,5)DNSはDomain Name Systemのことであり、IPアドレスとホスト名(ドメイン名)の関係づけを管理するとともに、問い合わせに答える機能を持つ。1)は電子メールサーバの役割である。2)はIPネットワークにおいては、主にルータの役割である。3)はDHCP(Dynamic Host Configuration Protocol)の役割を示す。4)はARP(Address Resolution Protocol)の役割を示す。
35,4,4)VLANはVirtual LANの略であり、「仮想ネットワーク」と訳される。1)VDIは仮想デスクトップ(Virtual Desktop lnfrastructure)のことである。2)VGA(Video Graphics Array)は、IBMがパソコン製品に搭載したグラフイック表示システム名である。画素数や表示モード、アナログRGB信号を出力するコネクタ(端子)を指すこともある。3)WANはWide Area Networkの略である。LAN同士をつなぐ広域ネットワークを指す。5)WINSはWindows環境においてコンピュータ(NetBIOS)名とIPアドレスの対応づけを管理するサービスである。
36,4,4)WAFはWeb Application Firewallの略であり、Webアプリケーションの脆弱性を突いた攻撃に対するセキュリテイ対策のひとつである。1)DMZはDe-MIitarized Zone(非武装地帯)の略であり、外部ネットワークと内部 (院内、社内)ネットワークの中間に作られるセグメントのことである。2)IPAとは、独立行政法人情報処理推進機構の英語名の略である。3)PSはIntrusion Prevention Systemの略であり、不正アクセスを検知して通信を遮断するシステムの総称である。5)WPAはWi-Fi Protected Accessの略であり、準拠していることを示すWi-Fiアライアンスが策定した無線 LAN機器の認証プログラム、あるいはセキュリテイプロトコルのことである。
37,4,情報セキュリテイにおける4)真正性とは「ある主体または資源が、主張どおりであることを確実にする特性」と定義されている。1)可用性は「認可されたエンティティが要求したときに、アクセスおよび使用が可能である特性」、2)完全性は「資源の正確さおよび完全さを保護する特性」、3)機密性は「認可されていない個人、エンティティまたはプロセスに対して、情報を使用不可または非公開にする特性」、5)信頼性は「意図した動作および結果に一致する特性」とそれぞれ定義されている。
38,2,公開鍵基盤 (PKI)において、証明書の発行や管理を担う第三者に当たる(ア)は「認証局」である。また、認証局は利用者から問合せされる(イ)「証明書」の検証も担っている。加入者はメッセージを送る際、電子署名とともに(イ)「証明書」を利用者に送付する必要がある。以上から、正解は2)である。
39,5,デジタル署名では送信者はまず、鍵ペア(秘密鍵と公開鍵)を作成する。可変長の本文からハッシュ関数により固定長のメッセージダイジェストを作成し、さらに秘密鍵を用いて暗号化してデジタル署名とする。受信者は受け取ったデジタル署名を公開鍵で復号し、これと本文から同一のハッシュ関数で求められたメッセージダイジェストと比較、一致することにより検証が成立する。よって5)が正しく、1)～ 4)は誤りとなる。
40,4,4)ランサムウェアはコンピュータをマルウェアに感染させ利用できないような状態にし、解除のために金品の支払い(身代金 : ransom)を要求する。1)バックドアはコンピュータを不正に遠隔操作するために仕掛けられる裏口のことである。2)、3)スパイウェアはコンピュータに潜入してデータを流出させる。また、コンピュータに内蔵されたカメラやマイクを遠隔操作して盗撮、盗聴を行うものもある。5)フィッシングは実在の組織や管理者を編り、パスワードを入力させるなどして個人情報を詐取することである。
41,4,生体認証 (バイオメトリクス認証)はユーザの身体的な特徴である生体情報を利用して認証を行うもので、2)指紋、眼球の1)虹彩、手のひらや指先の血管 [3)静 脈]、 5)声紋、顔などが利用される。今のところ、4)歯列は実用化されていない。
42,3,2要素認証は2つの要素を組み合わせ認証を行う。知識情報と所有情報、知識情報と生体情報、所有情報と生体情報の3通りの組み合わせがある。3)ICカードは所有情報、パスワードは知識情報による認証なので、2要素認証として適切な組み合わせである。1)IDとパスワードはともに知識情報による認証である。2)ICカードと5)SMSはともに所有情報による認証である。4)異なる2つのパスワード、5)パスワードと秘密の質問はともに知識情報による認証である。
43,5,5)ホワイトボックステストはシステムの内部構造を把握し、設計通りに実現されているかを調査する。制御フローテストとデータフローテストの2つの技法がある。制御フローテストはプログラムコードがすべて実行されるテストである。データフローテストはプログラム内のデータの流れを追うテストである。1)トップダウンテストは上位のモジュールから、2)ボトムアップテストは下位のモジュールから順に結合しながら動作を検証していく。4)ブラックボックステストはデータの入出力に着目してテストを行う。3)グレーボックステストはホワイトボックステストとブラックボックステストを組み合わせたテストである。内部構造を把握し、外部からの仕様に基づきテストを行う。
44,4,4)業務フローは業務の全体像を把握するために仕事の流れをフロー図で表したものである。作成は要求分析・定義に含まれる。1)コーディング(プログラミング)はソフトウェア構築に含まれる。2)システムテストはシステムが要件どおりに動作するかを検証するテストで、総合テストに含まれる。3)プログラム内の構造化設 計 (モジュール分割、モジュール単位の処理内容)はソフトウェア詳細設計に含まれる。5)データベースの設計 (マスタテーブルの作成)は外部設計のうち機能設計に含まれる。
45,5,5)リスク評価は、リスクの理解を深めるためのプロセスであり、リスク対応には含まれない。1)リスク回避は、リスク発生の要因を停止あるいは別の方法に変更することで、そのリスクを消し去る方法である。2)リスク軽減は、リスクが実際に起こる可能性や実際に起こった際の被害の規模を小さくするための方策である。3)リスク受容は、リスクの影響力が小さく、許容範囲内として受容できる場合などに、リスクをそのままにしておくことである。4)リスク転嫁は、リスクを他社などに移すことであり、保険と外部委託の2つの方法がある。
46,1,1)ER図は、データ構造を様々なEntity(実体)のRelation(関係)として表現する方法である。2)クラス図は、機能や役割など同じ特性を持つオブジェクトを抽象化し、クラス名、機能、構成要素を図にしたものである。3)シーケンス図は、オブジェクト間の時間関係と同期・非同期をあらわす図で、通信の時系列をあらわす。4)ユースケース図は、システムが外部に提供する機能やユーザが要求する機能・動作をユーザの視点であらわしたものである。5)コミュニケーション図は、オブジェクト間の相互作用を平面的にあらわしたものである。
47,4,PERT図の経路のなかで、最も時間を要する経路がクリテイカルパスとなる。経路と要する時間は以下のとおりである。ア) START→ A→ F→ GOAL　6日 イ)START→ B→ E→ F→ GOAL　6日 ウ)START→ C→ D→ E→ F→ GOAL　9日　以上からウ)がクリティカルパスとなり、最短であるア)の経路との差、3日がタスクAにおいて許容できる最大の遅れとなる。
48,3,3)スループットは、単位時間当たりのトランザクション数をあらわすサービス水準評価指標である。1)故障回数は、システムや機器がある時間だけ稼働させたときに故障した回数で、信頼性評価指標で使われる。2)輻榛回数は、同時アクセスの集中などにより通信ができなくなる状況の発生回数で、運用性評価指標である。4)平均就労時間は、業務の開始から終了までの平均時間で、休憩時間を含む時間数である。5)メモリ使用率は、ソフトウェアが実行中に、どの程度の時間メモリを占有しているかの割合で、運用性能評価指標である。
49,1,1)フェールソフトは、システム障害発生時に、必要最小限の機能でシステムを稼働させることである。2)フールプルーフは、ヒューマンエラー防止のために、操作ミスをしても障害が生じないように設計することである。3)デュアルシステムは、システムを同じ構成で二重化し、処理結果を相互参照することにより1つのシステムとして稼働する。4)ホットスタンバイは、障害が発生した機器の代わりに、待機中の機器が直ちに稼働する方式である。5)コールドスタンバイは、本番系の正常稼働中は待機系の電源を切った状態にし、本番系障害時に待機系の電源を投入して稼働をさせる方式である。
50,2,2)AR(拡張現実)とは、現実世界にデジタル情報を付加し、現実世界を拡張する技術で、現実空間との融合がある。VR(仮想現実)とは、コンピュータ上に人工的な環境を作り出し、時間や空間を超えてそこにいるかのような感覚を体験できる技術である。1)、5)両者とも視覚のみならず聴覚も対象とし、スマートフォンやゴーグル型のデイスプレイの装着で体験できるが、4)相互の顔認証は不要である。3)他人との知覚を共有する研究は進んでいるが実用化はされていない。
