2022IS,問題文,選択肢,,,,
14,自らが利用した医療保険に関連する情報のうち、デジタル庁が提供するマイナポータルで確認できないのはどれか。番号を解答記入欄( 14 )にマークしなさい。,薬剤情報,医療費通知情報,健康保険証情報,放射線画像情報,特定健診結果情報
15,紙カルテと比較した電子カルテの特徴として誤っているのはどれか。番号を解答記入欄( 15 )にマークしなさい。,情報の複製が困難である。,運用変更の柔軟性が低い。,情報機器や情報端末の導入に労力がかかる。,システムの使用方法の習得のために負担が生じる。,情報の一覧性がディスプレイの表示能力に制約される。
16,インシデント・アクシデントレポートシステムについて正しいのはどれか。番号を解答記入欄( 16 )にマークしなさい。,重大事故事例のみ登録する。,レポートは報告者の実名で院内に公開する。,レポートはリスクマネージャ以外も登録する。,レポートは一定期間経過後、速やかに抹消する。,医療事故を起こした者からのアクセスを制限する機能が必要である。
17,処方オーダ時の処方内容チェックの対象でないはどれか。番号を解答記入欄( 17 )にマークしなさい。,体重,入院歴,内服薬歴,注射薬歴,病名情報
18,薬剤処方オーダエントリシステムについて適切でないのはどれか。番号を解答記入欄( 18 )にマークしなさい。,前回の処方内容を複写して利用できる。,院外処方でも処方情報は院内の薬剤部門に伝達する。,一部の注射剤は外来の処方オーダで扱うことができる。,薬剤検索の際に2文字以上の文字列の入力を必須とする。,麻薬処方の場合、近傍のプリンターに麻薬処方箋を即時出力する。
19,処置オーダについて正しいのはどれか。番号を解答記入欄( 19 )にマークしなさい。,入力漏れの発生を考慮する必要はない。,処置に使用した薬剤は外来処方オーダから入力する。,他のスタッフがオーダを代行入力することはできない。,オーダと同時に実施までを完結できる即実施機能がある。,経過記録に処置内容を記載することによってオーダが発行される。
20,病院情報システムと連携したクリニカルパスシステムに組み込むべき機能でないのはどれか。番号を解答記入欄( 20 )にマークしなさい。,バリアンスを登録する。,クリニカルパス画面からオーダを発行する。,患者状態に合わせてクリニカルパスを選択する。,クリニカルパス画面でオーダの実施状況を把握する。,入院時病名に基づいてクリニカルパスを自動的に適用する。
21,歯科電子診療録における歯の部位データの利用と管理について誤っているのはどれか。番号を解答記入欄( 21 )にマークしなさい。,一歯毎に区別して管理する。,災害時の身元確認に利用できる。,歯面・歯根単位での管理が望ましい。,複数の歯を同時に扱えるようにする必要がある。,抜歯後の箇所については一歯毎の管理はしない。
22,産科(周産期)診療に関するシステムで記録・評価に用いられるのはどれか。番号を解答記入欄( 22 )に2つマークしなさい。,DESIGN-RⓇ,パルトグラム,アプガースコア,フェイススケール,スライディングスケール
23,眼科システムの機能として必要性が最も低いのはどれか。番号を解答記入欄( 23 )にマークしなさい。,眼科検査機器から検査結果情報を取得する。,所見を手描きで示したスケッチを登録する。,診療録や自科検査結果をまとめたレポートを電子カルテに送信する。,検査結果と所見、評価などの記録をファイリングシステムに保存する。,複数の自科検査を一括してオーダ入力し、検査後にそれぞれ実施入力する。
24,外来化学療法システムに含まれる機能として誤っているのはどれか。番号を解答記入欄( 24 )にマークしなさい。,ベッドコントロールができる。,投与後起きた副作用等のインシデントを登録できる。,レジメン別実施件数などの統計データを集計できる。,標準的な化学療法を行えるよう標準レジメンを登録できる。,患者の体調変化に応じて抗がん剤の投与量を自動計算できる。
25,感染制御部門システムの機能のうち、薬剤耐性菌の発生抑制と最も関連が深いのはどれか。番号を解答記入欄( 25 )にマークしなさい。,感染症マップ機能,手術部位感染モニタ機能,感染症発生状況モニタ機能,感染対策ラウンド支援機能,抗菌薬使用状況モニタ機能
26,医事会計システムの機能でないのはどれか。番号を解答記入欄( 26 )にマークしなさい。,DPC管理,収入金管理,未収金管理,カルテ管理,レセプト電算処理管理
27,新規の患者が入院してきたとき、看護業務支援システムヘ最初に入力するのはどれか。番号を解答記入欄( 27 )にマークしなさい。,評価,看護計画,看護診断,看護アセスメント,看護介入の実施情報
28,検査情報システムの機能に含まれないのはどれか。番号を解答記入欄( 28 )にマークしなさい。,精度管理,検査依頼,採血支援,試薬物品等の在庫管理,顕微鏡画像等の画像管理
29,放射線画像検査オーダ情報を受信し、実施手続きを行うのはどれか。番号を解答記入欄( 29 )に2つマークしなさい。,RIS,HIS,PACS,モダリティ,レポートシステム
30,放射線治療業務と情報システムについて正しいのはどれか。番号を解答記入欄( 30 )にマークしなさい。,放射線治療は原則として1回の照射で完了する。,放射線治療部門専用の治療 RISが構築される。,放射線治療計画の確定入力は診療放射線技師が行う。,密封小線源による内部照射装置とPACSとを接続する。,放射線治療計画データや照射野の情報はPACSで参照できる。
31,リハビリテーション部門システムと連携する必要性が最も低いのはどれか。番号を解答記入欄( 31 )にマークしなさい。,予約システム,勤怠管理システム,検査情報システム,医事会計システム,電子カルテシステム
32,電子カルテシステムと血液浄化部門システムとのデータ連携において連携の必要性が最も低いのはどれか。番号を解答記入欄( 32 )にマークしなさい。,検査結果,処方オーダ,予約オーダ,病理オーダ,患者プロファイル
33,食事オーダエントリシステムを開発する際の要件として適切でないのはどれか。番号を解答記入欄( 33 )にマークしなさい。,食事オーダの締め切り時刻の設定を可能とする。,主食、副食、飲物等のメニューを選択可能とする。,食事オーダの修正はオーダ入力した医師のみ可能とする。,食物アレルギー情報を登録し、オーダ入力時にチェック可能とする。,オーダ時に選択したオーダ内容の栄養量や患者のBMI等を表示させる。
34,医療機関内の物流管理システムで利用するバーコードとして最も適切なのはどれか。番号を解答記入欄( 34 )にマークしなさい。,ITF,JAN,NW-7,CODE39,GS1-128
35,医療行為に用いるコードでないのはどれか。番号を解答記入欄( 35 )にマークしなさい。,ICF,STEM7,Jコード,Kコード,ICD-9-CM
36,横断的チーム医療を支える情報システムの機能として適切でないのはどれかの番号を解答記入欄( 36 )にマークしなさい。,介入の進捗状況を一覧表示する。,介入対象患者の選出や介入期間を管理する。,構成メンバーが保持している資格を管理する。,チームの活動目的に応じた記録記載書式を設定できる。,全ての記録記載書式に全職種のメンバーが入力できるよう設定する。
37,臨床研究システムを構築する際に考慮する事項のうち、優先度が最も低いのはどれか。番号を解答記入欄( 37 )にマークしなさい。,倫理審査の支援,被験者割付の支援,CDISCへの対応,モニタリングの対応,登録対象データのデータクリーニング
38,医療情報システムの導入について正しいのはどれか。番号を解答記入欄( 38 )にマークしなさい。,診療報酬改定ごとにシステム更新する,導入の責任は医療機関の管理者にある。,病院の全業務を搭載するように計画する。,導入コストが最も安価なシステムを選択する。,スタッフの業務負荷よりも医療の効率化を優先する。
39,病院情報システム導入時の各種ワーキング・グループの活動と関連性が最も低いのはどれか。番号を解答記入欄( 39 )にマークしなさい。,現状業務の分析,導入予算総額の変更,業務運用フローの策定,システム化対象範囲の決定,ベンダー技術者とのシステム構成等に関する協議
40,医療情報システムの要求仕様書に含まれないのはどれか。 番号を解答記入欄( 40 )にマークしなさい。,納期,概算見積,検収条件,導入目的,システムの納品形態
41,病院情報システムで使われるマスターについて適切でないのはどれか。番号を解答記入欄( 41 )に2つマークしなさい。,コードと対応する名称は1:1とは限らない。,年度毎のマスターは重複しないコードで管理する。,マスター管理は専任者一人で行うのが原則である。,年度内ではマスターにひもづく診療報酬点数の値を変更してはならない。,同じコードのマスターを同時に別々の端末で編集できないよう排他制御する。
42,病院情報システムにおいて、利用者が退職した際の利用者アカウントの取扱いとして適切なのはどれか。番号を解答記入欄( 42 )にマークしなさい。,速やかに利用権限を停止する。,速やかにアカウントを削除する。,速やかに参照権限のみに変更する。,一定期間経過後、利用権限を停止する。,一定期間経過後、アカウントを削除する。
43,代行入力者による入力の運用について適切なのはどれか。番号を解答記入欄( 43 )にマークしなさい。,共用アカウントでログインする。,管理者用アカウントを共有してログインする。,代行入力を依頼した医師のアカウントでログインする。,自分のアカウントでログインし、代行入力権限を利用する。,自分のアカウントでログインし、入力権限を一時的に変更する機能を利用する。
44,病院情報システムの利用者権限の設定について適切なのはどれか。番号を解答記入欄( 44 )にマークしなさい。,すべての権限を付与する。,職務遂行に際して必要最低限の権限のみを付与する。,将来必要になる可能性のある権限はあらかじめ付与する。,ゼネラルリスクマネージャーにはすべての権限を付与する。,医療情報システム部門の利用者にはすべての権限を付与する。
45,病院情報システムの評価について正しいのはどれか。番号を解答記入欄( 45 )にマークしなさい。,定期的に実施する必要はない。,経営指標の把握が最も重要である。,アンケート形式による調査は行わない。,導入目的が達成されたかを明確にする必要がある。,上級医療情報技師が評価を実施しなければならない。
46,医療情報システムとその導入目的の組み合わせについて誤っているのはどれか。番号を解答記入欄( 46 )にマークしなさい。,医事会計システム ー 診療報酬請求,給食部門システム ー 食材の管理,輸血部門システム ー 輸血時の安全管理,外来患者案内システム ー 患者サービスの向上,インシデント・アクシデントレポートシステム ー 勤務評価
47,病院情報システムにおける医療安全管理の評価指標として正しいのはどれか。番号を解答記入欄( 47 )に2つマークしなさい。,医師の診察時間,不適切な処方の頻度,診療報酬請求の返戻件数,看護師の1日あたりの処置数,転記ミスによるインシデント数
48,病院情報システムの継続的サービス改善(CSI : Continual Service lmprovement)に関する記述のうち適切でないのはどれか。番号を解答記入欄( 48 )にマークしなさい。,システムの継続的な改善を目指すプロセスとしてPDCAサイクルの実践が挙げられる。,是正を要する事項が全て改善できるとは限らず、優先順位をつけて採否の判断をすることもある。,改善の評価基準となるベースラインとして、技術測定基準・プロセス測定基準およびサービス測定基準が挙げられる。,最終日標としての重要 目標達成指標(KGI)と、この下位にあたる中間目標としての重要業績評価指標(KPI)を設ける。,医療政策などの外的要因の変化には原則として運用で対応し、システムの見直し。改修という手段はできる限り選択を避ける。
49,院内のサービスデスクが障害の連絡を受けた際の対応として正しい順序はどれか。番号を解答記入欄( 49 )にマークしなさい。,ア → エ → ウ → イ,ア → ウ → イ → エ,ウ → エ → イ → ア,ウ → ア → エ → イ,エ → ア → ウ → イ
50,カスタマイズ製品からパッケージ製品を用いた情報システムヘの再構築について適切でないのはどれか。番号を解答記入欄( 50 )に2つマークしなさい。,業務連用は極カパッケージに合わせる。,異なるメーカーヘの再構築であってもデータ移行は容易である。,現行の業務運用に対するパッケージ製品のFit&Gap分析を行う。,業務継続性を担保するため要求仕様書に「現行踏襲」と明記する。,計画段階でユーザ部門が標準機能によるプロトタイプを実機で確認することが望ましい
51,保健医療情報分野の標準規格(厚生労働省標準規格)に採用されていないのはどれか。番号を解答記入欄( 51 )にマークしなさい。,SS ― MIX2,HL7 FHIR,IHE ― ITI RFD,SNOMED-CT,IS0 22077-1:2015(MFER)
52,DICOMにより定義されていないのはどれか。番号を解答記入欄( 52 )にマークしなさい。,画像表示機器の輝度特性,放射線読影レポートの記録方法,放射線検査の被ばく線量の記録方法,人工知能によるCADの結果記録方法,VNA(Vender Neutral Archive)の構築方法
53,IHEが提案する地域医療連携に関する統合プロファイルとその説明の組み合わせのうち誤っているのはどれか。番号を解答記入欄( 53 )にマークしなさい。,PDQ 一 患者基本情報問い合わせ,PIX 一 時刻同期,XCA 一 コミュニティ間連携,XDS 一 施設間情報共有,ATNA 一 監査証跡とノード認証
54,SS―MIX2について誤っているのはどれか。番号を解答記入欄( 54 )にマークしなさい。,薬剤コードはYJコードで保存される。,検査結果はJLAC10コードで保存される。,検査結果は更新前のデータも保存されている。,退院時サマリーは作成日のフォルダーに保存される。,HL7メッセージのファイル名に診療科コードが含まれる。
55,次世代医療基盤法について誤っているのはどれか。番号を解答記入欄( 55 )にマークしなさい。ただし、「認定匿名加工医療情報作成事業者」をここでは「認定事業者」と略称する。,認定事業者は第三者提供に対する患者同意を必ずしもオプトインにより得る必要はない。,認定事業者が個人識別できないよう匿名加工処理されたデータであれば第三者提供ができる。,匿名加工情報を第三者提供した認定事業者は、匿名加工に要する費用の対価を第三者から得てもよい。,認定医療情報等取扱受託事業者は、認定事業者から匿名加工のためのデータ処理等を請け負うことができる。,患者から同意撤回があった場合、認定事業者から第三者提供されたデータについては、当該第二者機関に削除義務が生じる。
56,「医療情報システムの安全管理に関するガイドライン第 5.2版 」について誤っているのはどれか。番号を解答記入欄( 56 )に2つマークしなさい。,院外にサーバを持つ医療情報システムも適用対象となる。,ガイドラインを遵守しない場合は刑事罰が定められている。,プライバシーマークやISMS認定を取得することが推奨される。,外部保存を受託する事業者が匿名化された情報を取り扱う場合、個人情報保護の配慮は不要である。,ガイドライン適合性の確認のため「製造業者/サービス事業者による医療情報セキュリテイ開示書」を請求する。
57,「医療情報システムの安全管理に関するガイドライン第 5.2版 」が令和9年以降の医療情報システムに求めている本人認証の方式に該当しないのはどれか。番号を解答記入欄( 57 )に2つマークしなさい。※試験当日配付の問題に訂正を加えています。,ID番号と虹彩認証,職員証 (ICカード)と静脈認証,英数字、記号を混在させた13文字以上の推定困難な文字列,英数字、記号を混在させた8文字以上の推定困難な文字列とICカード,英数字、記号を混在させた8文字以上の推定困難な文字列と指紋認証
58,病院情報システムの運用において各種法令・規則に反する行為はどれか。番号を解答記入欄( 58 )にマークしなさい。,看護師による看護指示入力,看護師による処置行為の実施入力,医師による医事会計システムヘの患者登録,事務系職員による医事会計システムでの主病名の確定,医師事務作業補助者による電子カルテヘの医療記録の入力
59,「医療情報を取り扱う情報システム・サービスの提供事業者における安全管理ガイドライン」における対象事業者の「医療情報の安全管理に関する義務・責任」の説明で誤っているのはどれか。番号を解答記入欄( 59 )にマークしなさい。,医療機関等の安全管理措置を監督する義務がある。,医療機関等の患者に対する安全管理義務の履行補助者の立場となる。,医療機関等に対する善管注意義務またはこれと実質的に類似する義務がある。,安全管理義務を履行するために必要な情報を適時適切に医療機関等に提供する義務がある。,発生した情報セキュリティ事故に対し速やかに善後策と再発防止策を講じなければならない。
60,「医療・介護関係事業者における個人情報の適切な取扱いのためのガイダンス」(令和4年3月一部改正)による病院における個人情報保護について誤っているのはどれか。番号を解答記入欄( 60 )にマークしなさい。,患者サービスに必要な情報の利用 目的や利用範囲等を周知する。,6ヵ月以内に削除する予定の個人データも開示請求の対象となる。,診療提供のために要配慮個人情報をオプトアウト方式で取得できる。,患者本人に重大な影響を及ぼす可能性がある場合は、開示請求を拒否することができる。,要配慮個人情報を本人の同意なしに第三者提供することは、いかなる場合も認められない。
