2012II,問題文,選択肢,,,,
35,院外処方について正しいのはどれか。番号を解答記入欄（ 35 )にマークしなさい。,処方せんの薬剤名称は一般名で書かなければならない。,FAXで受けた処方せんは真正な処方せんとみなされる 。,薬剤師は処方せんに書かれた病名をもとに処方監査する。,薬剤師は処方せんに記載通りの薬剤しか調剤してはならない。,患者自己負担分を除いた薬剤費・調剤費は保険者に請求でき る。
36,麻薬処方せんに記載する必要があるのはどれか。番号を解答記入欄( 36 )にマークしなさい。,住所,病名,既往歴,電話番号,前回来院日
37,眼内レンズ治療を行うのはどれか。番号を解答記入欄（ 37 )にマークしなさい。,飛蚊症,緑内障,白内障,網膜剥離,角膜潰瘍
38,誤っている組み合わせはどれか。番号を解答記入欄（ 38 )にマークしなさい。,脳出血　ー　脳動脈コイル塞栓術,狭心症　ー　冠動脈バイパス手術,心室細動　ー　除細動,気管支喘息　ー　ステロイド吸入,慢性閉塞性肺疾患　ー　リハビリテーション
39,理学的診察でないのはどれか。番号を解答記入欄( 39 )にマークしなさい。,視診,触診,問診,打診,聴診
40,クリニカルパスの目的としてもっとも適切でないのはどれか。番号を解答記入欄( 40 )にマークしなさい。,医療の標準化,病院収益の増加,在院日数の短縮,チーム医療の推進,退院計画作成の合理化
41,PDCAサイクルに含まれないのはどれか。番号を解答記入欄( 41 )にマークしなさい。,計画,実行,調査,評価,改善
42,診療録について正しいのはどれか。番号を解答記入欄( 42 )にマークしなさい。,誤りの訂正を行わない。,患者は閲覧を請求できる 。,病名は医療事務職が記載する 。,保健指導の内容は省略できる 。,患者の死後は保存義務がない。
43,正しい組み合わせはどれか。番号を解答記入欄( 43 )にマークしなさい。,看護計画　ー　看護業務の円滑化のために作成されたもの,患者の移送日々の状態および行った看護ケア・処置の記録,看護サマリ　ー　患者の基本的な状態を把握するための記録,患者基本情報　ー　ある一定期間の患者の状態の要約,看護ワークシート　ー　患者状態の経過をグラフと表で構成したもの
44,作成・保管が義務づけられていないのはどれか。番号を解答記入欄(44)にマークしなさい。,診療録,照射録,手術記録,処方せん,患者受付票
45,特定生物由来製品の使用記録の保存期間は最低何年か。番号を解答記入欄( 45 )にマークしなさい。,5年,10年,15年,20年,25年
46,保存期間が5年でないのはどれか。番号を解答記入欄(46)に2つマークしなさい。,診療録,助産録,調剤録,照射録,救急救命処置録
47,誤って量る組み合わせはどれか。番号を解答記入欄( 47 )にマークしなさい。,年齢　ー　計量データ,癌の病気　ー　順位データ,意識レベル　ー　分類データ,食事量(%)　ー　計量データ,心筋梗塞発生率　ー　順位データ
48,"""以下のような10個のデータがある。正しく説明しているのはどれか。番号を解答記入欄( 48 )にマークしなさい。デー タ :1,2,3,3,4,5,5,5,6,7""",最頻値は3である。,中央値は4である。,分散は 1.0である。,平均値は4.1である。,標準偏差は 0.5である。
49,適切でない組み合わせはどれか。番号を解答記入欄( 49 )にマークしなさい。,死因別死亡率　ー　円グラフ,医師数の推移　ー　折れ線グラフ,年齢階層別人口比率　ー　帯グラフ,都道府県別人口10万人対医師数　ー　棒グラフ,病床規模別の平均在院数のばらつき評価　ー　レーターチャート
50,平成22年のわが国の死因でもっとも多い組み合わせはどれか。番号を解答記入欄( 50 )にマークしなさい。,がん・肺炎 ・脳卒中,脳卒中・心臓病・がん,肝疾患・がん・心臓病,心臓病・がん・腎不全,腎不全・肝疾患・脳卒中
