2012JS,解答,解説
39,4,ガントチャートはプロジェクト管理のために用いるツールの1つであり、縦軸に作業工程やリソースを列挙し、横軸は時間として各工程の開始から終了までを帯状の線で表現する。各作業工程間の依存関係や、予定と進捗状況の差異を視覚的に確認できる。「要求分析」や「プログラム設計」のために用いるッールでも、「構造化設計」や「オブジェクト指向設計」といったシステム設計手法で用いるツールでもない。
40,4,構造テストは、プログラムの構造に沿って動作を検証するテスト手法であり、システム開発工程時のテストとは異なる。システム開発のテストエ程では、単体テスト、結合テスト、システムテストおよび運用テストの順に行われる。
41,4,プロジェクト管理の知識体系(PMBOK)では、プロジェクトマネジメントにおけるプロセスを、「統合」「スコープ」「タイム」「コスト」「品質」「人的資源」「コミュニケーション」「リスク」「調達」の9つの知識エリアに分類している。ユーザ管理はこれらの知識エリアには含まれていない。
42,4,ネットワーク図におけるクリティカルパスは、開始ノードから終了ノードヘ至る経路の中で最も時間を要する経路のことである。各経路に要する時間は以下の通りである。1)2+6+6で142)2+5+5+6で183)4+6+5+6で214)2+3+6+5+6で225)「C→B」および「D→E」がネットワーク図のパスと逆向きであり、あり得ない経路である。したがって、所要時間が最大である4)がクリテイカルパスとなる。
43,4,無停電電源装置は、停電の際にサーバ機などに一定時間電気を供給するために、蓄電池に電気を貯めておく装置である。消費電力を抑える装置でも、発電する装置でもない。専用電源があってもよいが、必要ではない。また、蓄電池は消耗品であり、2～3年毎に交換が必要である。この問題では、無停電電源装置の機能と蓄電池の特性についての正確な理解が必要である。
44,3,ボリュームライセンスは、利用者、導入するコンピュータを限定せずに、導入できるコンピュータの台数分を購入する契約である。1)と2)は個人を対象としたライセンスであり、1)がユーザ固定ライセンス、2)がマシン固定ライセンスである。3)～5)が組織を対象としたライセンスであり、4)がサイトライセンス、5)がサーバライセンスである。近年、ライセンス管理の厳格化が求められており、不適切なライセンス使用を行うと、大きな賠償額を請求されることになるので、医療情報技師としてはライセンス区分を正確に理解しておかなければならない。
45,4,ネットワーク管理で用いられるコマンドについての問題である。4)telnetは、サーバにリモートログインしてサーバの稼働状況や設定情報を調べる際に用いるコマンドである。1)ipconng(ipconfig)は管理するコンピュータ上で使って、ネットワーク設定を確認する際に用いるコマンドである。2)nslookupは、DNSからドメインの管理情報を得たり、ドメイン名とIPアドレスとの相互検索をしたりする際に用いるコマンドである。3)pingは、対象機器のネットワークアドレスを指定して、到達状況を調べる際に用いるコマンドである。5)tracert(traceroute)は、指定したホストコンピュータまでの到達経路と中継時間とを表示するコマンドである。
46,2,バックアップポリシーとは、データの安全性を確保するためにバックアップをどのような考えで行うのかを規定したもので、データの安全性に関わる事項が関係する。したがって、どのようなリスクを想定して、どのようなデータ単位で、どのような記憶媒体にバックアップをとり、その記憶媒体をどこに保管するか、またどのような間隔でバックアップを実施するかなどが関係する。しかし、実施する組織を規定するものではない。
47,4,この問題では、技術的セキュリティ対策における設計と具体的な方式がミックスして並べられており、その区別を問うている。4)障害が発生した機器の代わりにスタンバイしている機器が直ちに稼働する方式はホットスタンバイである。1)フェイルソフトは障害時に最小限のサービスができる設計、2)フェイルセーフは障害が発生しても安全に稼働する設計、そして3)フールプルーフは操作ミスをしても障害が生じない設計である。5)フォールバック運転は、障害時にサービスレベルを下げてシステム稼働させている状況を指す用語である。
48,3,MTBFは平均故障間 隔 (Mean Time Between Failures)であるが、これを知らないと解答できない問題である。MTBFは、何回か故障が発生した場合、システムが稼働していた時間の合計 (総稼働時間)を故障回数で割って算出する。この問題では3回故障があり、その間の総稼働時間は(50時間 +90時間 +70時間)=210時間であるから、MTBFは210時間/3回=70時間である。1)2時間はMTTR(平均修復時間)であり、(2時間 +3時間 +1時間)/3回で得られる時間、2)6時間は総修復時間、4)72時間はMTBF+MTTR、 5)210時間は総稼働時間である。
49,4,4)データ転送時間は一定量のデータをデータベースから送り出す時間であり、短い方がよい。他の4つはすべて値が大きいほうが性能がよい。1)ヒット率はSQLで抽出されるデータがキャッシュメモリにある確率、2)入出力回数は単位時間あたりに行われる入出力の回数、3)スループットは単位時間あたりのトランザクション数、5)処理ページング数は単位時間あたりに処理したページ数である。
50,4,RASISは情報システムの信頼性を評価する指標であり、Immunity(免疫性)を含まない。1)Reliabilityは信頼性、2)Availabilityは可用性、3)Serviceabilityは保守性、5)Securityは安全性であり、すべて信頼性の指標である。
