2012IS,問題文,選択肢,,,,
11,医療情報の漏えい事故等が起きた直後に医療機関の管理者が全うすべき責任として適切なのはどれか。番号を解答記入欄( 11 )に2つマークしなさい。,原因を追究する責任,責任者を追及する責任,事故に関する説明責任,定期的に見直して改善する責任,機能や運用方法が基準を満たしていることの説明責任
12,患者プロファイルの項目として適切でないのはどれか。番号を解答記入欄( 12 )にマークしなさい。,血液型,治験情報,妊娠情報,再診予約日時,薬剤アレルギー
13,予約枠を設定することが一般的でない検査はどれか。番号を解答記入欄( 13 )にマークしなさい。,核医学検査,造影CT検査,胃内視鏡検査,病理組織検査,運動負荷心電図検査
14,処方オーダの安全性を高めることに寄与しないのはどれか。番号を解答記入欄( 14 )にマークしなさい。,後発薬品に対する先発薬品の名称を表示する。,候補薬剤からマウスで選択できるようにする。,薬剤分量が制限量を越えないことをチェックする。,薬剤名称検索では 3文字以上の入力を必要とする。,DI(Drug Infrmation)を参照できるように設定する。
15,入院患者の持参薬運用について誤っているのはどれか。番号を解答記入欄( 15 )にマークしなさい。,持参薬運用とすることはコスト削減につながる。,薬剤部門以外の部署で持参薬の内容確認を行ってもよい。,薬剤師が持参薬の内容確認をすれば医師の確認は不要である。,入院時に持参薬の内容を迅速に確認できる運用が重要である。,全ての保険収載薬品を検索可能な医薬品マスタの構築が望ましい。
16,検体検査について正しいのはどれか。番号を解答記入欄( 16 )に2つマークしなさい。,検査結果は数値のみである。,検査結果は訂正されることがない。,検体の採取時刻による管理が行われる。,同時に依頼された検査結果はまとめて報告される。,外来迅速検体検査加算には報告書の印刷が求められる。
17,削除,,,,,
18,造影MRI検査オーダ発行の際に確認が必要でないのはどれか。番号を解答記入欄( 18 )にマークしなさい。,刺青の有無,鉄剤服用の有無,閉所恐怖症の有無,ステント留置の有無,血清クレアチニンの結果値
19,輸血部門システムについて誤っているのはどれか。番号を解答記入欄( 19 )にマークしなさい。,手術時間,手術術式,麻酔方法,手術予定日,手術説明書
20,手術 申込オーダのうちもっとも優先度が低い入力項目はどれか。番号を解答記入欄( 20 )にマークしなさい。,手術時間,手術術式,麻酔方法,手術予定日,手術説明書
21,PACSの基本機能でないのはどれか。番号を解答記入欄( 21 )にマークしなさい。,画像検索,画像作成,画像参照,画像配信,画像保管
22,患者の手を経て他の医療施設等に医用画像を提供する「患者に渡す医用画像媒体についての合意事項改訂版 (平成23年11月)」の記述として正しいのはどれか。番号を解答記入欄( 22 )にマークしなさい。,画像は圧縮しなければならない。,媒体にはDVDを用いなければならない。,媒体表面には患者名を記載してはならない。,複数患者のデータを1枚の媒体に入れてもよい。,事前合意があれば動画像を渡すことは可能である。
23,看護師が使用する情報システムについて正しいのはどれか。番号を解答記入欄( 23 )にマークしなさい。,看護必要度の入力機能は必須である。,ケア計画は医事システムとの連携が必要である。,患者の入院病床を登録するシステムとの連携が必要である。,勤務。人事管理システムは看護部門システムとして独立している。,オーダエントリシステムと看護職の勤務。人事管理システムで構成される。
24,看護師が使用する情報システムの機能として適切でないのはどれか。番号を解答記入欄( 24 )にマークしなさい。,1日の起点を定める機能がある。,患者を固定して業務を選択できる。,業務を固定して患者を選択できる。,看護記録の参照は看護師に限定する。,患者一覧から複数の項 目のデータを表形式で入力する。
25,クリニカルパスシステムについて誤っているのはどれか。番号を解答記入欄( 25 )にマークしなさい。,オーダセットのことである。,バリアンスヘの対応が必要である。,統計解析機能があることが望ましい。,医師が作成に参加しなければならない。,患者への説明用ツールとして有用である。
26,歯科のレセプトについて誤っているのはどれか。番号を解答記入欄( 26 )に2つマークしなさい。,処置と病名の結びつきが強い。,病名に部位の表記が必須である。,医科と同じ書式のレセプトを使う。,部位が異なれば病名は重複してもよい。,医科のレセプトにある歯科記載欄を使って記載する。
27,歯科診療録について誤っているのはどれか。番号を解答記入欄( 27 )にマークしなさい。,厚生労働省から歯科電子点数表が公開されている。,歯科技工物作成時には歯科技工士の署名が求められる。,医療機関において徴収した負担金を記載する必要がある。,自費診療録と保険診療録を分けることが求められている。,診療録の様式一号では歯牙配列図等を記入する欄がある。
28,物流管理システムと関連が深いのはどれか。番号を解答記入欄( 28 )に2つマークしなさい。,看護管理システム,病名登録システム,経営管理システム,地域連携システム,オーダエントリシステム
29,医事会計システムについて正しいのはどれか。番号を解答記入欄( 29 )に2つマークしなさい。,医療費の自己負担額は全国で統一されている。,診療報酬明細書の病名欄には疑い病名も含めて記載する。,患者に渡す診療内容の明細書を発行する機能が必要である。,医事会計システムとはレセプト電算処理システムのことである。,DPC算定をする病院では入院患者に出来高払いの計算をすることはない。
30,新たに情報システムを構築する際の議論の進め方として妥当でないのはどれか。番号を解答記入欄( 30 )にマ ークしなさい。,奇抜な意見も歓迎する 。,他人の意見を批判しないようにする 。,さまざまな視点から多くの意見を出してもらう 。,コンピュータの得意な人たちの議論を中心に進める 。,他人のアイデアを流用したり、既出のアイデアを結合 したりする 。
31,検体検査システムの導入目的として適切でないのはどれか。番号を解答記入欄 ( 31 )にマーク しな さい。,検査手法の改善,事務作業の効率化, 医療従事者の情報共有,臨床検査技師の業務効率化,検査結果情報提供サービスの向上
32,情報システムの導入計画についての記述のうち誤っているのはどれか。番号を解答記入欄( 32 )にマ ークしなさい。,導入する目的を明確にする 。,導入するための組織の立ち上げを行う 。,導入する目 的の達成に向けて病院とベンダが協力する 。,現在の課題をすべて解決するために導入する計画を作成する。,仕様書作成にあたっては、業務遂行上の課題や要望を整理する。
33,新たな電子カルテシステムに稼働に向けて行う最終リハーサルの記述のうちもっとも重視すべきことはどれか。番号を解答記入欄 ( 33 )にマークしなさい。,操作の習熟を図る 。,できるだけ長時間行う 。,ベンダが主導して行う 。,シナリオに頼らず行う 。,運用上の問題がないことを確認する 。
34,入院患者を対象とする携帯端末(PDA)による注射認証システムを導入することになった。各病棟に設置する端末台数を決定する指標としてもっとも重要性が高いのはどれか。番号を解答記入欄( 34 )にマークしなさい。,日勤の看護師数,病棟の重症度別患者数,病棟で勤務する医師数,病棟の面積および病室数,病棟の診療科別の患者数
35,病院システム管理部門の責任者が、業者とのシステム保守契約締結に際してとるべき姿勢として適切でないのはどれか。番号を解答記入欄( 35 )に2つマークしなさい。,契約内容は業者が作成する。,契約書のあいまいな内容を明確にするように調整する。,病院情報システム部門で実施できない保守作業を保守契約でカバーする。,保守契約は資材部門 (調 達部門)の作業なので、契約内容には関与しない。,保守業者と病院との役割分担を明確にし、作業に漏れがないように調整する。
36,コンピュータシステムのコストを初期コストとランニングコストに分けるとき、初期コストに含まれるのはどれか。番号を解答記入欄( 36 )に2つマークしなさい。,保守費用,リース費用,設備維持費用,ハードウェア購入費用,ネットワークエ事費用
37,病院情報システムの運用について誤っているのはどれか。番号を解答記入欄( 37 )にマークしなさい。,クライアントOSのパッチは最新のものを適用する。,システムを安定稼動させるために稼働状態を監視する。,トラブル時に緊急度に応じた対応がとれる体制を整備する。,ソフトウェアのバージョンアップは院内ルールに従って行う。,情報システム資産の管理項目にはOSのバーションも含める。
38,病院情報システムのシステムダウン対策として適切でないのはどれか。番号を解答記入欄( 38 )に2つマークしなさい。,サーバやネットワークの冗長化を行う。,対策マニュアルはベンダに作成させる。,システムダウン時の運用を想定して準備しておく。,システムダウン時の連絡手順書を現場に配置しておく。,システムダウン時は直ちに診療を中止し、復旧を待つ。
39,病棟の看護師から、使用している端末にウイルスが検出されたというメッセージが表示されたと連絡が入った。システム運用の立場で最初にとるべき行動はどれか。番号を解答記入欄( 39 )にマークしなさい。,再発防止策を検討する。,当該端末をネットワークか ら切り離す。,電子カルテシステムが動作するか確認する。,連絡してきた看護師にメッセージ確認までの経緯を詳細に聞く。,担当の職員が到着するまでそのまま端末を使用するよう指示する。
40,医師の確認操作があることが前提の医療情報システムの代行入力操作について正しいのはどれか。番号を解答記入欄( 40 )にマークしなさい。,患者の薬希望に対して、薬剤師が自分のID。パスワードでログインし、処方を入力する。,患者の薬希望に対して、看護師が医師のID。パスワードでログインし、処方を入力する。,医師の回頭指示を受けて、薬剤師が医師のID・パスワードでログインし、処方を入力する。,医師の口頭指示を受けて、クラークが医師のID・パスワードでログインし、処方を入力する。,医師の回頭指示を受けて、看 護師が自分のID・パスワードでログインし、指示医を指定して処方を入力する。
41,病棟でナースステーションの端末すべてに障害が起きたという報告があった。他の病棟に確認すると、正常に動作しているということであった。もっとも可能性が高い原因はどれか。番号を解答記入欄( 41 )にマークしなさい。,端末の機能障害,基幹ネットワークの障害,ネットワークの部分障害,主要サーバでのソフトウェア障害,リモートメンテナンス回線の障害
42,診療所のレセプトコンピュータに求められる機能としてもっとも必要性が低いのはどれか。番号を解答記入欄( 42 )にマークしなさい。,特定健診への対応,入カデータの再利用,地方公費などへの対応,医療費改定などへの速やかな対応,入力情報の欠落や不適切のチェック
43,診療所の電子カルテシステムの機能でもっとも普及しているのはどれか。番号を解答記入欄( 43 )にマークしなさい。,PACSと連携している。,レセコンと連動している。,医療機器と連動している。,地域医療支援病院と連携している。,地域医療ネットワークと連携している。
44,コンピュータによる要介護認定について正しいのはどれか。番号を解答記入欄( 44 )にマークしなさい。,二次判定に用いられている。,都道府県単位で開発されている。,要介護は判定できるが、要支援は判定できない。,介護サービスの違いにより異なったソフトウェアを利用する。,判定には、身体介助、認知機能障害、医療依存度が必要である。
45,介護保険者の情報システムに含まれないのはどれか。番号を解答記入欄( 45 )にマークしなさい。,被保険者管理システム,遠隔医療情報システム,利用者給付管理システム,保険料徴収管理システム,要介護認定管理支援情報システム
46,特定健診の提出データにおいて求められているのはどれか。番号を解答記入欄( 46 )にマークしなさい。,結果をオンラインで提出すること。,データファイルは非圧縮形式で送付すること。,データは公開鍵方式を用いて暗号化すること。,胸部レントゲン画像をJPEGで圧縮すること。,データファイル形式がHL7に準拠していること。
47,医療機関が医療情報を外部施設に保管する場合に誤っているのはどれか。番号を解答記入欄( 47 )にマークしなさい。,外部保存の責任は依頼した医療機関にある。,医療関係機関に保管することが必須である。,医療機関は外部保管していることを掲示しなければならない。,医療機関は保管されている情報を定期的に監査しなければならない。,経済産業省および総務省が定めるガイドラインに準拠していることが求められる。
48,現在、わが国で認められていない遠隔診療はどれか。番号を解答記入欄( 48 )にマークしなさい。,伝送された放射線画像の読影,手術野の伝送による上級医の助言,伝送された病理組織画像の迅速診断,テレビ会議システムによる初診患者の診療,在宅酸素療法を行っている患者への指導、助言
49,地域医療連携ネットワークの整備方針として適切でないのはどれか。番号を解答記入欄( 49 )に2つマークしなさい。,施設毎に統一したシステムを導入する。,参加する医療機関を結ぶ物理的な専用回線を整備する。,参加施設、関係者間で運用ルール等の合意形成を図る。,地域医療連携ネットワークの運用に係る経費を確保する。,相互のデータ交換を円滑に行うためにマスタ等の標準化を図る。
50,削減,,,,,
51,医療情報システム分野で標準規格としてふさわしいものを取り上げて審査し、推奨する活動を行う組織はどれか。番号を解答記入欄( 51 )にマークしなさい。,IHE,JIRA,DICOM,HELICS,MEDIS-DC
52,JLAC10の説明として正しいのはどれか。番号を解答記入欄( 52 )にマークしなさい。,医薬品マスタの基本となる13桁の管理番号,診断群分類に対して14桁で構成される診断群分類番号,日本臨床検査医学会が制定した臨床検査項 目分類コード,医療情報システム間における医療情報交換のための標準規約,世界保健機構(WHO)の設定した、国際疾病分類の第 10版
53,薬剤の管理に使えないコードはどれか。番号を解答記入欄( 53 )にマークしなさい。,Kコード,YJコード,HOT番号,JANコード,レセプト電算処理コード
54,診療報酬の電子請求の際に用いられるレセプト電算処理システムコードを提供している団体はどれか。番号を解答記入欄( 54 )にマークしなさい。,全国健康保険協会,国民健康保険団体連合会,医療情報標準化推進協議会,社会保険診療報酬支払基金,保健医療福祉情報システムエ業会
55,DICOMタグに通常含まれない情報はどれか。番号を解答記入欄( 55 )に2つマークしなさい。,受付番号,患者の名前,シリーズ番号,患者の保険番号,患者のアレルギー情報
56,DICOMに関する記述のうち誤っているのはどれか。番号を解答記入欄( 56 )に2つマークしなさい。,マルチベンダでのシステム構築を容易にする。,DICOM対応とは、すべてのDICOM規格に準拠していることである。,画像の通信方式や検査依頼などの文字情報のやりとりについても規定している。,放射線画像だけの規格であり、超音波画像や内視鏡画像などには対応していない。,DICOM接続したい機器の適合性宣言書を見れば、接続可能かどうかが判断できる。
57,IHE-Jのコネクタソンに関する記述のうち誤っているのはどれか。番号を解答記入欄( 57 )にマークしなさい。,実際に他社の製品との接続確認を行う,接続性(Connectivity)とマラソン(Marathon)の造語である。,テストシナリオに従って審査員(第 三者)による検証を行っている。,ベンダ各社の接続仕様について詳細に検討を行い、仕様を決定する場である。,IHEのテクニカルフレームヮークに準拠して開発した製品の相互接続性を確 認する場である。
58,データベースに蓄積された大量のデータを分析して、隠れた関係性や意味を見つけ出す知識発見の手法はどれか。番号を解答記入欄( 58 )にマークしなさい。,データマート,データマイエング,データエンティティ,データクレンジング,データストラクチャリング
59,診療データの二次利用に際して考慮する必要性がもっとも低いのはどれか。番号を解答記入欄( 59 )にマークしなさい。,データの単位の統一,データの形式の統一,欠損値や外れ値の処理,データの利用 目的の想定,データ分析ツールの限定
60,がん登録について正しいのはどれか。番号を解答記入欄( 60 )に2つマークしなさい。,院内がん登録の項目は地域がん登録と同じである。,患者が居住する都道府県の地域がん登録に登録する。,院内がん登録はすべての病院で行うことが原則となっている。,1人の患者が複数の医療機関を受診しても、登録は1病院のみである。,同じ患者であっても異なる病理診断のがんが発生すれば再度登録する。
