2012JS,問題文,選択肢,,,,
14,無線 LAN技術の説明のうち誤っているのはどれか。番号を解答記入欄( 14 )にマークしなさい。,WPAではTKIPが使用されている。,WEPは電波に乗せるデータを暗号化する技術である。,ESS-IDを用いることによってユーザ認証が可能である。,WPAはWEPのセキュリティ上の欠点を補うために開発された。,ESS-IDはアクセス・ポイントが提供する無線 LANネットワークの名称である。
15,通信プロトコルについて正しいのはどれか。番号を解答記入欄( 15 )にマークしなさい。,通信障害時の対策,データ送受信テスト手順,データ送受信時の付加情報,ネットワークシステム設計書,データ送受信の手続きと規約
16,WANの説明として適切なのはどれか。番号を解答記入欄( 16 )にマークしなさい。,構内ネッ トワークである。,インターネットの別名である,広帯域無線ネットワークのことである,接続範囲を限定したネットワークである。,複数のLAN間を接続するネットワークである。
17,TCP/IPの記述のうち誤っているのはどれか。番号を解答記入欄( 17 )にマークしなさい。,IPアドレス長は32ビットがある。,電子メールの送受信を規定している。,TCPとIPの2つを合わせたものである。,コネクション型の通信サービスを提供する。,データをパケット単位に分割して転送する。
18,MACアドレスは何ビットか。番号を解答記入欄( 18 )にマークしなさい。,6,16,24,32,48
19,2048KBの画像を20Mbpsの伝送速度で伝送できる場合の最短所要時間はいくらか。番号を解答記入欄( 19 )にマークしなさい。,0.1秒,0.8秒,1.2秒,8.0秒,12.8秒
20,172.17.0.0/21で表わされるネットワークのネットマスクはどれか。番号を解答記入欄( 20 )にマークしなさい。,255.255.192.0,255.255.240.0,255.255.248.0,255.255.255.128,255.255.255.240
21,ARPを用いて行うのはどれか。番号を解答記入欄( 21 )にマークしなさい。,IPアドレスを動的に割り当てる。,MACアドレスの設定変更をする。,IPアドレスからホスト名を求める。,ホスト名からIPアドレスを求める。,IPアドレスからMACアドレスを求める。
22,NAPTで変換されるのはどれか。番号を解答記入欄( 22 )にマークしなさい。,ホスト名,ポート番号,ネットマスク,MACアドレス,ネットワークアドレス
23,メール送信後に`User Unknown` と書かれたエラーメッセージが届いた。原因として正しいのはどれか。番号を解答記入欄( 23 )にマークしなさい。,迷惑メールとして判定された。,宛先アドレスが正しくなかった。,メールの保存領域が制限を超えた。,転送先で送信元に転送されていた。,送信元アドレスが存在しなかった。
24,ネットワークを利用し時計を同期するプロトコルはどれか。番号を解答記入欄( 24 )にマークしなさい。,NDP,NTP,NNTP,SMTP,SNMP
25,関係データベースのキーについて正しいのはどれか。番号を解答記入欄( 25 )に マークしなさい。,外部キーの参照先を候補キーという。,主キーの値として空値(Null)は許される,参照キーの値として空値(Null)は許される。,外部キーの値として空値(Null)は許されない。,1つの表内に主キーの値が同じ行は複数あってはいけない。
26,次のSELECT文で得られる情報はどれか。番号を解答記入欄( 26 )にマークしなさい。,病棟別の平均使用量,病棟別の合計使用金額,病棟別、薬品別の平均使用量,病棟別、薬品別の合計使用量,病棟別、薬品別の合計使用金額
27,問26の表で`薬品使用`主キーはどれか。番号を解答記入欄( 27 )にマークしなさい。,薬品コー ド,使用年月日と病棟コード,薬品コードと病棟コード,薬品コードと使用年月日,薬品コードと使用年月日と病棟コード
28,関係データベースの操作のうち、対象とする関係から指定した属性を指定した並びで抽出する操作はどれか。番号を解答記入欄( 28 )にマークしなさい。,結合,差,射影,選択,挿入
29,ERモデルについて誤っているのはどれか。番号を解答記入欄( 29 )にマークしなさい。,実体間はM対Nで関連される。,実体間の結びつきを関連と呼ぶ。,実体についての性質を属性と呼ぶ,実体間のデータの流れを表現する。,実体間の結びつきの数を基数と呼ぶ。
30,情報セキュリテイの要素の説明のうち誤っているのはどれか。番号を解答記入欄( 30 )にマークしなさい。,信頼性:意図した動作および結果に一致する特性,完全性:資産の正確さおよび完全さを保護する特性,真正性:ある主体が主張どおりであることを確実にする特性,機密性:認可されていない個人に対して情報を使用不可または非公開にする特性,否認防止:認可された個人が要求したときにアクセスを不当に拒否されない特性
31,公開鍵暗号方式に使われるアルゴリズムはどれか。番号を解答記入欄( 31 )にマークしなさい。,AES,DES,RSA,WEP,３DES
32,生体(バイオメトリクス)認証で利用しないのはどれか。番号を解答記入欄( 32 )にマークしなさい。,体格,虹彩,指紋,静脈,声紋
33,共通鍵暗号方式の鍵の数が公開鍵暗号方式の鍵の数よりも多くなるのは何人以上で相互に通信する場合か。番号を解答記入欄( 33 )にマークしなさい。,2人,３人,４人,５人,６人
34,電子署名で防止できるのはどれか。番号を解答記入欄( 34 )にマークしなさい,否認,漏洩,改ざん,ウイルス感染,不正アクセス
35,メッセージダイジェストの送信手順に関する次の文の(  )内に入る用語を下の語群から選び、番号を解答記入欄( 35 )～ ( 36 )にマークしなさい。,"( 35 ) 9 ,( 36 ) 4","( 35 ) 8 ,( 36 ) 3","( 35 ) 7 ,( 36 ) 2","( 35 ) 6 ,( 36 ) 1","( 35 ) 7 ,( 36 ) 4"
36,不正アクセス対策のフィルタリングの対象でないのはどれか。番号を解答記入欄( 37 )にマークしなさい。,プロトコル,ポート番号,IPアドレス,MACアドレス,サブネットマスク
37,VPN通信で使われない技術要素はどれか。番号を解答記入欄( 38 )にマークしなさい。,認証,暗号化,カプセル化,トンネリング,フィルタリング
38,プロトタイピング・モデルの利点でないのはどれか。番号を解答記入欄( 39 )にマークしなさい。,ユーザインターフェイス部分の設計を早期に確定できる。,システムの内部構造の決定や機能のモデル化が容易 となる,システム開発者は最終的な要求を早期に洗い出すことができる。,ユーザはシステムに対して早期に具体的なイメージを持つことができる。,開発工程を見通しやすく、日程の決定や進捗管理・資源の配分がしやすい。
39,ガントチャートが使われる場面はどれか。番号を解答記入欄( 40 )にマークしなさい。,要求分析,構造化設計,プログラム設計,プロジェクト管理,オブジェクト指向設計
40,システム開発工程時のテストでないのはどれか。番号を解答記入欄( 41 )にマークしなさい。,単体テスト,結合テスト,運用テスト,構造テスト,システムテスト
41,プロジェクト管理の知識体系(PMBOK)の必要事項に含まれないのはどれか。番号を解答記入欄( 42 )にマークしなさい。,調達管理,品質管理,コスト管理,ユーザー管理,リスク管理
42,次のネットワーク図におけるクリテイカルパスはどれか。番号を解答記入欄（ 43 )にマークしなさい。,A → B → D → F,A → B → E → D → F,A → C → E → D → F,A → B → C → E → D →F,A → C → B → D → E →F
43,無停電電源装置について正しいのはどれか。番号を解答記入欄( 44 )にマークしなさい。,節電になる,発電機能を持つ,専用電源が必要である,停電時の宮殿時間には限界がある,半永永久的に蓄電池を交換しなくてよい
44,ボリュームライセンスについて正しいのはどれか。番号を解答記入欄( 45 )にマークしなさい。,登録したユーザのみ利用できる。,登録したコンピューターのみに導入できる,購入したライセンス数だけPCに導入できる,契約した組織内であれば無制限に利用できる,ライセンスサーバーで利用者、導入PC数を監視する
45,サービスの提供状態や設定を確認するために、サーバにアクセスするコマンドはどれか。番号を解答記入欄( 46 )にマークしなさい。,ipconfig(ifconfig),nslookup,ping,telnet,tracert(traceroute)
46,バックアップポリシーを決定する場合の要素に含まれないのはどれか。番号を解答記入欄（ 47 )にマークしなさい。,実施感覚,実施組織,保管場所,想定リスク,対象の単位
47,二重化したシステムで、 一方が停止したとき速やかに他方に切り替えて稼動させる方式はどれか。番号を解答記入欄( 48 )にマークしなさい。,フェイルソフト,フェイルセーフ,フールプルーフ,ホットスタンバイ,フォールバック運転
48,図に記載した情報から求められるMTBFはどれか。番号を解答記入欄( 49 )にマークしなさい。,2時間,6時間,70時間,72時間,210時間
49,データベースの性能監視指標のうち、値が小さいほど性能がよいのはどれか。番号を解答記入欄( 50 )にマークしなさい。,ヒット率,入力回数,スループット,データ転送時間,処理ベージング数
50,信頼性評価指標RASISに含まれないのはどれか。番号を解答記入欄( 51 )にマークしなさい。,Reliability,Availability,Serviceability,Immunity,Security
