2012II,解答,解説
26,4,「ICN看護師の倫理綱領」は、1953年にICN(International Council of Nurses : 国際看護協会)が定めた、看護師の倫理的行為の基準である。その後何回かの改訂を経て今日に至っている。この綱領では、①健康の増進、②疾病の予防、③健康の回復、④苦痛の緩和という看護師の4つの基本的責務が示されている。
27,2,看護業務は、①直接看護業務、②診療・治療援助業務、③間接看護業務、④連絡業務、⑤その他の業務に分類される。直接看護業務とは、直接患者のケアを行う業務のことであり、2)「患者の移送」は直接看護業務に含まれる。1)「看護記録」、4)「患者・家族との連絡」、5)「看護師間の報告・申しつぎ」は間接看護業務である。3)「呼吸循環管理」は診療・治療援助業務に含まれる。
28,5,5)定量的な検査で、疾患群と非疾患群を識別するために設定された陽性・陰性の境界値をカットオフ値という。1)～4)は一般的な統計学の用語である。1)最頻値はデータ群で最も高頻度に出現する値、2)中央値はデータを昇順または降順に並べたときに中央に位置する値、3)平均値はデータの総和を個数で除した値、4)偏差値は、多くの場合、平均値を50、標準偏差を10として、データの値を規格化したものである。
29,4,4)疾患群で検査が陽性となる割合が感度の定義である。1)カットオフ値を動かしたとき、通常、感度と特異度はトレードオフの関係(一方が上がると他方が下がる)になる。2)基準値の定義から、健常者であっても5%の確率で基準値を外れる。3)感度が低いことは偽陰性率が高いことを意味する。5)感度と特異度がともに高い検査は遺伝子検査や病理検査など一部の検査に限られ、大部分の検査では感度か特異度の一方のみが高い。
30,3,3)黄疸は、血中のビリルビン濃度が上昇することにより皮膚や眼球結膜が黄染する状態である。1)CRP(C反応性蛋白)は、体内で炎症が起こると血中濃度が増加する蛋白質で、炎症反応の指標として用いられる。2)浮腫(むくみ)はさまざまな原因で発生するが、ネフローゼ症候群、肝硬変、栄養障害ではアルブミン濃度の低下による膠質浸透圧の低下が原因となる。3)不整脈の診断には24時間の心電図を記録するホルター心電図が有用である。5)出血傾向は血小板数の減少、血小板の機能障害、凝固系の異常によって生ずる
31,4,選択肢はいずれも生理機能検査である。生理機能検査の装置・機器は、一般に病院内の生理機能検査室に設置してあり、専門的資格を有する臨床検査技師が検査を実施する。4)ホルター心電図は、体に装着可能な小型の検査機器で日常生活や睡眠中の心電図変化を長時間連続的に記録し、不整脈や運動負荷では誘発されない冠攣縮性狭心症の心電図異常などを検出することができる。
32,1,核医学検査は、薬剤に放射性核種を標識した放射性医薬品を用いる検査であり、現在は主に画像検査として種々の検査が行われている。使用する装置はシンチカメラや単光子断層(SPECT)装置、陽電子断層(PET)装置が検査の種類により使用され、得られる画像もこれらの名前で呼ばれる。1)頭部MRIは、核磁気共鳴画像装置を用い、放射性医薬品は用いないので核医学検査ではない。5)ヨード甲状腺摂取率測定は、以前は専用装置で行われていたが、現在はシンチカメラで測定されている。
33,2,侵襲的検査とは、体に針を刺したり管を入れたりする検査で、身体への負担が大きく、危険を伴う場合が少なくない。一方、非侵襲的検査とは、痛みや危険を伴わない検査のことをいう。髄液検査は脳や脊髄の病気や異常を判定するための検査で、第3・第4腰椎の間に針を刺入し、硬膜とくも膜を貫いて、くも膜下腔に届かせ、そのなかにある髄液を採取する。局所麻酔をしていても、多少の痛みがある。
34,4,4)麻薬及び向精神薬取締法では、製造年月日の記載は求めていない。1)麻薬処方せんには、麻薬施用者自身が次の事項を記載する必要がある(麻薬及び向精神薬取締法第27条6)。①患者の氏名、年齢(又は生年月日)②患者の住所③麻薬の品名、分量、用法、用量(投薬日数を含む)④処方せんの使用期間(有効期間)⑤処方せんの発行年月日⑥麻薬施用者の記名押印又は署名、免許証番号⑦麻薬診療施設の名称、所在地2)麻薬営業者、麻薬小売業者、麻薬管理者などは、帳簿を備え、廃棄した麻薬の品名、数量、廃棄した年月日を記載することが求められている(同法第37条～第39条)。3)2人以上の麻薬施用者が診療に従事する麻薬診療施設においては、麻薬管理者1人を置くことが求められている(同法第33条)。5)麻薬は、麻薬以外の医薬品と区別し、金庫のような、鍵をかけた堅固な設備内に貯蔵しなければならないことが定められている(同法第34条)。(参考:病院・診療所における麻薬管理マニュアル(厚生労働省医薬食品局監視指導・麻薬対策課)平成23年4月)
35,5,5)保険医療機関・保険薬局機関は、患者自己負担分を除いた薬剤費・調剤費を保険者に請求することができる。1)処方せんに記載する薬剤の名称は、一般名である必要はなく、薬価基準に収載されている名称で構わない。2)FAXで受けた処方せんは、調剤薬局などで処方を開始することはできるが、真正な処方せんとはみなされない。処方薬は実物の処方せんと引き換えに患者に渡される。3)薬剤師は、処方せんの記載事項(患者の氏名・性別・年齢・医薬品名。剤形・用法・用量・投与期間など)や患者情報。薬歴に基づいて処方内容(重複投与・投与禁忌・相互作用・アレルギー・副作用など)の確認を行うことが求められている。4)一般名で記載された処方せんについては、先発薬品、後発薬品のなかから選択して調剤することができる。
36,1,問34の解説を参照のこと。1)患者の住所は記載事項であるが、2)病名、3)既往歴、4)電話番号、5)前回来院日はいずれも記載事項ではない。
37,3,白内障が水晶体の疾患であることを知っていれば、レンズ = 水晶体という眼の構造の知識から解答は容易である。3)自内障は、水晶体の混濁により視力が低下する疾患で、水晶体の代わりに眼内レンズを挿入する治療が一般的である。1)飛蚊症は硝子体、2)緑内障は視神経・眼圧上昇、4)網膜剥離は網膜、5)角膜潰瘍は角膜の疾患であり、いずれも水晶体(レンズ)とは無関係である。
38,1,1)脳動脈コイル塞栓術は、脳動脈瘤破裂によるくも膜下出血の予防・治療のために行われる。脳出血という用語は、医学的には脳内の細動脈の破綻による「脳内出血」を指す場合が多く、くも膜下出血とは異なる。2)狭心症では、冠動脈の狭窄部の先に他の血管をつなげるバイパス手術が行われることがある。3)心室細動にはAEDなどによる除細動が有効である。4)気管支喘息では、気道の慢性炎症により気道の過敏性が生じ、呼吸困難の発作を繰り返すと考えられており、治療・発作予防の目的でステロイドの吸入が一般的に行われる。5)慢性閉塞性肺疾患では、生活の質を高める目的で、呼吸法の習得、呼吸筋強化などの呼吸リハビリテーションが行われる。
39,3,理学的診察とは、医師が直接患者の身体所見を得るために行う診察手技をいう。「診察手技」であり、器具を用いるか否かは間わない。「視て、触れて、聴いて、打った時の音を聴く」と覚えればよい。3)問診は、患者の訴え(主訴)や病気の経過(現病歴)、過去に罹った疾患(既往歴)、家族の疾患(家族歴)、アレルギーの有無などを聞き取るもので理学的診察には含まれず、現病歴以外は間診票で済ましている場合が多い。
40,2,クリニカルパス(クリティカルパスという場合もある)は、疾患の入院診療において医療行為の流れを最適化し、在院日数を短縮することを主目的とした考え方である。このためには、疾患ごとの医療の標準化やチーム医療の推進、退院計画書作成の合理化などが必要である。2)病院収益の増加は、これらの結果として期待されるものであり、目的ではない。
41,3,PDCAサイクルとは、Plan(計画)、Do(実行)、Check(チェック・評価)、Act(対応・改善)を繰り返し、業務の改善に取り組む手法の略語である。3)調査はPDCAサイクルには含まれない。なお、最近は「Check」を「Study(評価)」に置き換えてPDSAサイクルという場合もあるが、本質的には同じものである。
42,2.4,2)「診療情報の開示の原則」として、医療者などは患者などが患者の診療録の開示を求めた場合には、原則としてこれに応じなければならない。したがって、患者は診療録の閲覧を請求することができる。1)診療録の誤記、考え違いなどによる内容の誤りは積極的に訂正し、原則、訂正年/月/日、元情報の年/月/日、訂正前後の内容、訂正者名を記載する。3)医学的判断に基づいて行う診断は、医師でなければできない。したがって、診断の結果である病名を医師以外の者が記載してはならない。4)治療計画に基づいて患者への保健指導を行った場合は、必ず診療録に記載しなければならない。特に、その指導が加算の対象になっている場合は、診療録に記載がなければ、その診療報酬を請求できない。5)診療録は、医師法によって5年間の保存が義務づけられており、患者の生死は関係がない
43,2,2)経過記録は、患者の日々の訴えや状態、医療者側が得た客観的情報、ならびに、それらに対する治療、処置、看護ケアなどを記載したものである。1)看護計画は、看護上の問題解決を図るために、患者に対して計画している具体的な看護行為を記載したものである。3)看護サマリは、ある一定期間の患者の状態を要約したものである。4)患者基本情報とは、氏名、生年月日、性別、連絡先、保険情報、身長、体重、血液型、アレルギー情報など、患者のプロフィールを示す基本的な情報のことである。5)看護ワークシートは、看護業務を円滑に実施するために作成された、看護業務の作業表のことである。
44,5,1)診療録は、医師法および歯科医師法で5年間の保存が義務づけられている。2)、3)診療録以外の照射録や手術記録などの診療に関する諸記録は、医療法および医療法施行規則などによって、作成日から2年間の保存が義務づけられている。4)調剤済処方せん、および薬剤師が記載する調剤録は、薬剤師法および保険薬局及び保険薬剤師療養担当規則により、3年間の保存が義務づけられている。
45,4,特定生物由来製品とは、生物由来製品のうち、販売し、賃貸し、または授与した後において当該生物由来製品による保健衛生上の危害の発生または拡大を防止するための措置を講ずることが必要なものであって、厚生労働大臣が薬事。食品衛生審議会の意見を聴いて指定するものをいう。万一、感染症などが発生した場合、使用した患者を容易に特定するために、使用日から少なくとも20年間、医療機関において使用記録を保管する。記録の内容は、(1)製品名、(2)製造番号(ロット番号)、(3)患者の氏名・住所、(4)投与日などである。
46,3.4,3)調剤録は3年間(薬剤師法第28条)、4)照射録は医療法施行規則第20条では2年間であるが、保険医療機関及び保険医療養担当規則第9条では「その他の記録」として3年間保存と定められている。1)診療録は5年間(医師法第24条および保険医療機関及び保険医療養担当規則第9条)、2)助産録は5年間(保健師助産師看護師法第42条)、5)救急救命処置録は5年間(救急救命士法第46条)の保存期間となっている。(参考:法令上作成保存が求められている書類(厚生労働省)
47,5,分類データは、名義尺度によって測定されたデータで、血液型やさまざまな特性の有無のように、どの値も対等で大小関係や順序関係が定義されないデータのことである。順位データは、順序尺度によって測定されたデータで、優先順位や治療効果の5段階判定のように、それぞれの順序(大小)関係のみが定義されたデータのことである。計量データは、間隔尺度によって測定されたデータで、血圧や体重などのように順序関係が定義され、数値が連続し、さらにそれぞれの目盛りが等間隔のデータのことであり、心筋梗塞発生率はこの計量データである。
48,4,4)平均値は総和を標本数で割ったもので、この例では4.1である。1)最頻値は標本群で最も頻繁に出現する値で、この例では5である。2)中央値は標本群を昇順に並べたとき中央に位置する値のことで、データ数が偶数の場合は、中央に近い2つの値の算術平均となる。この例では4.5である。3)分散は標本が標本平均からどれだけ散らばっているかを示す指標で、各標本の値から平均値を引いた偏差を求め、その値の2乗の総和をデータ数で割った値である。この例では3.09である。5)標準偏差も標本の散らばり具合を示す指標で、分散の平方根である。この例では1.76である。
49,5,5)病床規模別の平均在院日数のばらつきは、散布図で表現すると評価しやすい。レーダーチャートは、各項目の軸が中心から正多角形状に配置され、隣同士のデータを直線で結んで作成される。複数の項目の大きさを一日で比較することができる。1)円グラフ、3)帯グラフは、全体に対する割合を表すのに便利である。2)折れ線グラフは、点と点を結び、それらのデータに順番が存在することを示す。例えば、時間の経過にしたがって変化する様子を表すのに用いられる。4)棒グラフは、長方形の棒の長さで値の大きさを表し、2つ以上の値を比較するのに用いられる。
50,2,"""平成22年の人口動態統計によれば、死因順位の第1位は悪性新生物で、死亡率(人口10万対)は279.7(353,318人)、第2位は心疾患で149.8(189,192人)、第3位は脳血管疾患で97.7(123,393人)、第4位は肺炎で94.1(118,806人)となっている。肝疾患の死因順位は第10位で、死亡率(人口10万対)は128、死亡数は16,180人である。また、腎不全の死因順位は第8位で、死亡率(人口10万対)は18.8、死亡数は23,691人である。"""
