2018JS,解答,解説
27,3,3)IMAP4(Internet Message Access Protocol Version 4)は、電子メールの受信を行うプロトコルであり、正解である。1)ホスト名の解決にはDNS(Doman Name System)が用いられ、ホスト名とIPアドレスの対応や、メール配送先サーバーの決定等に利用される。2)Web参照やクライアントからのメールの送受信時の通信データの暗号化では、SSL/TLS(Secure SOckets Layer/Transport Layer Security)等が用いられている。4)ダイアルアップ接続は、接続先の電話番号ヘダイヤルし、電話回線経由でネットワーク接続を行うものである。主なプロトコルにはPPP(Point to Point Protocol)がある。5)コンピュータの時刻の同期には、NTP(Network Time Protocol)が用いられる。
28,5,IPv6のアドレス長は、5)128ビットである。表記する際は、「2001:db8:0:0:1:0:0:1」のように、16ビットごとに8つのフィールドに分け、「:」で区切った16進数で表記する。また、IPv4のアドレス長は32ビットである。
29,2,1EEE802.11acは5GHz帯のみを使用し、最大通信速度はWave 2規格で6.9 Gbpsであり、2)が正解である。2.4GHz帯のみを使用する規格にはIEEE802.11b / gがあり、 2.4GHz帯および5GHz帯を使用する規格にはIEEE802.11nがある。5GHz帯のみを使用する他の規格にはIEEE802.11aがある。最大通信速度は、IEEE802.11a / gが54Mbps、 IEEE802.11nが600Mbpsである。
30,4,防犯カメラの設置は、設置場所の状況を記録・モニタリングすることで、災害や人的破壊行為等を検出し、設備や装置等を保護するものであり、4)物理的安全対策である。利用者教育やルールの作成・遵守ではないため、1)人的安全対策、3)組 織的安全対策ではない。ネットワークやコンピュータ等に対して情報技術を用いて行う対策ではないので、2)技術的安全対策でもない。また、防犯カメラによる対策は、モニタリングによるセキュリティ・インシデントの記録と発見であるため、5)予防的安全対策ではない。
31,4,公開鍵暗号方式で必要となる鍵は「公開鍵」と「秘密鍵」である。利用手順は、まず受信者が鍵ペア(「公開鍵」と「秘密鍵」)を生成し、公開鍵を送信者に送付(または公開)する。送信者はこの公開鍵を用いて暗号化したメッセージを送付し、受信者は自身が持つペアとなる秘密鍵を用いて復号する。複数人でやり取りするために必要な鍵の数はnを人数とすれば2nである。したがって、250人の場合に必要な鍵の数は500であり、正解は4)である。
32,3,この通信ではA病院が「送信側」であり、B病院は「受信側」である。ここでは公開鍵方式を用いるので、暗号化に用いる鍵は、「受信者が作成した公開鍵」となる。したがって、正解は「B病院の公開鍵」であり、3)である。
33,5,5)ワンタイムパスワードは一定時間ごとにパスワードが更新される認証の仕組みである。1)コールバックは電話回線を用いた通信において、正しい発信元であることを確認するために、着呼した発信元番号を記録して一旦電話を切り、記録した番号に発呼する仕組みである。2)マイナンバーは「行政手続における特定の個人を識別するための番号の利用等に関する法律」に基づき国が国民一人一人に対して発行した12ケタの番号である。3)バイオメトリクスは指紋や虹彩、掌もしくは指の血管、声紋、顔などの情報であり「生体情報」とも呼ばれる。4)シングルサインオンは複数システムヘのログイン時の認証を1回で一括可能にした状態を指す。
34,5,可用性とは「情報が必要なときはいつでも利用できる状態であること」である。したがって、5)が正解である。1)アクセス制限は不正アクセスを防ぐ目的であり「機密性」を高める。2)デジタル署名はメッセージの正当性を確認するものであり「完全性」を高める。3)のハッシュ関数とはメッセージダイジェスト(ハッシュ値)の計算手順であり、MD5やSHA-1がある。「完全性」を高める。4)タイムスタンプは電子署名では明らかにできない文書等が作られた日時を証明するために作られたものであり、「真正性」を高める。
35,5,タイムスタンプは一般に電子データの作成・更新等が行われた日時情報である。しかし、電子データはクライアントの内部時計に依存じ書き換えも容易なので、信頼できる第三者機関によって発行された情報を用いて信頼性を保証可能とする。具体的には文書のハッシュ値を第三者機関に送付し、第二者機関はこの値に日時情報を付与して電子署名を行う。したがって、タイムスタンプにより電子データが編集されたかどうかが判断できるが、タイムスタンプのみでは内容について証明はできない。またタイムスタンプには有効期限がある。以上から正解は5)である。
36,2,2)スパイウェアは、ユーザーが閲覧したホームページの履歴や実行した操作の内容、個人情報や入力履歴などの情報を外部に送信する不正プログラムである。1)アドウェアは、広告を目的としてさまざまな動作をするプログラムである。3)フイッシングは、正規の機関からのメールやウェブサイトを装い暗証番号やクレジットカード番号などを詐取する詐欺行為のことである。4)ランサムウェアは、感染したコンピュータを使用不能にした後、元に戻すことと引き換えに「身代金」を要求したりする不正プログラムである。5)エクスプロイトコードは、コンピュータの脆弱性を利用するために記述されたスクリプトやプログラムのことである。
37,3,3)ゼロデイアタックはソフトウェアにセキュリテイホールが発見されたとき、脆弱性を修正するセキュリテイパッチが提供されるより前に脆弱性を突く攻撃をすることである。1)F5アタックは、多くのWebブラウザで再読み込み(Reload)が割り当てられているキーボード上の「F5」キーの連打により多量のデータの再送リクエストを送ることで、サーバーのサービスを停止させようとする攻撃である。2)DDoSアタックは標的となるサーバーに多数のコンピュータから過負荷を与えることでサービスを停止させようとする攻撃である。4)ブルートフォースアタックは、パスワードに使われている可能な組み合わせの文字列を全て試みることにより、パスワードを不正に入手する行為である。5)バッファオーバーランアタックはバッファを超えるデータを投入しデータを溢れさせることにより、システムを運用不能にしたり、不正侵入をしたりする攻撃のことである。
38,3,3)情報資産において脅威がつけこむことのできる弱点のことを脆弱性と言う。1)瑕疵 (かし)とはキズ・欠点のことである。法律上用語として、何らかの欠陥や欠点がある状態をいう。2)脅威によって情報資産が損なわれる可能性をリスクと言う。4)アクシデントと5)インシデントについて、情報資産関係の用語としてアクシデントは用いず、情報システムの障害や事故などサービスの質を低下させる、または低下させる可能性のある事象のことをインシデントと呼んでいる。医療の世界では、インシデントは誤った医療行為等のうち未然に防げたものや医療事故には至らなかった事象を、アクシデントは医療事故に至った事象を指すことがある。
39,4,4)WAF(Web Application Firewall)はWebアプリケーションの脆弱性を悪用した攻撃からアプリケーションを防御するファイアウォールである。1)DMZは外部ネットワークと内部ネットワークの間に置かれ、どちらのネットワークにも属さないファイアウォールに守られた領域のことである。2)IPA(Information technology Promotion Agency)は独立行政法人情報処理推進機構のことである。3)侵入防止システム(IPS : Intrusion Prevention System)は、通信を監視して不正なアクセスを検知すると自動的に防御するシステムである。5)WPAはTKIPを採用した無線 LANの暗号化方式である。
40,3,SSL/TLSはインターネット上で情報を暗号化し送受信するためのプロトコルである。HTTP、 SMTPなどを安全に送受信する目的で使用される。SSL/TLSを用いることでデータの盗聴、改ざん、なりすましを防ぎ、機密情報を安全に送受信できるようになる。1)URLを秘匿する、2)通信監視、4)コンテンツフィルタリング、5)コンピュータウイルスの駆除といった機能は提供しない。
41,1,1)ウォーターフォールモデルは開発をいくつかの工程に明確に区分し、それぞれを順番に終わらせ次の工程に進んでいく。2)短期間で開発・評価を繰り返すのはRAD(Rapid Application Development)の特徴である。3)基盤部分/共通部分を先行開発するのは段階的モデルの特徴である。4)要件変更を受け入れる反復型モデルはスパイラルモデルの特徴である。5)プロトタイプ(試作)によるユーザーとの仕様誤認を防止するのはプロトタイビングモデルの特徴である。
42,4,"4)ネットワーク図は、プロジェクト管理における各工程 間の依存関係を、工程を“→ ""、その開始と終了をノード“○ ""で表した図で、各工程の遅れの影響を把握できる。1)E-R図は、データベースによって管理するものを現実世界から抽出してモデル化するために使われる図で、実体(Entity)と関連 (Relationship)によって表される。2)状態遷移図は、情報システムの状態がイベント(ユーザー操作など)によってどのように遷移するかを表したものである。3)データフロー図(DFD)は情報システム内部のデータの流れを図的に表現するものである。5)ユースケース図は、UMLで定義されているもので、開発するシステムの基本的な機能・振る舞いを表現するものである。"
43,3,ホワイトボックステストはプログラムの内部構造に基づいて、可能性のあるケースを網羅的に用意するテスト技法である。3)制御パステストは、すべての経路 (パス)を通過させるようにテストケースを作成するテストであり、ホワイトボックステストの一手法である。その他のテストはブラックボックステストに分類され、内部構造は考慮せず、外部仕様による入出力の組み合わせなどをテストケースとするが、それぞれテストデータの作成方法が異なっている。
44,2,組織内で端末台数やユーザー数の上限を定めずにソフトウェアを利用できる契約形態は、2)サイトライセンスである。3)サーバーライセンスはライセンスサーバーで利用 者数や端末台数を管理、5)ボリュームライセンスは利用できる端末台数が決まっている。1)コアライセンスはサーバー上で稼働するCPUのコア総数を制限し、4)プロセッサライセンスはサーバー機のプロセッサ数を制限する契約形態である。
45,2,2)スループットは単位時間当たりのトランザクション数を表す性能指標である。1)輻輳回数は同時アクセスの集中などにより通信ができなくなる状況の発生回数である。3)レスポンスタイムはコマンドを入力して処理要求をしてから処理が行われ、結果が返し始められるまでの時間である。4)ネットワーク回線使用率は回線容量に対する実際に伝送に使用可能な容量の割合である。5)ターンアラウンドタイムはコマンドを入力して処理要求をしてから処理結果が出力されるまでの時間である。
46,1,1)SLA(Service Level Agreement)はサービスの提供者と利用者の間に結ばれるサービスレベルに関する合意のことで、主に通信サービスなどの品質保証の契約に用いられる。2)EULA(End User License Agreement)はソフトウェアの使用許諾契約書のことである。3)ISMS(Information Security Management System)は情報セキュリテイに特化してリスクマネジメントを構築したものである。4)ITIL(Information Technology lnfrastructure Library)はITサービスマネジメントにおけるべストプラクテイスをまとめた書籍群のことで、5)PIMBOK(Project VIanagement Body of Knowledge)はプロジェクトマネジメントにおけるベストプラクティスをまとめた書籍群のことである。
47,4,4)ホットスタンバイは本番系と同じ構成のシステムを稼働状態のまま待機させておく耐障害設計である。5)コールドスタンバイは本番系が正常に稼働している間、待機系は電源を切っているか別の処理を行いながら待機する耐障害設計である。1)ミラーリングは同一のデータを複数のハードディスクに記録する耐障害設計である。2)クラスタリングは複数の独立したシステムを一つのシステムとして稼働させる耐障害設計である。3)フェールセーフはシステムに障害が発生した場合、被害を最小限にとどめる耐障害設計である。
48,3,CSIRT(Computer Security lncident Response Team)は、組織内の情報セキュリティに関するインシデント対応を専門に行うチームを指す。ウイルス感染や情報漏洩といった情報セキュリティ問題が発生した場合の様々な対応に関する中心的な存在として活動するが、運用管理や調達管理などを行うことはない。
49,3,CPUやメモリなどのハードウェアリソースを扱うクラウドサービスは、3)IaaS(Infrastructure as a Service)である。1)BaaS(Backend as a Service)はWebアプリケーションのサーバー側で動く機能 (バックエンド)を提供する。例えば、モバイルアプリなどサーバー側の機能の上にアプリを作る場合のサーバー機能の提供を行う。2)DaaS(Desktop as a Service)は、PCなどのクライアントにデスクトップ環境(仮想デスクトップ環境)を提供する。4)PaaS(Platform as a Service)はシステム開発環境の提供、5)SaaS(Sotware as a Service)はアプリケーションの提供を行う。
50,2,スマートデバイスの一括管理に用いるのは、2)MDM(Moble Device Management)である。MDMによリアプリケーションの導入制限やデータの遠隔からの削除などが行える。1)IoT(Internet of Things)は、日本語で「モノのインターネット」と呼ばれるもので、PCだけでなく様々なデバイスがネットワークに接続すること、またはその仕組みを指す。3)SDN(Soiware Deined Network)はネットワーク機器の集中制御によリネットワーク構成や設定を動的に変更する技術を指す。4)SIMカード(Subscriber ldentity Modtle Card)は、主にスマートフォンや携帯電話の加入者を特定するためのID番号が記録されたICカードのことであり、SIMと略して呼ばれることが多い。5)BYOD(Bring Your Own Device)は、業務上で利用するデバイス(主にスマートフォンやPC)を病 院などの組織が配布するのではなく、個人所有のデバイスを職場に持ち込み業務に活用することである。
