2018IS,解答,解説
20,4,4)患者の状態等により実施されないこともあるので、看護師等の実施入力を受けて、実施情報を医事会計システムに転送する。1)注射は経口投与できない場合や、迅速な薬効が必要な場合に投与する。状態が変化しやすい患者が対象なので、投与指示の変更も多い。2)1本渡し方式とは、薬剤部門から病棟部門への薬の引き渡しを、1回の投与ごとに行う方式である。病棟部門の在庫は減るが、配送や引き渡しの手間が増加する。3)定数配置薬方式とは、使用頻度の高い薬剤を病棟等に予め配置しておき、使用するたびに、薬剤を補充する方式である。緊急時に速やかな投与が可能だが、病棟部門の在庫が増える。5)緊急時などは医師の口頭指示によって注射を実施し、その後にオーダ入力を行う。
21,5,5)後発医薬品の使用を前提とした処方をする場合、後発医薬品の商品名を挙げるのではなく、一般名を挙げて処方することが推奨され、診療報酬制度でも「一般名処方加算」が設けられている。1)薬価差を表示すると、その差が少ない場合はかえって後発医薬品の処方を抑制しかねないため、必ずしも適切とはいえない。2)～ 4)医師には、医学的理由から先発品と後発品を選択する裁量権がある。このため、一方的に先発品の処方を妨げる機能を実装することは、不適切である。
22,1.3,1)一度禁忌登録された薬品は、無期限でチェック対象とすべきである。3)アレルギーを起こした薬剤であっても慎重に必要性を判断した上で投与することはある。このため注意喚起する機能を実装することは差し支えないが、投与させない機能とすることは不適切である。2)食品など幅広いアレルギー情報をチェック対象とすることが望ましい。4)薬剤アレルギーについては、過去に履歴があるものと同一の薬剤でなくても、同系統のものであれば発症するリスクが高い。5)禁忌の注射薬がある場合、薬効成分が近い内服薬・外用薬についても使用できないことが多いため、チェックは必須である。
23,2,2)洗浄・消毒の指示は患者と紐づける必要がない機器管理に係ることなので、内視鏡検査オーダとは関係しない。1)内視鏡検査で得た組織等は病理検査部門に送ることも多く、連携機能は重要である。3)内視鏡検査では抗凝固剤など出血を惹起する薬剤を使用している場合、休薬することがある。このため、薬歴のチェックは重要である。4)内視鏡検査を実施した医師が報告書を作成する際に、用語集を利用できることは有意義である。5)診療報酬制度では、検査時に使用した薬剤は、検査料と併せて請求することとされている。このため、加算情報とともに内視鏡検査オーダに含めることが適切である。
24,1,1)病理部門は、主治医の診断を病理学的に支援する役割を担っている。治療計画の作成は、主治医の役割であって、病理部門の役割ではない。よって、治療計画の作成機能は、病理部門システムでの必要性は低い。2)～5)いずれも病理部門の基本的な機能である。
25,4,造影CT検査においてチェックすべき項目は、X線被曝の問題からは妊娠の有無である。造影剤禁忌情報としては、造影剤アレルギー、気管支喘息、重篤な腎障害のある患者等が重要である。特に腎能低下患者に対する造影剤の投与に関してはeGFR値による対処方法がガイドラインにて記載されており、選択肢の中では4)が最も重要である。3)刺青の有無と5)ペースメーカーの有無は、MRI検査の際に必ず確認を行う。刺青はMRI検査の際に火傷の危険性があり、機器の故障や誤動作の危険性がある。
26,2.3,2)患者基本情報と3)放射線治療の依頼情報は、放射線治療システムで必要な情報であり病院情報システムから送信される。1)照射実施情報と4)照射回数分の治療予約情報は逆の流れとなる。5)治療計画用のCT撮影オーダは治療部門内で発生し、部門内で実施されるものであり、通常の画像検査オーダの流れとは異なる。
27,4,PACSはPicture Archiving and Communication Systemの略であるので、4)検査画像の保存、参照が正解となる。2)検査予約業務は病院情報システムや放射線情報システム(RIS)に関連する。1)、 3)、 5)はRISの機能である。
28,1,1)病状が不安定なため、パスを適用しにくい患者が多くなる。このため、パス作成管理機能の必要性は低い。2)補助循環など一般病棟では使用されにくい特殊治療を行うことがあり、その指示や記録の機能が必要である。3)入院患者は、点滴を複数のルートから同時に行うことが多く、その指示や実施を確実に記録する必要がある。4)心電図モニタ、動脈圧など特殊なモニタの測定値や、人工呼吸器の設定値を、経過表に併記する。記録の迅速化や誤記を防ぐため、生体モニ夕との連携を通じて入力されることが望ましい。5)入院患者は、病態が不安定なため、頻繁に速度変更を要する薬剤(昇圧剤など)を投与する場合がある。
29,5,歯科領域の予約では、他スタッフとのスケジュール調整や感染症への配慮が必要である。5)歯科の電子診療録では直近を含め過去の検査結果参照が必要であるが、予約システムではそこまでの必要はない。1)複数の予約枠は担当医の他、口腔衛生指導を行う歯科衛生士や歯科技工物を作製する歯科技工士と連携した診療実施のため必要である。2)～4)感染症患者さんの診療では、二次感染予防のためディスポーザブル機器の準備が必要で、診療後も診療チェアーの消毒に必要な時間を空けて、次の予約がとれる設定が必要である。
30,1.2,管理栄養士は主治医の指導のもとで傷病者ヘ栄養指導を実施する必要がある(栄養士法第5条の5)。 1)食事オーダは医師または医師の指示のもと看護師が入力し、入院患者の食事を準備するための指示を給食部門、管理栄養部門に伝達する。2)栄養指導オーダは医師が入力し、管理栄養士へ栄養指導の指示を伝達する。3)栄養管理計画書は、栄養管理実施加算の算定に必要な文書で、入院患者に特別な栄養管理が必要と判断された場合、入院後7日以内に作成する必要がある。4)栄養指導報告書は、栄養指導オーダに対応する実施情報となる報告書である。栄養治療実施計画書および5)報告書は、栄養サポートチーム加算の対象患者に対し、栄養治療の方法について説明するために交付される文書である。したがって、3)～ 5)はいずれも管理栄養士の業務である。
31,5,BIは、経営や会計などの領域で使われており、経営判断に関わる過去・現在・未来予測の視点が提供できるとされている。5)分析加工、意思決定の迅速化は、BIの重要な要素である。1)、 2)BIは業務の可視化や業務プロセスの再構築には直接関与しないので、これらは該当しない。3)、4)複数システムあるいは異なるシステムの連結、情報共有だけでなく集積した情報を分析することがBIの特徴であり、これらは該当しない。
32,2.4,検査予約は、時間を要する検査や専門家や装置数が少ない場合などに必要である。2)細菌検査のための検査用器具や装置は、医療機関内に充分準備されている。4)単純撮影は短時間で終了するため、通常は予約不要である。1)CT検査装置は一般に医療機関あたりの設置台数が少なく、検査時間を要するため必要である。3)通常の病理検査では必要ないが、手術中に切除範囲を決めるため行う迅速検査は、病理診断医や関連機器確保のため必要となる場合がある。5)ホルター心電計は通常24時間装着して検査するもので、貸し出す機器の数も限られており事前に取り扱い説明などを行うことから必要である。
33,4,血液型は患者固有で変化しないと考えられるが、 白血球の血液型(HLA型)をもとに行われる骨髄(造血幹細胞)移植では、移植後に赤血球の血液型(ABO型)が変わることがある。4)ドナーの同意書はレシピエントの側で管理する必要性は低い。1)移植の前処置と関連して起こる感染症や貧血のほか、移植後の免疫に関する合併症が報告されており、基礎疾患の記録は必要である。2)、3)移植前後の血液型は必須である。5)ドナーのHLA型は必須である。
34,5,経営戦略策定でしばしば用いられる手法にSWOT分析がある。会社等の経営に関して、内部環境要因となる強み(Strength)、弱み(Weakness)、および外部環境要因となる機会(Opportunity)、 脅威(Threat)の4つにわけて、会社等を取り巻く環境を分析する。5)医療機器のメンテナンス状況は医療機関と関連する内部環境要因である。1)～ 4)はいずれも外部環境要因である。
35,3,CIO(Chief Information Officer)とは''最高情報責任者''または''IT担当役員''のことで、日本の各府省では、主に官房長がCIOに任命されている。医療CIOは、医療機関の情報化戦略の立案・実行、情報技術に基づいた経営戦略の提案、部門間や外部との調整などを主な職務としている。3)ベンダーの提案通りではなく医療機関内・外で充分な調整を行って導入するものであり、適切でない。1)、 2)、 4)、 5)何れもCIOの行動として適切である。
36,2,「医療情報システムの安全管理に関するガイドライン第5版」にもある通り、システムは技術的な対策のみでなく運用管理による対策との併用により安全に使用できるよう準備する必要があり、施設規模や業務内容に応じて病院側で必要な様式・内容で2)運用管理規程を定める必要がある。1)外部仕様書は画面イメージや帳票のフォーマット等を設計したもの、3)システム設計書はプログラミングに必要な情報やプログラムの統合方法、動作検証方法を設計したもの、4)操作マニュアルは各システムの操作方法を記載したもの、5)データ移行計画書は移行対象、手順、スケジュールの計画でいずれもシステムベンダーが病院側の協力を得て作成する。
37,2,2)必要な機器を確実に導入する名目で特定のベンダーが開発したかまたは取り扱う具体的な商品名を記載することは、公正なベンダー選定を進める上で不適切であるため、可能な限り必要な要件を具体的に記載することが必要である。1)一つの項目には原則一つの要件を記載することで、評価結果を明確に判定できるようにし、3)ベンダーが見積に必要な情報を、別添資料として添えることで要件に対して最適な提供価格の提示を可能とする。5)現場と管理者で要求が相反する場合は要件の整合性を図るために調整することおよび4)全体のバランスがとれているかシステム担当責任者が確認することは、システム導入の目的を満たすかを確認する上で必要である。
38,3,要求仕様書は病院からベンダーに対して求める仕様を提示するための文書であるため、ベンダーから3)病院へ確認する事項は含まれない。1)機能要求仕様は、実装すべき機能について、2)非機能要求仕様は、機能要求以外のアクセシビリティや拡張性、可用性等についての仕様であり、要求仕様書に含まれるものである。各仕様は、5)システム導入の前提条件および制約条件に則り、4)仕様を作成するうえで設定したシナリオに基づいて作成される。
39,3,レンタル契約では、3)物件の管理は、所有権を持つレンタル会社が実施する。4)所有権はレンタル会社にあり、レンタル会社が所有する物品を必要な期間貸し出す仕組みである。期間指定による物件賃貸借契約であるため、レンタル契約では、1)使用後は返却し、2)中途解約が可能である。5)契約期間はリースより短期であり、1日から設定可能である。
40,3,3)内部設計はシステム開発者のための設計であり、データ処理や管理の方法、アルゴリズム等を設計する。したがって、ベンダー側だけで行うのが一般的である。4)要件定義は開発に先立って要件を確定する上で病院職員の参加が必要である。1)外部設計は画面イメージや帳票のフォーマット等のユーザーインターフェースを設計し、病院職員がそれを確認する。2)操作教育は導入されるシステムの使用方法を病院職員が習得する目的で行われる。5)リハーサルは院内組織や人員構成を元に病院側でシナリオを作成し病院職員が参加する。
41,5,医療サービスの特性上 5)レアケースに対するシステム対応を重視することを求められる場合もあるが、全てに対応できるシステムを構築することは困難なため、運用での対応を検討することも必要である。1)部門の利益のみを優先せず、全体最適を目指す必要がある。システム化を契機に2)従来の業務フローに固執せずシステムを再構築する必要がある。解決すべき病院の課題を整理し優先順位を付ける等、3)プロジェクトの目的を見失わないようにする。部門間での情報連携や運用が変更される場合もあるため、4)お互いの業務内容をよく理解して支障なく業務を進められるよう調整する。
42,2,2)経営戦略はIT資源調達より上流工程で策定されるものである。作成した3)IT導入計画に基づいて、4)調達案件定義により調達する対象や時期や評価方法を決め、当該調達を進める上で提案を求めるプロセスとして1)RFPを発行し、調達プロセスに則って5)調達先の選定・契約を行うことはいずれもIT資源調達フェーズの作業項 目である。
43,3.5,3)「電子署名を用いた暗号化」とあるが電子署名は暗号化の手段ではない。5)タイムスタンプが検証可能であり、タイムスタンプが付与された時点で有効な電子署名があれば、その後、その電子署名が有効ではなくなっても文書の真正性は担保される。1)e-文書法により記名押印に代わって電子署名を施すことで電子保存が可能となった。2)処方箋の内容に疑義がある場合は、調剤できない。調剤が終わると薬剤師が記名押印して調剤済みの処方箋となる。これを電子化して保存するので、その内容を修正した場合、薬剤師の電子署名が必要となる。4)の記述の通りである。
44,2,電子保存の3基準とは、真正性、見読性、保存性のことである。真正性は、①故意または過失による虚偽入力、書換え、消去及び混同を防止すること。②作成の責任の所在を明確にすること。見読性は、①情報の内容を必要に応じて肉眼で見読可能な状態に容易にできること。②情報の内容を必要に応じて直ちに書面に表示できること。保存性は、電磁的記録に記録された事項について、保存すべき期間中において復元可能な状態で保存することができる措置を講じていることである。したがって、2)は病院の情報管理上の内容であるため該当しない。1)、 3)は真正性、4)は保存性、5)は見読性に該当する。
45,2,「医療情報システムの安全管理に関するガイドライン第5版」では、経済産業省の定める「医療情報を受託管理する情報処理事業者向けガイドライン」や、総務省の定める「クラウドサービス事業者が医療情報を取り扱う際の安全管理に関するガイドライン第1版」の要求事項を満たしていることとしている。2)受託業者の専有する建造物、建造物の独立した領域において管理することが望ましいとされているが、設置場所の秘匿については言及されていない。
46,1,1)市販のソフトであっても、業務端末にインストールをした場合にウイルス感染の可能性や他の端末と異なる環境により病院情報システムに影響を及ぼす可能性があるため適切とはいえない。2)、 5)はセキュリティ面を考えた場合に検討、実施する必要がある。3)についてもウイルス感染を発生することにつながるため通知する必要がある。4)も他の端末に被害が拡大する事を防止するために適切な対応といえる。
47,5,5)不正アクセスを発見した場合、速やかに管理者に報告する必要がある。利用者が調査をしている間にも他の端末へ不正アクセスを行う時間を発生させてしまう可能性があり、被害が拡大する。1)は、印刷した紙には個人情報が記載されているため、取り扱いには注意を払う必要がある。2)はログアウトしない場合、他の利用者がなりすましをする、記載内容が周囲にいる人に見られてしまう可能性がある。3)も他の利用者がなりすまし行為をしてしまうため、真正性が担保されない。4)は個人情報の保護に関する法律において、目的外利用をしてはならないと定められている。
48,2.3,「患者紹介等に付随する医用画像についての合意事項 (2016年9月改定)」において、2)、 3)ともに明記されている。1)、 4)、 5)はそれぞれ、禁止事項として明記されている。
49,5,「医療情報システムの安全管理に関するガイドライン第5版」のISMSプロセスに適用されるPDCAモデルの概要において、PDCAのDはISMS基本方針、管理策、プロセス及び手順の導入及び運用としている。したがつて、5)がDの運用に該当する。1)、 4)はPに、2)はCに、3)はAに、それぞれ該当する。
50,5,医療事故防止等のため、医療用医薬品へのバーコード表示について、平成24年6月「「医療用医薬品へのバーコード表示の実施要項」の一部改正について」により、平成27年7月1日(特段の事情がある場合は平成28年7月)以降は、すべての医療用医薬品の調剤包装単位と販売包装単位について、5)GS1データバーを利用することになった。1)NW-7、 2)CODE39、 4)ITFシンボルは検体検査の自動化で利用 (国際標準では、CODE128推奨)、 3)QRコードは一般的に広く利用されているが、医療機関においては処方せん情報、患者リストバンドなどに利用されている。
51,1.2,製造販売業者から出荷される医療用医薬品には、調剤包装単位、販売包装単位、元梱包装単位でバーコード表示が義務づけられている。調剤および販売包装単位では「商品コード」、「有効期限」、「製造番号または製造記号」の3つの項目、元梱包装単位では「数量」も加えた4つの項目を読み取れるようにする。1)薬価、2)商品名はバーコードに含まれない項目である。なお4)ロット番号は「製造番号または製造記号」にあたる。
52,3.5,3)Kコードは診療報酬点数表の手術の領域に割り当てられたコードであり診療報酬請求に用いられる。5)ICD-9-CMは国際疾病分類第9版をもとに米国で医療行為の分類として作成され、手術や処置の識別コードを含む。1)ICD10は国際疾病分類第10版で死亡統計や標準病名マスターに利用される傷病名コード、2)JLAC10は日本臨床検査医学会による臨床検査項目分類コード、4)HOTコードは医薬品HOTコードマスターの13桁の管理番号で、4種類の医薬品コードを相互に関連付けている。
53,5,5)各装置の適合性宣言書に記載されている範囲で接続性が担保される。DICOM規格には、1)放射線治療の内容も含まれており、放射線治療計画の情報もDICOM形式で保存できる。ただし、対応するビューワーは限られている。2)DICOM-SRという構造化レポートの形式が規定されている。3)DICOM規格は通信の規格であり、そのなかには可搬媒体による情報交換も含まれる。4)検査実施結果情報はMPPS(Modality Performed Procedure Step)で規定され、検査終了時にモダリティからRISに送信される。
54,4,JJ1017指針は、DICOM規格における「予約情報」および「検査実施情報」の利用指針として策定されている。手技、部位、姿勢体位、撮影方向等がコード化されている。また超音波画像に関してもコード化されている。また、照射方法、管電圧(ピーク値または平均値)、 管電流について定めがある。4)撮影の分野では、管電圧、管電流、撮影時間・照射時間の定めはあるが、照射線量そのものは規定されていない。治療の分野では、HL7に代表される一般的な情報連携仕様における実装でも十分目的を果たすことから、JJ1017化する必要はないとされている。1)～ 3)、 5)については、上述のようにコード化されている。
55,3,3)CDISC(Clinical Data Interchange Standards Consortium)は、医薬品開発に関する臨床試験データを規制当局へ申請するのに用いるデータフオーマットの標準、症例報告書等のデータ収集や治験実施計画書を記述するための標準、臨床研究分野の用語 。略語集や統制語などさまざまなCDISC標準を開発している。1)HOTは医薬品コード、2)MFERは医用波形の電子データ記述、4)SS-MIXは電子カルテ情報の標準化ストレージ、5)HL7 CDAは診療文書交換のための規格である。
56,3,3)XDS(Cross Enterprise Docurnent Sharing)は施設間で医療ドキュメントを相互に参照するIHEの仕組みであり正解である。1)PDQ(Patient Demographic Query)は名寄せのため各サーバーから患者情報を取得するIHEの仕組み、2)PIX(Patient Identifier Exchange)は名寄せ結果情報の共有のIHEの仕組みで、各サーバーに対する患者IDのリスト等をサーバーから取得できる。4)XML(eXtensible Markup Language)は文章の見た目や構造を記述するためのマークアップ言語の一種で、IHEでも使われるが、IHEの仕組みではない。5)ATNA(Audit Trail and Node Authentication)は監査証跡とノード認証のためのIHEの仕組みである。
57,3,3)PCD(Patient Care Device)は患者ケアデバイス、ベッドサイド機器に関するドメインであり誤っている。1)PCC(Patient Care Coordination)は患者ケア連携に関するドメイン、2)RAD(Radiology)は放射線部門に関するドメイン、4)LAB(Laboratory)は臨床検査部門に関するドメイン、5)IT(IT infrastructure)は臨床分野のワークフローの実現の基盤となるドメインで、いずれも正しい。
58,4,SS-MIX2標準化ストレージは、標準規格に拠して生成された診療データを取扱う。HL7 v2.5で記述された診療データ、HL7 CDA-R2で記述された診療文書、IHE PDIに準拠したCD内のファイル群を保存する。標準規格が定まっていない診療データは、XMLやPDF、オフィスソフトの文書ファイルなど、汎用の形式で非標準化データのままSS-MIX2拡張ストレージに保存する。4)退院時要約のフォーマットは標準化されておらず(2018年8月現在)、拡張ストレージヘ保存する診療データである。1)～ 3)、5)は、オーダエントリシステムからHL7 v2.5にてエクスポートされ、 SS-MIX2標準化ストレージに保存される診療データである。
59,5,データクレンジングとは、データの中から欠損、重複、誤り、ノイズ、データ表現の揺れなどを探し出し、補完、削除、修正、ノイズ除去、データ表現の標準化などを適用することで、データの品質を高めることを言う。5)病院情報システムに保存されるデータ構造がどのようなものであっても、各施設の病院情報システムから臨床検査データをエクスポートした後で、1)～ 4)のクレンジング操作を実施できる。よって、5)はデータクレンジングにおいて考慮すべき事項でない。
60,5,5)の臨床研究審査委員会は、 臨床研究法(2018年4月施行)に該当する研究を実施する場合の適否について調査審議することを目的とした組織のことであり、誤りである。次世代医療基盤法(2018年5月施行)は、診療録や検査データなど患者の医療情報を複数の医療機関から収集し、医療機関に代わって匿名加工情報を作成する事業を可能とするもので、その目的として2)は正しい。この事業は1)により認定された事業者が担う。医療情報は要配慮個人情報であるが、匿名加工医療情報作成事業者への第三者提供はオプトアウトが認められる。匿名加工医療情報は、患者本人の同意なく利用・提供が可能であることから、3)、 4)が促進され、その成果を健康長寿社会のために資することが立法の趣旨である。
