2023II,解答,解説
11,2,要介護状態区分の決定は、訪問による認定調査および主治医意見書の情報をもとに、介護認定審査会において行われ、2)要支援1~2および要介護1~5の計7段階に区分される。また、上記の7段階に該当しない場合は非該当と認定される。
12,2,2)言語聴覚士は音声機能・言語機能・聴覚機能の維持向上を図るための言語訓練などの業務を担うほか、医師の指示のもとに嚥下訓練や聴力検査、聴性脳幹反応検査などを行うことができる。1)管理栄養士は栄養の指導、給食管理、施設に対する栄養改善上必要な指導を行うこと、3)作業療法士は医師の指示のもとに作業療法を行うこと、4)歯科衛生士は歯科予防処置、歯科診療の補助、歯科保健指導を行うこと、5)理学療法士は医師の指示のもとに理学療法を行うことが主な業務である。
13,3,2020年(令和2年)人口動態統計による死因別死亡数を死因順位別にみると、第1位は3)悪性新生物で約38万人である。なお、悪性新生物は昭和56年以降、日本の死因別死亡者数が最も多い疾患である。以下、第2位は2)心疾患で約21万人、第3位は老衰で約13万人、第4位は4)脳血管疾患で約10万人、第5位は1)肺炎で約8万人と続く。5)不慮の事故は約4カ人である。
14,,
15,3,診療情報管理業務には、3)診療情報監査のほか、診療記録の管理、文書管理、診療情報開示などがある。1)医薬品の購買は、多くは用度・購入の担当部門が行う業務であるが、見積り交渉、発注、在庫管理を薬剤部が行う施設もある。2)経営計画策定は、経営企画を担当する部門が行い、4)診療報酬請求は医事部門の茅務である。5)診療録の修正は、記載した医療従事者が行うべきものである。
16,2.3,インシデントレポートは、医療現場における危険要素や脅威を把握し、「なぜ」発生するのかの原因追求が目的であるため、2)当事者以外から報告してもよく、通常は3)匿名での報告も認められている。電子的なシステムを導入している施設も多く、1)紙媒体による報告が必須ではなく、4)法令で書式は決められていない。インシデントレポートの対象は、患者への影響度が比較的軽微なものや、危ないことが発生したが、患者への影響がなかった事例も含むため、5)有害事象が発生したときにのみ報告するものではない。
17,2,人間のパフォーマンスを最良のものにしようとする総合的な技術体系や学問体系をヒューマンファクターズとよび、それをわかりやすく図式化したものに「SHEL(シェル)モデル」がある。「S(software)」は手順書運用ルールや2)教育方法などのソフトに関する要素である。「H(hardware)」は仕事に使われる機器すなわち1)医療機器や道具などハード的な要素、「E(environment)」は3)作業環境にかかわる要素、「L(liveware)」は4)自分自身や周りの人たちを意味し、5)上司や同僚や患者などの人的要素である。
18,4,4)現病歴は主訴に関連した症状や、発症から現在までの経過を記載するもので、説明文は現病歴に相当する。1)主訴は患者の主な訴えとなっている症状を記載する。収縮期の心雑音は医療者の客観的所見であり、医療面接で取得するものではない。2)家族歴は直系の血族や兄弟姉妹の既往疾患や死因となった疾患を記載する。結婚歴や家族構成は家族歴ではない。3)既往歴は今までに患った疾思や治療内容を記載する。母親の疾患は家族歴である。5)生活歴は鑑別診断に必要な情報として、嗜好品(喫煙や飲酒)、生活習慣(食事や運動)、職業、居住地などを記載する。本人の骨折歴は既往歴である。
19,2,クリニカルバスにおける2)アセスメントは、アウトカムの評価項目や評価項目が達成されたかを判断する基準のことを指す。1)バリアンスはアウトカムが達成されない状態のことを指す。3)アルゴリズムは、パスの組み合わせやバス適用のルールのことを指す。4)アウトカムマネジメントは、バリアンスの原因を分析し、対策を講じてアウトカム達成を目指す手順の繰り返しのことを指す。5)クリティカル・インデイケーターは、治療経過に重大な影響を与える可能性のあるアウトカムのことを指す。
20,5,5)NICUはNeonatal lntensive Care Unitの略で、新生児に対する集中治療室のことである。1)CCUはCoronary Care Unitの略で、冠動脈疾患に対する治療室、あるいはCardiac Care Unitの略で、循環器疾思に対する集中治療室のこと、2)HCUは、High Care Unitの略で、ICUと一般病棟の間に位置する高度治療室または準集中治療室のこと、3)ICUはIntensive Care Unitの略で集中治療室を指す。4)SCUはStroke Care Unitの略で、脳卒中に対する集中治療室のことである。
21,3,3)矢状断面とは、矢が身体を前後に貴通したかのように、身体を正中で左右に分断する面(A)およびそれに平行な面をいう。1)横断面は一般的に長軸に対して垂直となる面であり、全身的に用いる場合は体軸(頭尾軸)に垂直な面(図中で濃い網掛けの面、水平断面ともいう)。2)冠状断面は、身体を前後(腹背)に分断する面(図中の色のついていない面)。4)前頭断面、5)前額断面も2)冠状断面と同じであるが頭部で使われることが多い。
22,1,1)心房細動などの頻脈性不整脈は、本来の刺激伝導系とは異なる心筋の一部で異常な刺激や伝導が起こることによって引き起こされる。その異常な回路や部分に対してカテーテルを用いて焼灼し、異常伝導を阻止することで効果的な治療が可能となり多くの施設で実施されるようになっている。2)弁膜症が高度な場合は弁置換施術が行われる。3)心筋梗塞には冠動脈カテーテルによる血管拡張やステント留置が行われる。4)拡張型心筋症は心筋の変性、5)感染性心内膜炎は感染によるものであり、対象とはならない。
23,1,1)クローン病は、消化管の粘に慢性の炎症や潰瘍をひきおこす炎症性腸疾患の一つである。主に若年者にみられ、小腸や大腸、特に小腸末端部に好発し、腹痛や下刑、血便、体重減少などが生じる。2)バセドウ病は甲状腺ホルモンが過剰産生されることで発症する自己免疫性疾患で、甲状腺腫大、頻脈、眼球突出のほか甲状腺機能亢進症状がみられる。3)パニック障害は不安障害の一つで、突然の動悸、呼吸困難、めまいなどの発作(パニック発作)を繰り返し、発作への不安がみられることもある。4)メニエール病は、内耳のリンパ液が過剰になる内リンパ水腫により、回転性めまい、耳鳴、難聴を起こす疾思である。5)ネフローゼ症候群は、腎臓の糸球体障害により尿中に大量の蛋白質が漏出し、浮腫、体重増加、高血圧などの症状を引き起こす。
24,2,2)近年、歯周疾患と糖尿病との関係が分子レベルで明らかになりつつあり、歯周病をコントロールすることで糖尿病を軽症化できる可能性も示されている。1)歯髄炎で歯髄に細菌感染が及んだ場合は、非可逆性で強い臨床症状を伴う。3)手術前後に口腔内を清潔に保っことで人院期間の短縮や誤嚥性肺炎を抑制できることから周術期の口腔ケアが重視されている。4)進行した歯周炎では、歯牙でなく歯槽骨の吸収が生じる。5)ある種の嫌気性菌(酸素がないところで育つ菌)と歯周炎進行との関連が解明されている。
25,2.3,体内で吸収された薬剤は、未変化体のまま、あるいは種々の代謝を受けた後に、その大部分が腎臓から2)尿として排泄されるか、肝から胆汁を経て3)糞便中に排泄される。1)汗、4)呼気、5)液から排泄される薬剤もあるが、その排泄量は極めて少ない。
26,3,3)麻薬は、麻薬及び向精神薬取締法により、厳格な管理が求められている。麻薬の施用や処方を行う医師は麻薬施用者であるため、個々に都道府県知事による「麻薬施用者免許」の取得が必要である。劇性の強い1)劇薬、毒性の強い2)毒薬はそれぞれ厚生労働大臣の指定を受けているが、その処方に際して特別な免許は必要ない。4)向精神薬も麻薬及び向精神薬取締法により取扱いが厳しく定められているが、処方に際しての特別な免許は必要ない。5)抗悪性腫瘍薬では承認要件の中で、事前の臨床経験や講習受講が求められているものもあるが、免許に類するものではない。
27,4.5,電子処方箋とは5)電子的に処方箋の運用を行う仕組みで、複数の医療機関や薬局で直近に処方・調剤された情報の参照、それらを活用した4)重複投薬等のチェックなどを行うことができる。1)電子処方箋管理サービスを利用するためには利用申請を行う必要があるため、全ての病院・薬局で利用できるわけではない。2)患者が健康保険証を利用する場合も電子処方菱を発行することができる。3)電子処方箋管理サービスの対象となる医薬品は保険医薬品、処方は麻薬処方箋を含む院外処方箋である。労災、自賠責などの医療保険適用外の診療時に発行する処方箋は対象外である。
28,1.2,看護実践用語標準マスターは保健医療情報分野の標準規格(厚生労働者標準規格)の1つであり、1)石護観察編と2)看護行為編で構成される。3)石護診断には、NANDA-I(North American Nursing Diagnosis Association lnternational)が開発した看護診断集があり、4)看護成果にはNOC(Nursing Outcomes Classification)が分類体系として存在するが、看護実践用語標準マスターとは関係がない。5)看護必要度は看護実践用語標準マスターとの関係はな
29,4.5,看護必要度には、4)レセプト電算コードを活用した評価方法がある。評価表には、一般病棟用、特定集中治療室用、ハイケアユニット用があるほか、5)回復期リハビリテーション病棟では日常生活機能評価表が用いられる。l)翌日に予定されている業務ではなく、日内で実施されたモニタリングや処理、患者の状況などが指標となる。2)入院の石護の必要量を推定している。3)評価項目は、A項目:モニタリングおよび処置など、B項目:患者の状況など、C項目:手術などの医学的状況の3種類である。
30,1.3,スクリーニング検査では、真の陽性者をなるべく漏らさずに陽性と判定する率[1)感度」が高いことが求められる。これは同時に、陰性と判定された場合には真に陰性である率[3)陰性的中率]が高いことを意味する。したがって、スクリーニング検査におけるカットオフ値の調整にはこれらが重視される。一方、真の陰性者を正しく陰性と判定する率[2)特異度]を上げれば偽陽性率は下がり、4)陽性的中率は上がるが、スクリーニング検査の主な目的とはそぐわない。5)陽性予測値は4)陽性的中率と同じ意味である。
31,1,1)1秒量とは、肺機能検査(スパイロメトリー)において、最大吸気位からできるだけ速く呼気を行わせた呼気量である「努力肺活量」における、最初の1秒間の呼気量であり、血液ガス検査で測定するものではない。2)血液pH、3)酸緊分圧(P O2)、4)重炭酸濃度(HCO3-、5)炭酸ガス分圧(P CO2)は、いずれも血液ガス検査で測定する項目で、通常、動脈血が検体として使用される。
32,3.5,3)糖尿病では、血糖値や血中グリコへモグロビン(HbA1c)値が診断基準として重視される。5)心筋梗塞では、心筋の崩壊・壊死に伴い血中にトロポニンなどが漏出するため、それらの血中濃度測定は小病変や時期的に心電図変化を捉えにくい場合の診断にも有用である。1)胃がんでは、血中CEAなどの腫瘍マーカーの上昇がみられ、病勢の参考になる場合もあるが、特異性、感受性共に低く、診断に有用とは言えない。2)高血圧は血圧の値、4)脳出血は、頭部CTが診断に有用であり、診断のために血液検査は用いられない。
33,2,2)MRI検査では、動きのある信号(血流信号)を提えて画像化するMR Angiography(MRA)により、造影剤を使用せずに血管撮影を行うことができる。1)CT検査や4)心臓カテーテル検査ではヨード系造影剤などを用いることにより血管を描出する。3)負荷心電図検査は運動をさせて心臓に負荷をかけながら心電図波形を記録するもの、5)脳血流シンチグラフィ検査は血流分布を画像化することができるが血管自体を撮影するものではない。
34,3,IVR(lnterventional Radiology)は、「画像下治療」、「カテーテル治療」、「血管内治療」と呼ばれる治療手技で、5)X線透視、1)CT、2)MRI、4)超音波などの画像診断装置を用いて体内の状態をリアルタイムに観察しつつ、カテーテルや針を用いた治療を行うものである。3)PET(Positron Emission Tomography)は、陽電子を用いた核医学検査であり、ⅣRでは通常使用されない。
35,5,上部消化管内視鏡検査では、経鼻あるいは経口により内視鏡を挿入し、食道、胃、および小腸の一部である5)十二指腸(下行脚まで)を観察する。2)空腸や1)回腸は通常の上部消化管内視鏡や大腸内視鏡では到達することができず、挿入長を長くしてバルーンを装着した小腸内視鏡を経口あるいは経肛門的に挿入して観察する。3)結腸や4)盲腸の観察には大膓内視鏡を用いる。
36,1.3,診療報酬点数表に定める処置料は、一般処置、救急処置、皮膚科処置、泌尿器科処置、産婦人科処置、眼科処置、耳鼻咽喉科処置、整形外科的処置、栄養処置、ギブスに分類される。1)、3)の組み合わせは正しい。2)酸素吸入は一般処置である。4)鼻腔栄養は栄養処置である。5)結膜異物除去は眼科処置である。
37,4,4)自律訓練法は訓練療法の一つで、活動時や昼間に活性化して全身を緊張させる「交感神経」と安静時や夜間に活性化して全身をリラックスさせる「副交感経」のバランスをとるものである。1)支持療法とは、患者の自我を支えて情緒的な安定を図り、適応能力を回復させようとするものである。訓練療法には4)自律訓練法のほか、物事の提え方の偏りである「認知の歪み」を修正しようとする2)認知療法や、不安や緊張をあるがままに受け入れることを目標におく3)森田療法などがある。また、洞察療法として5)精神分析療法などがある。
38,1,1)ECMO(ExtraCorporeal Membrane Oxygenation):腕型人工肺は体外回路で師機能を代替するもので、重症呼吸不全時に用いられる。2)IABP:大動脈バルーンパンピングは大動脈内に留置したバルーンを心臓の収縮に同期させて拡張・収縮させることで心機能を補助するもの、3)血液透析は腎機能の一部を代替する腎不全治療法の一つ、4)血漿交換は血漿中に存在する病因関連物質を除去することで病態を改善させるもの、5)人工呼吸器は自発呼吸だけでは十分な酸素交換ができない患者に呼吸補助を行う機器である。
39,5,5)病院管理者が作成した病院日誌の保存期間は医療法により2年間と決められており選択肢の中でもっとも短い。1)医師が作成した診療録は医師法により5年間、2)助産師が作成した助産録は保健師助産師看護師法により5年間、3)薬剤師が作成した調剤録は薬剤師法により3年間、4)歯科衛生士が作成した業務記録は歯科衛生士法施行規則により3年間の保存義務がある。
40,3,SOAP形式による経過記録の記載では、主観的情報をS欄、客観的情報をO欄、評価をA欄、計画をP欄に、それぞれ記載する。3)鑑別診断は医師による評価であり、A欄に記載する。1)血液生化学検査の結果は客観的情報であり、O欄に記載する。2)次回来院時の画像検査の予定は計画であり、P欄に記載する。4)来院時の痛みのスケールは主観的情報でありS欄に記載する。5)患者から聴取した薬物アレルギーは主観的情報であり、S欄のほか、基礎データにも記載する内容である。
41,5,5)カウンターサインが正しい。研修医のオーダに対しても実施される。1)アウトカムはクリニカルバスにおける臨床上期待される成果、達成目標をいう。2)オプトインは事前に第三者の個人情報などの利用などについての承諾を取る仕組みをいう。3)サインアウトは患者が手術室から退室する前に、スタッフが一斉に手を止めて患者確認や、手術手技、使用した器材や材料を確認する作業をいう。4)べンチマークは医療の質や経営状況などの指標を定め、他医療機関などと比較を行う手法をいう。
42,5,特異度は【真陰性=56】/【疾患のないもの=58】=0.97で、5)0.97が正解である。感度は【真陽性=33】/【疾思のあるもの=51】=0.65、陟既予測値(陽性的中率)は【真陽匪=33】/【検査陽性であったもの=35】0.94、陰性予測値(陰性的中率)は【真陰性=56】/【検査陰性であったもの=74】=0.76である。したがって、1)0、65は感度、2)0.76は陰性予測値、4)0.94は陽性予測値に該当する。
43,3,エビデンスレベルの一例として、「Minds診療ガイドライン作成の手引き2014」で採用されている工ビデンスレベル(高い順)を示す。I:システマティック・レビュー/RCTのメタアナリシス Ⅱ:1つ以上のランダム化比較試験による Ⅲ:非ランダム化比較試験による Ⅳa:分析疫学的研究(コホート研究) Ⅳb:分析疫学的研究(症例対照研究、横断研究) Ⅴ:記述研究(症例報告やケース・シリーズ) Ⅵ:患者データに基づかない専門委員会や専門家個人の意見 これらから分かるようにエビデンスレベルが最も低いのは3)専門家委員会報告である。
44,2,PICO(PECO)とは臨床的疑問や研究的疑問を、どのようなPatient(患者)(あるいはParticipate(参加者)やProblem(問題))に、どのような2)lntervention(介入)やExposure(暴露)により、何とComparison(比較)して、どのようなOutcome(転帰、結果)になるのか、という4つの要素に分けて明確にすることである。
45,1.4,1)順序変量の値は、順序関係という以外は量としての意味は希薄で、番号を足したものに明確な意味はない。4)名義変量は順序を持たない質的変量であり、足し算はできない。2)離散変量は整数型の量的変量、3)連続変量は実数型の量的変量であり、足し算が可能である。5)の順序変量は自然な大小関係をもっ質的変量であり、大小関係のような比較演算は可能である。
46,2,2)正規分布する標本では平均値±2×標準偏差内に全体の約95%が含まれる。平均値土標準偏差内に全体の約70%が含まれる。1)、3)は一般的に正しい。4)測定値のなかに外れ値が存在する場合には、外れ値によって影響を受けにくい中央値が代表値としてふさわしい。5)一般に、感度、特異度の両方が高い検査の方が、低い検査よりも優れている。
47,3,3)箱ひげ図はデータ分布の表現に用いられ、箱の横線は中央値を表す。箱の下端は5)第1四分位(下位25%点)、上端は第3四分位(下位75%=上位25%点)を表す。箱の外にある線(ひげ)はデータの範囲を示すが、外れ値を考慮しない場合には、下端は最小値、上端は1)最大値になる。外れ値を考慮する場合には、データの範囲は上位・下位5%点や10%点など特定のパーセンタイル値などで表され、外れ値は点として示されることが多い。2)最頻値および4)平均値は図中に示されることもあるが、箱ひげ図の主要な構成要ではない。
48,5,5)が正しい。Hファイルには、各評価表に応じた患者別日毎のA項目、B項目の値が記入される。1)様式1は退院サマリに記載される患者属性や病態などの情報を構造化およびデータベース化したファイル、2)様式3は病床数や入院基本料などの施設情報が記入されたファイル、3)Dファイルは診断群分類点数表による包括レセプト情報が記入されるファイル、4)EFファイルは医科点数表による出来高レセプト情報が記入されるファイルである。
49,2.5,レセプト情報・特定健診等情報データベース(NDB)には、2008年度実施分からの2)特定健診情報および特定保健指導情報、2009年4月診療分からの5)医療保険レセプト情報が格納されている。1)自由診療情報は医療保険レセプト情報には記載されないためNDBには格納されていない。3)要介護認定情報および4)臨床調査個人票も格納対象の情報ではない。
50,5,5)全国がん登録データベースは、がん登録等の推進に関する法律に基づき運用される顕名データベースである。一般社団法人National CIinical Databaseが運用する1)NCD、独立行政法人医薬品医療機器総合機構(PMDA)が運用する2)MID-NET、厚生労働省が管理する3)DPCデータべース、および、4)介護保険総合データベース、はいずれも匿名データベースである。
