2023JS,問題文,選択肢,,,,
21,確定したトランザクションの結果が障害等で失われないことを意味する性質はどれか。番号を解答記入欄( 21 )にマークしなさい。,一貫性,隔離性,原子性,耐久性,不可分性
22,OSI参照モデルにおける「ネットワーク層」で処理されるプロトコルはどれか。番号を解答記入欄( 22 )にマークしなさい。,IP,TCP,UDP,DHCP,SMTP
23,NAPTで変換されるのはどれか。番号を解答記入欄( 23 )にマークしなさい。,SSID,ホスト名,ポート番号,MACアドレス,サブネットマスク
24,WebブラウザとWebサーバの間でデータの送受信を行うために使用される通信プロトコルはどれか。番号を解答記入欄( 24 )にマークしなさい。,DNS,SSH,SNMP,HTTPS,SMTPS
25,IMAP4の用途はどれか。番号を解答記入欄( 25 )にマークしなさい。,音声通話,動画配信,Web会議,メール閲覧,ルーティング
26,サブネットマスク24ビットで、IPアドレスを192.168.3.10と設定した端末がある。この端末と同一のサブネットに接続する端末のIPアドレスとして適切なのはどれか。番号を解答記入欄( 26 )にマークしなさい。,192.168.2.10,192.168.3.10,192.168.3.24,192.168.4.10,192.168.4.24
27,通信先端末の反応を確認するコマンドはどれか。番号を解答記入欄( 27 )にマークしなさい。,arp,ping,netstat,ipconfig,nslookup
28,PoEの機能はどれか。番号を解答記入欄( 28 )にマークしなさい。,ワイヤレス給電,光信号と電気信号の変換,LANポートからの電源供給,アクセスポイントの遠隔設定,ネットワーク機器の遠隔監視
29,ネットワークに接続されている機器の時刻を同期するプロトコルはどれか。番号を解答記入欄( 29 )にマークしなさい。,NTP,RTP,DHCP,LDAP,PPPoE
30,無線LANで接続先のネットワークの識別に用いられるのはどれか。番号を解答記入欄( 30 )にマークしなさい。,UDID,ESSID,ユーザID,IPアドレス,MACアドレス
31,情報セキュリティの3要素の組み合わせについて正しいのはどれか。番号を解答記入欄( 31 )にマークしなさい。,機密性 ― 安全性 ― 可用性,機密性 ― 完全性 ― 可用性,真正性 ― 安全性 ― 可用性,真正性 ― 完全性 ― 可用性,真正性 ― 機密性 ― 可用性
32,リスクマネジメントにおいてリスクを発見、確認および記録するプロセスはどれか。番号を解答記入欄( 32 )にマークしなさい。,リスク対応,リスク特定,リスク評価,リスク分析,リスク保有
33,情報セキュリティ対策のうち、物理的対策にあたるのはどれか。番号を解答記入欄( 33 )にマークしなさい。,入退室管理,アクセス権の設定,セキュリティ教育,ファイアウォールの設定,セキュリティポリシーの策定
34,SSL/TLSに関する記述として、適切なのはどれか。番号を解答記入欄( 34 )にマークしなさい。,通信を高速化する。,通信データの暗号化を行う。,公的認証機関が通信を中継する。,不正な通信を進断して通知する。,通信データの改ざんを検出して通知する。
35,DoS攻撃についての説明はどれか。番号を解答記入欄( 35 )にマークしなさい。,データを改ざんする攻撃,サービスを不正利用する攻撃,データを不正に取得する攻撃,サーバを過負荷状態にする攻撃,サーバの管理者権限を奪取する攻撃
36,公開鍵基盤(PKI)における認証局(CA)の役割として正しいのはどれか。番号を解答記入欄( 36 )にマークしなさい。,電子証明書の発行,加入者の秘密鍵の発行,利用者の公開鍵の発行,メッセージの改ざん検出,メッセージへの電子署名
37,本人確認の多要素認証の組み合わせとして適切なのはどれか。番号を解答記入欄( 37 )にマークしなさい。,氏名と生年月日,指紋認証と顔認証,暗証番号と秘密の質問,ICカードとパスワード,メールアドレスとパスフレーズ
38,図のように攻撃者が納入業者側のシステムを介して病院の医療情報システムに侵入・攻撃することを表すのはどれか。番号を解答記入欄( 38 )にマークしなさい。,スパイウェア,ランサムウェア,サプライチェーン攻撃,ブルートフォース攻撃,SQLインジェクション
39,「実体」と「関係」の組み合わせによって図式化するデータモデル図はどれか。番号を解答記入欄( 39 )にマークしなさい。,DFD,UML,E-R図,状態遷移図,ユースケース図
40,システムの開発モデルにおいて、スクラム、XPなどの手法を用いて重要な部分から細かい単位での開発を繰り返す手法はどれか。番号を解答記入欄( 40 )にマークしなさい。,アジャイル開発,スパイラルモデル,インクリメンタルモデル,プロトタイピングモデル,ウォータースライダーモデル
41,システム開発における検証テストのうち、同値分割や境界値分析の手法を用いるのはどれか。番号を解答記入欄( 41 )にマークしなさい。,確認テスト,評価テスト,負荷テスト,ブラックボックステスト,ホワイトボックステスト
42,必要な作業を洗い出し、各作業に必要な人員、工数を算出して積み上げるソフトウェア見積もり手法はどれか。番号を解答記入欄( 42 )にマークしなさい。,概算法,積算法,類推法,COCOMO,ファンクションポイント法
43,タスクの処理順序の関係をグラフ化し、タスクの流れと日数を可視化するのはどれか。番号を解答記入欄( 43 )にマークしなさい。,管理図,PERT,ABC分析,パレート図,ガントチャート
44,接続端末数を監視して制限するライセンス契約はどれか。番号を解答記入欄( 44 )にマークしなさい。,コアライセンス契約,サイトライセンス契約,サブスクリプション契約,ボリュームライセンス契約,デバイスクライアントアクセスライセンス契約
45,コールドスタンバイの説明はどれか。番号を解答記入欄( 45 )にマークしなさい。,障害発生時に自動的にシステムを停止すること,地理的に離れた場所にパックアップデータを保管すること,本番系と同一構成の予備システムを停止状態で待機させること,障害発生時には一部機能を停止し、最小限の機能を維持すること,本番系と同一構成の予備システムを常に同期をとった状態で待機させること
46,情報システムの運用管理におけるPDCAサイクルのうち、「D」にあたるのはどれか。番号を解答記入欄( 46 )にマークしなさい。,教育の実施,パフォーマンス評価,マネジメントの計画,問題個所の是正、改善,セキュリティポリシーの見直し
47,信頼性評価指標RASISにおいて平均故障間隔(MTBF)で評価する指標はどれか。番号を解答記入擱( 47 )にマークしなさい。,安全性,可用性,完全性,信頼性,保守性
48,性能監視項目のうち、ネットワークを対象とした測定項目はどれか。番号を解答記入欄( 48 )にマークしなさい。,輻輳回数,CPU使用率,ジョブ処理件数,スワッピング数,トランザクション件数
49,非意図的なシステム障害発生要因はどれか。番号を解答記入欄( 49 )にマークしなさい。,機器故障,内部不正,不正侵入,情報の詐取,ウイルス攻撃
50,センサネットワークを想定して開発された、メッシュネットワークの構成にも対応する低消費電力、低速、低コストの近距離通信規格はどれか。番号を解答記入欄( 50 )にマークしなさい。,5G,LTE,RFID,ZigBee,Bluetooth
