2023IS,問題文,選択肢,,,,
12,医事会計システムで管理される情報はどれか。番号を解答記入欄( 12 )に2つマークしなさい。,DESIGN-RⓇ,特定健診の検査値,インプラント装着の有無,限度額適用認定証の所得区分,リハビリテーションの起算日
13,医事会計システムに登録されないのはどれか。番号を解答記入欄( 13 )にマークしなさい。,保険情報,患者の住所,緊急連絡先,未収金情報,マイナンバー
14,看護業務支援システムの機能はどれか。番号を解答記入欄( 14 )に2つマークしなさい。,看護計画,看護勤務管理,病棟管理日誌,ワークシート,クリニカルパス
15,処方オーダシステムの機能について適切でないのはどれか。番号を解答記入欄( 15 )にマークしなさい。,前回処方を閲覧できる。,他医師の処方の流用を禁止する。,内服薬は1回量と1日服用回数で表記する。,常用量の1.5~2倍以上の処方で警告を発する。,患者に重大な影響を及ばす医薬品を強調表示する。
16,検体検査部門に関連した業務のうちオーダェントリシステムの機能で運用するのはどれか。番号を解答記入欄( 16 )にマークしなさい。,極異常値の検出,検査結果の精度管理,検査依頼項目セットの作成,外来迅速検体検査加算の算定,採血管への検体ラベルの自動貼付
17,生理機能検査部門業務に関するシステムの機能として関連がもっとも弱いのはどれか。番号を解答記入欄( 17 )にマークしなさい。,画像管理,患者受付,精度管理,予約管理,レポート作成
18,病理診断業務を支援するシステムにおいて、報告書の運用管理に関する機能でないのはどれか。番号を解答記入欄( 18 )にマークしなさい。,進捗管理,版数管理,標本管理,未読管理,診断者管理
19,PACSの機能はどれか。番号を解答記入欄( 19 )に2つマークしなさい。,RDSRの保存,照射録の作成,検査画像の共有,使用した造影剤の登録,物流システムへの使用物品情報の送信
20,輸血におけるコンピュータクロスマッチについて正しいのはどれか。番号を解答記入欄( 20 )にマークしなさい。,ABO血液型の確認は不要である。,RhD血液型の確認は不要である。,自己血輸血に対して実施される。,規則抗体がない患者に適用される。,患者血液と血液製剤とで交差適合試験を実施する。
21,リハビリテーション部門システムの労務管理機能により管理するのはどれか。番号を解答記入欄( 21 )にマークしなさい。,療法士の超過勤務状況の正確な把握,医師の出勤人数と療法士の出勤人数の比較,療法士が1日に担当する訓練の上限の把握,看護師の出勤人数と療法士の出勤人数の比較,患者に対し1日に施行可能な理学療法の単位数の把握
22,食事オーダを構成する情報でないのはどれか。番号を解答記入欄( 22 )にマークしなさい。,食札,食種,配膳先,アレルギー情報,開始・終了の日付
23,GS1による医療材料へのソースマーキングについて誤っているのはどれか。番号を解答記入欄( 23 )にマークしなさい。,リコール時の対象製品の特定に利用できる。,物品の受発注、検品、在庫管理に利用できる。,鋼製器具や医療機器の貸出管理に利用できる。,医療機器では元梱包装単位で商品コードの表示が義務化されている。,医療用医薬品では調剤包装単位で有効期限の表示が義務化されている。
24,物流管理業務に利用するシステムはどれか。番号を解答記入欄( 24 )にマークしなさい。,SPDシステム,経営管理システム,がん登録システム,医事会計システム,インシデントレポートシステム
25,栄養サポートチーム(NST)を支援するシステムの機能として必要性がもっとも低いのはどれか。番号を解答記入欄( 25 )にマークしなさい。,回診記録の入力,褥瘡の処置記録,チーム介入依頼の発行,カンファレンス記録の入力,栄養管理計画書の作成・管理
26,病院情報システム導入における院内調整において適切でないのはどれか。番号を解答記入欄( 26 )に2つマークしなさい。,速やかに議事録を作成し、情報共有する。,導入目的を理解し、全体最適の視点で検討する。,通常業務より、稀な業務のシステム化を優先する。,各部門の業務内容、制約条件などを相互に理解する。,業務継続性を重視し、従来の業務フローを踏襲する。
27,情報システムの導入や更新に影響を与える外部環境要因はどれか。番号を解答記入欄( 27 )に2つマークしなさい。,情報技術の革新,医療保険制度の動向,施設の建て替え計画,情報部門の人員体制,電子カルテシステムの更新時期
28,医療情報システム調達のために行うRFIに含まれないのはどれか。番号を解答記入欄( 28 )にマークしなさい。,企業概要,調達範囲,導入実績,保守体制,部門システム接続実績
29,リースによる調達について誤っているのはどれか。番号を解答記入欄( 29 )にマークしなさい。,主に短期契約である。,物件の管理は契約者が行う。,原則として途中解約できない。,契約者のキャッシュフローを平準化する。,物件に関わる税務上の事務処理を省力化できる。
30,病院情報システムの導入プロジェクトにおける医療情報部門担当者の対応として適切でないのはどれか。番号を解答記入欄( 30 )に2つマークしなさい。,業務部門からのカスタマイズ要求をそのままべンダーに伝えた。,業務運用について2つの部門間で対立が起きたので、調整を各部門の代表者に任せた。,ワーキンググループの欠席者に対し、ワーキンググループ開催後速やかに資料と議事録を送付した。,べンダーからの報告内容と業務部門へのヒアリング内容に差異があったためべンダーに再確認した。,日常的な運用保守において遭遇した課題がワーキンググループの議題になかったため代わりに提出した。
31,既存システムとの連携が必要なシステムの導入において、要求仕様書の記載内容として適切でないのはどれか。番号を解答記入欄( 31 )にマークしなさい。,既存システムの製品名,連携させるデータの項目,システム連携仕様の開示方法,既存システム側で発生する接続費用の負担方法,接続テストで確認が必要な全てのシステム連携パターン
32,病院情報システムの「運用管理規程」の説明として正しいのはどれか。番号を解答記入欄( 32 )にマークしなさい。,国が定めた医療情報の取り扱いについてのガイドラインである。,病院情報システムの運用に関する基本方針を定めたものである。,医療情報技師が医療現場での業務遂行に必要な情報をまとめたものである。,医療機関における患者のプライバシー保護を目的とした規則を定めたものである。,医療従事者が患者の安全を確保するために違守すべき基準や運用手順をまとめたものである。
33,医療情報システムの運用について正しいのはどれか。番号を解答記入欄( 33 )にマークしなさい。,ユーザに管理者権限を付与する。,すべての端末で共通のパスワードを設定する。,サーバにウイルス対策ソフトをインストールする。,リモート保守用のVPN装置の設定を外部業者に一任する。,遠隔地からtelnetで病院端末にアクセスできるようにする。
34,標準マスターを利用することによって期待できる効果はどれか。番号を解答記入欄( 34 )に2つマークしなさい。,マスターの更新が容易になる。,ユーザ管理の労力が軽減される。,他施設とのデータ連携が容易になる。,改ざんされていないことの証明が容易になる。,施設独自の運用に対応したマスターを作成できる。
35,特定の個人に権限が集中して不正の温床となることを回避するための手法はどれか。番号を解答記入欄( 35 )にマークしなさい。,多要素認証,レジリエンス,セグリゲーション,シングルサインオン,スイスチーズモデル
36,障害発生の連絡を受けたとき、病院の医療情報システム担当者が最初に行うべき対応はどれか。番号を解答記入欄( 36 )にマークしなさい。,障害の範囲を確認する。,端末やサーバを再起動する。,障害の発生を病院内にアナウンスする。,自動動作しているバックアッププロセスを中断する。,今後の障害発生の防止のためにマニュアルを整備する。
37,電子カルテシステムが導入された医療機関における障害時の紙運用について正しいのはどれか。番号を解答記入欄( 37 )に2つマークしなさい。,白紙にオーダ内容を手書きして実施部門へ搬送する。,防災調練等の機会に紙伝票による運用を実行し検証する。,停電などにより病院情報システムが完全停止した際に実施される。,システム復旧後、紙運用された情報は紙のまま保存しなければならない。,ディザスターリカバリーとして予備系システムを準備していれば不要である。
38,医療情報のバックアップの3-2-1ルールについて正しいのはどれか。番号を解答記入欄( 38 )にマークしなさい。,「1」はクラウドバックアップを指す。,「1」はオフラインバックアップを指す。,「2」は正・副のバックアップを指す。,「3」は3世代のバックアップを指す。,「3」は3種類の媒体によるバックアップを指す。
39,サービスデスクが行うオペレーションでないのはどれか。番号を解答記入欄( 39 )にマークしなさい。,障害や課題の一次切り分けを行う。,障害や課題の原因を把握してシステム管理者への報告書を作成する。,障害や対応記録をデータベース化して迅速に対応する体制を構築する。,システム改修に向けて、コスト(費用や工数)の見積と明細内訳を作成する。,システム管理者、保守べンダーと相互に連絡を取り復旧にかかる時間を確認する。
40,電子処方箋とその運用について正しいのはどれか。番号を解答記入欄( 40 )にマークしなさい。,「処方内容(控え)」は薬局で3年間保存する。,処方箋発行後は処方内容を変更・削除できない。,疑義照会は電子処方箋管理サーピスを利用して行う。,本人の同意を得て投薬記録を閲覧できるが、それを電子力ルテに保存してはならない。,オンライン診療で電子処方箋を利用した場合、医療機関は思者本人の投薬記録を閲覧できない。
41,診療所の電子力ルテが必ず備えなければならない機能はどれか。番号を解答記入欄( 41 )にマークしなさい。,処方箋の発行,インターネットとの接続,診療記録の修正履歴の保存,地域医療連携システムとの接続,レセプトコンピュータとの連携
42,オンライン診療について正しいのはどれか。番号を解答記入欄( 42 )に2つマークしなさい。,暗号化通信が要求されている。,医師は研修の受講が必須である。,録画することが推奨されている。,一般のTV会議システムは利用できない。,電子力ルテ端末で実施しなければならない。
43,地域医療連携システムについて誤っているのはどれか。番号を解答記入欄( 43 )に2つマークしなさい。,医療機関は患者の同意なく患者情報にアクセスできる。,更新経費などの維持費の問題で事業継続が課題となっている。,医療機関間で患者情報を共有し、医療連携を円滑に行うことができる。,全ての医療機関が同じ病院情報システムを使用していなければならない。,医療機関間の検査や薬剤のコードの相互運用性の確保が課題となっている。
44,PHRについて誤っているのはどれか。番号を解答記入欄( 44 )にマークしなさい。,法的記録ではない。,健診情報を登録できる。,公的機関のみ運営できる。,本人がコントロール権を有する。,複数医療機関の診療情報を保存できる。
45,保険薬局において、処方箋に印字された「院外処方箋2次元シンポル記録条件規約」に基づく2次元バーコードを読み取り、その情報をレセプトコンピュータに取り込む運用を行っている。この運用で得られる効果でないのはどれか。番号を解答記入欄( 45 )にマークしなさい。,事務作業を効率化できる。,院外処方箋を廃棄できる。,調剤過誤の予防ができる。,正確な点数計算ができる。,院外処方箋の改ざんを検知できる。
46,訪問看護業務において訪問看護師が作成しないのはどれか。番号を解答記入欄( 46 )に2つマークしなさい。,ケアプラン,連絡ノート,訪問看護計画書,訪問看護指示書,訪問看護報告書
47,介護を支える情報システムについて誤っているのはどれか。番号を解答記入欄( 47 )にマークしなさい。,ケアプランデータ連携システムが構築されている。,マイナポータルで介護に必要な行政手続きのオンライン申請ができる。,べッドセンサーや居室見守りカメラなどのIoTデバイスが導入されている。,要介護認定申請者の要介護度は、主治医意見書をもとにAI(人工知能)によって判定される。,介護関連情報の収集・分析・現場へのフィードバックを目的とした科学的介護DB(LIFE)が構築されている。
48,DICOMについて正しいのはどれか。番号を解答記入欄( 48 )に2つマークしなさい。,画像検査を実施した技師情報を取り扱える。,画像検査に関する注射オーダ情報を取り扱える。,UID(Unique Identifier)が患者を一意に特定する。,放射線治療の照射線量分布図は画像として保管される。,検査番号(Accession number)が検査オーダ、レポート、画像を結びつける。
49,正しい組み合わせはどれか。番号を解答記入欄( 49 )にマークしなさい。,DICOM ― CSV,CDA R2 ― HTML,HL7 FHIR ― JSON,HL7 V2 メッセージ ― PDF,HL7 V3 メッセージ ― デミリタ
50,SS-MIX2標準化ストレージに格納しないのはどれか。番号を解答記入欄( 50 )にマークしなさい。,食事オーダ,放射線画像,検体検査結果,アレルギー情報,内視鏡検査の実施通知
51,医療機関における個人情報保護について正しいのはどれか。番号を解答記入欄( 51 )にマークしなさい。,医療機関は個人情報取扱事業者ではない。,国外に個人情報を提供することは禁止されている。,患者からの要求があれば診療録を削除しなければならない。,目的によらず診療情報はオプトアウト方式で第三者提供できる。,要配慮個人情報を患者から明示的な同意なしで取得できる場合がある。
52,個人情報の保護に関する法律(令和5年4月施行)における個人情報取扱事業者について正しいのはどれか。番号を解答記入欄( 52 )にマークしなさい。,地方公共団体の病院は個人情報取扱事業者に該当しない。,診療情報から仮名加工情報を作成する場合、利用目的は公表しなくてよい。,大学病院が医学研究で診療情報を取り扱う場合、安全管理措置に係る義務が適用される。,"""1,000人未満の診療情報を漏えいした場合、個人情報保護委員会の報告義務は免除される。""",目的外利用または不正取得に該当しない限り、本人からの利用停止の申し出に対応しなくてよい。
53,「医療情報システムの安全管理に関するガイドライン」(第5.2版)における「ブレークグラス」の説明として適切なのはどれか。番号を解答記入欄( 53 )にマークしなさい。,通信内容を検査して、動的にポートの閉鎖・開放を制御すること。,無線LANのアクセスポイントで、SSIDを外部から見えなくする機能のこと。,ユーザが一度認証を受けるだけで、許可されているすべての機能を利用できること。,情報システムにおいて非常時専用のID、パスワードを準備し、使。た痕跡を残すこと。,大量のサーピス要求バケットを送りつけ、過大な負荷をかけて相手のサーバやネットワークを使用不能にすること。
54,端末がランサムウェアに感染した兆候を確認したシステム利用者が最初にとるべき行動はどれか。番号を解答記入欄( 54 )にマークしなさい。,システム管理者に電話して指示を仰ぐ。,業務を続けるため別の部署の端末を借りに行く。,ウイルス対策ソフトのスキャンを手動実行する。,近傍の端末で同じ現象が発生しているか確認する。,端末に接続されているネットワークケープルを抜く。
55,「医療情報システムの安全管理に関するガイドライン」(第5.2版)では、診療等の都度スキャナ等で文書を電子化して保存する場合、対象文書の発生からどのくらいの期間内にスキャンしなければならないとされているか。番号を解答記入欄( 55 )にマークしなさい。,3時間,12時間,1～2日,1週間,1ヶ月
56,リアルワールドデータを用いた臨床研究における課題の指摘として適切でないのはどれか。番号を解答記入欄( 56 )にマークしなさい。,SOAPの記載内容はフリーテキストであるため研究利用が難しい。,通常の診療における記録の粒度と研究で必要な記録の粒度が異なる。,ある条件を持っ患者を横断的に検索できる仕組みを整備する必要がある。,標準コードが実装されているため各施設のコードをマッピングする必要はない。,レセプトデータには患者のアウトカムに関する情報がほとんど記載されていない。
57,データ分析環境におけるETLの機能でないのはどれか。番号を解答記入欄( 57 )にマークしなさい。,抽出したデータを正規化する。,分析用データベースにデータを投入する。,抽出したデータにマスターデータを結合する。,業務用データベースに格納されたデータを抽出する。,抽出したデータに別データベースのデータを結合する。
58,自施設の病院情報システムに蓄積されたデータのみで算出するのが難しい指標はどれか。番号を解答記入欄( 58 )にマークしなさい。,逆紹介率,病床稼働率,がん５年生存率,転倒転落発生率,重症度、医療・看護必要度
59,病院経営データの分析について誤っているのはどれか。番号を解答記入( 59 )に2つマークしなさい。,医療機関の患者データの詳細をSWOT分析する。,相関分析により患者待ち時間と患者満足度の関係を分析する。,医療機関の従業員の満足度を向上させるためにKPIを用いる。,月によってばらっきがある外来患者数の推移を移動平均により分析する。,データを視覚的に表現し意思決定を支援するためにダッシュポードを使用する。
60,臨床研究のオフサイトモニタリングにおいて、医療情報システム担当者が電子力ルテ情報を閲覧するモニタに対して事前に確認すべきことはどれか。番号を解答記入欄( 60 )に2つマークしなさい。,実施する臨床研究の目的や手法,実施する臨床研究の倫理審査結果,モニタが使用するPCおよびネットワーク環境,閲覧時にモニタが申請者本人かどうかを確認する手順,研究に関する倫理ならびにモニタリングの実施に必要な知識
