2023JS,解答,解説
22,1,1)IPはInternet Protocolの略で、OSI参照モデルでは「ネットワーク層」で処理される。2)TCPは(Transmission Control Protocolの略で、「トランスポート層」で処理される。3)UDPはUser Datagram Protocolの略で、「トランスポート層」で処理される。4)DHCPはDynamic Host Configuration Protocolの略で、「アプリケーション層」で処理される。5)SMTPはSimpIe MaiIc Transfer Protocolの略で、「アプリケーション層」で処理される。
23,3,NAPTはNetwork Address Port Translationの略で、プライベートIPアドレスとグローバルIPアドレスの変換に加えて3)ポート番号も変換される。1)SSIDはService Set Identifierの略で、無線LANにおいて接続先の識別に用いられる。2)ホスト名はインターネットにおけるサーバや端末の識別名である。4)MACアドレス(Media Access Control Address)はネットワークインターフェースに付与された48ビットの固有アドレスである。5)サブネットマスクはIPアドレスのネットワーク部とホスト部を区別するために用いられる。
24,4,WWW(World Wide web)ではHTTP(Hyper Text Transfer Protocol)を用いるが、これをセキュリティ的に強化したものが4)HTTPS(HTTP over SSL)である。1)DNSはDomain Name Systemの略で、IPアドレスとホスト名、ドメイン名の対応関係を管理するサービスである。2)SSHはSecure SheIIの略で、セキュリティを強化したリモートアクセスサービスである。3)SNMPはSimple Network Management protocolの略で、大規模な情報システムでの構成管理に利用する。5)SMTPSはSimple Mail Transfer Protocol over SSLの略で、メールの転送を司るSMTPのセキュリティを強化したプロトコルである。
25,4,IMAP4はInternet Message Access Protocol version4の略であり、メールサーバに到着した電子メールを取り扱う(端末への移送、サーバ上における削除など)ためのプロトコルであり、4)メール閲覧に用いられる。
26,3,サブネットマスクが24ビットであることから、この端末が接続しているネットワークのネットワークアドレスは192.168.3.0である。従って、1)192.168.2.10、4)192.168.4.10、5)192.168.4.24はネットワーク部のアドレスが異なることから不正解である。2)192.168.3.10は、ネットワーク部のアドレスは例示された端末と同じであるが、「1つのネットワーク内には同一IPアドレスの端末を2つ以上接続してはならない」というルールがあるため不正解である。
27,2,2)pingは指定した通信先にパケットを送り、応答によってネットワーク到達状況を確認するために用いられる。1)arpは自端末で管理されるアドレスとMACアドレスの対応表(ARPテーブル)を操作するために用いる。3)netstatはネットワークの接続状況を確認するために用いる。4)ipconfigはIPアドレスなどネットワーク設定情報を表示するために用いる。5)nslookupはDNSの情報を取得して表示するために用いる。
28,3,PoE(Power over Ethernet)はEthernetの通信ケーブルを通して、3)LANポートからの電源供給する技術を指す。1)ワイヤレス給電-WPT(Wireless Power Transfer)は無線により電源を供給する技術を指す。2)光信号と電気信号の変換については、代表的な機器としてONUがある。4)アクセスポイントの遠隔設定は無線LANコントローラやWebプラウザなどから行う。5)ネットワーク機器の遠隔監視では、代表的なプロトコルとしてSNMP(Simple Network Management Protocol)がある。
29,1,1)NTP(Network Time Protocol)はネットワークに接続されている機器で時刻同期するためのプロトコルである。2)RTP(ReaItime Transport Protocol)は主には音声や動画などリアルタイムデータ転送で使用されるプロトコル。3)DHCP(Dynamic Host Configuration Protocol)はlPアドレスなどのネットワーク情報を自動的に設定するプロトコル。4)LDAP(Lightweight Directory Access Protocol)は利用者管理や端末管理などで用いるディレクトリサービスのアクセスに使用するプロトコル。5)PPPoE(PPP over Ethernet)はIPイーサネット上を流れるフレームにPPP(Point to Point Protocol)フレームをカプセル化するためのプロトコル。
30,2,2)無線LANにおけるアクセスポイントの識別子であるSSIDを、複数のアクセスポイントを設置したネットワークでも同一のSSIDを使用できるよう拡張した識別子がESSID(Extended Service Set Identifier)である。1)UDID(Unique Device Identifier)は米アップル社のiOS端末に割り当てられる識別コード。3)ユーザID(User Identifier)は利用者を識別するために用いられる。4)IPアドレスはネットワーク上の機器に割り当てられる識別子。5)MACアドレスはネットワークインターフェースに割り当てられる48ビットの識別子。
31,2,情報セキュリティは、JIS Q 27000 : 2014において「情報の機密性、完全性及び可用性を維持すること。さらに、真正性、責任追跡性、否認防止、信頼性などの特性を維持することを含めることもある」と定義され、機密性、完全性、可用性は特に重要視され情報セキュリティの3要素とよばれる。安全性はシステムの信頼性を評価する信頼性評価指標(RASIS)の評価項目である。真正性は情報セキュリティの要素であるが3要素には含まれない。よって正解は2)機密性 一 完全性 一 可用性である。
32,2,2)リスク特定はJIS Q 31010 : 2012において「リスクを発見、確認、及び記録するプロセスである」と定義される。1)リスク対応とはリスクを修正するプロセスを指す。3)リスク評価はリスクのレベルおよび種類の重大さを決定するために、リスクの推定レベルと、状況の確定時に決定するリスク基準との比較を行う。4)リスク分析はリスクの理解を深めるためのプロセスである。5)リスク保有はリスクの影響力が小さく許容範囲内として受容できる場合や、リスク対応のコストが損失コストより大きくなる場合。また現状において実施すべき対策が見当たらない場合などにリスクをそのままにしておくことを指す。
33,1,物理的対策とは設備や建物などに対策を講じることである。よって正解は1)入退室管理。2)アクセス権の設定、4)ファイアウォールの設定は技術的対策とよばれ、システムや機器の設定などにより対策される。3)セキュリティ教育、5)セキュリティポリシーの策定は人的、組織的対策とよばれ、情報資産を取り扱う上でのルール策定および遵守徹底などを行うことを指す。
34,2,2)SSL/TLSは、Webサービスやメールで用いられるHTTPやSMTPなどの通信をより安全に送受信する目的で利用され、通信の暗号化、データ完全性の確保、サーバやクライアントの認証を行うことができる。1)通信の高速化、3)通信の中継、4)通信の遮断、5)改ざん検出通知のような機能は無い。
35,4,DoS攻撃は標的のサーバに対して過剰なサービス要求や、大量のデータを送りつけるなどして、相手のサーバやネットワークに過大な負荷をかけて機能を停止あるいは低下させるサイバー攻撃のひとつである。DoS攻撃の結果、1)データを改ざんする攻撃、2)サービスを不正利用する攻撃、3)データを不正に取得する攻撃、5)サーバの管理者権限を奪取する攻撃のような被害を受ける可能性もあるが、DoS攻撃の直接的な説明は4)サーバを過負荷状態にする攻撃となる。
36,1,"""公開鍵基盤(PKI)では,信頼のおける第三者である認証局(CA)と呼ばれる機関が公開鍵を保証する。公開鍵が認証局により保証された証となるものが電子証明書であり、これをもって公開鍵が真に正しいということが証明される証明書を発行してもらう側を加入者、証明書を検証し利用する側を利用者とすると、2)加入者の秘密鍵は加入者が作成し、3)利用者の公開鍵は不要である。4)メッセージの改ざん険出および5)メッセージの電子署名は利用者が行う。"""
37,4,多要素認証は知識情報(ユーザのみ知り得る情報)、所持情報(ユーザのみ所持する情報)、生体情報(ユーザ自身の特性情報)の3要素のうち2要素以上を組み合わせて認証することである。所持情報と知識情報の組み合わせである4)職員証ICカードとパスワードが正解となる。1)氏名と生年月日は知識情報と知識情報の組み合わせ、2)指絞認証と顔認証は生体情報と生体情報、3)暗証番号と秘密の質問、5)メールアドレスとパスフレーズはいずれも知識情報と知識情報の組み合わせとなり、多要素認証の要件を満たしていない。
38,3,医療機関には多くの医療情報システムおよびそこに接続される医療機器があり、多数の納入業者が院内ネットワーク上でサービスを提供している。これらの納入業者にサイバー攻撃への対策が不十分な業者があった場合には、その業者を経由して医療機関へ攻撃される可能性がある。このようなサイバー攻撃を3)サプライチェーン攻撃という。1)、2)、4)、5)の脅威については、納入業者を介することを条件とするものではない。
39,3,3)E-R図(Entity-relationship Diagram)は、ERモデルにて用いられる、実体(entity)と関連(relationship)と属性(attribute)で表現される表記手法である。1)DFD(Data Flow Diagram)は、一連の業務プロセスや情報システムにおけるデータ処理の過程を流れ図として可視化したものである。2)UML(Unified Modeling Language)は、オプジェクト指向開発でのシステムの概念モデルの表現方法を共通仕様としてまとめたものである。4)状態遷移図は、情報システムの状態がイベントによってどのように遷移するか表したものである。5)ユースケース図は、UMLで定義されているもので、開発するシステムの基本的な機能、振る舞いを表現するものである。
40,1,1)アジャイル開発は、エクストリーム・プログラミング(XP)やスクラムといった手法を用いて、計画、設計、実装、テストといった開発工程を機能単位の小さいサイクルで繰り返し、開発を進める手法である。2)スパイラルモデルは、大規模なシステムをウォーターフォールモデルのプロセスの繰り返しにより開発する手法である。3)インクリメンタルモデルは、サプシステムに分割し、並列に開発、リリースする手法である。4)プロトタイピングモデルは、開発の早い段階で試作品(プロトタイプ)を作成し、評価と調整を繰り返しながら要求仕様を明確にし、開発する手法である。5)ウォーターフォールモデルは、設計、プログラミング、テストなどを順番に進める開発手法である。
41,4,4)ブラックボックステストは、モジュールの内部構造(ロジック)は考慮せず、モジュールの機能を検証するテスト方法で、同値分割や境界値分析の他に、因果グラフ、直交配列、ユースケースなどを利用してテストを実施する。1)確認テスト、2)評価テストは、システム開発における検証テストの種類にはない。3)負荷テストは、結合テストの中で実施され、通常の稼働状況よりも高い負荷をかけ、性能劣化や限界値を確認する。5)ホワイトボックステストは、テスト対象の内部を意識してテストケースを作成し実施する手法で、制御パスやデータフローパスよりテストケースを作成する。
42,2,2)積算法は、システム開発に必要な作業を洗い出し、各作業に必要な人員、工数を算出して積み上げる手法である。1)概算法、および3)類推法は、システムの仕様がまだ十分に確定していない初期の段階で、おおよその見積りを行うために採られる手法で、過去の類似のシステム開発と比較し見積もる方法が取られるため、見積り精度は高くない。4)COCOMO(Constructive Cost Model)は、システムプログラムのステップ数を元に工数を算出する手法である。5)ファンクションポイント法は、画面の入出力や帳票出力、外部システムとのインターフェースなど、機能に基づいて工数を見積る手法である。
43,2,2)PERT(Program Evaluation and Review Technique)は、ネットワーク図を用いて作業を開始できる最も早い時刻(最早時刻)や最低いつまでに作業を開始しなければならないか(最遅時刻)などを求める手法である。1)管理図は、品質管理手法の一つで、製造工程が安定しているかを調べる手法である。3)ABC分析は、「重点分析」とも呼ばれ、重要視する指標を選んで優先的に管理する分析方法である。4)パレート図は、品質管理手法の一つで、問題への取り組み範囲を重点指向で決定するための判断材料を提供する。5)ガントチャートは、縦軸に作業工程、横軸に日程を並べ、工程の予定と実際を横棒グラフで表す。工程の全体的な進捗状況を把握できる。
44,5,5)デバイスクライアントアクセスライセンス契約(デバイスCAL契約)は、サーバ・クライアント型のシステムなどでサーバへの接続端末数を監視して上限以上を制限する契約である。1)コアライセンス契約は、サーバ上で稼働するCPUのコア総数で制限する契約である。2)サイトライセンス契約は、組織内で端末台数やユーザ数の上限を定めずにソフトウェアを利用できる契約である。3)サブスクリプション契約は、料金支払いによって利用権が一定期間付与される契約である。4)ボリュームライセンス契約は、利用できる端末台数が決まっている契約である。
45,3,コールドスタンバイは、本番系と待機系で冗長系を構成するデュプレックスシステムの一種で、3)本番系と同一構成の予備システムを停止状態で待機させることである。5)もデュプレックスシステムの一種だが、待機系も常時稼働で本番系を即時代替可能なことから、ホットスタンバイと呼ばれる。1)障害発生時の自動停止や2)遠隔バックアップは、障害に対するシステム保護(フェールセーフ)の手段である。4)障害時に最小限の機能の確保を図るのは、フォールバック(縮退運転)である。
46,1,PDCAサイクルは、Plan(計画)、Do(運用)、Check(評価)、Act(見直し)の繰り返しによる運用改善の取り組みで、1)教育の実施は運用の一環として実施するので、Doにあたる。2)パフォーマンス評価はCheck、3)マネジメントの計画はPlan、4)問題箇所の是正、改善および5)セキュリティポリシーの見直しはActに、それぞれ該当する。
47,4,平均故障間隔(MTBF)は、故障の発生間隔の平均を表す指標で、値が大きいほどシステムの4)信頼性が高いとされる。信頼性以外の項目に対する指標としては、1)安全性は不正使用の発生回数、2)可用性は稼働率(システムの運用期間に対する実際の稼働時間の割合)、3)完全性はバグの数やデータ不整合の割合、5)保守性は平均修復時間(障害発生から復旧までの平均時間)が、それぞれ挙げられる。
48,1,輻輳回数の輻輳とは通信においてアクセス集中により通信不能状態に陥ることを指す。輻輳回数が多い場合には通信回線の性能不足が考えられる。2)CPU使用率は情報機器にかかる処理負荷の状況、4)スワッピング数は情報機器における仮想記憶の使用頻度を表し、いずれも情報機器の性能評価に用いられる。3)ジョブ処理件数はバッチ処理の実行状況を表す。5)トランザクション件数はオンライン処理の実行状況を表す。
49,1,システム障害の発生要因には、意図的要因、非意図的要因、災害などが挙げられるが、1)機器故障のようにシステムの構成要素において偶発的に発生する障害は、非意図的要因に分類される。2)内部不正、3)不正侵入、4)情報の詐取、5)ウイルス攻撃は、何者かによる意図的な介入に起因する障害であり、意図的要因に分類される。
50,4,4)ZigBeeはセンサネットワーク向けに策定された低消費電力・近距離無線通信規格で、メッシュネットワークによる耐障害性や通信範囲の拡張性が当初から規格に盛り込まれてい1)5G、2)LTEは、携帯電話向けの、比較的長距離の無線通信規格である。5)Bluetoothは周辺機器向けの近距離無線通信規格で、メッシュネットワークは拡張規格での対応となる。3)RFIDは無線通信方式による個体識別技術の総称である。
