2016JS,解答,解説
14,1,1)C++は、C言語をオブジェクト指向に改良したもので、コンパイラ方式の言語である。2)SQLはStructured Query Languageの略で、データベースアクセスに用いる問合せ言語である。3)XMLはeXtensible Markup Languageの略で、文章とともにテキストファイルに記述できるマークアップ言語である。4)Perlはスクリプト言語である。スクリプト言語とは、アプリケーションプログラムの機能を拡張するための簡易プログラム言語である。5)JavaScriptはスクリプト言語である。
15,4,4)PNG(Portable Network Graphics)は静止画像のファイル形式で、可逆圧縮である。1)BMP(Microsoft Windows Device Independent Bitmap)は静止画像のファイル形式で、基本的には圧縮されないが、ランレングス符号化(RLE : Run Length Encoding)方式で非可逆圧縮される場合もある。2)JPEG(Joint Photographic Experts Group)は静止画像のファイル形式で、非可逆圧縮である。3)MP4(MPEG-4 Part 14)は動画像のフアイル形式で、 非可逆圧縮である。5)WMA(Windows Media Audio)は音声のファイル形式で、非可逆圧縮である。
16,5,"""5)ZIPは複数のファイルやフォルダ(ディレクトリ)をひとつのファイルにまとめて格納する形式のひとつである。多くの場合は、格納するファイルをデータ圧縮するため、ファイルの圧縮形式のひとつとみなされている。1)CSVはComma-Separated Values(Variablesとも言う)の略で、文字や数値のテキストデータを項目ごとにカンマ(,)で区切って表現したファイル形式である。2)dllはdynamic link libraryの略で、Windowsにおいてプログラムを実行する際に利用される汎用性の高い機能を収録したプログラムである。3)PDFはPortable Document Formatの略で、Adobe Systems社が開発した電子文書のフォーマットである。4)xlsはMicrosoft Excelが用いるファイル形式である。"""
17,1,A/D変換とは、時間的に連続するアナログ信号をデジタル化(離散化)することである。デジタル化の手法は、まず連続的に変化する量を一定間隔に区切り、各時点の値を読み取る。これを「標本化」という。次に、各時点の値はアナログ値なので、これをルールに則った一定の間隔で離散化し、近似値で表現する。これを「量子化」という。これにより得られた情報は量が多いため、必要に応じて「符号化」を行う。したがって、正解は1)の順序となる。
18,4,"""サンプリング周波数を決定するにあたり、アナログ信号に含まれる周波数成分を正しく再現するためには、サンプリング周波数はデジタル化したい信号が持つ最大の周波数成分の2倍以上でなければならない。これを標本化定理、またはサンプリング定理と呼ぶ。よって、最大周波数成分が500Hzの場合、2倍の1,000Hzが必要な最低サンプリング周波数となる。したがって、正解は4)の1,000Hzとなる。"""
19,5,5)DBMSは、「データの一元管理」、「データ問合せに対する対応」、「データの更新」、「データのアクセス権限の管理」、「セッション管理」、「データの整合性確保」、「データベース管理のためのツール提供」等の機能を持つ。よって5)は正解である。1)不正な通信の遮断は、ファイアウォールあるいはルータの機能である。2)ハードディスクの電源管理は、基本ソフトウェア(OS)の機能である。3)コンピュータウイルスの駆除は、ウイルス対策ソフトウェアが行う。4)ユーザインタフェースの管理は、OSあるいはアプリケーションフトウェアが行う。
20,3,解答選択肢の条件式に含まれる項目は、年齢、性別と住所である。表''抽出結果''を見ると、年齢は15歳以上30歳以下で、性別は男性と女性の両方が存在し、住所はすべて東京である。したがって、性別は条件式には含まれないと考えられ、年齢と住所について条件式が記述された2)と3)が検討対象となる。2)は、年齢が15歳よりも大きな条件となっているため誤りである。3)は、年齢が40歳未満で、住所が東京であるから抽出結果に該当する。
21,2,正規化の目的は、データベースに保存されるデータの冗長性を排除して一貫性と効率性を保持することにある。たとえば、ある情報が複数のテーブルに存在するとデータの更新時に複数のテーブルの情報を更新しなくてはならない。すなわち、不完全な更新によりデータベースに不整合が起きる可能性がある。これを回避することが正規化の目的である。したがって、2)が正解である。1)機密性と3)真正性は、情報セキュリティの要素である。また、4)検索速度の向上や5)ディスク容量の削減は、正規化の主たる目的ではない。
22,3,設問のSELECT文は、受診記録表から患者番号を抽出するSQL文である。このSELECT文はGROUP BY句によって患者番号の列でグループを作成する。したがって、重複する患者番号は除外され、28001から28009までの9人の患者番号がSELECT文によって抽出されるので、得られるデータは9行になる。
23,5,5)トランザクションファイルは、データベースにデータの追加・更新や削除などの処理を行うたびに発生するデータを記録したファイルである。1)マスターファイルは、患者基本データなどのように頻繁には変更されないデータを格納したファイルである。2)テンポラリファイルは、一時的にデータを記録するときに使われるファイルで、使用後は削除されるのが一般的である。3)バックアップファイルは、プログラムやデータを別の記憶媒体にコピーしたファイルで、障害対応時などに利用される。4)インデックスファイルは、データベースを高速に検索するための索引が記録されたファイルである。
24,5,5)VLAN(Virtual Local Area Network)は、物理的な接続や構成と異なる仮想的なネットワークを構成する技術である。たとえば、ひとつのLANを仮想的に複数のネットワークに分割して、お互いのネットワークの通信を制限することができる。1)暗号化や2)コンピュータウイルス駆除などのセキュリティ技術とは異なる。3)VLANに対応した物理的なネットワーク機器を用いて仮想ネットワークを構成する。4)自動的にIPアドレスを割り当てる仕組みはDHCP(Dynamic Host Configuration Protocol)である。
25,5,コネクションレス型の通信は、通信路の確保や受信確認を行わないで「送るだけ」のシンプルな通信である。このようなプロトコルとしては5)UDPがある。コネクション型の通信は通信相手と仮想的な通信経路を確立し、正常な受信を確認しながらデータのやり取りをして正確にデータを届ける。したがって、データの欠落は発生しない。このようなプロトコルとしては4)TCPがある。1)ICMPは、通信における誤り通知や通信状態の調査をするために利用されるプロトコルである。2)PPPは、2点間で通信を行うためのプロトコルである。3)SMTPは、メールの送信に利用されるプロトコルである。
26,3,IPアドレスはネットワークアドレスとホストアドレスの2つからなり、2つのアドレスの合計は32ビットである。サブネットマスクは先頭から何ビットをネットワークアドレスに用いるかを示している。設間では26ビットがネットワークアドレスに用いられるので、残りの6ビットがホストコンピュータの識別に用いられる。6ビットでは0～ 63の64個を識別できるが、0(6ビットすべてが0)と63(6ビットすべてが1)は予約されているので、最大ホスト数は識別可能数64より2つ少ない62となる。
27,3,"""3)pingは、ネットワークに接続されている機器(コンピュータ、ネットワーク機器等)までの到達性を調べるコマンドである。設間の出力結果は、「192.168.1.12」がホストのIPアドレスを、「バイト数 = 32」が送信するデータのサイズを、「時間 < 1ms」が応答時間は1ms(1 /1,000秒)未満を、「TTL = 128」が応答パケットの生存時間 (Time To Live)をあらわしている。TTLはホストのOSごとに異なり、Windowsは128、 Unixは255、 MacOSは64である。1)ftpは、ネットワーク上でファイルの転送を行うときに使用するコマンドである。2)ipconngは、クライアントとルーターのつながりやクライアントのプライベートIPアドレスを確認するときに使用するコマンドである。4)telnetは、ネットワークを通じて別のコンピュータにアクセスし、遠隔操作するときに使用するコマンドである。5)tracertは、ネットワーク経路をリスト表示するコマンドである。Unixのtracerouteコマンドと同じである。"""
28,1,1)DHCP(Dynamic Host Configuration Protocol)は、ホストのネットワーク設定を自動化する仕組みで、ホストをネットワークに接続した際、サーバから自身のIPアドレスやDNS(Domain Name System)サーバの設定が自動的に取得される。2)HTTP(Hypertext Transfer Protocol)は、WebサーバとWebブラウザなどのクライアント間でデータを送受信する。3)NTP(Network Time Protocol)は、ネットワークに接続された機器が持つ時計を時刻サーバに合わせる。4)PPP(Point-to-Point Protocol)は2点間を接続してデータ通信を行う。5)SNMP(Simple Network Management Protocol)は、ネットワーク機器の通信状態や設定情報を収集したり、ネットワーク機器の設定を変更したりする。
29,1,1)ARP(Address Resolution Protocol)は、通信相手のIPアドレスからMACアドレスを求めることができる。2)HTTP、 4)SNMPは前間の解説のとおりである。3)SIP(Session Initiation Protocol)は、インターネット上で音声や映像、テキストメッセージの交換などを行うため通信の接続や切断というセッション管理の機能を持つ。5)TCP(Transmission Control Protocol)は、通信相手との接続や切断を行い、またデータのエラーチェックを行うため、信頼性のある通信路を実現する。
30,5,5)UTP(Unsheilded Twist Pair)ケーブルは8本の銅線を2本ずつ撚りあわせた通信ケーブルの一種で、電磁シールドが施されていないものをいう。100Base-TX、 10GBase-TX、 10GBase-Tなどがある。1)金属線で、通信には電気信号が用いられるが、4)同軸ケーブルのように芯線が同心円状に並べられたものではない。3)電磁シールドされたものはSTP(Shielded Twist Pair)ケーブルと呼ばれる。5)終端装置は通信回線と端末を接続するための装置で、光ファイバーケーブルは光回線終端装置を介して光信号と電気信号との変換を行うが、UTPケーブルは電気信号なのでその必要はない。
31,4,4)インターネット接続するためにはプライベートIPアドレスをグローバルIPアドレスに対応づける必要がある。NAPT(Network Address Port Translation)は、プライベートIPアドレスとグローバルIPアドレスを対応付けるための手法で、1対nの変換を可能にするため、IPアドレスに加えポート番号を組み合わせた変換テーブルを用いる。1)CIDR(Classless Inter-Domain Routing)は、インターネット上のIPアドレスの割り当てと経路選択(ルーティング)を柔軟に運用する仕組みで、従来のIPアドレスのクラス分けを廃止し、規模に応じて割り当てるアドレスの数を柔軟に選択できる。2)ICMP(Internet Control Message Protocol)は、IPを用いた通信における誤りメッセージや通信制御メッセージを通知するために使われる。3)IMAP(Internet Message Access Protocol)と5)POP(Post Office Protocol)は電子メールの受信に使用される。
32,3,情報量の基本単位がMBではバイト、Mbpsではビットとなっていることに注意し、情報量の単位を合わせた上で割り算を行えばよい。1バイトは8ビットなので、データ量 10 MBをビットで表すと、10MB× 8 = 80 Mbitとなる。これを1秒間で10Mbit転送するので、80(Mbit)÷10(Mbps) = 8(s)となり、所要時間は3)8秒となる。
33,2,2)DNS(Domain Name System)は、ホスト名とIPアドレスの対応付けを管理する仕組みである。IPアドレスからホスト名を知るため、あるいはホスト名からIPアドレスを知るために利用される。1)ポートアドレスの変換を行うのはPAT(Port Address Translation)である。ネットワークアドレスの変換を行うNAT(Network Address Translation)にポート変換機能を付加したNAPT(Network Address Port Translation)でもポートアドレスの変換が行われる。3)通信の経路制御、すなわちルーティングを行うのは、ルータである。4)電子メールの配送を行うのは、SMTP(Simple Mail Transfer Protocol)などの通信手順である。5)ネットワーク上で正確な時刻情報を提供するのはNTP(Network Time Protocol)である。
34,4,4)無線 LANにおけるローミングは、端末側の設定を変更する必要はなく、通信を継続したままアクセスポイントを切り替えることによって行える。1)5GHz帯の無線LAN(IEEE802.11a/n/ac)においては、同じ周波数帯を使う気象レーダーを検知し、検知した場合は速やかにその周波数帯の電波を止める機能 (DFS : Dynamic Frequency Selection)が無線 LANのアクセスポイントに実装されている。2)無線 LANのアクセスポイント間の電波干渉による信号の衝突を回避するために、CSMA/CA(Camer Sense Multiple Access/Collision Avoidance)が使用されている。3)無線 LANの接続先のアクセスポイントを識別するのはESSID(Extended Service Set Identiner)である。5)無線LANへの接続の可否の判断は、WPA2やMACアドレスフィルタなどのセキュリテイ機能により実現されている。
35,5,"""5)のIEEE2.11acの理論値の最大は6.9Gbit/s(6,900Mbps)である。それぞれの規格上の最大伝送速度は、1)、3)のIEEE802.11a/gは54Mbps、 2)のIEEE802.11bは11Mbps、 4)のIEEE802.11nは600Mbpsである。"""
36,1,1)情報セキュリティの3要素CIAとは、機密性(Confidentiality)、完全性(Integrity)、可用性(Avaiability)の3つである。これらに、2)真正性(Authendcity)、 3)信頼性(Reliability)、 5)責任追跡性(Accountability)、否認防止(non_repudiation)を加えて拡張したものを情報セキュリティの特性として扱うこともある。
37,1,2015年に発生した日本年金機構の大規模情報流出事件のきっかけとなったのが標的型攻撃メールである。標的型攻撃メールは、特定の個人を標的として業務連絡などを偽装したメールを送り、不正プログラムを送り込んだり、不正Webサイトヘアクセスさせたりしようとするものである。標的型攻撃メールヘの適切な対策は、不審なメールにあるリンクや添付ファイルは開かない(実行しない、クリックしない)であり、1)が正解である。また、そのまま転送すると他の人が開いてしまう可能性もあるため、原則として転送は行ってはならない。なお、不審なメールを見分けるのは大変ではあるが、基本的に送信者アドレスを偽装している(フリーアドレスを使っている、詐称しているなど)、本文中に書かれているリンクと実際のリンク先アドレスが異なるなどが識別ポイントとしてあげられる。
38,1,拠点間を接続したネットワークのうち、何らかの安全対策を施して拡張した内部ネットワークをVPN(Virtual Private Network)と呼ぶ。VPNに使われる安全対策 (暗号化技術を用いたプロトコルなど)には様々なものがあるが、ネットワーク層でデータ保護をするのは1)IPsecである。2)LAN(Local Area Network)や5)WAN(Wide Area Network)はネットワークの構成単位を表している。3)L2TP(Layer 2 Tunneling Protocol)はデータリンク層のプロトコルである。4)SSL(Secure Socket Layer)はトランスポート層とアプリケーション層の間で使われるプロトコルで、これを使って構成されたVPNをSSL-VPNと呼ぶ。
39,2,2)DDoS攻撃(Distributed Denial of Service Attack)は、大量のリクエストによりサーバのサービスや機能を低下、停止させるDoS攻撃(Denial of Service Attack)のなかでも、分散したコンピュータによって同時に行われる攻撃である。1)辞書攻撃は、パスワードに利用されそうな文字列を網羅した辞書を用いてパスワードクラックを行う攻撃である。3)ポートスキャン攻撃は、対象のコンピュータのポートに順番にアクセスし、そのポートで動作しているサービスを調べてセキュリティホールを探す不正侵入の方法である。4)ブルートフォース攻撃は、一致する文字の組み合わせを総当たりで調べ、パスワードクラックを行う攻撃である。5)SQLインジェクション攻撃は、Webアプリケーションの入カフォームに不正なコードを入力してSQL文を実行させ、データベースを不正に操作する攻撃である。
40,2,2)DMZ(DeMilitarzed Zone)は非武装地帯を意味し、信頼できる内部ネットワークと信頼できない外部ネットヮークとの間でWWWサービスなどの外部公開が必要なサーバなどを設置するための隔離された区画である。1)DMA(Direct Memory Access)は、CPUを介さずに周辺機器やメインメモリなどの間で直接データ転送を行う方式である。3)IDS(Intrusion Detection System)は侵入検知システムを表す。4)IPS(Intrusion Protection System)は侵入防止システムを表す。5)WAF(Web Application Firewall)は、Webサーバの前面にファイアウォールを配置してWebアプリケーションの脆弱性を突いた攻撃からwebサイトを守るためのセキュリティ対策である。
41,2,ランサムウェアとは、感染したPCをロックしたり、2)データを暗号化してアクセスを制限したのち、元に戻すことと引き換えに「身代金」を要求したりする不正プログラムである。1)ウイルスの発見と駆除を行うソフトウェアはワクチン(ウイルス対策)ソフトなどと呼ばれる。3)キーボードから入力された文字を記録するソフトウェアはキーボードロガーなどと呼ばれる。4)自動投稿ツールなどはあるが、SNSへ勝手に不適切な内容の記事を投稿するソフトウェアではない。5)複数のサービス利用 IDとパスワードを管理するソフトウェアはパスワード管理ソフトと呼ばれる。
42,5,公開鍵暗号方式では、2)暗号化で使う鍵 (公開鍵)と復号で使う鍵 (秘密鍵)が異なり、3)送信者は受信者の公開鍵で通信データ(平文)を暗号化し、受信者は自分の持つ秘密鍵で復号する。そのため、送信しあう人数をN人とすると2N個の鍵が必要であるから、5)は誤りである。公開鍵暗号方式は、1)電子署名を実現する技術のデジタル署名に利用されるが、4)共通鍵方式よリアルゴリズムが複雑であり、処理時間が長くなるなどの欠点がある。
43,5,ウォータフォールモデルは「要求分析→外部設計→内部設計→プログラム設計→プログラミング→テスト」の各工程を順番に進め、後戻りしないモデルであるから、5)プロトタイビングはその工程には含まれない。上流工程 (要求分析→外部設計)においてプロトタイプ(試作品)を作成し、仕様をユーザと確認しながら開発を進めるプロセスモデルをプロトタイビング・モデルと呼ぶ。
44,5,5)ホワイトボックステストはテストケース設計技法のひとつで、プログラム構造に基づき、可能性のあるすべてのケースを網羅的に用意して正しく機能するかを確認するテストである。3)ブラックボックステストは、起こりうるすべての入カデータに対して設計通りの出力があるかを調べるテストである。1)ストレステストは負荷に対する耐久性のチェックを行うシステムテストである。2)トップダウンテストはモジュール結合テストのひとつで、最上位にあるモジュールから下位のモジュールを適切に呼び出せるかなどをチェックするテストである。4)ボトムアップテストはモジュール結合テストのひとつで、最下位にあるモジュールから上位のモジュールに正しく出力できるかなどをチェックするテストである。
45,4,4)ガントチャートは、プロジェクト管理などの工程管理で、工程ごとの日程を管理するのに用いられる。1)DFD(Data Flow Diagram)はデータフロー図のことで、情報システムにおけるデータの流れを図的に表現したものであり、システム設計の初期段階やデータ処理の可視化に用いられる。2)E-R図(Entity Relationship Diagram)は、「ERモデル」を図で表現したもので、データベースの設計の際に用いられる。3)PERT図(Program Evaluation and Review Technique Chart)は、工程管理の手法のひとつであるPERTにおいて、タスク完了時間からプロジェクト全体を完了させるのに必要な最小時間を特定する際に用いられる。工程ごとの日程管理を行うものではない。プロジェクトマネジメントのモデルのひとつでもある。5)ユースケース図は、システムの外部から求められる機能的な要求を表現し、主に開発工程の要求分析段階で開発者がユーザに機能的な要求を確認する際に用いられる。
46,4,プロジェクト管理におけるネットワーク図では、ノード間の矢印に作業名と工数を記載する(図では工数のみが記載されている)。クリティカルパスとは、最も作業工数が多くなるプロセスのことである。この図では、クリテイカルパスは①→②→③→④→⑥ (14日)である。
47,4,4)デュアルシステムは、システムを2系統用意して常に同じ処理を行わせる方式であり、片方に障害が生じてもシステムは停止しない。1)ウォームスタンバイは、本番系と待機系の冗長構成で、待機系を起動させた状態にするが本番系と同期をとらない方式であり、障害時にシステムは停止する。2)コールドスタンバイは、本番系と待機系の冗長構成で、待機系は停止させておき、障害時に起動や設定から行う方式であるため、障害時にシステムは停止する。3)シンプレックスシステムは、冗長化などを行わず単一の系統だけでシステムを動作させているシステムであるため、障害によってシステムは停止する。5)ホットスタンバイとは、「障害時には、ただちに(瞬時に)切り替わる」という意味であり、本番系と待機系との冗長構成で、待機系を起動状態にした上で本番系と同期をとる方式を指す。「ただちに切り替わる」とは、完全に停止しない場合もあれば、システムによっては運用上、差支えない程度の切り替え時間を伴う場合も含まれ、いずれもホットスタンバイとよばれている。したがって、ワンベストとしては、4)が正解となる。
48,5,"""システム稼働率 [%]は、次式で計算される。(稼働率 [%]) = (稼働時間)÷(運用時間)×100 = {(運用時間) - (停止時間)}÷(運用時間)×100したがって、(稼働率) = (2,000[時間] - 0.5[時間]×4[回]) - 2,000[時間]×100 = 99.9[%]となる。"""
49,1,1)Reliabmty(信頼性)は、故障や障害、不具合の発 生しにくさを表す。平均故障間隔(MTBF : Mean Time Between Falures)などが指標となる。2)Availability(可用性)は、稼働率の高さ、障害や保守による停止時間の短さを表す。稼働率などが指標となる。3)Serviceability(保守性)は、障害復旧やメンテナンスのしやすさを表す。 障害発生から復旧までの平均時間(MTTR : Mean Time To Repair)などが指標となる。4)Integrity(完全性)は、過負荷時や障害時のデータの破壊や不整合の起きにくさを意味する。5)Security(安全性)は、外部からの侵入・改ざんや機密漏洩の起きにくさを表す。
50,4,クラウドコンピューティングでは、ユーザはネットワーク(インターネット)で接続されたサーバ(クラウド)上のサービスを利用する。このように、特定の端末に専用のプログラムを導入することなく、1)様々な端末からアクセスでき、2)サーバのリソースを共有できる。3)管理側では常にリソースの使用量を管理し、5)利用に応じたリソースの割り当てを行うのが一般的である。ただし、4)ユーザが利用する端末は、ネットワークに接続でき、ネットワークを通じてサーバ(クラウド)と正常に通信できる必要がある。一部のクラウドサービスではオフライン機能を提供しているが、この機能でも定期的にネットワーク接続する必要がある。
