2016IS,問題文,選択肢,,,,
48,保存義務のある文書等の電子保存の3基準における要求事項に該当しないのはどれか。番号を解答記入欄( 48 )にマークしなさい。,作成の責任の所在を明確にすること,病院職員全員が容易に利用できる操作性を有していること,法令に定める保存期間内、復元可能な状態で保存すること,情報の内容を必要に応じて肉眼で見読可能な状態に容易にできること,故意または過失による虚偽入力、書換え、消去及び混同を防止すること
49,電子カルテシステムの真正性確保を目的として行うのはどれか。番号を解答記入欄( 49 )に2つマークしなさい。,機器設置場所への入室制限,情報の修正履歴の保存とその管理,クラークによる代行入力の承認作業,システムの障害対策のための冗長化,標準形式で記録するためのテンプレート作成
50,電子保存のための運用管理事項における見読性確保にあたるのはどれか。番号を解答記入欄( 50 )に2つマークしなさい。,情報の所在管理,更新履歴の保存,システム障害対策,作成者の識別及び認証,バックアップ媒体の管理
51,紙媒体等をスキャナ等で電子化保存する場合の実施計画書は、「医療情報システムの安全管理に関するガイドライン(第4.3版)」に基づいて作成される必要がある。ガイドラインに記載されていないのはどれか。番号を解答記入欄( 51 )にマークしなさい。,実施記録の作成と記録項目,個人情報保護管理責任者の特定,運用管理規程の作成と妥当性の評価,患者等への周知の手段と異議の申し立てに対する対応,スキャン等で電子化を行ってから紙やフィルムの破棄までの期間、及び破棄の方法
52,病院情報システムに障害が発生した際のシステム運用部門の対応として誤っているのはどれか。番号を解答記入欄( 52 )にマークしなさい。,障害記録票に発生時の状況を記録した。,関連部門に障害発生の第一報を伝えた。,障害通報の内容を実際に操作して確認した。,第一報が入った時点で即座に紙運用に切り替えた。,障害の切り分けを行うため、発生している箇所の情報収集を行った。
53,地域医療ネットワークにおける標準化と関連のないのはどれか。番号を解答記入欄( 53 )にマークしなさい。,XDS,HL7,PDQ,DPC,DICOM
54,下記の組み合わせでもっとも関係が薄いのはどれか。番号を解答記入欄( 54 )にマークしなさい。,ICD ― 病名,PDI ― 音声,CDA ― 診療文書,MFER ― 医用波形,DICOM ― 適合宣言書
55,標準規格に関する組み合わせで誤っているのはどれか。番号を解答記入欄( 55 )にマークしなさい。,ICD ― 病名,HOTコード ― 医薬品,JLAC10 ― 臨床検査,ICD-9-CM ― 病理検査,JJ1017 ― 画像検査
56,医療用医薬品に表示されているバーコード(GS1 DataBar)について、誤っているのはどれか。番号を解答記入欄( 56 )にマークしなさい。,錠剤の1シート単位にも表示される。,医療安全確保を目的の1つとしている。,この表示に伴いJANコードは表示禁止となった。,包装単位によりロットや有効期限も表示されている。,使用することで診療報酬上の加算が認められている。
57,DPCと関係の深いコードはどれか。番号を解答記入欄( 57 )に2つマークしなさい。,Kコ ー ド,ICD-10,JLAC10,HOTコ ー ド,JJ1017
58,JLAC10コードの説明として正しいのはどれか。番号を解答記入欄( 58 )にマークしなさい。,日本臨床検査医学会が制定した臨床検査コード,医療情報システム間における医療情報交換のための標準規約,世界保健機構(WHO)の設定した、国際疾病分類の第10版,DICOMを運用するにあたっての医療の放射線分野の標準コード,"""約4,900あるすべての診断群分類に対して14桁で構成される診断群分類番号"""
59,IHEに関する説明で誤っているのはどれか。番号を解答記入欄( 59 )にマークしなさい。,通信にHL7とDICOMのみが使われている。,マルチベンダ接続によリシステム構成の選択肢が増える。,システムの導入にあたって打ち合わせや仕様書作成が容易になる。,コネクタソンは特定の統合プロファイルとの適合性を検証するものである。,分野 (ドメイン)ごとに業務フローを決め、利用するメッセージなどを定めている。
60,SS-MIX2標準化ストレージに格納される項目に含まれないのはどれか。番号を解答記入欄( 60 )に2つマークしなさい。,病名情報,処方オーダ,読影レポート,退院時サマリ,アレルギー情報
