2016IS,解答,解説
11,1,「情報通信機器を用いた診療 (いわゆる「遠隔診療」)について(平成23年3月31日)」では、「診療は、医師又は歯科医師と患者が直接対面して行われることが基本であり、遠隔診療は、あくまで直接の対面診療を補完するものとして行うべきものである。」とされている。したがって3)、5)は誤りである。留意事項として、初診及び急性期の疾患に対しては、原則として直接の対面診療によることとあり、2)、4)は認められていない。直接の対面診療を行うことが困難な場合や、病状が安定している患者に対して療養環境の向上が認められる場合(別表掲示)には、直接の対面診療と適切に組み合わせて行えば、遠隔診療によっても差し支えないとされている。以上より1)は条件により認められている。
12,2,2)適切な利潤は、システムを運営するにあたって不可欠なものであるが、優先されるべきものは利用者の利便性であって、利潤ではない。在宅医療介護連携ネットワークの構築には、持続的な運営主体の存在が必要不可欠である。運営主体は、現状を調査し、在宅医療介護連携の構想を策定する必要がある。また、地域住民、関係する医療機関、介護施設が問題点等を協議できる場を設けることが重要である。
13,4,4)一次判定は全国共通のアルゴリズムに基づくソフトウェアを用いて行われている。実情にあわせるのは二次判定以降となる。1)～ 3)は、選択肢の文章どおりである。5)介護事業者は、費用を都道府県の国民健康保険団体連合会(国保連)に請求する。インターネットを使って請求するためには、国保連から提供されたパスワードを用いて、電子請求受付システムに電子証明書の発行申請を行って電子証明書を取得し、インストールを行う必要がある。
14,3,ストレスチェックは、労働者に受検の義務がない。そのため、労働者の同意を得ないで事業者がその結果を得ることは禁じられている。したがって、事業者はストレスチェックの結果のすべてを得ることはできないので、3)は適切とはいえない。1)、5)は労働安全衛生法の定めによる。2)は医師法、歯科医師法の定めによる。4)全国健康保険協会は、事業者等に標準的なデータファイル仕様によるデータの提供を求めているが、これは「高齢者の医療の確保に関する法律」に基づく要請である。
15,4,4)総合健診(人間ドック)で行われる健康診断は、医療保険の給付の対象ではないので、レセプトオンライン機能は必須とはいえない。ただし、総合健診を行う医療機関では、二次検査や精密検査を行う場合があり、それらが医療保険の給付の対象となることがあるため、レセプトオンライン機能が付加されることもある。1)、5)は必須の機能といえる。また、画像診断も広く行われているので、3)も必須の機能といえる。2)については、保険者からの依頼や保険者との契約で健康診断を行うことが多く、多くの場合は特定健診の内容を包含しているが、特定健診の結果情報を健診機関が保険者または代行機関に対して電子的に報告する際にはXMLによるデータ標準様式(特定健診標準フォーマット)が定義されているため、2)は必須の機能といえる。
16,2.4,病病連携とは、病院と病院とが連携して患者へ医療を提供することをいう。近年、病院の機能分化が進められており、急性期病院と療養型病院など、地域のなかで役割の異なる病院が連携して医療を提供することが求められている。システム連携にはセキュリティが確保されたネットワークが必要であるが、1)高コストの専用線ではなく、2)VPNの利用を要件とすべきである。多施設間で、3)患者IDや5)電子カルテを統一することは困難であるため、患者IDを相互に変換する仕組みの導入、4)連携のため送受信される診療情報のデータ仕様を共通化することなどが必要となる。よって、2)、4)が必須のシステム要件である。
17,4,4)地域がん登録は自治体(主に都道府県)を主体として運営される、がん罹患の動向把握のための登録事業である。地域医療連携システムは、地域完結型医療の推進を目的とする、病病連携や病診連携のためのシステムである。地域医療連携のコミュニティに参加する5)医療機関の情報登録、医療機関間で行われる患者の紹介／逆紹介をシステム上で実現する機能などが求められる。3)紹介情報登録や1)返書管理、2)紹介件数統計などの機能は、紹介／逆紹介に関する機能である。
18,2,2)連携する医療機関ごとに患者のプライバシーを保護することは必須であり、地域医療連携システムの導入が新たなプライバシーリスクを顕在化させないよう、十分な対策をとる必要がある。しかしながら、患者のプライバシー保護を強化するために地域医療連携システムを導入するのではない。地域医療連携システムには、一人の患者に対して4)病病間・病診間など複数の医療機関で連携して医療を提供することをサポートする機能が求められる。診療情報共有により、5)連携医療機関がそれぞれ専門性を発揮して診療の質向上をもたらす、1)重複する検査や投薬を回避して3)地域全体としての医療費抑制をもたらすこと等が期待される。
19,2.4,平成19年12月の厚生労働省医政局長通知(医政発第 1228001 号)「医師及び医療関係職と事務職員等との間等での役割分担の推進について」により、医師の事務的作業の負担軽減のために事務職員がその作業を補助することが推進され、平成20年の診療報酬改定で医師事務作業補助体制加算・施設基準が示された。基準によれば、医師事務作業補助者は医師の指示のもとで、診断書・診療録・処方せん・主治医意見書等の作成の補助、診療予約・検査オーダ等のオーダエントリシステムヘの代行入力、電子カルテヘの代行入力、行政から求められる業務の補助、医療の質の向上のための事務的作業(診療に関するデータ整理や統計・調査、学会やカンファレンスの資料作り等)を行うとされる。また、医師以外の医療職種の指示のもとに行う業務、診療報酬請求に係る事務、医療機関の経営に係る事務等は対象外とされる。よって、看護師および診療放射線技師が利用する1)看護管理システム、3)放射線部門システム、診療報酬請求事務に係る5)レセプト電算処理システムは、利用対象外のシステムである。
20,1,1)医事会計システムに求められる役割(機能)は、患者基本情報の登録と患者番号(患者ID)の発番、会計情報の収集 (オーダエントリシステムより実施入力情報を取得)、医療費の自己負担分の収納・会計処理、保険請求業務(診療報酬請求書・診療報酬明細書等の作成)等である。初診患者の場合、一般的には患者基本情報は、受付窓口で医事会計システムに登録され、患者IDとともに5)オーダエントリシステム、4)電子カルテシステムヘ伝達・連携される。
21,2,レセプトオンライン請求で作成される電子レセプトは、厚生労働省が定めた記録条件仕様に基づき、レセプト電算処理システムに使用する各種基本マスター (社会保険診療報酬支払基金が提供)のコードを使ってCSV形式のテキストデータとして作成される。2)のHOTコード(番号)はMEDIS-DC(一般財団法人医療情報システム開発センター)がメンテナンスする医薬品HOTコードマスターで用いられる管理番号であり、汎用される4種の医療用医薬品コード(薬価基準収載医薬品コード、個別医薬品(YJ)コード、レセプト電算処理システム用コード、JANコード)をひも付けるためのコードである。電子レセプトの医薬品の識別には、基本マスターである医薬品マスターの9桁の医薬品コード(レセプト電算処理システム用コード)が用いられる。レセプトオンライン請求は、5)インターネット回線上でVPNを構築した場合も認められる。セキュリティの確保についても、3)電子証明書による相手認証とデータの暗号化対策などが求められている。支払基金は4)「受付・事務点検ASP(Application Service Provider)」を提供しており、保険医療機関等は患者氏名の記録漏れなど事務的な誤りがあるレセプトを事前に確認でき、速やかに修正できるようにしている。支払基金によるレセプトの審査結果もオンラインで受取り、これに異議がある場合は「医療機関再審査等請求ファイル作成ツール」を使用して1)オンラインで再請求することができる。
22,4,4)診療報酬請求制度上、看護師が行った看護行為を詳細に分類して診療報酬点数を集計することは行われないため、看護行為マスターは提供されない。MEDIS標準マスターでは、看護支援システムの電子経過表 (温度板)機能、看護指示オーダまたはクリニカルパス等のシステムにおいて、看護行為や観察結果を表示、選択入力するような場面で利用可能なマスターとして、看護実践用語標準マスター・看護行為編が提供されている。社会保険診療報酬支払基金は、診療報酬情報提供サービス(http://www.iryohoken.go.jp/shinryohoshu/)にて、基本マスターの全データを提供している。医科のマスターは、医科診療行為、3)医薬品、特定器材、2)傷病名、修飾語、コメント、病棟コードの7つである。歯科では、上記に加え、歯科診療行為、1)歯式のマスターが、調剤では5)調剤行為マスターも提供される。
23,3,3)医師・歯科医師の署名は、HPKIで行うことが義務づけられている。1)厚生労働省標準規格に基づく標準化されたストレージ機能を有する情報蓄積環境としてSS-MIX2を使用することが義務づけられているが、HL7 CDA R2の使用は義務づけられていない。2)電子的な方法による送受ができるので、CD-Rの使用は想定されていない。4)ファイル形式は特に指定されていない。5)IP-VPN、 IPsec-IKE等のチャネル・セキュリティを確保することを前提に、インターネット網の利用は認められている。
24,2,2)看護サマリは、看護職 (保健師・助産師・看護師・准看護師)が記載する。このため他の職種が入力できる必要はない。1)褥瘡の治療には栄養状態が大きな影響を及ぼすことから、医師や看護師に加えて管理栄養士等の関与も必要である。3)感染管理には、培養検査等に携わる臨床検査技師、抗菌剤の適正使用に携わる薬剤師など、多職種の関与が必須である。4)入院診療計画書は、医師の記載に加え、看護師や管理栄養士等の記載も必要である。5)クリニカルパスは、多職種で患者の達成目標を共有し、多職種で介入するためのツールである。
25,2,2)内視鏡検査は医師しか行うことができず、検査時間も長いので、スケジュール管理が必要となる。 したがって、予約は必須である。1)、4)尿や血液等の検体検査は、予約を必要としない。3)検体を採取するための手術や内視鏡検査は予約が必要であるが、病理組織検査は検体採取後に行う検査であるため予約は不要である。5)安静時心電図検査は短時間で終了する生理機能検査であるため、予約は不要である。同じ生理機能検査でも、運動負荷心電図検査、心臓超音波検査など、ある程度の検査時間が必要な検査は、予約を要することが多い。
26,4,4)代行を依頼した医師等のIDでログインすることは、仮に代行依頼者の日前であっても情報システムに保存される作業履歴から作業者が特定できなくなるため禁止されている。保存義務のある文書等の「電子保存の3基準」に照らすと「真正性」に抵触する。1)厚生労働省の「病院・診療所における麻薬管理マニュアル」では、麻薬処方せんは「麻薬施用者自身が記載」とされている。したがって、代行入力は不適切である。2)、3)、5)誰の代行が誰によって行われたか、代行操作の都度記録される必要がある。また、確定操作を行うまでは真正性が確保されているとは見なされないので、可及的速やかに承認操作を行うべきである。
27,4,4)在庫管理という点では、薬剤部門で使用期限等を集中管理できる「一本渡し運用」のほうが円滑であり、4)は誤りである。2)「 一本渡し運用」よりも定数配置運用の方が期限切れの薬剤が出やすい。1)定数配置薬であっても診療記録への記載は必要であり、医事会計や薬剤補充等の観点からも、注射オーダは必須である。3)、5)ICU等の重症系病棟では、患者の状態変化が激しく、注射オーダの変更・中止が頻繁に行われるため、「定数配置運用」のほうが利便性は高い。他方、一般病棟の場合は重症系病棟よりも変更・中止の頻度は低いため、薬剤師による処方鑑査や調剤監査が行われる「一本渡し運用」が適している。
28,2,2)他の選択肢に比べて、入院歴の必要性は比較的低い。1)小児や腎機能の低下した患者等では投与量を慎重に調整する必要があるため、体重は重要である。3)、4)効能が重複する薬剤や併用禁忌のある薬剤をチェックする必要があるため、内服・外用・注射を問わず薬歴は重要である。5)処方薬は、傷病によって適応が異なる場合があるため、病名情報は必須である。
29,1,レジメンとは、抗がん剤、輸液、支持療法薬(制吐剤など)の投与に関する時系列的な治療計画をいう。抗がん剤の投与は、安全管理の観点から審査を経て登録されたレジメンに沿って行われる。1)上記の理由から医師の自由裁量で休薬期間を設定することは適切でない。3)実際の投与については、医師が日々の患者状態等を踏まえて判断する必要がある。
30,1.4,1)通知には、電子版を閲覧する機器を保有していない利用者にも、サービスを提供する義務が明示されており、紙のお薬手帳を廃止することは記載されていない。4)お薬手帳に記載された情報を医療機関や薬局に提供することは、あくまで利用者の自由意思で行うことが原則であり、薬剤師が患者の了承なく、お薬手帳の情報を閲覧することはできない。したがって、そのような記載はない。2)転記や手入力の手間を省き、利便性を向上させる目的で、利用 者の求めに応じてQRコードを使用する義務が明記されている。3)複数のサービス提供事業者間で、お薬手帳(電子版)の互換性を確保する目的で、データ項目は「JAHIS標準フォーマット」に従うことが明記されている。5)一人の利用者が、複数のお薬手帳を利用したり、異なる医療機関や薬局を利用したりする場合がある。その場合でも情報の把握漏れが生じないよう、一人の患者の服薬情報を一元的に閲覧できる仕組みの構築が望ましいことが明記されている。
31,2.4,2)同一検査項 目であっても、測定手法が統一されていないものがあり、その場合は基準値が一致しないことがある。4)同時に依頼された検査であっても、パニック値など主治医に可及的早期に報告すべき結果が得られた場合は、速報などの形で先に報告する。その場合でも、すべての結果がそろった時点で、改めてその項目も含めて報告する。1)検体到着処理を行わないと、検体検査システムから分析装置に測定指示が送れず、またシステムに測定結果を格納する領域も確保されないため、システム上は必ず検査を実施する前に行う。3)検査項目によっては、年齢や性別により基準値が異なるため、基準値マスターは性別や年齢を考慮して設定する必要がある。5)同一検体から、院内で実施する検査と院外で実施する検査のために、検体を分取する場合や、両者の測定結果を一元的に管理、報告する場合には、両者に対応する必要がある。
32,2,生理機能検査には、心電図、肺機能、超音波、筋電図、脳波、サーモグラフィー等があり、画像を含む。2)超音波、負荷心電図、脳波等の検査のデータ量は、症例により異なる。1)超音波以外にも、心電図、脳波等の波形、肺機能等のグラフなども画像として扱うことがあり、あわせてレポートも作成する。3)超音波検査は、他の検査画像と比較する必要があり、DICOM対応が望まれる。4)心電図、肺機能、超音波、筋電図、脳波等では、最終診断をする検査になりうる。このため、検査時に臨床症状や他の検査所見等の情報を得て判断する必要がある。5)生理機能検査は患者が検査室に来る必要があり、検査時間が短ければ予約は不要だが、検査時間が長い場合や検査担当者の調整が必要な場合には予約管理を行う。予約制であっても、最終診断となる検査や術前検査、緊急検査等を行う場合があり、予約枠を越えてオーダできる機能が必要である。
33,1.4,1)ワーファリンなどの抗凝固薬服用中には、内視鏡処置・治療により出血が止まらなくなる危険性があるため、事前確認が必要である。4)肝炎ウイルス感染のある患者は、体液や分泌物に肝炎ウイルスが出現するので、内視鏡自体やその他の物品が新たな感染源とならないようにする対策が必要である。2)ペースメーカーの装着者はMRI検査の高磁場では機械の故障が発生する危険があるが、内視鏡検査では問題とならない。3)アレルギーは、検査で用いる薬剤に注意が必要である食物アレルギーとは無関係である。5)リハビリテーション中の患者では体位などで不自由が存在することがあるが、内視鏡検査では補助等もできるので大きな問題ではない。
34,5,5)病理診断では、検査室あるいは手術室で検体を採取し、病理オーダに基づいた患者氏名、番号などを記載したラベルが添付された標本収納機材に格納し、病理検査部門に搬送する。リストバンドの照合については、検査、手術室は患者 1人であり、その照合をすることも困難である。また、標本採取後のオーダ発行もありうるので照合する運用はない。1)組織診断結果を入力し、院内に伝達する機能は重要である。2)標本ラベルを手書きすると、書き間違い、読み間違いなどが発生する。3)顕微鏡写真の登録は、診断結果とともに保存し、伝達するために必要である。4)手術摘出した検体のマクロ写真と、どこの組織の所見かが記録されることは診断根拠の保存のために重要である。
35,5,5)病理検体の数は、検査や手術時に、その腫瘍自体やリンパ節などを確認して決まるものであり、術前に確定することはできない。このため、オーダ時点でラベルの枚数は決定できない。1)病理検査では、オーダ、受付、検体受付、切り出し、スライド作成、染色の過程を管理する。2)術中迅速診断では、診断する病理医が直ぐに対応する必要があり、予約制をとる。3)検査依頼では、標本の切除場所等の図が必要であり、切り出し時、診断レポート上も場所を示す図が必要になる場合がある。4)画像検査と病理診断の比較は、腫瘍自体や転移巣の理解に重要である。
36,3,3)医療従事者の被曝管理には線量計が個人に配布され、これにより曝露量が管理されている。放射線部門システムとは独立した機能である。1)CT検査、MRI検査など、多くの検査で予約制を導入しており、予約リストは毎日必要である。2)CT検査、IVRでは患者の被曝量の管理も重要であり、個人毎に記録される方向である。4)使用した医療物品や数量は医事会計に必要であり、 管理される。5)DICOMのMWM(Modality Worklist Management)機能は、RISから検査機器に検査予定患者の情報を伝える通信機能であり、患者の基本情報を含んでおり、含まれる。
37,1,1)PACS(Picture Archiving and Communication System)は画像保管と通信をするシステムであり、画像生成は画像検査機器が行う。2)、3)画像保管と画像配信は基本機能である。4)画像配信には検索機能 (DICOM Query)が必要で、検索と同時に取り込み機能 (DICOM retrieve)が存在する。5)画像参照については、直接的には表示機能 (viewer)が必要であり、DICOMにはプリント機能 (DICOM Print Manageinent)しかないが、 PACSにはWebなど独自機能を用いて表示端末をコントロールするものも多く、表示端末を含めてPACSと呼び、画像参照機能もあると言える。
38,5,5)マンモグラフィーはフィルム時代から片面乳剤の高精細画像を用いた読影を必要としてきた。これは微小石灰化の形状などの情報が診断に影響するためであり、50μmの分解能から、モニターも5メガピクセル以上が必要である。なお、 米国では、乳がん検診においてACR(American College of Radiology)の自主ルールとしてスタートしたが、国家的な精度管理がされている。日本では、特定非営利活動法人日本乳がん検診精度管理中央機構が精度管理等を進めている。なお、1)～ 4)では、この精度、マトリックスの画像は要求されていない。
39,4,歯科・口腔外科領域の診療は小手術の側面があり、病院情報システムでは眼科、耳鼻咽喉科等と同様に、独自の機能が必要である。4)歯科衛生士業務記録は、歯科衛生士法施行規則第18条で3年間の保存義務があり、誤りである。1)咬合検査や歯周組織検査などの歯科独自検査、2)歯科技工物で使われる金、銀などの貴金属マネジメント、そして3)セラミックブリッジなどの自費診療の会計には、いずれもシステム対応が必要である。5)の保険請求単位は、保険医療機関及び保険医療養担当規則の記載内容で、正しい。
40,4,4)輸液実施時に行われる3点認証により、安全な実施および輸液実施の登録を行うことができる。患者IDと注射ラベルのバーコード(オーダ番号)を読ませることによって、誤った患者への投与、ラベル発行後の指示変更を検知することができる。さらに、実施者IDを読ませることによって、その輸液を誰がいつ投与したのかの記録を残すことができる。1)～ 3)3点認証の際に、患者が含まれていないと安全な実施に寄与することができない。実施時に、オーダ者 (医師)を認証する意味はない。5)輸液の混注内容確認のため、混注作業時に実施者・オーダ番号・薬剤による認証を行うこともあるが、すべての薬剤に認証コードがついている必要がある。
41,3,3)病棟指示一覧には、医師から病棟の看護師へ出された指示 (安静度、処方・注射・検査オーダ、予測指示など)や看護師が行う処置・測定・観察・日常生活ケアなどが表示されている。指示の実施状況が必ずしもその都度登録されない場合や、「安静度」や「食事」のように中止あるいは修正指示が入力されるまで継続する場合もあるため、病棟指示一覧システムがあったとしても、正確な進捗状況を把握できるとは限らない。1)医師からのオーダは、看護師が行う処置等とともに指示受けシステムに反映され、2)指示受け看護師は、指示された薬剤量・投与方法は適切か、なぜ指示が出たのか・変更になったのかなどを確認しながら、指示受け業務を行う。4)指示には、1オーダに対して1指示で完結するもののほか、測定・観察の指示や処置、インスリン指示のような特殊薬剤の指示、予測指示のように、中止・修正するまで継続する指示が存在する。5)予測指示 (必要時指示・条件付き指示)に基づいて看護師は薬剤を投与できるが、医師は実施された内容・患者状態を確認する必要がある。
42,3,3)看護計画は、患者の問題を解決するための個別的なケア計画を記載したものである。患者状態を経時的にグラフと表で表示したものは、経過表 (温度表)である。
43,3,3)患者にクリニカルパスを適用する際にはインフォームド・コンセントが必要である。患者のオプトイン(明確な参加の意思の表明)は、システムの運用に関係する可能性はあるが、システム構築とは関係が薄い。クリニカルパスには、4)標準診療プロセスに沿って、2)アウトカム(達成目標)、5)クリニカルインディケータ(重要な達成目標)とそれを達成するための1)タスク(介入項目)などが設定されている。
44,5,5)クリニカルパスシステムによりあらかじめセットされているオーダには、検査、処方や注射などの医師にしか行えない行為が含まれている。そのため、あらかじめセットされているオーダであっても、医師法により医師以外の職種が発行することはできない。1)バリアンスの発生時に、なぜ発生したのか、どのような影響があったのかについてバリアンス(要因)コードや記録を蓄積でき、それを分析・改善に活かせるようにする必要がある。3)記録機能と一体化することによって、記録の効率性を図ることができる。4)全入院期間で複数のパスを適用したり、検査・処置のときのみ適用したりするなどにより、それぞれのパスは標準的な内容であっても個別的な(多様な病態にあった)診療計画にすることができる。
45,削除,
46,3,システムテストは、開発したプログラムが要求仕様どおりに動作するか、性能は十分かの検証を行う作業の最終段階で行うテストである。開発したプログラムのテストは、本番同様の環境で3)システム開発者が実施する。
47,2.4,2)リハーサルは、院内の組織や人員構成などをもとにシナリオを作り、病院側が主となって行う。4)運用マニュアルを作成するためには、外来患者や入院患者の動きや各部門の連携などについて知っている必要があるので、病院側で行わなければならない。1)結合テストは単体開発のプログラムを結合させた動作検証、3)データベース設計は病院システムの根幹となる設計、そして5)操作マニュアルの作成はシステムの操作マニュアルであり、いずれもベンダ側が作業を行う。
48,2,電子保存の3基準は、平成11年に当時の厚生省 (現厚生労働省)通 知「診療録等の電子媒体による保存について」ではじめて示されたもので、真正性、見読性、保存性の3つをいう。2)利用者が容易に利用できる操作性は、要求事項には記載されていない。1)作成の責任の所在を明確にすること(真正性)、 3)法令に定める保存期間内、復元可能な状態で保存すること(保存性)、 4)情報の内容を必要に応じて肉眼で見読可能な状態に容易にできること(見読性)、 5)故意または過失による虚偽入力、書換え、消去及び混同を防止すること(真正性)は、いずれも電子保存の3基準の要求事項である。
49,2.3,真正性の確保は、システム的な対応だけで達成するのは困難なことが多く、運用管理体制を含めて実現する方法がとられている。2)情報の修正履歴の保存とその管理、3)クラークによる代行入力の承認作業は、真正性の確保を目的としている。1)機器設置場所への入室制限は保存性の確保、4)システムの障害対策のための冗長化は見読性の確保を目的としている。5)標準形式で記録するためのテンプレートの作成は、診療情報の二次活用に関する内容であり、「電子保存の3基準」とは直接関係しない。
50,1.3,電子保存の3基準では、情報の内容を必要に応じて肉眼で見読可能な状態にしておくことが求められている。この3基準は、法律上保存が求められている診療諸記録だけでなく、院内の各種医療機器のデータに至るまで幅広く適用される。1)情報の所在管理と3)システム障害の対策は、いずれも見読性の確保に必要である。2)更新履歴の保存、4)作成者の識別及び認証は、真正性の確保と関連した内容である。また、5)バックアップ媒体の管理は、保存性の確保と関連している。
51,2,「医療情報システムの安全管理に関するガイドライン(第4.3版)」には、電子化済みの医療機関に他院から診療情報提供書などが紙媒体でもたらされる場合と、電子化施行前の診療録等が紙やフィルムで残っている場合とに分けて、紙媒体等をスキャナ等で電子化保存する場合の実施計画が記載されている。2)個人情報保護管理責任者の特定に関する記載はない。1)実施記録の作成、3)運用管理規程の作成は、それぞれ「最低限のガイドラインの項」に記載されている。4)患者等への周知の手段と異議の申し立てに対する対応は、過去の紙媒体を電子化する場合に必要とされている。5)スキャン等で電子化を行ってから紙やフィルムの破棄までの期間、及び破棄の方法は、過去の紙媒体をスキャンして保存する場合、実施計画書に求められる項目である。
52,4,システム運用部門の役割は、障害発生後の時間の経過とともに変化する。4)第一報が入った時点で即座に紙運用に切り替えることは、紙媒体の記録と電子情報との整合性などの点から誤った対応である。障害は通常、運用部門が把握する前に診療室などで確認される。そのため、3)端末を実際に操作して障害が再現するかを確認すること、5)障害が発生している箇所の情報収集を行うことが必要である。そして、2)関連する部門に障害が発生したことを伝え、1)障害記録票に発生時の状況を記録する必要がある。
53,4,4)DPCは、医療機関から健康保険組合等に診療報酬を請求する際の定額算定方式において、請求額の重要な根拠のひとつとして用いられる診断群分類である。したがって、異なる医療機関の間で交換する必要性は低く、地域医療ネットワークとの直接的な関連はない。1)XDS(Cross Enterprise Document Sharing)は、施設 間連携の枠組みとして、登録方法を共通化することにより、特定の患者の様々な診療情報文書を共有する仕組みとして日本IHE協会が策定した統合プロファイルであり、密接な関連がある。2)HL7は、厚生労働省電子的診療情報交換推進事業」(SS-MIX)において採用された医療情報交換規格であり、密接な関連がある。3)PDQ(Patient Demographics Query)は、XDSの構成プロファイルのひとつで、複数の分散されたアプリケーションが、集中管理された患者情報サーバに対し、ユーザが指定する検索基準に基づくクエリを実施し、患者の基本情報や来院関連情報を取得する仕組みである。5)DICOMは、SS-MIXにおいて採用された医用画像の交換フォーマットであり、密接な関連がある。
