2014II,問題文,選択肢,,,,
39,根拠に基づいた医療 (EBM)の手順に含まれないのはどれか。番号を解答記入欄( 39 )にマークしなさい。,情報の収集,批判的吟味,問題の定式化,患者への適用,研究手法のマニュアル化
40,診療ガイドラインの目的でないのはどれか。番号を解答記入欄( 40 )にマークしなさい。,医療の質向上,エビデンスの提供,施設間格差の解消,患者への情報提供,専門家間の意見交換
41,医療法施行規則で保存期間を定めていないのはどれか。番号を解答記入欄( 41 )にマークしなさい。,診療録,処方せん,病院日誌,手術記録,X線写真
42,同意書が必要なのはどれか。番号を解答記入欄( 42 )に2つマークしなさい。,処方,輸血,検体検査,血管造影検査,X線単純撮影
43,「お薬手帳」に関して誤っているのはどれか。番号を解答記入欄( 43 )にマークしなさい。,処方した薬剤名の記載欄がある。,利用者自身が保管して利用する。,アレルギー歴や副作用歴の記載欄がある。,患者の生年月日や連絡先の記載欄がある。,薬事法によって作成が義務付けられている。
44,患者への施用ごとに記録を残すことが法律で定められているのはどれか。番号を解答記入欄( 44 )に2つマークしなさい。,麻薬,毒薬,劇薬,向精神薬,特定生物由来製品
45,正しいのはどれか。番号を解答記入欄( 45 )にマークしなさい。,不偏分散は標本分散に等しい。,標準偏差 は偏差の絶対値の平均値である。,検査値の分布は標本数が大きければ正規分布に漸近する。,標本平均の分布は標本数が十分大きければ近似的に正規分布とみなせる。,検査の感度と疾患頻度から検査が陽性のときの疾患の確率を計算できる。
46,名義尺度に適用できる検定法はどれか。番号を解答記入欄( 46 )にマークしなさい。,F検定,順位相関,符号検定,符号付順位和検定,Wilcoxonの順位和検定
47,患者データを用いた研究発表で参考にすべきなのはどれか。番号を解答記入欄( 47 )にマークしなさい。,医師法,プライバ シーマーク制度,疫学研究に関する倫理指針,医療情報システムの安全管理に関するガイドライン,情報セキュリティマネジメントシステム(ISMS)
48,リスク曝露群と非曝露群の累積罹患率の比をあらわすのはどれか。番号を解答記入欄( 48 )にマークしなさい。,感度,尤度,特異度,オッズ比,相対危険度
49,臨床試験における第1相試験の対象被験者はどれか。番号を解答記入欄( 49 )にマークしなさい。,少数の患者,多数の患者,少数の高齢者,少数の健常成人,多数の健常成人
50,治験を行う際に守らなければならない「医薬品の臨床試験の実施の基準に関する省令」はどれか。番号を解答記入欄( 50 )にマークしなさい。,CRC,CRF,EDC,GCP,CDISC
