2014IS,問題文,選択肢,,,,
19,CDによる他医療機関への医用画像送付の運用について誤っているのはどれか。番号を解答記入欄( 19 )に2つマークしなさい。,DICOM形式を使用する。,紹介状を添付すると保険加算がある。,表示ソフトを添付しなければならない。,個人情報保護のためには暗号化すべきである。,送付された病院は自院のPACSに保存する義務がある。
20,以下の医療機器のうち、電子化された熱型表 (温度板・三測表)と連動する必要性がもっとも低いのはどれか。番号を解答記入欄( 20 )にマークしなさい。,尿量測定器,人工呼吸器,心臓超音波診断装置,ベッドサイドモニター,経皮的酸素飽和度測定器
21,看護管理を支援する情報システムの機能に含まれないのはどれか。番号を解答記入欄( 21 )に2つマークしなさい。,薬剤管理,空床管理,物流管理,看護勤務管理,看護職員管理
22,看護業務を支援する情報システムの機能に含まれないのはどれか。番号を解答記入欄( 22 )にマークしなさい。,指示受け,与薬管理,栄養管理,患者誤認防止,看護ワークシートの作成
23,歯科の外来再診予約システムを設計する際に考慮する必要がないのはどれか。番号を解答記入欄( 23 )にマークしなさい。,歯科医師のスケジュール,診療用チェアの空き状況,歯科衛生士のスケジュール,歯科技工士のスケジュール,歯科技工物の作成スケジュール
24,PDAとバーコードを用いた薬剤オーダの3点チェックで読まれない情報はどれか。番号を解答記入欄( 24 )に2つマークしなさい。※改定版,患者ID,実施者ID,オーダした医師ID,点滴内に入れる薬剤のコード,施用単位ごとの薬剤ラベルコード
25,医療安全に直接寄与するとはいえない機能はどれか。番号を解答記入欄( 25 )にマークしなさい。,薬剤の用量チェックを行う機能,患者認証をバーコードで行う機能,患者に薬剤を確認してもらう機能,アレルギー情報が常に確認できる機能,時間をさかのぼって実施入力を行う機能
26,システム構築における院内調整の要点について誤っているのはどれか。番号を解答記入欄( 26 )にマークしなさい。,検討事項は解決していてもその都度記録を残す。,導入によって解決したい病院の課題を把握する。,業務の継続性を重視して従来の業務フローを踏襲する。,一部門のみの利益を優先せず全体最適の視点から検討する。,稀なケ―スではシステムのみでの対応にとらわれずに運用も含めて検討する。
27,パッケージ製品の導入について、適切なのはどれか。番号を解答記入欄( 27 )に2つマークしなさい。,カスタマイズ要件の整備はベンダに任せる。,カスタマイズが多いほどシステム品質は一層向上する。,カスタマイズによるコストおよびスケジュールヘの影響を考慮する。,カスタマイズによるシステム保守への影響を考慮する必要はない。,カスタマイズせずに目的とする機能が実現できないか運用を検討する。
28,電子カルテシステムを導入する際、最後に行う作業はどれか。番号を解答記入欄( 28 )にマークしなさい。,導入予算の計画,要求仕様書の作成,操作マニュアルの作成,導入スケジュールの作成,導入プロジェクトチームの設置
29,調達プロセスにおいて提案依頼書に記載する事項として適切でないのはどれか。番号を解答記入欄( 29 )にマークしなさい。,単体テスト計画,システム化の目標,開発機器のコスト負担,評価プロセスと評価基準,ハードウェア性能の保証要件
30,削除,,,,,
31,電子カルテシステムの管理について誤っているのはどれか。番号を解答記入欄( 31 )にマークしなさい。,大規模災害時も通常のアクセス制限を行う。,アクセス権限を管理する責任者は必要最低限の人数にする。,ユーザごとに使用できるアプリケーションの種類を設定する。,ユーザ認証と同時にアクセス制御リストを参照し使用できるデータに制限をかける。,パスワードなどのセキュリティ情報が不正に利用されないように定期的監査を受ける。
32,病院情報システムの利用者が行ってよいのはどれか。番号を解答記入欄( 32 )にマークしなさい。,ネットワークの設定を変更する。,私有のスマートフォンを充電 目的で端末にUSB接続する。,患者情報の誤りを発見したので確認して入力内容の訂正を依頼する。,業務に有用なソフトウェアをシステム管理者の許可なく端末にインストールする。,オーダ入力せず参照するだけなので、他者がログインした端末をそのまま利用する。
33,利用者の識別および認証について誤っているのはどれか。番号を解答記入欄( 33 )にマークしなさい。,退職した職員のIDは削除せず無効にしておく。,管理者がパスワードを参照できないようにする。,アクセスログを収集し、定期的にその内容をチェックする。,委託業者による代行作業の際には、病院職員のIDを使用させる。,利用者がIDとパスワードを書いた紙をパソコンに貼ることを禁止する。
34,病院情報システムの利用者心得として適切でないのはどれか。番号を解答記入欄( 34 )にマークしなさい。,システム管理者の許可なくパスワードを変更してはならない。,システム管理者の許可なくネットワークに機器を接続してはならない。,確定操作では入力した内容が正しいかを十分確認しなければならない。,死亡した個人の情報も生存する患者と同様に取扱わなければならない。,システム利用時には自分のIDとパスワードを使用しなければならない。
35,人為的な原因によるシステム障害を予防するための方策はどれか。番号を解答記入欄( 35 )に2つマークしなさい。,盗難防止対策を行う。,ヘルプデスクを置く。,操作マニュアルを整備する。,重要な作業は2名以上で行う。,ベンダとの迅速な連絡体制を作る。
36,BCP(事業継続計画)策定・運用において、考慮すべき事項として適切でないのはどれか。番号を解答記入欄( 36 )にマークしなさい。,災害発生を想定した運用訓練を行う。,完全復旧するまで診療録の参照を禁止する。,優先的に復旧すべき「重要な業務」を明確にする。,業務再開の制約となる可能性がある要素を検討する。,設定された「目標復旧レベル」までの業務再開の目標時間を見積もる。
37,病院情報システムのトラブルを発見した。システム部門の対応として誤っているのはどれか。番号を解答記入欄( 37 )にマークしなさい。,現在の業務への影響を把握する。,ただちに診療の中止を院内放送する。,予測される影響を他部門にも確認する。,異常現象を正確に把握するため詳細を確認する。,周辺の他の端末でも類似した現象が起きていないかを確認する。
38,診療報酬改定への対応として正しいのはどれか。番号を解答記入欄( 38 )2つマークしなさい。,電子カルテシステムは対応する必要がない。,システム導入と同等のシステムテストが必要である。,システムテストは改定項 目に限定して実施する必要がある。,施行日前に必要なシステム変更を準備しておく必要がある。,パッケージソフトはマスターやバラメータの変更のみで全て対応できる。
39,介護保険に関連する情報システムについて誤っているのはどれか。番号を解答記入欄( 39 )にマークしなさい。,要介護度の一次判定には全国標準のソフトウェアを用いる。,介護支援事業所では様々なケアマネジメント支援情報システムが用いられる。,医療依存度が高い介護サービス利用者のため医療と介護の情報共有が重要である。,介護保険者は、被保険者管理、利用者給付管理などに全国標準のシステムを用いる。,介護事業者は、インターネットで介護給付費請求書、介護給付費明細書を保険者に提出する。
40,訪間看護システムが備える機能として、必要性がもっとも低いのはどれか。番号を解答記入欄( 40 )にマークしなさい。,服薬管理機能,介護度判定機能,介護保険請求機能,医療保険請求機能,医師指示書管理機能
41,特定健康診査・特定保健指導制度に関する事項で誤っているのはどれか。番号を解答記入欄( 41 )にマークしなさい。,検査成績の測定単位はUCUM規則に準じている。,個人識別のために全国共通の個人IDが用いられている。,検査項目にはJLAC10に準じた項目コードが用いられている。,入カミスを排除するためデータ範囲を示す基準が設けられている。,検査結果の報告にはHL7に準拠したファイル形式が用いられている。
42,総合健診 (人間ドック)システムの機能に通常含まれないのはどれか。番号を解答記入欄( 42 )にマークしなさい。,ACSとの連携機能,各種検査の精度管理機能,診療報酬明細書の作成機能,受診者ごとの検査結果管理機能,検体検査自動分析装置との連携機能
43,遠隔医療システムを構築する際に共通化しなければならないのはどれか。番号を解答記入欄( 43 )にマークしなさい。,VPNプロトコル,端末製造メーカ,電子カルテシステム,ディスプレイの解像度,医療画像保存参照システム
44,現在診療報酬が認められていないのはどれか。番号を解答記入欄( 44 )に2つマークしなさい。,遠隔病理診断,遠隔放射線画像診断,集中治療室の遠隔モニタリング,救急車からのバイタルサイン伝送による診断,離島・へき地のテレビ電話を用いた定期的な診療
45,電子お薬手帳について正しいのはどれか。番号を解答記入欄( 45 )にマークしなさい。,厚生労働省が定めたものである。,処方の情報を共有しやすくなる。,すべての医療機関で導入済みである。,全国共通のビューワが指定されている。,導入には電子処方せんの発行が不可欠である。
46,施設間連携に必須でないのはどれか。番号を解答記入欄( 46 )にマークしなさい。,使用者の認証,データの保護,データ形式の標準化,同一のデータベース,用語・コードの標準化
47,医薬品の調剤包装単位、販売包装単位に関するバーコード表示について正しいのはどれか。番号を解答記入欄( 47 )に2つマークしなさい。,GS1 Databar節の表示が義務づけられる。,JANコードの表示が義務づけられている。,HOTコードの表示が義務づけられている。,薬価基準収載医薬品コードの表示が義務づけられている。,内用薬のPTP包装シートや外用剤のチューブなどにも表示されている。
48,システム間のデータ交換に標準規格を導入する目的とならないのはどれか。番号を解答記入欄( 48 )にマークしなさい。,地域連携パスの評価,システム開発の負担軽減,診療情報の二次利用の効率化,物理媒体による診療情報連携の円滑化,異なるベンダ間での情報交換の正確性向上
49,略語とその説明の組合せで誤っているのはどれか。番号を解答記入欄( 49 )にマークしなさい。,LAC ― 検査項目分類,ICF ― 国際生活機能分類,ICNP ― 介護用語国際分類,ICPC ― プライマリ・ケア国際分類,ICD-DA ― 歯科学および口腔科学の領域におけるICD-10を補助する分類
50,MFERに関して誤っているのはどれか。番号を解答記入欄( 50 )にマークしなさい。,超音波検査で用いられる。,ISO/TSとして発行されている。,医用波形を記述する規約である。,HELICS標準化指針として登録されている。,保存されたデータはデジタル処理が可能である。
51,手術および処置の分類として用いられるのはどれか。番号を解答記入欄( 51 )に2つマークしなさい。,ICD-O,ICD-10,ICD-9-CM,コード,SNOMED
52,看護用語集について正しいのはどれか。番号を解答記入欄( 52 )にマークしなさい。,NOCは看護行為の分類体系である。,NICは看護成果の分類体系である。,NANDAはMEDIS-DCが作成した標準看護計画である。,看護実践用語標準マスターはMEDIS-DCが作成している。,疾患別看護用語セットは北米看護診断協会が作成している。
53,ICD-10対応標準病名マスターの説明として誤っているのはどれか。番号を解答記入欄( 53 )にマークしなさい。,歯科病名も収載されている。,修飾語はフリーテキストを用いて診療報酬請求できる。,厚生労働省「保健医療情報分野の標準規格」のひとつである。,傷病名とその同義語は診療報酬請求上で同じコードを用いる。,レセプト電算処理用傷病名マスターの傷病名と完全一致している。
54,標準規格についての説明として誤っているのはどれか。番号を解答記入欄( 54 )に2つマークしなさい。,CDAはHL7で開発された規格である。,IHEは業務ワークフローを定めた標準規格である。,DICOMは医用画像交換のための標準規格である。,JLAC10は画像検査項目を定めた標準規格である。,HL7は検査情報などの情報交換のための標準規格である。
55,HL7について誤っているのはどれか。番号を解答記入欄( 55 )にマークしなさい。,放射線画像の伝送規格を定めている。,名称はOSIの第7層に由来している。,HL7 v3はXML形式に基づいている。,SS-MIXの標準化ストレージに採用されている。,HL7 v2.5はEncoding rule 7形式に基づいている。
56,厚生労働省標準規格に含まれないのはどれか。番号を解答記入欄( 56 )にマークしなさい。,臨床検査マスター,標準用法・用量マスター,標準歯科病名マスター,JAHIS臨床検査データ交換規約,医療におけるデジタル画像と通信(DICOM)
57,経営の改善を評価する場合、もっとも関連性が弱い項目はどれか。番号を解答記入欄( 57 )にマークしなさい。,病棟在庫の管理,物品材料マスターの標準化,検査オーダ項目のセット化,病名漏れチェック体制の確立,診療科別ベッド稼働率の見える化
58,患者待遇の向上を評価する場合、もっとも関連性が弱い項目はどれか。番号を解答記入欄( 58 )にマークしなさい。,外来待ち時間,毎月の退院患者数の推移,患者満足度調査の実施状況,患者満足度調査結果の広報,セカンドオピニオン外来の設置
59,治験に対応する機能として特有で不可欠なのはどれか。番号を解答記入欄( 59 )にマークしなさい。,薬品会社とのオンライン連携,診療報酬請求システムとの連携,厚生労働省とのオンライン連携,病院従事者以外が利用できる機能,治験参加者が誰か分からないようにする機能
60,「どこでもMy病院構想」について誤っているのはどれか。番号を解答記入欄( 60 )にマークしなさい。,電子お薬手帳はこの構想の一環である。,医療機関などから提供された情報を患者が登録する。,患者本人が健康情報を一元管理することが目的である。,意識が無くなっても適切な医療が受けられるようになる。,ある医療機関で登録されれば、その後はどの病院でも初診料が不要となる。
