2014JS,解説,解答
39,2,「悪意のあるソフトウェア」の侵入経路としては、ネットワーク、USBメモリなどの外部媒体、電子メールやWeb閲覧があげられる。2)ネットワーク接続を有線から無線に切り替えても、ネットワークに接続していることには変わりがないため、侵入防止策として有効ではない。1)ウイルス対策ソフトを最新の状態に保つことで、侵入された「悪意のあるソフトウェア」が活動を始める前に駆除できる。3)一部のWebページにはプログラムが動作するものや端末にソフトのインストールを促すものがあり、多くのWebブラウザにはこのような動作をさせない設定がある。4)送信元が明らかでないメールの多くは、身元を隠して悪意を持って送信される迷惑メールである。5)ウイルス対策ソフトが動作していないコンピュータはウイルスに感染している可能性があり、もし感染しているとこのコンピュータに装着されたUSBメモリにはウイルスがコピーされる可能性があるため、装着してはならない。
40,1,1)DMZは非武装地帯(DeMilitarized Zone)の略で、信頼できる内部ネットワークと信頼できない外部ネットワークとの間で、WWWサーバなどの外部公開の必要なサーバなどを設置するために設けられる。2)IDSは侵入検知システム(Intrusion Detection System)の略で、ネットワーク上のパケットを監視し、不正アクセスを検知、警告するシステムである。3)IPSは侵入防止システム(Intrusion Protection System)の略で、不正アクセスを検知した後、自動的にネットワークを防御するものである。4)SSLはSecure Socket Layerの略で、通信データの暗号化に用いられる。5)VPNはVirtual Private Networkの略で、インターネットなどの公衆回線網上に設けた仮想専用回線である。
41,2,2)フイッシングは、電子メールやWebページに本物のWebサイトと見間違いそうなURLを記載し、偽のホームページに誘導し、IDやパスワードなどの個人情報を取得しようとする行為のことである。1)Dos攻撃(DenialofServiceattack)は、サーバやネットワークスイッチなどが正常なサービスを提供できない状態にする攻撃をいう。セキュリテイホールをつく、大量のサービス要求を送りつける、サーバなどに負荷をかけるなどが行われる。3)ポートスキャンは、本来はTCP/1P通信で用いられる情報の送受信ポートが利用可能かどうかを探索する行為をさすが、外部から不正アクセスを目的として空いているポート番号を調査するネットワーク上の攻撃を指す場合が多い。4)バッファオーバーフローは、プログラムが確保したメモリ領域(バッファ)を超えてデータが入力されるなどすることによって、バッファがあふれプログラムが予期せぬ動作をする現象をさす。これを意図的に行い、管理者権限を不正に取得するなどの攻撃をバッファオーバーフローアタックという。5)情報システムヘのアクセスパスワードや管理されている機密情報などを、サーバ上のセキュリテイホールやコンピュータウイルスなどを介することなく、不正に入手する行為をソーシャルエンジエアリングと呼ぶ。端末の近くに貼られた付箋を読む、身分を詐称する、入力中に覗き込む(ショルダーハッキング)などの手段が有名である。
42,5,ウォータフォールモデルでは、3)要求分析→2)外部設計→内部設計→5)プログラム設計→4)プログラミング→1)テストの順に開発工程が進められる。
43,5,5)プロトタイピングモデルは、開発の早い段階でプロトタイプ(試作)を作成し、その評価と調整を繰り返しながらユーザと仕様を確認し、開発を進めていく手法である。1)スパイラルモデルは、大規模なシステムをウォータフォールモデルのプロセスの繰り返しにより開発する手法である。2)リレーショナルモデルは、開発に使うプロセスモデルではなく、データ間の関係を表現するモデルであり、関係データベースで用いられる。3)インクリメンタルモデルは、サブシステム単位で並列に開発、リリースを行っていく手法である。4)ウォータフォールモデルは、設計、プログラミング、テストなどを順番に進行していく開発モデルである。
44,4,4)ガントチャートでは、横軸に時間を、縦軸に工程を配し、各工程の開始・完了の予定と実際の進捗状況とを記入するので、日程管理が容易にできるようになっている。1)最短時間の計算、3)各工程の依存関係、および5)ボトルネックの把握はネットワーク図またはPERT計算表によって行われる。2)全体費用の積算は、概算法や積算法などによって行われる。
45,1,1)運用テストでは、ユーザが参加して要求仕様で求めた機能が正しく働くかを確認する。2)結合テストでは、各モジュール間でのデータ受け渡しが内部設計通りに行われるかを確認する。3)構造テスト(ホワイトボックステスト)はプログラム機能を網羅的にテストする技法である。4)単体テストでは、モジュール単位でプログラムの機能を確認する。5)システムテストでは、外部設計通りにシステム全体が機能するかを確認する。
46,4,4)サイトライセンス契約は、サイト(利用する場所、施設)単位での契約で、そのサイト内で利用することが前提である。したがって、ソフトウェアが導入されているコンピュータを外部組織に譲渡した場合には、そのソフトウェアを利用できない。1)サーバライセンス契約は、指定したサーバに導入しソフトウェアを契約した人数分利用できる、あるいはサーバからクライアントPCへ契約ライセンス数分導入できるものであり、個人との契約ではなく、利用する組織との契約となる。2)サーバのライセンス契約では、サーバに搭載されているCPUの数、あるいはコアの数だけ契約しなければならないものがある。3)ボリュームライセンス契約は、ソフトウェアを導入するPCの台数を決めて契約するものである。5)シュリンクラップ契約は、PC用ソフトウェアで用いられる契約で、契約書を取り交わす代わりにソフトウェアの包装を破る行為によって契約が成立する。
47,1,1)基幹ネットワーク機器に障害が発生すると、ユーザが使用するクライアントPCとサーバとの通信接続が切れ、サービスが全面的に停止することになる。2)クライアントPCのハード故障では、多くの場合そのPCでのサービス利用ができないだけである。ただし、PCのネットヮークデバイスが故障すると、連続的に信号をネットワークに送り、そのPCが接続している支線ネットワークでの通信ができなくなることがある。この場合でも異常信号が基幹ネットワークヘ流れるのを防止する仕組みがあるため、サービスが全面停止することはない。3)ネットワークの一部の回線で障害が発生しても、2)の場合と同様、基幹ネットワークに影響が及ばない仕組みがあるため、サービスが全面停止することはない。4)中間サーバのソフトウェアに不具合が発生すると、その中間サーバに接続するクライアントPCでのサービス利用はできなくなるが、それ以外の影響は少ないと予想される。ただし、中間サーバが暴走してメインサーバに連続的にアクセスするようなことが起きると、メインサーバに大きな負荷がかかり、他のクライアントPCへのサービスが低下することは起こり得る。5)メインサーバの主メモリが枯渇して来ると、処理能力が低下するためクライアントPCへのサービスが低下する。しかし、サーバでのリソース管理により、主メモリを使い切ることはなく、サービスが全面停止することはない。
48,4,4)ハードウェアの故障率は、システムの信頼性評価指標のひとつである信頼性(Realiability)を評価するものである。運用性能評価指標は、システムが運用されている状況下でその処理性能を発揮できる状態にあるかを見るもので、1)CPU使用率、2)メモリ使用率、3)デイスク使用率、および5)ネットワーク回線使用率などがある。これらの値が高くなると、運用上問題が起きる可能性が高まる。
49,3,"""システムの稼働率は、平均修復時間(Mean Time To Repair または Mean Time To Recovery : MTTR)と平均故障間隔(Mean Time Between Failures : MTBF)によって、次の式で算出される。稼働率=MTBF/(MTTR+MTBF)10,000時間あたりということは、(MTTR+MTBF)=10,000時間を意味するので、MTBF=稼働率×(MTTR+MTBF)=0.995×10,000時間=9,950時間となる。よって、MTTR=10,000-9,950=50時間となる。"""
50,1,信頼性評価指標(RASIS)は、Realiabmty(信頼性)、Availability(可用性)、Serviceability(保守性)、Integrity(完全性)およびSecurity(安全性)からなる。2)機密性(Conndentiality)は情報セキュリテイの3要素のひとつである。3)見読性、4)真正性および5)保存性は、医療情報の電子保存の3基準である。
