2014JS,問題文,選択肢,,,,
19,IPsecはOSI基本参照モデルのどの層に属するプロトコルか。番号を解答記入欄( 19 )にマークしなさい。,アプリケーション層,セッション層,トランスポート層,ネットワーク層,データリンク層
20,インターネット上で、電子メールを送信するのに使われるプロトコルはどれか。番号を解答記入欄( 20 )にマークしなさい。,FTP,IMAP,NTP,POP3,SMTP
21,IPアドレス172.30.123.45、サブネットマスクが255.255.252.0のホストが属するネットワークアドレスはどれか。番号を解答記入欄( 21 )にマークしなさい。,172.30.0.0,172.30.3.0,172.30.120.0,172.30.123.0,172.30.252.0
22,hana@hcit.jp宛てにメール送信したところ、''Host Unknown''と書かれたエラーメッセージが届いた。原因として正しいのはどれか。番号を解答記入欄( 22 )にマークしなさい。,迷惑メールとして処理された。,hcit.jpというメールサーバがない。,送信したメールサイズが大きすぎた。,hcit.jpにhanaというアドレスがない。,送信先のメール保存領域が制限を超えた。
23,UTPケーブルの最大伝送距離はどれか。番号を解答記入欄( 23 )にマークしなさい。,100m,300m,550m,"""2,000m""","""5,000m"""
24,無線LANの規格と説明の組み合わせで誤っているのはどれか。番号を解答記入欄( 24 )にマークしなさい。,IEEE802.11a ― 最大伝送速度54Mbps,IEEE802.11b ― 最大伝送速度11Mbps,IEEE802.11g ― 周波数帯2.4GHz,IEEE802.11n ― 最大伝送速度1Gbps,IEEE802.15.4 ― 周波数帯2.4GHz
25,ネットワーク層でデータを選択的に他のネットワークヘ中継する機器はどれか。番号を解答記入欄( 25 )にマークしなさい。,ルータ,L2スイッチ,ブリッジ,リピータ,ファイアウォール
26,無線LANのネットワークを区別するために、アクセスポイントに設定する識別子はどれか。番号を解答記入欄( 26 )にマークしなさい。,EAP,SSID,TKIP,WEP,WPA
27,通信速度が1Gbpsのネットワークでデータを送信した結果、1秒間あたり5MB(メガバイト)のデータを受信できた。この場合の回線の利用率は何%か。番号を解答記入欄( 27 )にマークしなさい。,2%,3%,4%,5%,6%
28,トランザクション処理がすべて実施されるか、ひとつも実施されないかのどちらかの状態を表す特性はどれか。番号を解答記入欄( 28 )にマークしなさい。,一貫性,隔離性,原子性,耐久性,保存性
29,データ構造を記述する前に現実の組織・物体などを抽象化したモデルはどれか。番号を解答記入欄( 29 )にマークしなさい。,概念モデル,論理モデル,物理モデル,関係モデル,階層型モデル
30,関係データベースのデータ操作を規定した演算のうち、2つの表の両方に属しているものを取り出す演算はどれか。番号を解答記入欄( 30 )にマークしなさい。,差,積,選択,射影,直積
31,下の表''受診歴''を元に第3正規化した時のデータベースの表の組み合わせはどれか。番号を解答記入欄( 31 )にマークしなさい。※主キーは項目名の前に○印がある。,1),2),3),4),5)
32,表''薬剤請求記録''に対して次のSQL文を実行した場合、得られる値はどれか。番号を解答記入欄( 32 )にマークしなさい。SELECT SUM(数量) FROM 薬剤請求記録 WHERE 日付 = 2013-10-11  AND 病棟 <= '3',1,3,4,5,9
33,データベース処理において、図のように2つのトランザクションの更新要求の処理が進まなくなる状態はどれか。番号を解答記入欄( 33 )にマークしなさい。,アボート,コミット,ロールバック,デッドロック,ロールフォワード
34,システム障害に備え待機系を用意し、障害発生時には待機系に自動的に切り替える方式はどれか。番号を解答記入欄( 34 )にマークしなさい。,コールドスタンバイ,フェールオーバ,フォールバック,ロールバック,ロールフォワード
35,情報セキュリティの要素のうち、情報が正確で欠落や重複がないことを保証するのはどれか。番号を解答記入欄( 35 )にマークしなさい。,完全性,真正性,機密性,可用性,否認防止
36,認証に関して誤っているのはどれか。番号を解答記入欄( 36 )にマークしなさい。,本人の生体情報を用いた認証方法がある。,定期的にパスワードを変更することが必要である。,ICカード認証では認証用カードの携帯が必須である。,許可された利用者本人であることを確認するために行う。,利用者が1回ごとに設定するものをワンタイムパスワードという。
37,公開鍵暗号方式について誤っているのはどれか。番号を解答記入欄( 37 )にマークしなさい。,電子署名に利用される。,暗号化と復号で鍵が異なる。,送信者が受信者の秘密鍵で暗号化する。,共通鍵方式よりアルゴリズムが複雑である。,相手が6人以上で共通鍵方式よりも必要な鍵の数が少ない。
38,MD5などのハッシュ関数を使う目的はどれか。番号を解答記入欄( 38 )にマークしなさい。,暗号化,データ圧縮,ユーザ認証,アクセス制御,メッセージダイジェスト
39,悪意のあるソフトウェアの侵入防止策として有効でないのはどれか。番号を解答記入欄( 39 )にマークしなさい。,ウイルス対策ソフトを最新の状態に保つ。,ネットワーク接続を有線から無線にきりかえる。,Webブラウザのセキュリティ設定を安全な設定にする。,送信元が明らかでないメールの添付ファイルは開かない。,USBメモリをウイルス対策ソフトが動作していないコンピュータに装着しない。
40,組織内ネットワークと外部ネットワークの間に作られ、それぞれから隔離された領域はどれか。番号を解答記入欄( 40 )にマークしなさい。,DMZ,IDS,IPS,SSL,VPN
41,偽のホームページに誘導し不正に個人情報などを入手する行為はどれか。番号を解答記入欄( 41 )にマークしなさい。,DoS攻撃,フィッシング,ポートスキャン,バッファオーバーフロー,ソーシャルエンジニアリング
42,ウォータフォールモデルのシステム開発において、内部設計の次に行う作業はどれか。番号を解答記入欄( 42 )にマークしなさい。,テスト,外部設計,要求分析,プログラミング,プログラム設計
43,試作と調整を繰り返しながらシステムを完成させるプロセスモデルはどれか。番号を解答記入欄( 43 )にマークしなさい。,スパイラルモデル,リレーショナルモデル,インクリメンタルモデル,ウォータフォールモデル,プロトタイビングモデル
44,ガントチャートの役割はどれか。番号を解答記入欄( 44 )にマークしなさい。,最短時間の計算,全体費用の積算,各工程の依存関係の把握,工程ごとの日程管理,ボトルネックの把握
45,要求仕様が満たされているかを確認するためのテストはどれか。番号を解答記入欄( 45 )にマークしなさい。,運用テスト,結合テスト,構造テスト,単体テスト,システムテスト
46,ライセンス契約の説明として誤っているのはどれか。番号を解答記入欄( 46 )にマークしなさい。,サーバライセンスの契約主体とは組織である。,CPU数でライセンス数が決まる場合がある。,ボリュームライセンス契約は、導入数が決まっている。,サイトライセンス契約は組織外にコンピュータを譲渡しても付与される。,シュリンクラップ契約は、パッケージの包装を破った時点で契約が成立する。
47,情報システムのサービス全面停止につながる要因となり得るのはどれか。番号を解答記入欄( 47 )にマークしなさい。,基幹ネットワーク機器の障害,クライアントPCのハード故障,ネットワークの一部回線の障害,中間サーバのソフトウェア不具合,メインサーバの主メモリの不足
48,運用性能評価指標でないのはどれか。番号を解答記入欄( 48 )にマークしなさい。,CPU使用率,メモリ使用率,ディスク使用率,ハードウェアの故障率,ネットワーク回線使用率
49,"""システムの稼働率が99.5%のとき、10,000時間あたりの平均修復時間 (MTTR)はどれか。番号を解答記入欄( 49 )にマークしなさい。""",5時間,25時間,50時間,100時間,150時間
50,システムの信頼性を評価・検証する「信頼性評価指標(RASIS)」に含まれるのはどれか。番号を解答記入欄( 50 )にマークしなさい。,可用性,機密性,見読性,真正性,保存性
