2010II,問題文,選択肢,,,,
24,メタボリックシンドロームの診断基準に含まれない項目はどれか。番号を解答記入欄( 24 )にマークしなさい。,腹囲,血圧,血糖,中性脂肪,LDLコレステロール
25,直接看護でないのはどれか。番号を解答記入欄( 25 )にマークしなさい。,与薬,身体の清潔,食事の世話,排泄の世話,病室の環境整備
26,正しいのはどれか。番号を解答記入欄( 26 )に2つマークしなさい。,保健師は業務独占である。,看護師は業務独占である。,准看護師は国家資格である。,助産師は女性に限定された職種ではない。,保健師助産師看護師法には看護職者の定義が示されている。
27,DNAを構成する塩基でないのはどれか。番を解答記入欄( 27 )にマークしなさい。,チミン,アデニン,グリシン,グアニン,シトシン
28,X線照射とコンピュータ処理の両方が必要な検査はどれか。番号を解答記入欄( 28 )にマークしなさい。,CT検査,MRI検査,ERCP検査,超音波検査,カプセル内視鏡検査
29,輸血時に行われるのはどれか。番号を解答記入欄( 29 )に2つマークしなさい。,補体検査,抗核抗体検査,交差適合試験,薬剤感受性検査,不規則抗体検査
30,誤っている組み合わせはどれか。番号を解答記入欄( 30 )にマークしなさい。,CR ― 胸部単純撮影,CT ― 断層画像,MRI ― 磁気共鳴,PET ― サイクロトロン,SPECT ― ブドウ糖代謝
31,臓器と検査の組み合わせで不適切なのはどれか。番号を解答記入欄( 31 )にマークしなさい。,大脳 ― MRI検査,肺 ― 超音波検査,肝臓 ― CT検査,大腸 ― 内視鏡検査,骨 ― シンチグラム
32,採血を必要としない検査はどれか。番号を解答記入欄( 32 )にマークしなさい。,赤血球沈降速度,C反応性タンパク,スパイロメトリー,グリコヘモグロビン,クレアチニンクリアランス
33,誤っている組み合わせはどれか。番号を解答記入欄( 33 )にマークしなさい。,めまい ― 視力検査,てんかん ― 脳波検査,大腸がん ― 便潜血反応,前立腺肥大症 ― 残尿測定,月経不順 ― 血中ホルモン濃度測定
34,被曝のない検査はどれか。番号を解答記入欄( 34 )にマークしなさい。,CT検査,X線撮影,核医学検査,超音波検査,血管造影検査
35,医薬品の説明で正しいのはどれか。番号を解答記入欄( 35 )にマークしなさい。,毒薬は人体に投与できない。,ジェネリックの注射薬はない。,医薬品添付文書は患者に渡さなければならない。,向精神薬の処方には麻薬施用者免許が必要である。,特定生物由来製剤の使用に関する情報の保存期間は20年間である。
36,ジェネリック医薬品について誤っているのはどれか。番号を解答記入欄( 36 )にマークしなさい。,開発期間が短い。,医療費の削減に役立つ。,先発医薬品と同等の効果がある。,独占的販売期間が終了している。,販売前に臨床試験を行う必要がある。
37,摂食・嚥下機能訓練を担当する職種はどれか。番号を解答記入欄( 37 )にマークしなさい。,調理師,管理栄養士,理学療法士,作業療法士,言語聴覚士
38,クリニカルパスについて誤っているのはどれか。番号を解答記入欄( 38 )にマークしなさい。,病院間の診療内容の比較に利用できる。,工程管理技法から派生した概念である。,地域連携を考慮したクリニカルパスがある。,目標が達成されない状態をバリアンスという。,1人の患者には1つのクリニカルパスのみを適用する。
39,診療ガイドラインについて正しいのはどれか。番号を解答記入欄( 39 )にマークしなさい。,患者自身の利用は想定されていない。,疾病予防のためのガイドラインがある。,すべての疾患について作成されている。,法律で遵守することが義務づけられている。,専門家の意見や経験のみに基づいて作成される。
40,診療ガイドラインの目的に含まれないのはどれか。番号を解答記入欄( 40 )にマークしなさい。,医療の質向上,医療費の削減,エビデンスの提供,施設間格差の解消,患者への情報提供
41,医療記録で保証される必要がないのはどれか。番号を解答記入欄( 41 )にマークしなさい。,継続性,公開性,真正性,原本性,概括性(構造化)
42,患者基本情報に含まれないのはどれか。番号を解答記入欄( 42 )にマークしなさい。,氏名,性別,住所,生年月日,経過記録
43,誤っている組み合わせはどれか。番号を解答記入欄( 43 )にマークしなさい。,患者状態要約 ― 看護サマリ,救護区分別在床患者数 ― 熱型表,機能別看護方式 ― 業務別ワークシート,フォーカスチャーティング ― 看護経過記録,プライマリ・ナーシング ― 患者別ワークシート
44,正規分布について正しいのはどれか。番号を解答記入欄( 44 )にマークしなさい。,二峰性の分布である。,平均値と中央値は異なる。,人の身長は正規分布に従わない。,平均値0、分妝1の分布を標準正規分布という。,平均値士標準偏差の範囲に対象の95%が含まれる。
45,2つの変量の関係をみるためにもっとも適切なのはどれか。番号を解答記入欄( 45 )にマークしなさい。,散布図,箱ひげ図,円グラフ,ヒストグラム,レーダーチャート
46,誤っているのはどれか。番号を解答記入欄( 46 )にマークしなさい。,歪度は分布の非対称性を表す。,仮説検定は二重否定の論理である。,標準偏差はデータのばらつきを表す。,標本から抽出した集団を母集団という。,ｔ検定はパラメトリックな検定手法である。
47,分析疫学に含まれないのはどれか。番号を解答記入欄( 47 )にマークしなさい。,介入研究,横断的研究,生態学的研究,症例対照研究,コホート研究
48,疫学調査法で誤っているのはどれか。番号を解答記入欄( 48 )にマークしなさい。,介入研究では、無作為化比較試験を行う。,症例対照研究では、正確な相対危険度が求められる。,生態学的研究では、県や国などの大きな集団を対象とする。,コホート研究では、ある共通特性をもつ集団を一定期間追跡調査する。,横断的研究では、ある時点における疾患の有無と危険因子の有無を調査する。
49,下の表で、d / (b + d)によって定義されるのはどれか。番号を解答記入欄( 49 )にマークしなさい。,感度,特異度,オッズ比,偽陽性率,相対危険度
50,エビデンスレベルがもっとも高いのはどれか。番号を解答記入欄( 50 )にマークしなさい。,1つのランダム化比較試験,よくデザインされた記述的研究,複数のランダム化比較試験のメタ分析,1つのよくデザインされた非ランダム化比較試験,専門家の報告や意見、あるいは権威者の臨床経験
