2010JS,問題文,選択肢,,,,
13,最大伝送速度が300Mbpsで、2.4GHzと5GHzの両方の帯域に対応した無線LANの規格はどれか。番号を解答記入欄( 16 )にマークしなさい。,IEEE 802.11a,IEEE 802.11b,IEEE 802.11g,IEEE 802.11n,IEEE 802.11x
14,全ての通信ケーブルを1つのノードに集中接続するネットワーク・トボロジーはどれか。番号を解答記入欄( 17 )にマークしなさい。,バス型,階層型,リング型,スター型,メッシュ型
15,ネットワークインターフェースカードに製造元が割り当てるユニークなアドレスはどれか。番号を解答記入欄( 18 )にマークしなさい。,IPアドレス,NICアドレス,MACアドレス,ホストアドレス,ネットワークアドレス
16,異なるネットワークアドレスを持つLAN間の接続に使われるネットワーク装置はどれか。番号を解答記入欄( 19 )にマークしなさい。,ハブ,ルータ,リピータ,ブリッジ,スイッチ
17,ルータが転送先を判断する際に使うのはどれか。番号を解答記入欄( 20 )にマークしなさい。,ホスト名,ドメイン名,MACアドレス,宛先IPアドレス,送信元IPアドレス
18,ネットワークアドレスが192.168.32.0のとき、サプネットワーク1つにつき254台のホストを利用可能にするネットマスクはどれか。番号を解答記入欄( 21 )にマークしなさい。,255.255.0.0,255.255.248.0,255.255.254.0,255.255.255.0,255.255.255.128
19,IPv6の説明として適切なのはどれか。番号を解答記入欄( 22 )にマークしなさい。,ヘッダは可変長である。,IPv4とは通信できない。,無線LANでは使えない。,32ビット長のアドレスである。,IPsecを標準サポートしている。
20,光ファイバケーブルの説明で誤っているのはどれか。番号を解答記入欄( 23 )にマークしなさい。,電磁波に影響されにくい。,長距離の伝送が可能である。,異なる波長の光を同時に流せる。,結線方法にストレートとクロスがある。,マルチモードとシングルモードがある。
21,10Mbpsの回線を用いて、5MBのファイルを送信するのに必要な伝送時間は何秒か。番号を解答記入欄( 24 )にマークしなさい。,0.5,1,2,4,16
22,DHCPで取得されない情報はどれか。番号を解答記入欄( 25 )にマークしなさい。,MACアドレス,サブネットマスク,ホストのIPアドレス,DNSサーバアドレス,デフォルトゲートウェイアドレス
23,ドメイン名とIPアドレスの相互変換を行うのはどれか。番号を解答記入欄( 26 )にマークしなさい。,DAT,DES,DNS,FTP,NAT
24,電子メールの送信に使われるのはどれか。番号を解答記入欄( 27 )にマークしなさい。,POP,HTTP,IMAP,SMTP,SNMP
25,次の3つの表のうち外部キーはどれか。番号を解答記入欄( 28 )にマークしなさい。,患者表の患者ID,医師表の医師ID,診断名表の患者IDと医師ID,患者表の患者IDと医師表の医師ID,患者表と診断名表の患者IDと医師表の医師ID
26,患者ID、思者氏名、保険ID、性別、年齢からなる患者表がある。年齢が60歳未満の男性患者、または保険IDが「G」で始まる患者の患者IDと患者氏名を抽出する以下のSQL文のWHEREに続く条件式はどれか。番号を解答記入欄( 29 )にマークしなさい。,(年齢<60 OR 性別='男') OR 保険ID LIKE'G%',(年齢<60 OR 性別='男') AND 保険ID LIKE 'G%',(年齢<60 AND 性別='男') OR 保険ID LIKE'G%',(年齢<60 AND 性別='男') AND 保険ID LIKE 'G%',(年齢=<60 OR 性別='男') AND 保険ID LIKE 'G%'
27,表Aと表Bから結合操作により表Cを作成するための正しいSQL文はどれか。解答記入欄( 30 )にマークしなさい。,"""CREATE 表A.患者ID,表A.患者名,表A.科コード,表B.診療科名 FROM 表A,表B WHERE 表A.科コード = 表B.科コード""","""INSERT INTO 表C(患者ID,患者名,科コード,診療科名) VALUES ('F345','神戸花子',103,循環器内科)""","""SELECT 表A.患者ID,表A.患者名,表A.科コード,表B.診療科名 FROM 表A,表BWHERE表A.科コード = 表B.科コード""","""SELECT 表A.患者ID,表A.患者名,表A.科コード,表B.診療科名 FROM 表A,表B WHERE 表A.科コード = 101 OR 表A.科コード = 103 OR 表B.科コード = 104""","""UPDATE 表A.患者ID,表A.患者名,表A.科コード,表B.診療科名 FROM 表A,表B WHERE 表A.科コード = 表B.科コード"""
28,関係データベースで正規化を行う目的はどれか。番号を解答記入欄( 31 )にマークしなさい。,表の数を少なくする。,デッドロックを抑制する。,データの整合性を維持する。,データの容量を少なくする。,データの転送速度を速くする。
29,データモデルの分類で誤っているのはどれか。番号を解答記入欄( 32 )にマークしなさい。,論理モデル ― 階層モデル,論理モデル ― 関係モデル,論理モデル ― ネットワークモデル,概念モデル ― ERモデル,概念モデル ― スキーマモデル
30,次の文の(　)に入る用語を下の語群から選び、番号を解答記入欄( 33 )~( 36 )にマークしなさい。,"""( 33 )3,( 34 )5,( 35 )6,( 36 )8""","""( 33 )2,( 34 )1,( 35 )3,( 36 )4""","""( 33 )4,( 34 )5,( 35 )1,( 36 )8""","""( 33 )7,( 34 )8,( 35 )2,( 36 )5""","""( 33 )6,( 34 )8,( 35 )3,( 36 )4"""
31,無線LANにおいてアクセスポイントと端末間の通信内容を暗号化する機能はどれか。番号を解答記入欄( 37 )にマークしなさい。,ESSID,HTTPS,NAPT,RFID,WPA
32,JIS TR Q0008:2003で定められたリスクマネジメントにおけるリスク対応に含まれないのはどれか。番号を解答記入欄( 38 )にマークしなさい。,リスクの保有,リスクの受容,リスクの回避,リスクの移転,リスクの最適化
33,情報セキュリティを構成する要素の組み合わせで適切なのはどれか。番号を解答記入欄( 39 )にマークしなさい。,機能性、安全性、堅牢性,機能性、完全性、可用性,機密性、網羅性、柔軟性,堅牢性、安全性、可用性,網羅性、堅牢性、可用性
34,暗号化アルゴリズムでないのはどれか。番号を解答記入欄( 40 )にマークしなさい。,AES,DES,LZW,RC5,RSA
35,公開鍵基盤(PKI)について誤っているのはどれか。番号を解答記入欄( 41 )にマークしなさい。,電子証明書の利用による改ざん検知,公開鍵で暗号化することによる盗聴防止,証明書とデジタル署名の利用による否認防止,公開鍵で暗号化することによるウイルス感染防止,証明書とデジタル署名の利用によるなりすまし防止
36,公開鍵暗号方式を用いたデジタル署名で必要となる鍵の組み合わせはどれか。番号を解答記入欄( 42 )にマークしなさい。,送信者の公開鍵と受信者の秘密鍵,送信者の公開鍵と送信者の秘密鍵,送信者の公開鍵と受信者の公開鍵,受信者の公開鍵と受信者の秘密鍵,受信者の公開鍵と送信者の秘密鍵
37,情報システムに対する攻撃でないのはどれか。番号を解答記入欄( 43 )にマークしなさい。,DDos,フィッシング,ポートスキャン,パスワードクラック,バッファオーバーフロー
38,次のネットワーク図において、ノード①からノード⑥に至る工程の所要日数は何日か。番号を解答記入欄( 44 )にマークしなさい。,15日,16日,17日,18日,19日
39,一連の工程においてボトルネックの発見に適しているのはどれか。番号を解答記入欄( 45 )にマークしなさい。,PERT,管理図,ABC分析,パレート図,ガントチャート
40,システム開発における要求分析作業でないのはどれか。番号を解答記入欄( 46 )にマークしなさい。,要求事項の文書化,既存システムの確認,マスタテープルの作成,ハードウェア性能の検討,業務現場でのヒアリング調査
41,システムテストに含まれないのはどれか。番号を解答記入欄( 47 )にマークしなさい。,耐久性の確認,復旧手順の確認,スルーブット等の確認,モジュール間の連携の確認,ユーザインターフェースの確認
42,UML(Unified Modeling Language)の図(ダイアグラム)の説明で正しいのはどれか。番号を解答記入欄( 48 )にマークしなさい。,シーケンス図 ― 相互作用の作用,複合構造図 ― コンポーネント間の関係,アクティビティ図 ― 作業プロセスの流れ,コンポーネント図 ― コンポーネントの物理的配置,相互作用概要図 ― システムの機能と外部環境の関係
43,指定したホストまでの到達経路と中継時間を表示するUNIXのコマンドはどれか。番号を解答記入欄( 49 )にマークしなさい。,ping,route,telnet,nslookup,traceroute
44,クライアント・サーバシステムのクライアントプログラムのプル型更新について正しいのはどれか。番号を解答記入欄( 50 )にマークしなさい。,定期的に自動更新される。,システム管理者が実行する。,更新中は各種サービスが停止する。,ユーザ操作によって更新が実行される。,全てのクライアントPCが確実に更新される。
45,下の図は、イーサネットによってLANに接続しているホストで、Windowsのネットワーク情報を表示するコマンドを実行した画面である。この環境において、このホストが所属するネットワークのネットワークアドレスはどれか。番号を解答記入欄( 51 )にマークしなさい。,192.168.0.0,192.168.11.0,192.168.11.1,192.168.11.2,192.168.11.255
46,パスワードの管理のうち、適切でないのはどれか。番号を解答記入欄( 52 )にマークしなさい。,複数システムに同一のパスワードを設定する。,パスワードは意味のある単語だけで作らない。,パスワード漏えいに関堡なく定期的に変更する。,覚えにくいパスワードても紙に書いて貼らない。,同一業務のグループ内でパスワードは共有しない。
47,障害と対策の組み合わせのうち、有効でないのはどれか。番号を解答記入欄( 53 )にマークしなさい。,電源ユニットの故障 ― UPSの設置,ネットワークの通信障害 ― 通信経路の二重化,ファイルの誤消去 ― ファイル復元ソフトウェアの導入,ハードディスクの故障 ― ハードディスクのミラーリング,コンピュータウイルスの蔓延 ― ウイルス対策ソフトウェアの導入
48,システムの重要な一部分を二重化し、一方が停止しても最小限の稼働を継続できる設計はどれか。番号を解答記入欄( 54 )にマークしなさい。,フェールセーフ,フェールソフト,フールプルーフ,ホットスタンバイ,フォールバック運転
49,次の文の(　)内に入る用語を下の語群から選び、番号を解答記入欄( 55 )~( 56 )にマークしなさい。,"""( 55 )4,( 56 )1""","""( 55 )5,( 56 )3""","""( 55 )4,( 56 )7""","""( 55 )6,( 56 )7""","""( 55 )2,( 56 )8"""
50,"""連続稼動している情報システムが1,000時間に1度、定期保守で3時間停止する。前回の保守から1,000時間経過する間に、定期保守以外で5時間のシステム停止が発生した。このシステムの稼働率は何%となるか。番号を解答記入欄( 57 )にマークしなさい。""",98.90%,99.20%,99.50%,99.70%,99.90%
