2010IS,問題文,選択肢,,,,
36,システム障害の対応として誤っているのはどれか。番号を解答記入欄( 36 )にマークしなさい。,診療への影響判断のための情報収集を行う。,伝票運用への切り替えの基準を予め決める。,システムが完全に復旧するまで診療業務を停止する。,データを元に戻すための基本作業をマニュアル化する。,システムを復旧させる前にデータの欠損がないことを確認する。
37,医療情報システムの運用を行う医療情報技師の役割のうち、誤っているのはどれか。番号を解答記入欄( 37 )にマークしなさい。,障害発生時の障害切り分け手順をベンダと協議の上決定する。,障害発生時の院内連絡体制・べンダ連絡ルートを明確にする。,各種マスタの変更を行う際は、その都度べンダの許可を得る。,ハードウェアの維持管理だけでなくソフトウェアの維持管理も行う。,障害発生時、診療業務への影響を最小限に抑えるよう連絡・指示・復旧を行う。
38,外来採血室より「ある特定の検査オーダについて、検査システムへ依頼情報が送信されず採血管貼り付け用のラベルが印刷されないため、検査ができない。」という連絡があった。医療情報部門の障害対応のうち、緊急度が低いのはどれか。番号を解答記入欄( 38 )にマークしなさい。,テスト患者に同一のオーダを発行して採血管ラベルが出力されるか確認する。,当該検査オーダが未実施の患者の一覧を作成し、診療科および採血室に周知する。,当該検査オーダについて、各システムのマスタの設定内容および更新履歴を確認する。,医事会計システムで、その患者に当該検査オーダの会計情報が送信されているか確認する。,当該検査オーダについて、オーダ運用をやめ、紙運用で依頼・実施・会計処理を行うよう部門調整する。
39,利用者の識別および認証について誤っているのはどれか。番号を解答記入欄( 39 )にマークしなさい。,情報システム内では、パスワードは暗号化する。,退職した職員のIDでログインできるようにしておく。,利用者がIDとパスワードを書いた紙をパソコンに貼ることを禁止する。,委託業者による代行作業の際には、病院職員のID・パスワードを使用させる。,アクセスの記録(アクセスログ)を収集し、定期的にその内容をチェックする。
40,電子力ルテシステムのレスポンスが徐々に悪くなってきた。レスポンスをよくするのに有効でない対応はどれか。番号を解答記入欄( 40 )にマークしなさい。,SQL文の見直し,端末のメモリ増設,サーバのメモリ増強,マスタファイルの入れ替え,サーバのデータベース領域の拡張
41,レセプトオンライン請求システムについて誤っているのはどれか。番号を解答記入欄( 41 )に2つマークしなさい。,月毎に決められた請求期日がなく、随時請求することができる。,ネットワーク上のなりすまし防止のため電子証明書の取得が必要である。,受付・事務点検ASPにより事務的な誤りをリアルタイムに確認することができる。,IPsecとIKEサービスを利用することにより通常のインターネット接続回線でも請求できる。,医療機関と支払基金の通信経路上で障害が起こった場合、常に医療機関が管理責任を負う。
42,健診システムに必要がない機能はどれか。番号を解答記入欄( 42 )にマークしなさい。,PACSとの連携機能,XMLデータ出力機能,DPCコーディング機能,検査結果の自動判定機能,医事会計システムとの連携機能
43,削除,,,,,
44,健診システムに必要がない機能はどれか。番号を解答記入欄( 42 )にマークしなさい。,患者氏名を使わなければ匿名性が担保できる。,情報を閲覧する患者のセキュリティ知識は高い。,外部保存を委託された事業者は第三者に情報提供してよい。,患者がアクセスする際の認証IDには患者番号を利用してはならない。,外部業者と契約を締結する際には、管理責任の範囲を確認しておく必要がある。
45,遠隔医療に関する説明のうち誤っているのはどれか。番号を解答記入欄( 45 )に2つマークしなさい。,遠隔医療の目的のひとつに医療の地域格差是正があげられる。,テレカンファレンス、テレコンサルテーションも遠隔医療の一種である。,医師法第20条では医師の無診察治療等を禁止しているが、遠隔医療はこれに抵触する。,病理組織画像を遠方の病理医に伝送し、病理診断を得ることをテレラジオロジーという。,遠隔医療は、①医療機関と医療機関を繋ぐ、②医療機関と患者・個人を繋ぐ、③その他に分類される。
46,次のうち診療報が認められているのはどれか。番号を解答記入欄( 46 )に2つマークしなさい。,遠隔健康相談,遠隔病理診断,遠隔放射線診断,遠隔皮膚科診断,妊婦の遠隔モニタ
47,医療機関間の医療情報連携で検討すべき内容として優先度が低いのはどれか。番号を解答記入欄( 47 )にマークしなさい。,医療機関の役割分担,医療情報の参照権限,医療情報の交換手順,医療情報の連続性担保,医療情報システムの統一
48,DICOM規格について正しいのはどれか。番号を解答記入欄( 48 )にマークしなさい。,規格に則して作られた画像は、全て暗号化されている。,サービスクラスは、ユーザとプロバイダとに分けられている。,画像フォーマットは、ロスレスJPEGしか使用してはならない。,規格を満たしていなければ、医療画像として保存してはならない。,適合宣言は機器が業務に適合していることを確認する手続きである。
49,ICD-10対応標準病名マスタについて正しいのはどれか。番号を解答記入欄( 49 )にマークしなさい。,DPCコーディングのために開発されたものである。,ICD-10のダブルコーディングには対応していない。,病名にはリードタームとして登録されている用語のみを用いる。,開発当初からレセプト電算処理用のマスタとして用いられている。,病名基本テープルと修飾語テープル、索引語テープルで構成されている。
50,IHEの説明として誤っているのはどれか。番号を解答記入欄( 50 )にマークしなさい。,医療機関の要求仕様書の一部として利用できる。,アクタとは、統合プロファイルを実現する機能単位である。,DICOMやHL7などの利用方法をまとめた新しい規格である。,統合プロファイルは、相互運用性の実現に向けた業務シナリオである。,テクニカルフレームワークは、IHEの技術実装に向けて取りまとめたものである。
51,IHE統合プロファイルの検証を行うべンダが一堂に会して相互接続の検証を行うイベントはどれか。番号を解答記入欄( 51 )にマークしなさい。,コミッション,コネクタソン,コネクション,コミットメント,コンビネーション
52,患者診療情報提供書や健診データのやり取りで利用されているHL7の規格はどれか。番号を解答記入欄( 52 )にマークしなさい。,CDA,MFER,MML,MWM,XDS
53,HOT番号について誤っているのはどれか。番号を解答記入欄( 53 )にマークしなさい。,医薬品マスタに利用される。,MEDIS-DCで管理されている。,番号はシーケンシャルに付けられている。,特に記載のない限りJANコードと同じである。,既存の4つの汎用コードとの対応表を持っている。
54,トレーサビリティを確保するために個々の薬剤に表示されるのはどれか。番号を解答記入欄( 54 )にマークしなさい。,GS1-128,HOT,ICD-10,JAN,JLAC10
55,看護分野の用語の分類でないのはどれか。番号を解答記入欄( 55 )にマークしなさい。,ICNP,LONIC,NANDA,NIC,NOC
56,誤っているのはどれか。番号を解答記入欄( 56 )にマークしなさい。,病院経営分析の際は管理会計のデータを用いる。,EBMとは、最善の工ビデンスに基づいて臨床的判断を下すことである。,ランダム化比較試験(RCT)よりも、コホート研究の方が信頼度は高い。,クラスタ分析は、データ項目を類似度に基づいたまとまりにする手法である。,臨床研究の対象となる患者を見つけだすことをケースファインディングという。
57,データマイニングに関する説明として適切なのはどれか。番号を解答記入欄( 57 )にマークしなさい。,多次元分析をするための機能の集合体である。,情報を利用するために予め集計処理などを施すことである。,大量に蓄積されているデータから法則などを探し出すことである。,データ分析などを主目的として基幹データベースとは別に作成される。,部門別データやサマリデータなどから目的別にデータを切り出すことである。
58,"""ある病院の内科の医療収入は月に4,000万円であった。固定費は3,000万円、変動費は2,000万円の場合、損益分岐点の医療収入はいくらか。番号を解答記入欄( 58 )にマークしなさい。""","""5,000万円""","""6,000万円""","""7,000万円""","""8,000万円""","""9,000万円"""
59,地域がん登録について誤っているのはどれか。番号を解答記入欄( 59 )にマークしなさい。,都道府県ごとに集計する。,目的は各種がんの罹患率や生存率の把握である。,最終的に一人の患者が二度登録されることはない。,生存を確認するため、死亡票などの照会が必要である。,院内がん登録がされていないとがん拠点病院にはなれない。
60,医療情報担当責任者として不適切なのはどれか。番号を解答記入欄( 60 )にマークしなさい。,社会における医療情報の役割について自分の意見を持つ。,システムの障害発生に際して、即時に判断して実行する。,最新の情報処理技術を未評価で病院情報システムに取り込む。,システムの選択に当たっては数年先まで使うことを配慮する。,電子カルテシステムの障害に際して、患者の安全を最優先する。
