2011JS,問題文,選択肢,,,,,
28,データモデルについて誤っているのはどれか。番号を解答記入欄( 29 )にマークしなさい。,物理モデルはDBMSに依存しない。,階層モデルは論理モデルのひとつである。,関係モデルは論理モデルのひとつである。,ERモデルは代表的な概念モデルのひとつである。,論理モデルは、概念モデルをコンピュータで扱うための表現形式である。,
29,データベースの性能指標のうち、値が大きいほど性能がよいのはどれか。番号を解答記入欄( 30 )にマークしなさい。,応答時間,ヒット率,ロック待ち時間,入出力待ち時間,データ移送時間,
30,データベースのメディア障害の復旧で使用するファイルはどれか。番号を解答記入欄( 31 )にマークしなさい。,ログファイル,コミットファイル,ロールバックファイル,チェックポイントファイル,トランザクションファイル,
31,利用者認証技術について誤っているのはどれか。番号を解答記入欄( 32 )にマークしなさい。,生体認証は、認証の登録作業に比較的時間がかかる。,ICカード認証では、パスワードなしで安全に運用できる。,ワンタイムパスワード認証は、1回きりでパスワードが失効する。,パスワード認証では、定期的にパスワードを変更することが望ましい。,チャレンジ/レスポンス認証は、認証時の盗聴による不正アクセスができない。,
32,情報セキュリテイの要素の説明で誤っているのはどれか。番号を解答記入欄( 33 )にマークしなさい。,信頼性 : 書き換え、混同がないことを保証すること,完全性 : 情報が正確で完全であることを保証すること,機密性 : 許可されたものだけが情報にアクセスできること,可用性 : 許可されたものが必要なときに情報にアクセスできること,否認防止 : 文書を作成または承認したことを後で否認できないこと,
33,無線LANのセキュリティを高めるのに効果がないのはどれか。番号を解答記入欄( 34 )にマークしなさい。,IEEE802.1x認証を用いる。,WPA2を用いる設定にする。,IEEE802.11nのみを利用する。,MACアドレスによるアクセス制限をする。,SSIDを公開しないステルスモードにする。,
34,公開鍵を用いた暗号化通信で必要となる鍵の組み合わせはどれか。番号を解答記入欄( 35 )にマークしなさい。,送信者の公開鍵と受信者の秘密鍵,送信者の公開鍵と送信者の秘密鍵,送信者の公開鍵と受信者の公開鍵,受信者の公開鍵と受信者の秘密鍵,受信者の公開鍵と送信者の秘密鍵,
35,公開鍵基盤について、図中の(　)に当てはまる語句を語群から選び、番号を解答記入欄( 36 )～( 37 )にマークしなさい。,"""( 36 )3,( 37 )8""","""( 36 )1,( 37 )5""","""( 36 )2,( 37 )6""","""( 36 )1,( 37 )7""","""( 36 )4,( 37 )8""",
36,インターネットでサービス要求を大量に送りつける悪意のある行為はどれか。番号を解答記入欄( 38 )にマークしなさい。,Dos攻撃,バッファオーバーフロー,パケットモニタリング,SQLインジェクション,クロスサイトスクリプティング,
37,セキュアな情報通信技術でないのはどれか。番号を解答記入欄( 39 )にマークしなさい。,PGP,SSL,SNMP,HTTPS,S/MINE,
38,ウォータフォールモデルによる開発工程の正しい順序はどれか。番号を解答記入欄 ( 40 )にマークしなさい。,要求分析→テスト→システム設計→プログラム設計→プログラミング,要求分析→システム設計→テスト→プログラム設計→プログラミング,要求分析→システム設計→プログラム設計→プログラミング→テスト,要求分析→プログラミング→テスト→システム設計→プログラム設計,要求分析→プログラム設計→プログラミング→テスト→システム設計,
39,ウォータフォールモデルの説明で正しいのはどれか。番号を解答記入欄( 41 )にマークしなさい。,ユーザは早い段階でサブシステムを利用できる。,システム内部構造や機能のモデル化が容易となる。,逆戻りがないように、各工程の段階でレビューを行う。,完成させる文書類が少なく、手間と時間がかからない。,システムに対して早期に具体的イメージをもつことができる。,
40,PDCAサイクルの内容に含まれないのはどれか。番号を解答記入欄( 42 )にマークしなさい。,計画,運用,習熱,評価,改善,
41,UMLにおいてシステムの機能と外部環境の関係を表した図はどれか。番号を解答記入欄( 43 )にマークしなさい。,シーケンス図,ユースケース図,オブジェクト図,アクティビティ図,コミュニケーション図,
42,システム開発プロジェクトの日程計画の際に、クリテイカルパスが表しているのは何か。番号を解答記入欄( 44 )にマークしなさい。,個別の作業品質,全体的な作業進捗,各作業の相互依存関係,もっとも効率の悪い作業工程,もっとも時間のかかる作業工程,
43,ネットワーク通信の性能を表す指標として正しいのはどれか。番号を解答記入欄( 45 )にマークしなさい。,積算伝送量,疥癬利用率,スワッピング数,トランザクション件数,ターンアラウンドタイム,
44,端末のネットワークの設定値を確認するコマンドはどれか。番号を解答記入欄( 46 )にマークしなさい。,ping,telnet,nslookup,ipconfig(ifconfig),tracert(traceroute),
45,パスワードの設定・管理の方法として適切でないのはどれか。番号を解答記入欄( 47 )にマークしなさい。,8文字以上にする。,定期的に変更する。,辞書にない文字列にする。,初期パスワードを維持する。,英数字、記号を一定数以上使う。,
46,操作ミスを起こしにくくする対策はどれか。番号を解答記入欄( 48 )にマークしなさい。,アクセス制御,フェイルソフト設計,フェイルセーフ設計,フールプルーフ設計,セキュリテイホール対策,
47,コンピュータウイルスの感染経路とならないのはどれか。番号を解答記入欄( 49 )にマークしなさい。,電子メール,USBメモリ,Webサイト,イメージスキャナ,ファイル共有ソフト,
48,"""稼働率が95.5%、MTBFが9,550時間であるシステムの10,000時間あたりの停止している時間は何時間となるか。番号を解答記入欄( 50 )にマークしなさい。""",100時間,450時間,546時間,"""9,454時間""","""9,550時間""",
49,信頼性評価指標RASISに含まれないのはどれか。番号を解答記入欄 ( 51 )にマークしなさい。,Reliability,Availability,Serviceability,Integrity,Scalability,
50,情報システムのサービス水準評価指標はどれか。番号を解答記入欄( 52 )にマークしなさい。,故障回数,輻輳回数,スループット,メモリ使用率,平均修復時間,
