2011II,解答,解説
21,5,前立腺は男性のみに存在し、精液の成分となる前立腺液を分泌する泌尿・生殖系の臓器である。1)塩酸や消化酵素ペプシンを分泌し、タンパク質を消化する消化器系の臓器である。2)鼻腔、日腔、喉頭と食道の間にある食物と空気の通路となる部分である。3)脂肪の消化に重要な働きをする胆汁を貯蔵・濃縮する消化器系の臓器である。4)タンパク質分解酵素キモトリプシンやトリプシン、炭水化物分解に働くアミラーゼ、脂質分解に働くリパーゼなどを含む膵液を分泌する消化器系の臓器である。
22,5,潰瘍性大腸炎は、大腸粘膜に潰瘍やびらん(ただれ)ができる原因不明の疾患で、自己免疫反応の異常が発症に関係していると考えられている。1)結核菌による肺の感染症である。2)細菌の感染による骨髄の炎症である。3)A型肝炎ウイルスによる感染症である。4)細菌の感染による腎実質、腎孟、腎杯の炎症である。
23,4,ノロウイルスは二枚貝などによる食中毒の原因である。1)ヘリコバクター・ピロリ感染は胃がん発がん原因の1つである。2)特定の型のヒトパピローマ(ヒト乳頭腫)ウイルスは子宮頸がん発生に関与すると推測されている。3)C型肝炎ウイルス感染で慢性肝炎を起こした患者の一部は肝硬変、肝細胞がんへと進行する。5)若年期に多量のアスベストを吸入した者は悪性中皮腫になりやすいことが知られている。
24,3.4,脳血管障害とは、頭蓋内の血管の異常により脳の組織が障害される疾患を指し、脳動脈の閉塞によって脳組織の壊死を生ずる脳梗塞(脳血栓、脳塞栓)、動脈の破綻により脳実質内に出血して血腫を形成する脳出血、脳表の血管(動月′R瘤等)が破綻してくも膜下腔(脳の外側)に出血するくも膜下出血などが代表的な疾患である。3)てんかんは脳の異常な神経活動により痙攣や意識障害の発作を繰り返す疾患で、脳血管障害の後遺症として発症することはあるが、直接の因果関係はない。4)脳腫瘍は頭蓋内組織から発生する良性、悪性の新生物であり、脳血管障害ではない。
25,2,看護師の行う医療行為は、医師の指示に基づいて行われ、かつ一部の医療行為に限られる。医療行為は、医師の業務独占であり、医師法第17条に医師でなければ、医業をなしてはならないと規定されている。1)および3)～5)は、看護業務基準(日本看護協会)に規定されている。
26,3,DUPAN2は膵がん、胆道がん、肝細胞がん等で上昇する。腫瘍マーカとは、がんを発症したときに血中濃度が上昇する物質の総称で、1)、2)、4)、5)は代表的な腫瘍マーカとその原因疾患の正しい組み合わせである。
27,2,尿酸は、痛風や腎障害の原因となる高尿酸血症の診断・治療のために測定される。1)CRPは炎症の強さに相関して血中濃度が増減するタンパク質で、主に肺炎等の細菌感染症の診断や治療効果の判定に用いられる。3)腎1′歳は肺とともに血液のpHを調節している臓器で、腎疾患では代謝性アシドーシスを生ずる場合があるため、血液ガス測定により酸・塩基平衡の状態評価を行う。4)溶血性疾患では赤血球の過剰な破壊により血中のビリルビンの増加が起こる。5)急性膵炎では膵臓の自己消化によりアミラーゼが血中に逸脱する。
28,4,ホルター心電図検査は、不整脈や虚血性心疾患の診断のために長時間の心電図を記録するもので、主に内科(循環器科)で行われる。1)筋電図検査は、ALSや筋ジストロフイーなどの神経筋疾患の診断のために神経内科で行われる。2)前立腺の触診は、前立腺の肥大やがんの診断のために泌尿器科で行われる。3)平衡機能検査は、めまいの診療時に内耳機能の評価を目的として耳鼻咽喉科で行われる。5)細隙灯顕微鏡検査は、眼球の各部分を観察するために眼科で行われる。
29,5,細胞診検査は、喀痰や腔分泌物等を染色して顕微鏡で観察する検査で、主に悪性腫瘍の診断のために行われる病理検査の一種である。生理機能検査は、患者の体に電極や各種センサーを装着して体内の臓器の機能を測定する検査であり、脳波検査、心電図検査、肺機能検査、筋電図検査は代表的なものである。
30,2,心電図は心筋の電気的な活動を体表面の電位変化として測定する検査で、心臓の各部分に由来する起電力の強さや分布、興奮伝導の時間的推移を知ることができる。心臓の興奮の発生、伝導の異常である不整脈は、持続性であれば安静時の心電図のみで診断可能である。3)狭心症は発作中には心電図のST異常を伴うが、発作は通常安静により治まるため、安静時心電図のみでは診断できないことが多い。1)、4)、5)の疾患ではなんらかの心電図異常を伴う場合が多いが、特異性に乏しく、通常は超音波検査などの画像により診断される。
31,2,超音波検査は、人体組織の性状(より正確には音響インピーダンス)の違う場所で超音波が反射することを利用して画像化する検査である。液体や均一な組織の臓器では反射は少なく、超音波検査に適している。空気と組織の間ではほとんどが反射され、そこより先には届かないため、肺、胃腸など空気を含む臓器では臓器内部の検査ができない。1)眼、3)心臓、4)乳房、5)甲状腺はいずれも超音波検査が有用である。
32,2,検査法と検査する臓器の組み合わせを問う問題である。経鼻内視鏡は上部消化管内視鏡であるが、従来の経国内視鏡よりもスコープ径が細く、鼻から挿入できるようにしたものであり、副鼻腔を見るものではない。1)仮想内視鏡はマルチスライスCTで大腸内を3次元再構成するものである。3)、4)は経目的に超音波探触子を体内に入れて検査するものである。5)は超小型電子カメラと照明および無線送信機能を備えたカプセルを使用し、通常の内視鏡が届かない小腸を検査するものである。
33,2.4,処方せんに記載しなければならない項目は、医師法施行規則第21条に「患者の氏名、年齢、薬名、分量、用法・用量、発行の年月日、使用期間および病院もくは診療所の名称および所在地または医師の住所を記載し、記名押印または署名」しなければならないことが定められている。患者の住所や連絡先は診療録に記載されるが、処方せんには記載不要である。5)は保険医療機関および保険医療養担当規則第23条の処方せん様式2号の記載事項である。
34,3,鼻腔栄養は栄養処置に分類される。1)穿刺は、腹腔穿刺、胸腔穿刺、骨髄穿刺など、多くのものが一般処置に含まれる。2)創傷処置は一般処置に分類される。4)熱傷処置は、創傷処置(一般処置)に分類される。5)酸素吸入は一般処置として扱われる。
35,3,1)QRコードはわが国で2次元バーコードとして開発され、使用できる情報量は、1次元バーコードに比べ飛躍的に増加した。医薬品への使用に関する規制はない。2)HOTは(財)医療情報システム開発センターが標準医薬品マスター(通称:HOT)として既存の4コード(①薬価基準収載医薬品コード、②個別医薬品コード、③JANコード、④レセプト電算処理コード)を活用するために開発した。4)、5)バーコードは、商品に印刷されている13桁の国際共通商品コードである。わが国のバーコード規格をJANコードと呼ぶ。
36,4,ステロイド製剤とは、副腎皮質ホルモンの成分である糖質コルチコイドを化学的に合成した薬剤のことで、抗炎症作用、免疫抑制作用などがある。1)～3)、5)「血液製剤」とは、厚生労働省令によって、人血漿その他の人体から採取された血液を原料として製造される医薬品であると定められている。1.輸血用血液製剤として、(1)血漿製剤、(2)赤血球製剤、(3)血小板製剤、(4)全血製剤、2.血漿分画製剤として、(1)血液凝固因子製剤、(2)免疫グロブリン製剤、(3)アルブミン製剤などがある。
37,1,1VRはinterventional radiologyの略で、X線透視や超音波像、CT等を見ながら体内にカテーテルや針を入れて行う治療であり、放射線そのものを治療に用いる放射線治療とは異なる。代表的なものには腫瘍塞栓術がある。2)は食道、腔、子宮内等、4)は腫瘍内に密封線源を入れて照射治療する。3)は直線加速器のことで、高エネルギー放射線を発生させて照射治療する。5)は精密に病変部を照射できるようにした治療装置で脳腫瘍の放射線治療(定位放射線治療)に用いる。
38,1.5,腎不全や糖尿病に対してもリハビリテーションが行われる場合があるが、下記疾患のような直接的な効果を期待するものではない。2)神経疾患などによる嘩下障害では、誤哄を防ぐために言語聴覚士による摂食・哄下リハビリテーションが行われる。3)心筋梗塞では、運動耐容能の改善や再発予防を目的として心臓リハビリテーションが行われる。4)慢性閉塞性肺疾患(COPD)では、効率的な呼吸法の訓練を目的として呼吸リハビリテーションが行われる。
39,3.4,ホルター心電図は24時間の心電図波形を記録し、その後不整脈や心筋虚血の発作の有無、頻度や自党症状との関係を解析して報告書を作成するため、検査当日には結果は報告できない。また、細菌感受性検査は、喀痰などの検体を培養して起炎菌を同定した後に、その菌の抗菌薬に対する感受性を調べる検査であるため、結果報告までに数日を要する。
40,5,プロブレムリストは、POS(Problem Oriented System)に基づく問題志向型記録法(POMR)において、患者を取り巻く問題点を列挙したものである。1)～4)は、クリニカルパスの定義において、必要不可欠な要件として掲げられている。
41,3,保険者が市町村であるため、利用希望者は各自治体の窓口に要介護認定の申請を行つ。1)40歳以上の全国民に加入が義務づけられている。2)市町村が定めた基準額をもとに、所得金額に応じて算出された金額を支払うことになるので、全国一律ではない。4)居宅介護支援事業者や地域支援センターに所属するケアマネージャーがケアプランを作成する。5)介護認定審査会は、保健・医療・福祉に関する専門家7人程度で構成される。
42,4,診療ガイドラインとは、特定の臨床状況のもとで適切な判断を下せるよう支援する目的で体系的に作成された文書であり、施設間格差の解消に寄与する。1)必ずしも世界共通のものではない。2)医療者用、患者用に準備されているガイドラインもあり、患者も積極的に医療に参加することが望まれている。3)EBM(根拠に基づく医療)が診療ガイドラインの基本である。5)診療を行う上で従うことが義務ではなく、意思決定を支援するものとして、医師と患者の双方が十分に理解する必要がある。
43,4,Weed博士によって開発されたPOSに基づくPOMRは、SOAP形式で表現することによってオーデイット(監査)をやりやすくすることを目指したものである。したがって診療録の電子化とは直接の関連はない。1)～3)および5)は、認定病院患者安全推進協議会が示した「医療記録の記載指針V.6.0」に規定されている。
44,3,看護サマリは、看護記録および診療情報の取り扱いに関する指針(日本看護協会2005年)の看護記録の構成要素において、「看護を必要とする人の経過、情報を要約したものであり、必要に応じて作成する。」と規定されている。2)、4)、5)は、同指針において、看護記録の構成要素の必須要件となっている。1)は、すべての医療スタッフが記載して利用する記録であるが、バイタルサイン等、看護ケアによって得られる情報が数多く記載されるため、看護業務のなかで重要な位置を占める記録である。
45,3,採血患者数は、看護管理上必要な情報とはいえず、通常は記載されない。1)、2)、4)、5)病棟管理日誌は、病棟および看護体制の1日単位の日誌記録である。したがって、看護管理に必要な病棟毎の患者移動(入退院、外泊外出等)、看護度や救護区分別の在床患者数、各勤務帯の看護職員の勤務状況を主に記載する。
46,1.5,診療録は、医師法により5年間の保存が規定されている。助産録についても、診療録と同様に5年間の保存が保健師助産師看護師法(第42条)により規定されている。2)、4)診療諸記録は、医療法施行規則(第22条の3)により2年間の保管が規定されている。3)調剤録は、薬剤師法により薬局開設者に対して3年間の保存が規定されている。
47,3,標準偏差は、2)、4)、1)で定義される平均値のまわりのデータのばらつきの大きさを表す指標で、ばらつきが大きいほど値は大きくなる。
48,1,尺度とは変数の型のことであり、順序付けられない複数のカテゴリーであらわされる名義(分類)尺度、順序付けられた複数のカテゴリーであらわされる順序尺度、各スケールの間隔が等しい間隔尺度や、一般的な物理量のように絶対的な基準値として0点が存在して加減乗除が可能な比率(比例)尺度などがある。
49,1.2,正規分布は単峰性の対称性分布のため、平均値、最頻値、中央値は一致する。3)パーセンタイル値は、データを昇順にソートし、指定された番号のデータの値(データ数が100個で5パーセンタイルならば20番目)である。データ度数がもっとも多い値は最頻値である。4)100は偶数のため100個のデータの中央値は昇順にソートされたデータの50番目と51番目の値の平均値として求める。5)最頻値はヒストグラムのピークとなる値であり、ヒストグラムの右端はデータの最大値である。
50,2.3,多変量解析とは多種類の独立変数を統計的に扱う手法のことで、重回帰分析、主成分分析、因子分析、判別分析などがある。1)3つ以上の群がある場合に、それぞれの群間を比較する検定手法である。4)死亡発生ごとの生存率を経時的に計算し、段階的な生存曲線を描く手法である。5)独立2群の差を比較するノンパラメトリックな検定手法である。
