2011IS,解答,解説
11,2.5,委託した医療機関は確実に情報の破棄が行われたことを確認することを求められている。また、個人情報を選択するために検索を行うので、使用した台帳や検索記録は診療情報に準ずるものである。1)委託側は処理が適正に行われたかを監査する義務を果たさなければならない。3)医療情報の管理責任は一義的には医療機関等の委託側にある。4)通常運用時において受託側は委託側と同様の責任があり、医療情報処理に関わる文書を提出可能な状態におき、定期的な各種監査の実施、報告も必要である。
12,2,地域がん登録は、決められた項目の情報を地域がん登録のセンター施設に提出するのであって、診療報酬とは関係がない。1)診療報酬計算上不可欠な情報である。3)～5)それぞれオーダ内容に応じた診療報酬が発生するので医事会計システムに情報を伝達する必要がある。
13,1,感染症情報は患者および医療従事者の感染を予防するために必要である。処方オーダは薬剤部門および医事会計部門に伝達する必要があるが、これらの部署が患者の血液や組織等と直接接触する機会は通常はない。2)～5)患者から得られた血液や組織、その他検体等と直接接する機会がある部署が関係するオーダであり、感染症情報が必要である。
14,3.4,大規模な機械設備や専用の検査室を必要とする検査は中央診療部門に集約するのが通例である。一方、緊急性などの観点から病室などで頻繁に行われる検査がある。心電図検査や超音波検査は緊急時などに病室や外来などで頻繁に行われる検査である。1)脳波検査は微弱な信号を扱うので厳重なシールドが必要であり、専用の検査室で行うのが通例である。2)、5)MRI検査やPET―CT検査は大規模な設備が必要で、通常の病室で行われることはない。
15,1.3,注射オーダ、入院処方オーダは、薬剤部門でオーダを受けて必要な調剤を行い、処置室や病室などで注射や投薬が実施される。したがって、オーダを受ける部署と最終実施部署が異なるのが通例である。2)手術オーダは手術部門が受け、手術部門が手術を実施する。4)病理検査オーダ、5)検体検査オーダは各検査部門がオーダを受け、各部門が検査を実施する。
16,3,単純撮影は検査時間が短いため、予約なし検査やオープン予約枠で制限を999人などとして運用するのが通例である。1)入院処方は、患者の状態変化や検査の都合などで処方オーダの指示通りに投薬されるとは限らず、運用が複雑になる。2)手術後の組織診断は重要な病理検査である。4)検査結果を迅速に患者に還元し、患者の利益とするために平成20年度の診療報酬改定で導入された。5)輸血製剤と患者血液の交差適合試験を輸血ごとに行う必要があるので、そのための採血を同時にオーダできるようにする場合が多い。
17,2,処方監査は、医師の処方した薬剤が適切かどうか、薬剤師が処方せんを確認することである。薬剤部門で行う構成とする場合とオーダ側で構成する場合とがある。選択肢に挙げられたシステムの中で処方監査の機能を備えるのにもっとも適切なのは薬剤部門システムである。
18,3,インスリンは患者が自己注射するので、次回来院までの間に必要となるインスリンを渡す必要があり、処方せんで内服薬などと同様に扱われる。1)ある報告では、2文字での検索では36%である商標特定率が、3文字では85%まで向上するとされている。2)注射を実施する際に中止や変更が頻繁に発生するので、確定の作業が不可欠である。4)処方せんの記載方法にばらつきがあり、標準化が検討されている。保険医療機関および保険医療養担当規則では、1日分量、1回当たりの服用量、1日当たりの服用回数の記載が求められている。5)特定生物由来製品は使用記録を20年以上保管することが求められている。
19,1.5,検体が到着すると検査項目に対するデータ入カエリアの作成、搬送システムや分析装置への依頼情報の送信などを行う必要があり、検体到着処理を行わなければ検査を実施できない。また、特殊な検査は外注するのが通例である。2)検体検査には結果がグラフや画像となるものがある。3)用手法で確認検査を行う場合などがある。4)検査方法や検査機器、試薬などの変更により基準値は変わりうる。
20,1.5,生理機能検査には、脳波のように一定の時間を要する検査があり、予約システムとの連携が重要になる。また、各端末に画像や波形ビューワを実装して、検査結果を参照できるシステムが増えている。2)心電図は不整脈があると検査時間が延長することがあり、データ量は一定ではない。3)検査結果は数値や画像データだけではなく、心電図のような波形データもある。4)検査が実施される場所は、患者の状態等によリベッドサイドに変更されることがある。
21,3,オーダされた内容とは別に特殊染色が加わることがある。1)臓器ごと部位ごとに複数の標本が作られるため、オーダ時点では標本枚数は決まらない。2)1オーダに対して臓器ごと部位ごとに複数の検体があるため、ラベル枚数はオーダにより異なる。4)オーダ情報と報告書の他に標本の画像がある。5)手術中に迅速病理検査が行われるため、即時に結果を返すことを考慮する必要がある。
22,5,使用する造影剤 に対するアレルギーの有 無、腎機能情報 を把握することは、アレル ギーによるショック、腎機能障害への対処 方法等、検査 を安全に行 う目的 として必要 な情報である。 1)検査 に付随す る手技、加算行為、薬 剤、造影剤、材料 (医 療器材)の 登録がで きる。 2)検 査 にはクローズ予約の他 にオープ ン予約、あるいは予約なしがあ り、検査機 器や各施設での運用形態 によ り様 々であ る。 3)部 門システムでの放射線被|:暴 管理は、 検査を受ける患者が対象であ り、職員の被 曝管理は別管理である。 4)X線 TV検査、CT、 MR、 US、 核 医 学画像など 1オ ーダで多数の画像が発生す る。
23,2.4,看護職員管理システムは、看護職員の履歴管理等を行うことにより、看護管理の一部である人事管理を支援するシステムである。また、看護勤務管理システムは、看護職員の勤務情報を管理することにより、看護管理の一部である人事管理を支援する。1)与薬管理システムは、処方オーダの実施に位置づけられるシステムである。3)物品物流管理システムは、看護職以外も利用するシステムであり、物品物流管理システムとして独立して存在する。5)看護ワークシートは、看護実践のための作業メモであり、看護管理を支援するシステムではない。
24,4,内服薬は払い出し時に実施扱いとなることが一般的であったが、誤薬防止や内服の変更指示に対応する薬歴管理の観点から、実施入力機能が必要である。1)誰が実施したのかを記録することは、どのオーダについても必要である。2)保清等の日常生活援助も看護の実施記録として実施入力が必要である。3)輸血は、実施後のアレルギー等の副作用が重篤な場合があり、事後の確認が必要な行為である。5)ベッドサイドで投与前にオーダ、患者、薬剤の3点を確認することにより、投与間違いを防ぐことが可能である。
25,4,看護用語の標準化が遅れたために、看護記録の電子化が進まなかった経緯がある。1)看護記録は、診療記録の一部であり、SOAPで記載することが望ましい。2)看護過程は、アセスメント、計画、実施、評価のサイクルからなる。なお、看護診断はアセスメントの一部である。3)看護記録は、計画に基づいて実施した結果を記載するので、医師の記述と異なり、看護診断、看護計画という部分がある。5)看護記録の電子化で、最初に電子化された部分がバイタルサイン等をグラフにしたフローシートである。
26,4,歯科・口腔外科領域のシステムには一般医科向けのシステムにはない特徴があり、それに関する知識を問う問題である。生理機能検査は通常検査部で行われるため、担当医の予約と連携させる必要はない。1)歯周組織検査は保険で認められた検査であり、各診療科で実施されることから、医事システムとの連携が必要である。2)歯が喪われた後には、義歯など当該部位に補綴装置が作られるため、それらに関連した病名をつける必要がある。3)歯周炎あるいは複数歯のう蝕などでは、複数の部位から目的部位を選択した撮影依頼が、日常臨床でしばしば行われている。5)歯科技工物には貴金属が使われるケースが多々あり、物流システムと連携させる機能が必要である。
27,2,物流管理システムの対象について、滅菌との関連を問う問題である。問題文にあるように、医療材料は再生滅菌材料、使い捨て滅菌材料、そして非滅菌材料の3つに分けられる。再生滅菌器材はピンセットや持針器などの金属製器材がその例で、これらは付着した血液などを専用装置で洗浄し、その後滅菌してもう一度使われる。そのため、一括管理されていることが多い。ディスポ材料のデイスポはディスポーザブルの略である。使い捨ての滅菌済み材料のうち、注射筒・注射針などのようによく使われるものは、手術部門や放射線部門で管理されている。滅菌が必要な医療材料以外に、診療室では紙タオルや手洗い用石けんなど滅菌不要の非滅菌材料も使われている。非滅菌材料は事務部門で一般物品と同様に管理されることが多い。
28,1,レセプト電算処理システムでは、院内の審査を画面上で行うことまで義務づけられてはいない。2)支払基金に送る電文に限れば、病名コードとして標準病名マスタのコードを使うが、医療機関内の病名コードとして何を使うかの制限はない。3)保険診療では診療録への記載(入力)が請求の前提であったり、同月に複数回実施しても請求は月1回に限られたりするなど、電子カルテと運動してもレセプトチェックは必要である。4)電算処理システムではフロッピーデイスクに限らず、オンライン接続で提出する方法もある。5)オンラインで送付できない場合でも、2011年時点では紙媒体を送付することができる。
29,3.5,病院業務の見直しは、病院側が主体でなければできないことである。また、病院で実際に運用する際の内容が記載された運用マニュアルは病院の現場が主体でなければならない。1)情報システムの導入は病院とベンダが協力して行うことになる。結合テストは複数のプログラムを結合して機能させるテストのことであり、ベンダが主体となる。2)データベース設計もベンダが主体となることが多い。4)操作マニュアルは開発するプログラムに関係があるのでベンダが主体となる。
30,3,各部門でスタッフが常に一人1台を使用するのであれば、スタッフの人数に応じた配置になる。実際には業務フローにより端末操作のないスタッフもいれば、1台の端末をスタッフが入れ替わり立ち替わり使用する場合、一人のスタッフが同時に複数の場所で使用するために人数以上の端末が必要な場合もあり、一概に部門スタッフ数に応じて部門端末数を決めるわけにはいかない。1)電子カルテの端末は、画像読影が必須の現場や、画像の表示が不要な受付等、業務の特性に応じて配置する必要がある。また、業務フローの関係で用務が集中するところには台数を増やす必要がある。4)受付等の作業のボトルネックにあたる端末には、予備の機器の配置が必要である。5)入力、参照など業務フローに応じて端末を配置しなければならない。
31,5,病院情報システム開発の要求分析とは、病院の現場業務を把握してその業務にシステムで対応するために必要な機能、性能を分析することで、これには現場の業務に精通している病院職員が必ず必要である。1)、3)事務長、病院管理者は必ずしもすべての現場業務を把握しているとは言えない。2)実務経験の浅い病院職員では通常の業務から外れるような事態の経験がないと考えられる。4)プログラマーも現場業務がわからなければ、開発できない。
32,2,病院情報システムを開発する際、病院側とベンダ側のコミュニケーションにおいて、生じた疑問点を早期に確認しておかなければ、システム開発後に問題になって困ることになる。1)ベンダ側、病院側で常に決定事項、問題点を共有していることである。議事録が遅いと次の段階に進めない。3)お互いの立場が尊重されず、相互理解が不十分な場合には問題を把握しにくく、開発に支障をきたすことになる。4)図、画面などの提示は理解を容易にする。5)議事録はどちらが作成してもよいが、内容を確認しておくことが重要である。
33,3,システム導入計画では、現在のすべての課題が解決されることが理想ではあるが、相反する問題も存在し、現実には困難である。2)目的を明確にすることは職員がシステム開発に参加するインセンテイブにもなるが、同時に種々の判断過程に必要である。1)、4)、5)職員の業務量、部門間の相互理解、課題や要望事項の整理も必要であ饉る。
34,2,どれをとっても関連するように思えるが、収益性の高いところに端末数を増やしても直接的に収益が増えるとは限らない。1)、4)、5)患者数、病態、職員の職種と人数は業務量を左右し、端末操作に関連すると言える。3)動線が集中するところには業務が集中するので、端末を配置すべきである。
35,1,リハーサルは、病院の実運用に類似したシナリオに基づいて行うものであり、病院側が中心になる。2)要求仕様書では機材の台数、性能等もわかるようにシステムの規模が記載される必要がある。3)最終のリハーサルでは各部門システムとの接続も確認する必要がある。4)業務の流れにそった操作説明マニュアルは業務の流れがわかっている病院側が作成することになる。5)本番稼働でトラブルが発生した場合、部分的なあるいは全体的なシステムダウンやデータ送受信の不調が、実運用時に発生する可能性があり、事前に対処法を決めていないと病院の業務に多大な支障が生じることになるので、危機マニュアルの整備が必要である。
36,1,物件管理の責任はリースではユーザ、レンタルではレンタル会社にある。2)契約期間終了後はレンタルの場合は返却、リースの場合は返却または再リースとなっているが、どちらも所有権はレンタル会社にあり、基本的には返却することになる。適正リース期間の下限は、法定耐用年数が10年未満のものは、法定耐用年数の70%以上と定められている。4)リース契約では、減価償却や固定資産税、保険契約などの事務処理やそれにともなう経費を省くことができる。5)リース料は「(物件購入金額 - 残価 + 金利 + 税金 + 保険料 + 諸手数料 + 利益)÷リース期間月数」で算出される。
37,4,システム障害への対応においては、常に患者診療への影響を勘案しつつ、迅速かつ臨機応変に判断することが求められる。一部の作業を導入ベンダに委ねることはあっても、診療に関与していない導入ベンダが、その判断を下すのは困難である。また、医療機関の説明責任という観点から見て、判断そのものをベンダに委ねるのは適切ではない。他の選択肢は、すべて運用管理上実施することが望ましい事項である。
38,1,システム障害にはさまざまな場合があるので、どのような対応が適切かはケースバイケースであり、選択肢のいずれの行動も必要となる可能性がある。ただし、何らかの行動をとる前には、それが適切と判断できるだけの状況把握を行う、という原則は常に守らねばならない。選択肢のうち、状況把握を行う行為は1)と3)であり、3)の必要性は1)の質問への回答内容に依存するので、最初にとるべき行動は1)となる。
39,1.4,2)登録ユーザ数が過大ならば、サーバの負荷は増大しうるが、そのユーザが一斉にサーバにアクセスするとは限らないため、一時的に増大する要因には該当しない。3)端末の処理能力が足りない場合は、むしろサーバヘのアクセスは緩慢になる。5)ウイルスチェックソフトの使用は、端末のCPUや、パラメータファイルを配布するサーバに、一時的に負荷をかける可能性があるが、通常は病院情報システムのサーバヘのアクセスは生じない。
40,1,UPSは充電池を備えた無停電電源装置のことで、データではなく、電源のバックアップである。電力会社から供給される商用電源に停電が起こったとき、瞬時に切り替わって電源を供給する機能を持つ。サーバや端末は、照明の明るさの変化などでは気づかない程度の、瞬間的な停電でも機能が障害される恐れがあるため、必要に応じてUPSによる安全対策を講じる。
41,3.4,ユーザが退職した時点で必要となるのは、システムのすべての機能の利用権限を停止することである。在職中に行った行為の記録は保存され、後で参照される可能性があるため、ユーザ情報を削除することは適切でない。また、ユーザ管理にはユーザ教育、あるいは不正行為の防止や摘発が含まれ、個人を特定できる情報は必須である。さらに、ウイルス感染などの緊急事態の発生時に、必要な指示を遅滞なく伝えるため、緊急時の連絡先は必須である。
42,5,労働安全衛生法に基づく健康診査(健診)は、受診者を雇用する事業者に実施が義務づけられている。一方、特定健診(特定健康診査)の実施が義務づけられているのは、対象者の加入する健康保険組合等の保険者であり、事業者ではない。特定健診固有の項目について、受診者の了承を得ないで情報を取得できるのは、健康保険組合がその目的に沿って利用する場合に限られる。
43,1,2)診療所に電子カルテを導入したとき、過去の診療録を電子化しない場合でも、紙カルテのまま併用が可能である。3)規模の大きな病院では電子カルテの導入が進んだが、操作性やコストなどがネックとなり、診療所は2割弱の普及率である(2009年12月時点、シードプランニング「2010年版電子カルテの市場動向調整劃によると16.5%)。4)電子カルテを診療録として用いる場合は、真正性。保存性・見読性の3条件を自己責任で満たす必要があるが、認可制度は設けられていない。5)インターネットに直接接続することは、システムを運用する上での必要条件ではない。また、セキュリティ上のリスクが高いことを認識しておく必要がある。
44,1.2,レセプト電算処理システムの電子レセプトには、厚生労働省の定めた規格・方式に基づくレセプト電算処理マスターコードを用いる。その病名コードはICD-10との対応づけがなされているが、ICD-10コードそのものとは異なる。また、レセプト電算処理において、電子カルテの導入を義務づける規則はない。たとえ紙カルテと伝票による運用であっても、いわゆるレセコンを使えばレセプト電算処理は可能である。
45,2,保健情報システムとは保健活動に利用されるシステムのことを言う。病診連携は病院と診療所の連携活動であり、保健活動の一面はあるものの、保健情報システムとの関連は浅い。1)特定保健指導は、特定健診と関連して行われる生活指導であり、保健活動の一環である。3)予防医学の推進と4)勤労者の健康増進は直接的な保健活動であり関連が深い。5)保健事業の事務処理は保健情報システムで構築されるべき内容である。
46,5,健診システムとは健康診断を行う際に利用されるシステムのことである。1)請求機能は健診を行った際の費用請求に必要となる。2)予約管理と3)検査結果照会は直接健康診断に必要な機能である。4)XMLデータ作成機能は特定健診・特定保健指導のデータを提出する際に必要となるXMLデータを作成する機能である。5)レセプトオンライン機能は病院。診療所の医事システムに求められる機能である。
47,1.5,十分なセキュリテイを確保することができればインターネットを利用しても問題にはならない。また、セキュリテイには技術的対策だけでなく人的対策が重要であり、セキュリテイポリシーを明確にするためにも管理規定は必須である。2)VPNはぜひ導入すべきである。3)サーバとクライアントの両方にウイルス対策が必要である。4)ネットワークからの盗み見を避けるために暗号化が望ましい。
48,1.4,遠隔画像診断を行った場合は、送信側の保険医療機関において撮影料、診断料および画像診断管理加算を算定できる。また、テレパソロジーによる病理組織迅速顕微鏡検査を行った場合に病理組織迅速顕微鏡検査を算定できる。2)、3)、5)については遠隔診療を行ったことによる加算は認められていない。
49,1,医療従事者と在宅患者の間でなされる遠隔健康管理はテレケアである。2)医師と病理専門医の間でなされる遠隔病理画像診断のことである。3)医師と放射線専門医の間でなされる遠隔放射線画像診断のことである。4)複数の医療従事者の間で行われる遠隔テレビ会議のことである。5)医療従事者と専門医の間で行われる遠隔支援のことである。
50,4,医療情報を通信する際には、2)セキュリテイと3)個人情報保護は必須の項目でもっとも優先されなければならない。放射線画像のみでは画像診断を行うことはできず、必ず臨床症状や診断情報が必要になるため、5)診療情報共有システムは重要である。画像診断には放射線画像である静止画のクオリティは必要だが、動画像通信である4)ビデオ画像のクオリテイの優先度は1)運用コストよりも低い。
51,2,グラフィカルユーザインターフェイスは、どの画面でも統一感のある画面であること、利用者が直感的に理解できるようにすること、特に指定がなくとも利用者が当たり前と思われる動作をすることが求められる。2)ある画面では「実行」、別の画面では「OK」というように場面ごとに異なる表記は混乱の元であり、同じ機能を持つボタンを複数の画面で統一するべきである。3)電子カルテシステムでは、アレルギー等の情報はどの画面でもすぐ確認できることが望ましい。
52,2,医療における用語およびコードの標準化の目的は、機関をまたがる情報の共有化・交換・統計処理である。また、標準化を図ることによってシステム開発や拡張が容易になるとともに、マスタのメンテナンスも容易になることが期待される。2)情報がコード化されるとコードを知らない部外者にはややわかりにくくなる面があるが、秘密保持を目的としているわけではない。
53,4,ICD(International Statistical Classification of Diseases and Related Health Problems)はWHOが採択した死亡や疾病のデータの体系的な記録、分析、解釈及び比較を行うための国際統計分類である。一方ICD-9-CMは、International Classification of Diseases 9th Revision Clinical Modificationの略で、ICD-9(ICD第9版)をもとに米国で作られた分類であり、疾病分類と医療行為の分類をもつ。
54,2,JAN(Japanese Article Number)コードは、日本の共通商品コードとして、流通や管理に利用されている。医療機器・材料の他、薬品に使用されているが、厚生労働省通知「保健医療情報分野の標準規格として認めるべき規格について」(2010年)には含まれていない。含まれているのは下記の規格である。医薬品HOTコードマスタ、ICD-10対応標準病名マスタ、患者診療情報提供書及び電子診療データ提供書(患者への情報提供)、診療情報提供書(電子紹介状)、IHE統合プロファイル「可11皮型医用画像」およびその運用指針、保健医療情報―医療波形フオーマットー第92001部:符号化規則、医療におけるデジタル画像と通信(DICOM)、JAHIS臨床検査データ交換規約なお本規格には、2011年12月の一部改正により、標準歯科病名マスタ、臨床検査マスタ、JAHIS放射線データ交換規約が追加された。
55,5,NANDA(北米看護診断協会 the North American Nursing Diagnosis Association)は看護診断分類等を開発して提供している。1)死因や疾病に係る国際統計分類である。2)医療情報交換等に関する規格である。3)わが国の商品コードである。4)医療用医薬品に付与した汎用番号である。
56,4,IHE(Integrating the Healthcare Enterprise)では多くの医療機関において利用できる共通のシナリオや業務フローモデルを「統合プロファイル(Integration Profile)」と呼ぶ。2)業務の機能単位は「アクタ」と呼ばれる。3)IHEの統合プロファイルを実装するためのガイドライン「テクニカルフレームワーク」を製品に実装したベンダは、接続試験会「コネクタソン」で接続が確認されると、その結果一覧が公表され、各ベンダは自己公開する。
57,1,2)VPN(Virtual Private Network)は、インターネットの通信上に、暗号化技術を用いて、仮想的な専用線を張るものである。3)XML(Extensible Markup Language)は、文書やデータの意味や構造を記述するためのマークアップ言語のひとつである。4)DPC(Diagnosis Procedure Combination)は診断群分類であり、DPC制度は診断群分類に基づく包括評価制度を指すものである。5)HTML(HyperText Markup Language)は、Webページ記述のための標準的マークアップ言語である。
58,3,医療機関が患者の同意を得ずに地域がん登録事業に個人情報を提供することについて、利用目的や第三者提供の制限の適用除外となることが、2004年1月8日付厚生労働省健康局長通知(健発第0108003号)において明示された。2)医薬品の臨床試験の実施の基準に関する省令等で定められている。
59,2,データウェアハウスには長期データが蓄積されているが、データの長期保存を目的としているわけではなく、データ活用としての分析や意思決定支援等を目的としている。データの分析や評価などの後利用においては、1)に述べられているデータ形式の統一や3)のデータ収集時点におけるデータの質の維持向上が必要である。
60,1,患者の医療保険種別そのもの(例えば、国民健康保険対象か、組合管掌健康保険対象か等)が、外来診療の待ち時間の長さに影響を与えることはない。待ち時間が長くなる要因の一部として、2)ひとつの診療科だけではなく併科受診がある、3)事前に予約をしていない、4)、5)診察前に検査をする必要がある等がある。
