2011IS,問題文,選択肢,,,,
36,リース契約とレンタル契約について誤っているのはどれか。番号を解答記入欄( 38 )にマークしなさい。,どちらとも物件の管理はユーザに責任がある。,どちらとも契約期間終了後は、物件を返却しなければならない。,適正リース期間の下限は、法定耐用年数が10年未満のものは、法定耐用年数の70%以上と定められている。,リース契約では、減価償却や固定資産税、保険契約などの事務処理やそれにともなう経費を省くことができる。,一般的にリース料は、「( 物件購入金額 - 残価 + 金利 + 税金 + 保険料 + 諸手数料 + 利益 )÷リース期間月数」で算出される。
37,病院情報システムの運用管理で適切でないのはどれか。番号を解答記入欄( 39 )にマークしなさい。,緊急連絡網を整備する。,マスタファイルの履歴管理を行う。,サーバの自動監視ツールを導入する。,システム障害の対応を導入ベンダに委ねる。,情報システム資産について正確な台帳を作る。
38,内科外来の医師から「端末が動かなくなった。」との連絡を受けた場合、最初にとるべき行動はどれか。番号を解答記入欄( 40 )にマークしなさい。,「他の端末はどうですか。」と質問する。,「端末をリセットしてみてください。」と依頼する。,外来端末に関係するサーバの稼働状況を確認する。,「伝票を使った運用に切り替えてください。」と依頼する。,「端末が動かないと報告があったので注意してください。」と全館放送をする。
39,病院情報システムのサーバの負荷が一時的に増大する要因となるのはどれか。番号を解答記入欄( 41 )に2つマークしなさい。,過大な統計検索処理,過大な登録ユーザ数,端末のCPU能力の不足,診療開始時刻での一斉患者情報参照,端末のウイルスチェックソフトの作動
40,誤っている組み合わせはどれか。番号を解答記入欄( 42 )にマークしなさい。,UPS ― データバックアップ,免震設備 ― 物理的破壊の防止,アクセスログ収集 ― 不正操作の検出,パターンファイル ― コンピュータウイルス対策,ファイアウォール ― 外部からの不正アクセス防止
41,病院情報システムでのユーザ管理について適切でないのはどれか。番号を解答記入欄( 43 )に2つマークしなさい。,患者データをダウンロードできるユーザを限定する。,実習生には特定患者の情報のみを閲覧できる権限を付与する。,ユーザが退職した際、病院情報システムのユーザ情報を削除する。,ユーザ登録申請書には、個人を特定する情報や緊急時の連絡先の記載は含めない。,初期パスワードは、ユーザが初めてシステムにログインする際に速やかに変更する。
42,労働安全衛生法に基づく健診について誤っているのはどれか。番号を解答記入欄( 44 )にマークしなさい。,海外派遣者に特有の健診項目がある。,従業員の年齢によって健診項目が異なる。,事業者に労働者の定期健診を義務づけている。,事業者は労働者に必要な面接指導を行うことが義務づけられている。,特定健診固有の項目について、事業者は受診者の了承を得ないで情報を取得できる。
43,診療所の情報システムについて正しいのはどれか。番号を解答記入欄( 45 )にマークしなさい。,厚生労働省は電子請求を推奨している。,過去の診療録を電子化しなければならない。,8割以上の診療所で電子カルテが利用されている。,電子カルテシステムには厚生労働省の認可制度がある。,電子カルテシステムはインターネットにつなぐ必要がある。
44,レセプト電算処理について誤っているのはどれか。番号を解答記入欄( 46 )に2つマークしなさい。,病名はICD-10コードである。,電子カルテの導入が必須である。,地域公費等への対応が必要である。,DPCによる請求にも対応している。,診療行為、医薬品等のコードはレセ電コードを使う。
45,保健情報システムと関連が浅いのはどれか。番号を解答記入欄( 47 )にマークしなさい。,特定保健指導,病診連携の促進,予防医学の推進,勤労者の健康増進,保健事業の事務処理の効率化
46,健診システムと関連が浅い機能はどれか。番号を解答記入欄( 48 )にマークしなさい。,請求機能,予約管理機能,検査結果照会機能,XMLデータ作成機能,レセプトオンライン機能
47,地域医療連携ネットワークのセキュリティについて誤っているのはどれか。番号を解答記入欄( 49 )に2つマークしなさい。,インターネット回線は利用すべきでない。,閉域網(IP-VPN)を採用することが望ましい。,サーバ/クライアントにウイルスの侵入を防ぐ対策が必要である。,ネットワーク上を通過するデータに暗号化の技術を採用すべきである。,技術的に十分配慮されていればセキュリティ管理規程の作成は不要である。
48,診療報酬上の加算が認められている遠隔診療はどれか。番号を解答記入欄( 50 )に2つマークしなさい。,遠隔画像診断による画像診断,遠隔心電図診断による心電図診断,遠隔患者指導による薬剤管理指導,遠隔病理診断による病理組織迅速顕微鏡検査,遠隔在宅医療による皮膚科特定疾患指導管理
49,医療従事者と患者との間で行われる遠隔医療を意味するのはどれか。番号を解答記入欄( 51 )にマークしなさい。,テレケア,テレパソロジー,テレラジオロジー,テレカンファレンス,テレコンサルテーション
50,遠隔放射線画像診断システムを構築するにあたり、もっとも堡先度が低いのはどれか。番号を解答記入欄( 52 )にマークしなさい。,運用コスト,セキュリティ,個人情報保護,ビデオ画像クオリティ,診療情報共有システム
51,電子カルテシステムのグラフィカルユーザインターフェイスについて適切でないのはどれか。番号を解答記入欄( 53 )にマークしなさい。,画面遷移をするためのボタンの位置を右下に統一した。,同じ機能を持つボタンを複数の画面で異なる表記にした。,薬剤アレルギーの有無が明瞭となるような表示を工夫した。,ラジオボタンセットには、非選択状態に戻せる仕組みを作った。,ダイアログボックスの右上にある×印のボタンはキャンセルと同じ機能とした。
52,医療における用語およびコードの標準化の目的のうち誤っているのはどれか。番号を解答記入欄( 54 )にマークしなさい。,複数施設での統計,医療者間の秘密保持,情報の誤りのない伝達,マスタ管理負荷の軽減,複数施設間での診療情報の交換
53,医療情報の標準規格について誤っているのはどれか。番号を解答記入欄( 55 )にマークしなさい。,JLAC10 : 臨床検査項目を15桁もしくは17桁で表現したものである。,Kコード : 保険請求用の手術名に割り当てた日本独自のコードである。,DICOM : 画像データの交換と画像検査の実行に必要な情報の通信規格である。,ICD - 9 - CM : WHOが作成した死亡や疾病のデータの体系的な分類である。,HOTコード : 日本病院薬剤師会とMEDIS - DCにより制定された薬剤基準マスタである。
54,「保健医療情報分野の標準規格として認めるべき規格について」(2010年)に該当しないのはどれか。番号を解答記入欄( 56 )にマークしなさい。,医薬品HOTコード,医療機器JANコード,診療情報提供書(電子紹介状),ICD - 10対応電子カルテ用標準病名マスタ,医療におけるデジタル画像と通信(DICOM)
55,次の標準化に関する用語のなかで、看護システムにもっとも関連が深いのはどれか。番号を解答記入欄( 57 )にマークしなさい。,ICD,HL7,JAN,HOT,NANDA
56,IHEで、多くの医療機関において利用できる共通のシナリオやシステム統合モデルのことを何というか。番号を解答記入欄( 58 )にマークしなさい。,プロセス,統合アクタ,コネクタソン,統合プロファイル,ワークフロー・フレームワーク
57,医療情報の交換を標準化する目的で作られた規格はどれか。番号を解答記入欄( 59 )にマークしなさい。,HL7,VPN,XML,DPC,HTML
58,病院に蓄積された診療情報の利用について誤っているのはどれか。番号を解答記入欄( 60 )にマークしなさい。,PCによる分析は病院経営に利用される。,治験のデータの保存期間は法令で定められている。,がん登録にあたっては、患者の同意を得る必要がある。,知識抽出に利用する場合は、データクリーニングが必要である。,データウェアハウスを利用して症例対照研究を行うことができる。
59,データの後利用について誤っているのはどれか。番号を解答記入欄( 61 )にマークしなさい。,データの形式を統一する必要がある。,データウェアハウスはデータの長期保存を目的としている。,日々の診療中に蓄積されるデータの質を高めなければならない。,データマイニングはデータから新たな知見を見い出す技術である。,医療情報システムのデータ分析の目的には病院経営支援も含まれる。
60,外来診療の待ち時間の長さにもっとも影響を与えないのはどれか。番号を解答記入欄( 62 )にマークしなさい。,医療保険の種別,併科受診の有無,事前予約の有無,診察前検体検査の有無,診察前放射線検査の有
