2011JS,解答,解説
31,2,1Cカードは従来の磁気カードに比べ大容量で、埋め込まれているICチップ自体に偽造やスキミングを防ぐ機能を持ち、偽造も困難である。また、保存されているデータ、リーダー/ライターとの通信時のデータはともに暗号化処理されており、不正に読み取られる可能性も少ないので、セキュリティ面でも優れているという特徴がある。しかし、利用者を特定する仕組みがなければ、盗難されたICカードがそのまま使われる可能性があるので、パスワードの併用が必要である。
32,1,情報セキュリティとは、情報や情報システムを様々な脅威から守ることである。JISの定義では、情報システムのセキュリテイ要件として、機密性(Conndentiahty)、完全性(Integrity)、可用性(Availability)の3要素が定められ、各々の頭文字をとってCIAと呼ばれている。その後、システム管理の面から真正性(Authenticity)、責任追跡性(Accountability)、信頼性(Reli―abmty)、否認防止の4つの要素が追加された。最初の3要素をまとめて組織管理の3要素(AAR)と呼んでいる。信頼性とは意図した動作および結果に一致する特性のことで、システムが一定期間、指定された条件下で要求された機能で動作する能力である。
33,3,IEEE802.11nは、スループットで100Mbps以上の高速化を実現するために策定された無線LAN規格である。セキュリティ機能を持たないため、無線LAN端末/アクセスポイントでの暗号化が必要である。暗号化方式としてはAESが推奨されており、他の方式では通信速度が遅くなることがある。1)IEEE802.1Xは、無線LAN端末も含めLANに接続しようとする端末が接続を許可されたものであるかを認証する技術であり、アクセス制限の効果がある。2)WPA2は無線LANの通信の暗号化方式の規格であり、盗聴防止効果がある。4)MACアドレスはネットワークアダプターが持つ固有番号であり、それによってアクセス制限することはセキュリティ向上につながる。5)SSIDは無線アクセスポイントを識別するための個別の名前であり、これを非通知モード(ステルスモード)にすることで、SSID名を知っている人しか接続できないようにすることが可能なので効果がある。
34,4,公開鍵を用いた暗号化通信では、受信者は「公開鍵」と「秘密鍵」というペアの鍵を作成し、「公開鍵」を公開し、「秘密鍵」は自分で保管する。送信者は受信者の公開鍵を使ってメッセージの暗号化を行い送信する。受け取った受信者は、自分の持つ秘密鍵で復号する。公開鍵で暗号化されたメッセージは受信者の持つ秘密鍵でしか復号できないため、途中で第三者に傍受されても中身を解読されることはなく、安全にメッセージの送受信が可能となる。
35,2,公開鍵基盤では、加入者は自分の公開鍵を認証機関である認証局に登録するとともに、公開鍵付きの電子証明書の発行を依頼する。申請を受けた登録局は、本人確認をした後、発行局に電子証明書の発行を依頼する。発行局では、加入者に対して電子証明書を発行し、同時にリポジトリにその情報やCRL(証明書失効リスト)の公開を行う。加入者はメッセージ、電子署名に加え、電子証明書を付けて送信を行い、利用者は3つの電子情報を受信すると、リポジトリにあるCRLを取得し、認証局から認証を受けた電子証明書であることの確認を行う。したがって、(36)が「認証局」、(37)が「CRLを取得」である。
36,1,外部ネットワークからメールやファイルを大量に送りつけ、情報システムに負荷をかけ、サービスを停止させる行為をサービス攻撃(Dos : Denial of Service)という。2)バッファオーバフローは、確保したメモリ領域(バッファ)を超えてデータが入力された場合に、データがあふれてプログラムが暴走することをいう。3)パケットモニタリングは、ネットワーク内を流れるTCP/IPに代表される通信情報を取得することである。4)SQLインジェクションは、SQL対応のデータベースと運動したWebサイトに送るリクエスト文にSQLの命令を挿入することにより、データベースの改ざんや不正に情報を入手する攻撃をいう。5)クロスサイトスクリプティングは、Webサイトの脆弱性を利用して、入力フォームなどから悪意あるスクリプトを挿入して、該当ページを閲覧したブラウザ上でそのスクリプトを実行させる手法のことであるが、最近ではその脆弱性そのものを指すことが多い。
37,3,セキュア情報通信技術とは通信のセキユリテイを確保するための技術であり、ネットワークを監視するプロトコルであるSNMPは該当しない。1)PGPは、共通鍵暗号方式と公開鍵暗号方式を組み合わせた電子メールセキュリティのプログラムである。2)SSLは、インターネット上で情報を暗号化して送受信するプロトコルである。4)HTTPSは、Webサーバとクライアントとがデータを送受信するプロトコルHTTPを、SSLを用いて暗号化したものである。5)S/MIMEは、インターネット電子メールの代表的な暗号化方式である。
38,3,ウォータフォールモデルによる開発工程は、要求分析、システム設計、プログラム設計、プログラミング、テストの順で展開される。システム開発においては、作成されたシステムの機能や性能を評価するため、必ず最後にテストを行う。
39,3,ウォータフォールモデルの特長は、その名前のとおり、滝のように後戻りせずに開発を進めることであり、そのために各工程でしっかリレビューを行う。1)独立性の高いサブシステムに分けて開発するインクリメンタルモデルの特長である。ウォータフォールモデルのシステム開発では、最後まで開発工程が進まないとシステムを利用することはできない。2)、5)プロトタイプを作成しながら開発を進めるプロトタイピングモデルの特長である。4)ウォータフォールモデルの欠点とは逆のことが記述されている。ウォータフォールモデルでは、各工程でのレビューをしっかり行う必要があるため、完成させる文書類が多く、手間と時間がかかる。
40,3,PDCAサイクルのPはPlan(計画の策定)、DはDo(実施・運用)、CはCheck(点検。評価)、そしてAはAct(改善の実行)であり、習熟は含まれない。
41,2,1)シーケンス図はオブジェクト間のメッセージの送受信の時間関係と送受信の方式を表す。3)オブジェクト図は特定の時点におけるオブジェクト間の関係を表す。4)アクティビティ図は作業プロセスの流れを表す。5)コミュニケーション図はオブジェクト間のメッセージの平面的な送受信の関係を表す。
42,5,システム開発プロジェクトの日程計画におけるクリティカルパスはもっとも時間のかかる作業工程であり、1)個別の作業品質や4)もっとも効率の悪い作業工程を指すものではない。2)全体的な作業進捗と3)各作業の相互依存関係を把握するためには、それぞれガントチャートとネットワーク図が用いられる。
43,2,ネットワーク通信の性能を表す指標としては、回線利用率、往復遅延時間、ビット誤り率などがある。1)積算伝送量では単位時間当たりの性能はわからない。3)スワッピング数はプロセッサとメモリの性能に関する指標である。4)トランザクション件数はデータベースシステムに関する性能指標である。5)ターンアラウンドタイムはシステムの総合的な処理能力の評価指標である。
44,4,1)pingはネットワークに接続されている機器(サーバ、クライアントパソコン、ネットワーク機器等)までの到達性を調べるコマンドである。2)telnetはリモートコンピュータにログインするコマンドである。3)nslookupはDNSサーバから情報を得て、表示するコマンドである。5)tracert(traceroute)は指定したホストまでの到達経路と中継時間を表示するコマンドである。
45,4,初期パスワードの維持は一見問題がないようだが、本来パスワードはユーザのみがアクセスできる状態にするものなので、管理者にもわからないパスワードに変更することが必要である。1)、3)、5)パスワードを適切に設定する上で必要なことである。2)パスワードの漏洩対策として適切な管理である。
46,4,フールプルーフ設計は操作ミスを配慮した設計であり、操作ミスがあった場合それを受け付けないことによって操作ミスを防ぐことができる。1)アクセス制御はアクセス権限のない人がアクセスすることで、起こりえる操作ミスを防ぐ効果がないとはいえないが、極めて限定的な対策である。2)フェイルソフト設計は障害が発生しても最小限のサービスが維持できる対策である。3)フェイルセーフ設計は操作ミスや障害が発生してもシステムが安全なほうに作働する対策である。5)セキュリティホール対策は操作ミスとは関係ないリスク対策である。
47,4,コンピュータウイルスの感染経路としては、電子メール、USBメモリ、Webサイト、ファイル共有ソフトなどがある。イメージスキャナから取り込む情報は画像情報であり、コンピュータウイルスのプログラムが入り込むことはない。ただし、文字や記号をイメージスキャナで取り込み、それをOCR機能でテキスト化すれば、それがコンピュータウイルスのプログラムとして機能することはあり得るかも知れないが、直接的な感染とは言えない。
48,2,"稼働率95.5%とは、10,000時間に対してその95.5%の時間が稼働時間であり、残りの時間が停止している時間であることを意味する。したがって、稼働時間は9,550時間となり、停止している時間が450時間となる。また、稼働率が平均修復時間(MTTR)と平均故障間隔(MTBF)からMTBF/(MTBF+MTTR)で定義されることを使えば、単純にMTTR=10,000時間-9,550時間=450時間と求めることもできる。"
49,5,信頼性評価指標RASISの各アルファベットは、R(Reliability)、A(Availability)、S(Serviceability)、I(Integrity)、およびS(Security)であり、Scalabilityは含まれない。
50,3,情報システムのサービス水準評価指標はユーザに提供する利便性の高さであり、レスポンスタイム、ターンアランドタイム、スループットなどがそれにあたる。1)故障回数と5)平均修復時間は信頼性評価指標である。2)輻榛回数と4)メモリ使用率は運用性能評価指標である。
