2019II,解答,解説
27,4,尿検査とは尿を材料(検体)とする検査であり、主に1)尿糖、2)尿潜血、3)尿比重、5)尿タンパク、尿沈渣がある。4)尿素窒素とは血液中の尿素に含有される窒素を測定するものでありBUN(Blood Urea Nitrogen)と呼ばれる。腎機能の評価などに用いられ、尿検査ではない。
28,1,生理機能検査とは、患者の身体を対象にして計測を行う検査であり、1)心電図検査や呼吸機能検査などがある。2)生化学的検査、4)腫瘍マーカー検査や5)末梢血液一般検査は検体検査であり、身体から得られる血液などの体液を対象に検査を行う。3)マンモグラフィは乳房についてX線を用いて行う画像検査である。
29,5,5)平衡機能検査は内耳の平衡機能を調べる検査であり、耳鼻咽喉科領域の検査である。1)眼底検査と2)色覚検査は眼科領域の検査である。3)呼吸機能検査は肺の換気機能を調べる検査である。4)分腎機能検査は左右の腎臓の機能を別々に調べる検査である。
30,4,特定生物由来製品については4)医薬品医療機器等法によって定められており、使用記録の保存期間は20年である。1)～ 3)、 5)の法律や規則には特定生物由来製品の保存期間についての記載はない。
31,2,医薬品の体内動態とは、生体に投与された薬が1)吸収されて生体内に5)拡がり(分布)、 3)代謝されて最終的に4)排泄されるまでの過程のことである。2)阻害とは一般的に薬理作用(薬物が生体に及ぼす作用)が邪魔されることをいい、したがって体内動態には含まれない。
32,"1,2",1)抗がん剤はその他の処方薬と同様の様式の処方箋で処方して差し支えない。2)保険診療における長期投与の制限は、原則廃止されており、医師の判断により適切な期間の投薬が可能である。ただし、4)麻薬・向精神薬 (最大14日～90日)、 5)発売後1年以内の新薬には投与日数制限がある(原則として最大14日)。なお、3)麻薬の処方時には患者の住所及び麻薬施用者の免許証番号の記載が必要 (麻薬及び向精神薬取締法)であるため、専用の処方箋が用いられる。
33,4,看護師が独自に診断・介入する患者問題を看護問題と呼び、その診断名称を看護診断と呼ぶ。日本では、4)NANDA-I : North American Nursing Diagnosis Association -International(NANDAインターナショナルで承認された看護診断)が普及している。看護診断をもとに、どのように看護介入すればよいのか、どのようなケアを行うのかを分類するものとして、1)NIC : Nursing lntervention Classincation(看護介入分類)と2)NOC : Nursing Outcome Classification(看護成果分類)がある。3)ICNP : International Classincation for Nursing Practiceは、看護実践のための国際分類、5)SNOMED-CT : Systematized Nomenclature of Medicine - Clinical Termは、国際保健用語規格開発機構が配布する国際医療用語集のことである。
34,4,4)個別化医療の定義であり、正しい。1)再生医療とは、幹細胞を用いて機能を失った細胞や組織を復元させる医療のことである。2)終末期医療とは、近い将来に死に至ることがある程度予想される状況下において、身体的苦痛の緩和だけでなく、その人らしさをまっとうできるように支援する医療のことである。3)ゲノム解析とは、生物 (患者)の遺伝子情報を解析することをいう。5)チーム医療とは、診療科や部門を横断した多職種による医療のことである。
35,"2,3",2)腹部超音波検査は体表から超音波を照射してその反射波により内部臓器を観察する検査、3)頭部MRI検査は単純、造影にかかわらず、体外から強い高周波磁場を与え、その際に体内から放出される核磁気共鳴信号を用いて体内の水素原子の分布を画像化する検査であり、ともに放射線は用いられない。1)胸部単純撮影は放射線の一種であるX線を用いて胸部のX線透過画像を撮影する。4)心臓カテーテル検査はX線透視下で、撓骨動脈などからカテーテルを心臓あるいは冠動脈内に挿入し造影剤を注入して動きや形態を観察する。5)脳 血流シンチグラフイは、核医学検査の1つで、放射性同位元素を含む薬剤を体内に投与し、一定時間後に体内から放出される放射線量を画像化する。脳に取り込まれる薬剤を投与することで、脳の血流や機能を評価する。
36,"3,5",5)骨シンチグラフィは、骨に集積しやすい放射線同位元素を含む薬剤を静脈内に投与し、体外へ放出されるγ線を画像化する。3)PET(Positron Emission Tomography:陽電子放出断層撮影)も、腫瘍など目的組織に集積しやすい放射線同位元素を含む薬剤を投与し、体外へ放出されるγ線を体の周囲360°方向から同時計測して放射性医薬品の体内での分布を画像化する。4)マンモグラフィは乳房を側面から圧迫した状態で側面方向の単純X線撮影を行うもの、2)MRIは、体外から強い高周波磁場を与え、その際に体内から放出される核磁気共鳴信号を用いて体内の水素原子の分布を画像化するもの、1)CTは外部から照射するX線を用いて断層撮影を行うものでいずれも放射性医薬品は用いられない。
37,3,超音波の特性上、肺などの空気を多く含む組織(超音波が拡散してしまう)や脳などの硬い組織の下にある組織 (超 音波を透過しにくい)は画像の描出が困難なため、3)肺気腫には用いられない。1)妊娠は胎児被曝の点で放射線検査ができないため、産婦人科領域ではルーチン検査として行われる。2)胆石症では体表に近く詳細な観察が可能である。4)心臓弁膜症では通常の形態観察に加え、リアルタイムに弁の動きやドップラー機能による逆流や流速など血流の状態も観察できる。5)深部静脈血栓症では、血管内血栓の描出や圧迫にて内腔が変化しにくい状態、またはドップラーによる血流観察などが可能であり、確定診断に極めて有用である。
38,1,1)運動療法は生活習慣病 (糖尿病や高血圧など)などで重要な治療法であるが、がんの治療法としては補完代替療法の1つに過ぎず、代表的とはいえない。がんの治療法としては、2)化学療法(抗がん剤投与など)、 3)免疫療法(がん組織に対する免疫力を強化しようとするもので、近年、免疫チェックポイント阻害薬が開発されている)、4)外科的治療 (手術による切除)、 5)放射線治療 (放射線照射によるがん細胞死の誘導)が代表的である。
39,5,"SOAP形式とは、問題指向型診療録 (POMR)における経過記録の記載方法の1つであり、得られたデータなどを内容ごとに分類・整理したうえで、下記のようにS、O、A、Pの4つの項目に分けて記載する。
S:Subiective…患者の主観的所見(情報)　O:Objective…医療者の客観的所見(情報)　A:Assessment…評価　P:Plan…計画"
40,"2,3",ICDは世界保健機関 (WHO)が作成した死亡や疾病のデータの体系的な記録や分析、比較を行うための分類であり、2)DPCの診断群分類コード、3)MEDISの標準病名マスターにも用いられているため、正しい。1)原死因の分類にはICDの第10版であるICD-10が用いられている。4)ICD-10コードはアルファベット1文字に2桁の数字の3桁分類、詳細な発生部位や疾病の原因を表現する4桁分類および5桁分類が用いられる。5)ICDはWHOが制定したものである。なお、ICDは約30年の検討期間を経て、2019年5月にWHO世界保健総会において改訂版のICD-11が採択された。発効は2022年の予定であり、各国では自国語への翻訳など、移行準備が始まっている。疾患概念を含めた情報体系を目指し、電子環境での活用を前提とすなど大幅な改訂となっている。桁数は7桁に拡張されコード数も増えるなど、ICD-10との違いについて最新の情報を得るようにしていただきたい。
41,2,看護記録の構成要素には、基礎情報(データベース)、 看護計画、経過記録、要約(サマリー)などがあり、これらに含まれる項目やその順序は、各施設で設定される。看護サマリーは、看護を必要とする人の経過、情報を要約したものであり、施設を変わる際や在宅ケアヘの移行の際に、看護ケアの継続性を保証するために必要に応じて作成されるものである。
42,5,5)Kコードは、診療報酬点数表における手術手技・処置の領域を定めたコードであり、正しい。1)DRG(Diagnosis Related Group)は、米国の診断群分類のことである。2)ICF(International Classification of Functioning Disability and Health)は、WHOが定める国際生活機能分類のことである。3)ICD-10は、WHOが作成した死亡や疾病のデータの体系的な記録や分析、比較を行うための分類である。4)JLAC10は、臨床検査医学会が制定した臨床検査項目分類である。
43,2,新薬開発は、基礎研究、非臨床試験 (動物実験)、 臨床試験のステップを経て行われる。 臨床試験は、まず、健常人または患者ボランティアを対象として薬物動態(吸収や排泄)などのデータを収集する2)臨床薬理試験を行う。続いて、患者を対象として臨床薬理試験との類似性や推奨用量の推定などを行う3)探索試験 (前期)、 臨床推奨用量における効果・安全性などを検討する4)探索試験 (後期)を経て、さらに多くの患者において有効性と安全性を確認する1)検証試験が行われる。また、販売後にも有効性と安全性を確認するために5)製造販売後臨床試験が行われる。
44,1,1)介入研究とは、 運動、薬剤や手術など、人体に関与する新たな外的要因の有効性を調査する研究のことであり、説明にある健康や疾病の姿を単に観察する研究は観察研究のことである。2)～5)の用語とその説明は正しい。
45,3,3)特異度とは、罹患していない患者の中での、検査結果が陰性の患者の割合である。1)感度とは、罹患している患者の中での、検査結果が陽性の患者の割合である。2)自由度とは、変数のうち独立に選べるものの数のことである。事象が起こる確率と起こらない確率比をオッズといい、ある条件のオッズと異なる条件のオッズの比率を4)オッズ比という。5)相対危険度とは、暴露群の疾病発症率を、非暴露群の疾病発症率で割った割合である。
46,"3,4",正規分布は、平均値を境に左右対称の凸型で、そのすそ野は、サンプル数に関わらず適用できる(即ち標準化された)散らばり方の指標である4)標準偏差の値と、中心となる3)平均値が定まると、一意的に形が決まる。一方、1)最頻値や2)中央値は、必ずしも平均値と一致せず、5)四分位範囲は、大きさ順に並べた25%～ 75%間の50%が含まれる範囲は示すが、標準化された散らばり方の指標でないため、分布の形を一意的に定められない。
47,5,仮説検定では、あらかじめ5)有意水準を決め、データから検定統計量を計算し、その値と検定統計量の分布範囲とを比較して、帰無仮説を棄却するか否かを判定する。データのバラツキの指標として、正規分布の場合は3)標準偏差が、正規分布でない場合は1)四分位数が用いられる。2)標準誤差は、データから母集団の平均値の推定の確からしさを示す指標として使用される。4)標本平均は、母集団から抽出した標本の相加平均のことで、母平均のよい推定値となる。また、標本平均の平均は、母平均と一致する。
48,5,5)Wilcoxonの順位和検定は、正規分布に従わない独立な2群の差を比較する手法である。1)t検定は、正規分布に従う2群の差を比較する手法である。独立な2群に使用する検定と、対応のある2群に使用する検定の、2種類のt検定がある。2)回帰分析は、2変数間の関係を検討する手法である。3)符号検定は、正規分布に従わない場合に介入の前後で変化があるかどうかを検討する手法である。4)符号付順位和検定は、正規分布に従わない対応のある2群の差を比較する手法である。
49,4,4)NDB(National DataBase)は、医療費適正化計画の作成、実施および評価のため、厚生労働省が整備したレセプト情報・特定健診等情報データベースのことであり、正しい。1)DPC(Diagnosis Procedure Combination)は、医療 資源の必要度によって入院患者を分類する診断群分類のことである。2)MDC(Major Diagnosis Criteria)は、DPCの診断群分類コードに用いられる主要診断群のことである。3)NCD(National Clinical Database)は、外科系医療の現状把握を目的として、外科医が行った手術情報が蓄積されているデータベースのことである。5)PHR(Personal Health Record)は、個人の健康記録を経年的に蓄積したものである。
50,3,3)臓器がん登録は、専門学会などが中心となり、特定のがん患者の部位・種類の生存率などを治療情報を用いて分析し、診断・治療指針の策定などに活用してがん医療の質を高めるものである。専門の医師が所属する病院などで登録されるため、すべての病院が対象ではない。従来、都道府県単位で実施されていた地域がん登録事業は都道府県がんデータベース事業に引き継がれ、全国がん登録へと発展した。全国がん登録では「がん登録等の推進に関する法律」に基づき、医療機関はがんと診断された人のデータを都道府県知事に届け出ることが義務化されているため、2)、4)、5)は正しい。全国がん登録データベースに登録される情報は、個人情報(氏名、性別、生年月日、住所)、 診断を行った医療機関名、診断日、がんの種類と進行度、発見の経緯、治療内容、(死亡した場合は)死亡日等であり、1)も正しい。
