2019II,問題文,選択肢,,,,
34,ゲノム情報を用いて患者一人ひとりの遺伝的な背景を考慮して提供する医療を指すのはどれか。番号を解答記入欄( 34 )にマークしなさい。,再生医療,終末期医療,ゲノム解析,個別化医療,チーム医療
35,放射線を用いない検査はどれか。番号を解答記入欄( 35 )に2つマークしなさい。,胸部単純撮影,腹部超音波検査,頭部MRI造影検査,心臓カテーテル検査,脳血流シンチグラフィ
36,放射性医薬品を使用する検査はどれか。番号を解答記入欄( 36 )に2つマークしなさい。,CT,MRI,PET,マンモグラフィ,骨シンチグラフィ
37,診断に超音波検査が用いられないのはどれか。番号を解答記入欄( 37 )にマークしなさい。,妊娠,胆石症,肺気腫,心臓弁膜症,深部静脈血栓症
38,がんの治療法として代表的でないのはどれか。番号を解答記入欄(38)にマークしなさい。 ,運動療法,化学療法,免疫療法,外科的治療,放射線治療
39,SOAP形式の医療記録で「S」に記載するのはどれか。番号を解答記入欄(39)にマークしなさい。,処方,評価,治療計画,客観的情報,主観的情報
40,ICD(国際疾病分類)について正しいのはどれか。番号を解答記入欄( 40 )に2つマークしなさい。,原死因の分類には用いられない。,DPCの診断群分類コードに利用されている。,MEDISの標準病名マスターが準拠している。,CD-10のコードは8桁の数字で構成されている。,アメリカ疾病管理予防センター (CDC)が制定している。
41,看護サマリーの説明で正しいのはどれか。番号を解答記入欄( 41 )にマークしなさい。,患者の重症度や自立度を評価した記録,一定期間経過後に患者状態を要約した記録,人院時に患者から聴取する基本的情報の記録,主に看護師長が記載する病棟および看護体制の記録,日々の患者状態や観察結果などを記載する経時的な記録
42,手術手技のコーディングに利用されるのはどれか。番号を解答記入欄( 42 )にマークしなさい。,DRG,ICF,ICD-10,JLAC10,Kコード
43,新薬開発のための臨床試験において、健常人ボランティアを対象とするのはどれか。番号を解答記入欄( 43 )にマークしなさい。,検証試験,臨床薬理試験,探索試験 (前期),探索試験 (後期),製造販売後臨床試験
44,医学研究に関する用語とその説明の組み合わせで誤っているのはどれか。番号を解答記入欄( 44 )にマークしなさい。,介入研究 ― 健康や疾病の姿を単に観察する研究のこと,バイアスー対象者の選定や測定方法により正しい値から系統的なずれが生じること,交絡 ―暴露とアウトカムに関する解析で、隠れた要因の影響によって両者の関連性が歪められること,コホート研究 ― 固定集団を一定期間追跡調査する研究のこと,"症例対照研究 一 ある因子について、患者集団と病気に罹っていない対照集団とで比較する
研究のこと"
45,疾患に罹患していない患者のなかで、検査結果が陰性の患者の割合を表すのはどれか。番号を解答記入欄( 45 )にマークしなさい。,感度,自由度,特異度,オッズ比,相対危険度
46,正規分布の形を決めるのはどれか。番号を解答記入欄(46)に2つマークしなさい。,最頻値,中央値,平均値,標準偏差,四分位範囲
47,帰無仮説を棄却するか否かを判定する際に、あらかじめ決めておく基準はどれか。番号を解答記入欄( 47 )にマークしなさい。,四分位数,標準誤差,標準偏差,標本平均,有意水準
48,正規分布に従わない独立な2群の差を比較する手法としてもっとも適切なのはどれか。番号を解答記入欄( 48 )にマークしなさい。,t検定,回帰分析,符号検定,符号付順位和検定,Wilcoxonの順位和検定
49,レセプト情報ならびに特定健康診査の結果の情報が格納されているデータベースはどれか。番号を解答記入欄( 49 )にマークしなさい。,DPC,MDC,NCD,NDB,PHR
50,がん登録について誤っているのはどれか。番号を解答記入欄( 50 )にマークしなさい。,全国がん登録では患者氏名も登録される。,地域がん登録は全国がん登録に統一された。,全ての病院で臓器がん登録が実施されている。,法律に基づいて全国がん登録が実施されている。,全ての病院はがん患者の情報を都道府県に届け出る。
