2017II,解答,解説
11,2.3,業務独占とは、その業務が、一定の教育訓練を受け、所定の資格を得た者のみにしか行えないことを指す。名称独占とは、その名称は、一定の教育訓練を受け、所定の資格を得た者のみしか名乗ることができないことを指す。2)保健師は、保健師助産師看護師法(以下、保助看法)で、名称独占と定められてはいるが、業務独占とは定められておらず、誤りである。3)准看護師は、保健師、助産師、看護師が国家資格であるのとは異なり、都道府県知事の免許を受けて取得する資格であり、誤りである。1)看護師は保助看法で業務独占であることが定められており、正しい。4)助産師は、保助看法総則第3条に「助産又は妊婦、じよく婦若しくは新生児の保健指導を行うことを業とする女子」と定められており、正しい。5)法令の中で「看護師等」を保健師、助産師、看護師及び准看護師として定められており、正しい。
12,3,日本のメタボリック・シンドロームは、関係8学会で構成されたメタボリックシンドローム診断基準検討委員会で内臓脂肪蓄積 (ウエスト周囲長の増大:男性85cm以上、女性90cm以上)および、高血圧・高血糖・脂質代謝異常のうち2つ以上を併存するものと定義された。3)体重は含まれていない。
13,3,3)健康増進法の第25条に、「学校、体育館、病院、劇場、観覧場、集会場、展示場、百貨店、事務所、官公庁施設、飲食店その他の多数の者が利用する施設を管理する者は、これらを利用する者について、受動喫煙(室内又はこれに準ずる環境において、他人のたばこの煙を吸わされることをいう。)を防止するために必要な措置を講ずるように努めなければならない。」と努力義務が示されている。1)、2)、4)、5)の法律には、受動喫煙に関する記載はない。
14,1,近年高まっている医療の質と安全への要求に応えるため、質評価指標(QI : Quality Indicator)などを用いた客観的、定量的計測が注目されている。厚生労働省では「医療の質の評価・公表等推進事業」として各指標利用を推進する政策をとっており、一例として、国立病院機構では100個以上の指標を開発し、その計測手法と計測結果を公表している。1)外来患者数は経営指標として用いられており、医療の質を評価するためのものではない。
15,1,わが国の医療機関における医療関連感染予防と制御(以下、感染対策)の組織は、感染対策に関する審議を行う感染対策委員会(ICC : Infection Control Committee)と感染対策の実働を担う感染対策チーム(ICT : Infection Control Team)から構成されるのが一般的である。よって1)が正しい。ICTは医師、看護師、薬剤師、臨床検査技師、事務職員など、様々な職種によって構成される。ちなみに他の選択肢は、以下のとおりである。2)NST : Nutrition Support Team 栄養サポートチーム　3)RCT : Randomized Controlled Trial ランダム化比較試験、あるいはRespiratory CareTeam 呼吸ケアサポートチーム　4)DMAT : Disaster Medical Assistance Team 災害派遣医療チーム　5)MRSA : Methicillin-resistant Staphylococcus aureus メチシリン耐性黄色ブドウ球菌
16,1,1)質問紙法とは、紙に印刷された質問項目に回答させる調査方法であり、定量調査で用いられる。医療安全管理で用いられるものではない。医療安全管理の情報収集ツールとして、5)インシデントレポートが重要である。インシデントや有害事象の再発防止策を検討するためには、事例をもとに根本的な原因を追究することが必要で、これを4)根本原因分析(RCA : Root Cause Analysis)という。RCAの具体的な手法として、3)「 (m-)SHELモデル分析」や2)「4M4E分析」などが用いられる。
17,2,医薬品医療機器等法(旧薬事法)では、医療機器を、副作用又は機能の障害が生じた場合に人体に与える影響のリスクに応じて、以下の3つに分類している。(1)一般医療機器 : リスクが極めて低いもの。3)ネブライザー、4)手術用照明器、手術用鋼製小物 (ピンセットなど)、水銀体温計、歯科技工用機器など (2)管理医療機器 : リスクが比較的低いもの。1)心電計、5)電子式血圧計、電子式体温計、画像診断機器、補聴器など (3)高度管理医療機器 : リスクが高いもの。2)人工呼吸器、輸液ポンプ、ペースメーカー、バルーンカテーテルなど
18,5,理学的診察とは、医師が五感を活かして直接患者の身体的な状態を調べるもので、目で見て観察する1)視診 (眼結膜の黄染など)、手で触って観察する2)触診(皮下腫瘤や腹部臓器腫大の有無など)、指で叩いたときの音で観察する3)打診 (胸水の有無など)、 耳で聞く4)聴診 (心雑音など)などがある。5)問診 (医療面接)は患者に対して、症状や経過、過去の疾患、生活習慣やアレルギー歴などを問うものであり、理学的診察ではない。
19,1,医療法では、病院の管理者は、患者を入院させた時は、担当者の氏名、入院の原因となった傷病名や治療計画等について記載した書面を1)患者又はその家族へ交付し、適切な説明を行わなければならないとされている。また、保険診療上の入院基本料の算定には、2)医師、看護師等多職種の共同により策定され、4)主治医以外の担当者名、病名、症状、3)推定される入院期間、予定される検査及び手術の内容並びにその日程、その他入院に関し必要な事項が記載された入院診療計画書を、入院から7日以内に患者 (小児・意識のない患者の場合は家族)に交付し説明する(短期入院や緊急入院の場合も含めて)ことが求められている。患者 (または家族)に交付することとなっているため、1)の「患者にわたす必要はない」が誤りである。
20,3,3)の医師独自の治療方針や検査計画は医療チームの標準診療とは言えない。クリニカルパスは日本クリニカルパス学会により「患者状態と診療行為の目標、および評価・記録を含む標準診療計画であり、標準からの偏位を分析することで医療の質を改善する手法」と定義されており、1)医療経営の効率化を目的とした評価、改善のシステムであり、4)医療スタッフと標準診療計画を作成・共有する医療チームの資産投入の集積でもある。5)適用時には横軸に時間軸、縦軸をタスクとしたマトリックス図を患者パスとして患者に説明を行い、同意を得る。2)近年では、地域連携パスとして、単一医療機関にとどまらず、複数の医療機関や関係職種に関わるものも広がっている。
21,1,診療ガイドラインは、EBMに基づき標準的で均質・適正な医療 (診断から治療)を推進するための指針を提供するために作成されたものである。このため、1)治療結果の評価に用いるためのものではないので、誤りである。2)エビデンスの提供、3)患者への情報提供、4)施設間格差の解消、5)医療の標準化の推進、はいずれも診療ガイドラインの目的であるので、正しい。
22,1,1)消化器系に属するものには、上部消化管(口腔、咽頭・食道、胃、十二指腸)と下部消化管 (小腸、大腸)および肝臓、胆道 (胆嚢)、膵臓がある。よって1)は正解である。2)～4)腎臓、尿管、副腎は泌尿器系、5)下大静脈は循環器系である。
23,3,3)ホルター心電図検査は、患者に心電計を装着して長時間 (24時間)の心電図データを収集するもので、正解である。1)心臓CT検査、4)心臓カテーテル検査は造影剤を用いて心臓 ・血管の内腔を造影。撮影するもの、5)心筋シンチグラフィ検査は放射性医薬品を用いた核医学検査で、いずれも放射線・核医学部門で行われる。2)トレッドミル検査は運動負荷を行う生理機能検査であり、臨床検査部門で行われる。これらはいずれも担当医師や技師が実施する短時間の検査であり、誤りである。
24,1,1)回腸は小腸に属するため正解である。2)～5)大腸は盲腸、上行結腸、横行結腸、下行結腸、S字結腸、直腸から構成される。
25,1,1)痛風は、食物中の細胞核に含まれるプリン体の最終分解産物である尿酸が血中で増加した結果、尿酸カルシウムなど難溶性の結晶が組織に沈着して関節炎などを引き起こす疾患である。尿素はタンパク質の分解産物として尿から排泄される物質で、痛風とは関係はない。2)糖尿病はインスリンの作用不足によって引き起こされる。3)脂質異常症とは血中のコレステロールやトリグリセリドが量的質的に異常をきたした状態をいう。4)バセドウ病は自己免疫異常によって甲状腺ホルモンが過剰に増加した状態(甲状腺機能亢進症)である。5)慢性閉塞性肺疾患(COPD)は、喫煙など、長期の有害物質の吸入によって引き起こされる慢性的な肺炎症性疾患である。
26,2.5,2)関節リウマチは、 自己免疫性疾患のひとつで、主に四肢関節の持続的炎症により、関節痛や関節の変形をきたす。5)全身性エリテマトーデス(SLE)は、代表的な自己免疫性疾患のひとつで、種々の自己抗体により、顔面の紅斑をはじめ全身性の炎症性臓器障害をきたす。1)帯状疱疹は、感染症のひとつで、水痘・帯状疱疹ウイルスが末梢神経で増殖して、水疱や神経痛をきたす。3)自律神経失調症は、器質的病変によらず、交感神経と副交感神経から成る自律神経系のバランスが崩れてめまいなどが生じるものをいう。4)本態性高血圧症は、高血圧症のうち、ホルモン異常など他の要因によらないものをいう。
27,4,「特定生物由来製品」とは、「生物由来製品」(人その他の生物 (植物を除く)に由来する医薬品等のうち、保健衛生上特別の注意を要するもの)のうち、販売、授与等の後において当該生物出来製品による保健衛生上の危害の発生又は拡大を防止するための措置を講ずることが必要なものであり、血液製剤、人胎盤抽出物などが指定されている。医療機関においては、製品名、製造番号(製造記号)、患者の住所・氏名、使用日を記録し、使用した日から起算して少なくとも20年間、これを保存しなければならない、と定められている(医薬品医療機器等法)。
28,4,4)軟膏剤は体表の局所への作用を狙って、直接皮膚に塗って使う半固形の製剤であるため正解である。1)坐剤は肛門や膣の粘膜から、2)顆粒剤や5)錠剤(内用錠剤)は胃や腸から、3)注射剤は皮下や筋肉からの吸収および血管への直接投与により、全身への薬理効果を狙った製剤である。
29,2,2)保険医療機関及び保険医療養担当規則、第20条3処方せんの交付 イ として、「処方せんの使用期間は、交付の日を含めて四日以内とする。ただし、長期の旅行等特殊の事情があると認められる場合は、この限りでない。」と示されている。
30,3,平成28年度診療報酬改定において、一般病棟用の「重症度、医療・看護必要度」は、急性期に密度の高い医療を必要とする状態が適切に評価されるよう見直しが行われた。その評価票は従来か、A項目 (モニタリング及び処置等)、 B項目 (患者の状況等)、およびC項目 (手術等の医学的状況)に分類して具体的な項目ごとの評価点が定められている。3)自己注射は患者自身が行うため看護必要度には含まれず、正解である。A項目には、5)の心電図モニタの管理のほか、創傷処置、呼吸ケア、点滴ライン同時3本以上、シリンジポンプの管理、輸血や血液製剤の管理、特殊な治療、専門的な治療処置、救急搬送後の入院2日間がある。B項目には、1)寝返り、4)食事摂取のほか、危険行動、診療・療養上の指示が通じる、移乗、口腔清潔、衣服の着脱がある。C項目には、2)開腹手術のほか、開頭・開胸・開腹・骨・胸腔鏡及び腹腔鏡、全身麻酔、脊椎麻酔などによる手術と救命等に係る内科的治療の有無がある。
31,3,3)PSAは前立腺がんの腫瘍マーカーとして用いられる。1)AFPは肝細胞がんの腫瘍マーカーとして、2)CEAは大腸がん、肺がん、 胃がん、乳がんの腫瘍マーカーとして、4)CA125は卵巣がんの腫瘍マーカーとして、5)CA19-9は膵(臓)がん、胆嚢がん、大腸がんの腫瘍マーカーとして用いられる。
32,2.3,2)クレアチニンは腎の糸球体から濾過され、尿細管から再吸収されにくいため腎機能の評価に用いられる。3)糖尿病の診断には空腹時血糖のほか、HbA1c、グリコアルブミンの検査値が用いられる。1)血清アミラーゼは膵炎や耳下腺炎などで高値となる。肝炎の場合、ALT(GPT)、 AST(GOT)が高値を示す。4)膵臓がんの腫瘍マーカーにはCA19-9が用いられる。AFPは肝臓がんの腫瘍マーカーである。5)脂質異常症の診断にはLDLおよびHDLコレステロールの検査値が用いられる。CRPは炎症マーカーとして用いられる。
33,1,1)内視鏡検査は、医師が実施する体腔・管腔内の画像診断検査であり、検体検査ではなく、誤りである。臨床検査部門で行われる各検査には、血液や尿その他の患者から採取された資料(検体という)を分析・測定する検体検査と、患者から直接情報を得る生理機能検査がある。2)血糖検査、4)12誘導心電図、5)スパイロメトリー (呼吸機能検査)は、いずれも正しい。3)組織診断は、病理医が生検や手術などで採取された組織を診断する病理検査で、正しい。
34,1.5,画像検査の概要を理解しているかを問う問題である。1)CT検査、および5)血管造影検査は、いずれもX線を利用した検査で、正解である。2)MRI検査は、核磁気共鳴を利用した画像検査で、高磁場環境で原子のスピンの緩和時間の差をコイルで受信して画像化するものであり、電磁波を用いるので、誤りである。3)核医学検査(シンチグラフィ検査)は、放射性医薬品の放出するγ線を用いるので、誤りである。4)超音波検査は圧電素子が発生する超音波を用いるので、誤りである。
35,2,2)MRI検査では、MRアンギオ(MRA)の手法で、造影剤を使用せずに血管撮影が可能であり脳ドックなどで必須の検査になっているので、正解である。1)PET、 5)心筋シンチグラフィはいずれも放射性医薬品を用いる核医学検査で、造影剤は使用しないが血管撮影を目的としていない。3)X線を用いる画像検査で血管撮影を行うためには造影剤の使用が必須であり、X線CT検査では、造影剤を使用したCTアンギオ(CTA)が一般的になっている。4)X線単純撮影は、頭部、胸部、腹部、四肢、乳房などの病変を見るための造影剤を使用しない検査を意味する用語であり、いずれも誤りである。
36,2.4,処置 ・治療に関する用語とその意味を問う問題であるが、医療関係者以外には難しい問題である。2)ブジーは、狭 窄部位に管を挿入して拡大するもので、誤りである。4)ドレナージは、体腔内などの病的貯留液を排出する手技で、誤りである。1)ギプスは、骨折部位の固定に用いるもので、正しい。3)栄養処置とは、ぶどう糖などの栄養素を含む溶液を肛門から注入して直腸や大腸壁から吸収させる滋養浣腸であり、正しいが、点滴による栄養補給に取って代わられている。5)カウンターショックは、心室細動に対する電気的刺激による除細動(最近はAEDがよく知られている)のことで、正しい。
37,2,2)感覚器リハビリテーションは、診療報酬上は定められていない。1)、 3)～ 5)診療報酬上、疾患別リハビリテーション料として、脳血管疾患、運動器、廃用症候群 (平成28年度より新設)、心大血管、呼吸器が認められている。
38,2,2)聴神経腫瘍、髄膜腫、下垂体腺腫などの脳の良性腫瘍、動静脈奇形などの良性疾患に対しても放射線治療が適用となる。1)放射線治療の利点は臓器の機能や形を温存して治療できることである。4)使用される放射線にはX線、電子線のほかにも、粒子線と呼ばれる陽子線などがある。3)、 5)放射線治療は単独で行われるばかりでなく、薬物療法(抗がん剤治療)や手術などの治療と併用して行われる場合もある。
39,3.5,3)問題点リストは、現病歴、既往歴、家族歴、処方歴、現症等の情報をもとに、入院の契機となった医療上、健康上、あるいは家庭・社会生活上の問題点を、優先順位の高いものから順に箇条書きに記載する ものである。5)状態の変化が激しい患者の場合など経時記録毎にすべての項目をSOAPで記載すると煩雑になるため、変化のあった問題に限って記録してもよい。よって 3)、5)は誤りである。1)POSを基本思考過程とした問題指向型診療記録 POMRは、問題点リスト毎の記録であり、診療の妥当性や記録内容を監査しやすい。2)POSは問題点を疾患名に限らず、患者の心理的、社会的側面にも注視し、患者中心に診断、治療、患者教育など多面的に計画、記録する。4)サマリーは患者の病状変化や治療内容を簡潔に纏め、評価し、退院および転科、治療計画の変更時に記載する。 よって1)、2)、4)は正しい。
40,1.5,1)SはSubjectiveの略で患者の主観的所見といい、患者の訴えなどを指すため正しい。2)OはObjectiveの略で医療者の客観的所見で体温や血圧などのバイタルサインや意識レベル、身体的所見、検査結果などであり、病名は含まれない。よって誤りである。3)AはAssessmentの略で診断や治療評価であり、治療計画はPである。よって誤りである。4)PはPlanの略でアセスメントに応じた診療計画を記載する。検査結果は客観的所見のOであり誤りである。5)処方オーダは診療計画のPであり、正しい。
41,3,看護記録の保管に関しては、医療法施行規則第21条の5 第2号に「診療に関する諸記録は、過去2年間の病院日誌、各科診療日誌、処方せん、手術記録、看護記録、検査所見記録、エックス線写真、紹介状及び退院した患者に係る入院期間中の診療経過の要約とする。」とあり、看護記録の過去2年間の保管を義務付けている。
42,4,人を対象とする研究は倫理審査を受けることは常識であるが、「人を対象とする医学系研究に関する倫理指針ガイダンス」では、1)倫理審査委員会の機能強化や審査の透明性確保のための規定が充実すると共に、3)プライバシーを守るための個人情報保護に関する規定、2)、5)研究の必要性を説明するなどの被験者へのインフォームドコンセントに関する手続きに関する規定の整備が行われた。これらの倫理指針を満たせば、医師でなくても、資格を問わず誰もが研究を実施することができるため4)が正解である。
43,4,1)、2)、3)侵襲性とは、研究目的で行われる穿刺、切開、薬物投与、放射線照射、心的外傷に触れる質問などによって、研究対象者の身体や精神に傷害あるいは負担が生じることをいう。5)研究のためのMRI検査も、造影剤による副作用や、検査時の患者空間が狭く、検査時間も長く騒音が大きいことによる被験者への精神的な苦痛が生じる可能性があるため侵襲性に含まれる。一方、4)の研究目的ではなく治療のための投薬は、指針の定義上「侵襲」として扱われない。よって正解である。
44,1,コホート研究とは要因と疾病発生の関連を調べる観察的研究のことで、実験的な介入は行わない。よって1)が誤りである。2)～ 5)はすべてコホート研究の特徴を述べたものである。※本解説には表あり
45,5,陽性的中率は真陽性 / (真陽性 + 偽陽性)、 陰性的中率は真陰性 / (偽陰性 + 真陰性)と表される。感度、特異度はともに0.9であるので、陽性的中率は、有病率 × 0.9 / (有病率 ×0.9 + (1 - 有病率) × 0.1 ) = 有病率 × 0.9 / (有病率 × 0.8 + 0.1)と表される。有病率は、母集団Aは0.1、母集団Bは0.2より、母集団Aの陽性的中率 : 0.09 / 0.18 = 1 / 2　母集団Bの陽性的中率 : 0.18 / 0.26 = 9 / 13となり、陽性的中率はBの方が高い。陰性的中率は、真陰性 / (偽陰性 + 真陰性) = (1 - 有病率) × 0.9 / (有病率  × 0.1 + (1 - 有病率) × 0.9) = (0.9 - 0.9 × 有病率) / (0.9 - 0.8 × 有病率)と表される。母集団A、母集団Bの有病率を代入して、母集団Aの陰性的中率 : 0.81 / 0.82 = 81 / 82　母集団Bの陰性的中率 : 0.72 / 0.74 = 36 / 37となり、陰性的中率はAの方が高い。よって5が正解である。なお、ここでは厳密な議論は省略している。また計算方法は他にも考えられる。※本解説には表あり
46,2.3,順序尺度とは大小関係に意味があるが、差や比に意味はない尺度のことであるから、2)最頻値と3)中央値は使用して差し支えない。1)分散、4)平均値、5)標準偏差は、いずれも順序尺度には適用されない。
47,1,要約統計量は、代表値とバラツキの指標の2つを組み合わせて示す必要がある。分散と標準偏差は平均値に対応したバラツキの指標、四分位範囲と範囲は中央値に対応したバラツキの指標である。分布が対称である場合の代表値は平均値、分布が非対称である場合の代表値は中央値を用いる。そのことから、1)の中央値と範囲の組み合わせが正解である。2)と4)は組み合わせとして不適切、5)は組み合わせとしては適切であるが左右対称の分布(正規分布)の要約統計量である。なお、3)の変動係数は、「標準偏差÷平均値」で相対的なバラツキの指標であり、3)の組み合わせは不適切である。
48,1,1)箱の長さを四分位範囲という。2)図中の●が平均値、箱の上中下の3本の線は順に上位25%点、中央値、下位25%点の値であり、平均値と中央値は異なっている。3)箱は下側に、中央値を表す線も箱の下側に寄っているため、左に偏った左右非対称の分布である。4)最小値が10、最大値が50を示しているため、10から50の範囲に含まれるデータ数は100%である。5)正規分布型の場合は平均値±2×標準偏差の範囲に95%、平均値±1×標準偏差の範囲では68%が含まれる。この間の分布の場合は該当しない。
49,5,中央値の定義は、データを大きさの順に並べたときに丁度真ん中に来る値のこと(データの個数が偶数の場合は真ん中 2つの平均値)である。2が中央値であるためには、2より小さい数が2つ、2より大きい数が2つあるはずなので、選択肢の中では7のみが該当し、5)が正解となる。
50,2,全国がん登録は、がん医療の質向上にかかわる調査研究のため、各病院で「がん」と診断されたすべての人のデータを、都道府県に設置された「がん登録室」を通じて集めた、国が一元管理するデータベースであるため、1)、 2)～ 5)は正しく、対象には氏名、生年月日などの個人情報が含まれるため2)は誤りである。
