2017IS,解答,解説
11,2,レセプト電算処理システムは、医科、DPC及び歯科並びに調剤の診療報酬の請求に関する業務を紙のレセプトでなく、電子レセプトにより行えるようにするシステムである。電子レセプトは、「療養の給付及び公費負担医療に関する費用の請求に関する省令」の規程に基づくフォーマットで作成された診療 (調剤)報酬請求書情報及び診療 (調剤)報酬明細書情報である。電子レセプトは1)、3)保険医療機関 (保険薬局)、 4)保険者、5)審査支払機関の間で取り扱われる。2)介護給付費の請求も電子的に行われるが(一定の介護関連事業所等は紙帳票での請求が認められる)、レセプト電算処理システムに関係しない。事業所等の所在地の国民健康保険団体連合会(国保連合会)へ電子請求受付システムにより請求する。請求データとして介護給付費請求書、介護給付費明細書の帳票データが用いられる。
12,2,2)胸部X線検査は比較的短時間に検査可能であることから予約枠管理を行わずに運用する場合が多い。放射線画像検査や内視鏡検査では、検査方法や検査対象となる臓器によっては、検査装置をある程度の時間占有する必要がある場合、検査に対応するための人的資源や材料の確保など事前準備が必要となる場合などがある。検査可能な日程や時間、1日あたりの検査可能な件数に制約が生じることから、検査の予約には予約枠管理が必要となる。1)胸部CT検査、3)血管造影検査、4)胸部MRI検査、5)大腸内視鏡検査はこれに該当し、通常は予約枠管理される。
13,1.4,注射実施時の3点認証は、これから注射を実施しようとする患者と注射薬の組み合わせが注射オーダの指示内容と合致しているかの確認および実施者の特定と実施入力を確実にするために行われる。確認のための入力にはバーコード等の自動認識技術を利用する。患者リストバンド(患者ID)と注射薬に貼られたバーコード(オーダ番号)を実施者のIDでログインした携帯端末などで読み取り、オーダ内容と合致していることを確認した上で実施入力するなどの操作が行われる。よって、2)、3)、5)は防止できる。1)禁忌薬投与は、注射オーダ入力の時点でチェックし防止すべきである。4)ミキシング(混注)は薬剤部門や処置室などで事前に行われ、ミキシング済みの注射薬には既にオーダ番号のバーコードが貼り付けられている。よって、注射実施時の3点認証で読み取れる情報のみでは、ミキシング行為そのものが正しく行われたことを確認できない。
14,5,5)「代行入力者」はあくまで「作成責任者に代行して入力する者」であり、「作成責任者」となり得ないため不適切である。また、代行入力の場合には、確定者 (作成責任者)は代行入力者が入力した内容を確認せずに「確定操作(承認)」を行ってはならないとされており、「一定時間後に自動確定する」運用は不適切である。1)～4)は電子カルテに求められる「電子保存の3基準」のうち「真正性の確保」について「医療情報システムの安全管理に関するガイドライン第5版 (平成29年5月)」に定められた代行入力に関するルールである。
15,2,レジメン(regimen)とは、抗がん剤、輸液、支持療法薬 (制吐剤など)の投与に関する時系列的な治療計画である。レジメンは医療安全の確保、がん薬物療法の標準化、施設内業務の効率化を目的としたレジメン委員会等の審査組織を整備して管理される。レジメン管理には薬剤部門 (薬剤師)が大きく関与する。がん薬物療法は、施設内の審査を経て登録管理されているレジメンに沿って実施される。レジメンシステムはレジメンの審査承認、登録、実施運用をサポートするシステムであり、オーダエントリシステムと連携する(あるいは機能として組み込まれる)システムである。よって、2)オーダ時に抗がん剤を自由に組み合わせる機能はレジメンの目的を損なうことになるため適切でない。
16,4,処方監査は、処方せんの内容が対象となる患者にとって適切かどうか、薬剤師が確認することである。薬剤師は、患者基本情報、検査結果、過去の処方情報などを確認することで、禁忌薬、投与量、剤型、複数の薬剤を混合した時の安定性や相互作用、 重複処方の有無などをチェックする。患者の1)体重、2)年齢の情報は、薬剤の投与量が適切であるかの確認項目となる。3)検査値、5)アレルギー歴の情報は、禁忌薬投与防止の判断材料となる。よって、4)手術日の情報は、処方薬の患者への影響を考える上では最も関連が低い情報となる。
17,5,5)単純撮影とは、造影剤を用いない検査を指している。よって同オーダと医薬品との関係は薄い。1)、2)手術や処置には麻酔薬や創傷治癒促進剤などの医薬品を用いることが多い。これらの手術・処置に伴う医薬品の指示は、注射・処方オーダではなく、手術オーダ・処置オーダから発行することが一般的である。3)糖尿病食の対象となる糖尿病患者は、食事療法・運動療法・薬物療法を併せて行っていることが一般的である。インスリンの単位数など薬物療法の詳細を把握することは、糖尿病食オーダにおいて摂取エネルギー量など食事内容を決定する上で不可欠である。4)レジメンとは、抗がん剤治療を受ける患者に対して、その抗がん剤や、併せて使用する医薬品の投与量や投与期間等を、時系列で示すものである。
18,2,医療用医薬品にバーコードを表示する目的は、5)流通過程を把握できるようにすることで(トレーサビリティの確保)、医療安全の向上や4)流通の効率化を図ることである。また、その実施にあたってバーコードによる認証を行うことで、3)取り違え事故の防止にも役立つ。代表的なバーコード規格であるGS1の場合、商品識別コード、1)有効期限、ロット番号を含んでいる。他方、2)医薬品価格は変動するものであるから、バーコード表示の対象として適切ではない。
19,3,麻薬施用者とは、麻薬の施用を許された医師・歯科医師を指す。麻薬を含む処方・注射オーダの発行には麻薬施用者免許が必要であり、麻薬処方せんにも麻薬施用者番号を記載することが義務づけられている。しかし、オーダエントリシステムでは同番号を含むユーザー情報を管理していないので、3)ユーザー管理システムから提供を受けることが一般的である。1)麻薬管理システムは麻薬の使用を管理するためのシステムであって、一般的には麻薬施用者番号の管理を目的としていない。
20,1,1)調剤監査とは、薬剤師が、処方箋に基づいて調剤した薬剤を監査する行為である。したがって、処方オーダの発行段階では不要な機能である。2)処方オーダの発行時には、薬品名を3文字以上入力して、該当する医薬品を検索することが一般的である。3)処方オーダの機能として、登録されたアレルギー薬を処方しようとしたときに警告を発したり、複数の医薬品を処方する際に併用禁忌がないかチェックする機能は重要である。4)処方オーダの発行時に、医師は医薬品の効能や副作用などに関する情報を確認する必要がある。このため、処方オーダにはこれらの情報を参照できる機能が付加されている場合がある。5)外来処方の多くは院外調剤となるため、 院外処方箋発行機能は必須である。
21,2,2)ロット番号の記録が法令で義務づけられているのは、特定生物由来製品である。よって、抗がん剤に必須の機能ではない。1)抗がん剤は、その細胞毒性の強さから、休薬期間が定められていることがある。この場合、休薬が必要とされる期間中に投与されることがないよう管理することが必要になる。3)～5)抗がん剤は、その細胞毒性の強さから、投与量を厳格に管理することが必要である。このため、体表面積や腎機能などの検査結果をもとに投与量を決定し、その累積投与量を管理していく機能が必要になる。
22,3,3)ストレスチェックは、労働安全衛生法に基づきメンタルヘルスを管理する目的で実施されるもので、臨床検査の品質管理とは関係ない。検体検査業務では品質管理のために様々な方法で精度管理が行われるが、1)、2)、4)、5)はそのなかで患者データを用いる手法に含まれる。1)デルタチェックは、同一患者について、直近の前回値との差や比をチェックする。2)レシオチェックは、項目間で相関性のある検査項目について、項目間の比や差をチェックする。4)リミットチェックは、あらかじめ設定した範囲から外れた測定値をチェックする。5)パニック値チェックは、生命に危険が及ぶ限界値としてあらかじめパニック値を設定した項目について、その値に達するかそれを超える異常値をチェックする。
23,1,検体採取ラベルには、検体採取時に患者取り違えなどのエラーを起こさないために、必要十分な情報を印字する。1)住所は、生年月日や性別などとともに、同姓同名の患者の区別などに用いられる。しかし、検体採取ラベルでは印字面積の制約があるため適さず、患者固有の情報として患者番号が印字され、それを照合することが一般的である。2)オーダされた採取期日を遵守するため、採取日は必要である。3)、4)患者氏名と患者番号は、限られた印字面積で採取対象患者を聞違いなく同定するために不可欠である。5)採取オーダに関する問合せ先として、依頼診療科が必要である。
24,3.4,3)微生物検査では、たとえば想定外の病原体が検出された場合に、感受性検査の追加オーダが発生しうる。4)たとえば1本の血清検体から、数十もの生化学検査項目が測定されることがある。1)検体検査の分析操作にかかわる情報などは、電子カルテを想定した標準化マスターの範囲外であり、検査システムではより分析業務に最適化されたマスターが使用される。2)1つのオーダに対し、たとえばパニック値における速報値と最終確定値の、2種類の検査結果が報告されることがある。5)血液検査の場合は、検査部門で検体の受付がなされた時点で、実施情報が送信されることが多い。
25,4,4)PACSは画像情報全般の処理に適しており、放射線画像以外にも、心臓超音波検査画像などの保存に利用されることがある。1)呼吸機能検査の結果には、画像情報に属するスパイログラムが含まれる。2)検査レポートの項目・書式は、各施設で培われた診療スタイルに最適化されていることが多い。3)心電図波形の自動判定には、デジタル化された波形データが用いられる。PDF形式での保存は閲覧に適している。5)腹部超音波検査では、たとえば検査時点ではじめて見つかった結節様所見に対し血流ドプラを追加するなど、患者受付後であっても適宜、検査内容が追加・修正される。
26,1,1)放射線検査の依頼は外来、病棟のHIS端末のオーダエントリシステムから入力され、HISサーバーに保存される。その情報がRISに転送される。IHE― SWF(通常の運用フロー)ではRISから検査依頼の発行はあるが、日本では検査の前処置薬などの関連会計情報を検査依頼にまとめるため行われないので誤りである。2)検査依頼情報を撮影機器に送るのはRISからDICOMのMWM(ワークリスト)転 送で行う。3)読影医が画像診断を行うにはPACSの画像表示端末に画像を受信表示する。なお、「読影レポートの作成」と誤解するとレポートシステム、RIS、 HIS、 DICOMの構造化レポートなど様々なものと関連し、現状では限定できない。4)医師が画像閲覧するのもPACSである。放射線部内PACSと病 院全体のPACSの2つが存在する場合もあるが、基本的にPACSである。5)外来医師が患者診察のため検査終了を待っている場合、患者の検査終了はRISあるいはPACSからHISに実施情報として送付され、オーダエントリシステムで検査終了の表示を確認することになる。
27,1,1)検査画像の参照はDICOM Q/Rによって画像検索と受信が必要であり、PACSの機能である。2)検査依頼の受付、3)使用造影剤の登録、4)医事会計システムヘの実施情報の送信、5)物流システムヘの使用物品情報の送信は放射線部内の情報入力であり、RISの機能である。
28,5,PACSとは、 Picture Archiving and Communication Systemの略である。5)画像データの圧縮を行うと画像が劣化して診断や説明に支障をきたす可能性がある。診断能力の観点から、10分の1の圧縮は容認できるが、20分の1以上の圧縮は容認できないという報告がある。1)「検像」とは画像診断装置で撮影された画像が指示通りの条件で撮像されているか、適切な画像が得られたかどうかをチェックし、診断に不要な画像を削除したり、診断しやすくするために構成や順序を変更することで、通常は画像サーバーに送られる前に実施される。しかしPACSを検像に利用することは可能である。PACSは画像の保管と交換を行うシステムであり、DICOM規格を用いることが一般的である。心電図はその波形を画像として扱うこともあり、PACSで保管することもある。よって2)～4)は適切である。
29,5,5)「 1枚のCD-Rに書き込む患者は1名-1IDとすること」と記載されているので誤りである。その他、4)「IHE統合プロファイル「可搬型医用画像」およびその運用指針」に準拠すること、「Viewerなどアプリケーション・ソフトウェアのオートスタートは禁止とする。」、1)「DICOM画像を圧縮することを禁止とする。」、3)「 DICOM規格に違反しないこと」、2)「シンスライスデータやボリュームデータなどの大量画像を同梱しないこと。」とされており、1)～ 4)は正しい。その他に「動画像についても同梱しないこと。」「患者氏名、提供元医療施設名及び問い合わせ先などをCD-R表面にレーベル印刷として記載すること。」などの記載がある。
30,2,輸血に関するシステムは、輸血オーダシステムと輸血部門システムで構成される。輸血部門システムは、輸血歴管理、血液製剤管理、そして、副作用管理や取り違えミスなどを防ぐ安全管理のための支援システムで構成されている。2)輸血用血液を含む血液製剤は特定生物由来製品であるため、製剤使用記録ならびに患者輸血歴を20年間保管することが義務付けられている。1)、3)は輸血部門システムの基本的な機能と言える。4)は輸血後にウイルス感染症などが発生した場合に因果関係証明のための遡及調査に必要な機能である。5)緊急時に患者の血液型検査を行う余裕がない場合や血液型が一致する血液がない場合に、交差適合試験を行わずにO型赤血球製剤を輸血する場合がある。骨髄移植を行う場合、白血球の型が適合していることが必須だが、赤血球の型(血液型)が異なっていても可能である。よって骨髄移植後に本来の血液型と異なった血液型になるケースがある。
31,4,手術管理システムの機能を問う問題である。4)手術を行った医師の氏名、患者の氏名等手術記録を識別できる情報を記録するもので、手術オーダと関連させ、電子診療録の診療文書機能などで作成されることから、誤りである。1)、5)医療材料、医薬品の事前準備や各種予約に必要な機能で、手術管理システムに実装されている。2)、3)術中の経過記録に必要な機能で、手術管理システムに実装されている。
32,3,歯科システムも基本的に医科と同じ機能が必要であるが、歯の疾患はそれぞれ独立して発症するため、部位情報の扱いが異なる。3)総義歯では複数歯が同一病名で、同時に選べる必要があり、誤りである。1)患者基本情報は、医科と同様に歯科でも必要である。2)歯の疾患は独立して発症するため、部位毎の診療履歴が必要である。4)義歯製作時には、歯がない状態を明示した病名登録が必要である。5)レセプトでは、同一病名の部位を統合して表示するよう指導されている。
33,1,歯科診療では小外科手術が多く、電子カルテにその特徴が反映されることを問う問題である。1)歯科医は治療中に患者さんの口腔内をみており、手指の清潔確保の点からも、参照される機会は多くないため誤りである。2) 1)と同様の理由で、処置終了後に実施内容が入力される。3)歯科治療は観血的処置が多く、水平感染防止のため感染情報は多く参照される。4)前回処置内容や患者基本情報を確認後に、診療を開始する。5)保険と自費の診療録の区別は、保険医療機関及び保険医療養担当規則の8条に記されている。
34,4,4)看護計画は、看護上の問題点ごとに標準的な看護計画をあらかじめマスターに登録しておき、その内容を元に患者の個別性にあわせた表現に修正して登録することが多い。看護業務には多様な記録・指示が伴うため、NANDA-IやMEDISなどのマスターを利用して標準化し、誰が読んでもわかる表現にすることが大切である。また、測定・観察された患者の状態、ケアの実施状況を容易に把握できるように表形式で一覧表示されることが望ましい。
35,1,1)「身体拘束」は、医師が治療上の必要から患者の行動を制限しなければならないと判断した場合、抑制帯などを用いて患者の四肢や体幹を拘束することであり、医師の指示に基づき実施されるものである。「安静度」は、同様に医師が治療上の必要から患者の日常生活行動を制限する目的で出す指示であるが、食事制限やベッド上安静などであり、用具で身体を拘束することは含まれない。よって1)は適切でない。なお、身体拘束は患者の人権に関わるものであるため、このオーダを発行する際、その理由を明確にしなければならない。2)指示の中には保険請求に係るものがあり、医事会計システムとの連携は必要である。3)注射や処方オーダは基本的には薬局への指示と患者への説明に必要なものであり、用法の複雑な指示は病棟看護師に病棟指示として直接出される。4)測定・観察は直接看護のひとつであり、医師の指示がなくても実施できる。5)の予測指示 (約束指示)とは、「発熱時には鎮痛解熱剤を投与」など、患者状態が変化することを想定して、あらかじめ指示しておくことを言う。
36,2,2)システム更新時には、新旧でベンダーが異なることを前提に準備を進める。このため、現行システムの仕様は、現行システムで実現できている機能や稼働後に追加・修正された機能を含めてすべて記載しておかないと、更新されたシステムで実現する保証はないため、誤りである。1)現状分析をもとに、新システムの要求仕様書を明確にする。3)レセプト発行や各種会議日程から新旧どちらの情報が使えるかを考慮し、移行日を決める。4)現行システムに接続中の機器を、移行後も使用することを前提にする。5)新旧システムで用いるデータの互換性確認は重要である。
37,2,バランストスコアカードは、1990年代に考えられた業績評価の仕組みで、一般企業で利用され、その後病院経営にも応用されている。2)安全の視点は含まれていないため、誤りである。1)顧客からみた企業の評価視点、3)財務の視点、5)業務プロセスの視点は含まれている。また特徴的なものとして4)学習と成長の視点が含まれており、個人だけでなく組織としても変革能力や学習能力を伸ばし活用していくことが求められている。
38,5,システム導入時の病院側業務とベンダー側業務との区別を問う問題である。5)内部設計は、システム開発者のための設計であり、データ処理や管理の方法、アルゴリズムなどを設計する。したがって、システム開発担当者だけで行うのが一般的で、ベンダー側が実施する。1)仕様書は、病院側で作成する。2)病院側の人事や運用とも関係するため、各種マスターは病院側で作成する。3)リハーサルは病院側でシナリオを作成し、病院スタッフが参加して行う。4)ユーザーの教育訓練は、導入直後を除いて、病院側が実施する。
39,削除,
40,1,1)ファイナンス・リースとは、ユーザーが選定した物件をリース会社が取得し、ユーザーに賃貸する仕組みである。よって、物件の所有者はリース会社である。2)リース料はユーザーがリース会社に支払うものであり、保守料はユーザーがメーカー・ディーラに支払うものである。3)リース契約では、契約の初期に、リース会社がメーカー・ディーラに費用を支払って、物件を取得する。その費用は、契約期間を通じてユーザーから回収することとなるため、中途解約は禁止されていることが一般的である。4)リース物件に対する瑕疵担保責任を負うのはメーカー・ディーラである。5)リース期間の終了後、ユーザーはリース会社に物件を返還するか、あるいは契約を更新(再リース)して物件の使用を継続することになる。契約期間が終了する時点でリース会社は物件の取得費用を回収し終えているので、再リース料は低価格となることが多い。
41,2,2)は情報端末やコンピュータ、情報媒体等を物理的な方法によって保護する物理的安全対策に含まれる。医療情報システムの技術的安全対策とは、システムの機能として組み込まれるセキュリティ対策をいい、1)、3)、4)、5)が含まれる。物理的安全対策、技術的安全対策に加えて、システムの運用管理規程を定めてPDCAサイクルを回す組織的安全管理対策や、システムにかかわる人々を対象とした規則の周知や教育訓練などの人的安全対策も必要である。
42,2,2)ネットワークを通じて患者情報の相互利用を図ることが目的であることから、匿名化することはその利用を妨げることになる。地域医療情報ネットワークの構築などの際は、参加機関の責任において、 院内同様のセキュリティを隙間なく担保することが求められる。そのため5)は院内と等しく必要であり、複数機関の間で相互に1)、3)、4)を実施することが必要である。
43,4.5,電子保存の3基準は、4)「見読性」、5)「保存性」、および「真正性」である。2)、4)の「見読性」は一般的なセキュリティの言葉で言えば「可用性」であるが、診療録は行政などによる監査の対象となる書類であるため、単なる「可用性」より「人が見て理解できる状態にできること」という意味で「見読性」という言葉が使われている。3)「完全性」とは一般的なセキュリテイ用語で、虚偽入力、書き換え、消去、混同が防止されていることであり、「真正性」の概念のひとつである。
44,3,3)は見読性を説明する内容のひとつであり誤りである。真正性とは、正当な権限において作成された記録に対して、4)虚偽入力、書き換え、消去および混同が防止(完全性)されており、かつ第三者から見て、2)作成責任の所在が明確 (責任追及性)であることである。5)記録が完成し誤入力のないことが確認された時点でその記録の真正性が確保され、それ以後の修正は更新履歴として残される。1)代行操作の承認についてはシステム的な対応のみで真正性を確保するのは困難なため、運用管理規程で定める必要がある。
45,2,2)診療報酬の電子的請求は、診療行為コード、傷病名コード、医薬品コードを診療報酬明細書用のコードであるレセ電算コードで表記して提出することを目的としている。オンライン請求に必要な電子証明書はオンラインシステム専用認証局が発行管理している。資格認証を伴う電子証明書は、医療従事者による署名押印が必要な文書への電子署名に使用することができる。また、地域医療連携システムヘのログイン時に電子証明書による本人と資格情報を確認することで、アクセスが許可されたユーザーであり、かつ国家資格を有する医療従事者であることが確認できる。
46,1,1)「医療情報システムの安全管理に関するガイドライン第5版 」「8.1電子媒体による外部保存をネットワークを通じて行う場合」に、ネットワークを経由して診療録等を電子媒体によって外部機関に保存する場合は、安全管理に関して医療機関等が主体的に責任を負い適切に推進することが求められる、と記載されている。情報漏洩が起きたときは、受託事業者にすべて責任を負わせるのでなく、医療機関等は主体的に責任を負わなければならない。2)～5)診療情報の保管・処理の受託事業者が遵守すべきガイドラインとして「医療情報を受託管理する情報処理事業者向けガイドライン」がある。このガイドラインには、「責任のあり方」「医療情報の取扱に関する知識」「安全管理上の要求事項」「外部保存する際の基準」等が記載されている。
47,2.3,2)ユーザーの退職が決定したときは、ユーザーのIDは削除せずに、ログイン権限を速やかに停止する。IDを削除せずに利用権限停止にとどめるのは、医療情報システムのデータやログがユーザー IDと紐付けられており、ユーザーの情報を削除すると使用当時のユーザーが特定できなくなるからである。3)アカウントは、監査証跡としてのログを記録するとともにユーザー情報を照合している。複数のユーザーが共用で使用できるようにすると、ユーザーを特定することができず、真正性が確保されないため、適切ではない。1)、4)、5)はいずれも適切である。
48,3,3)システム障害の復旧のためにサーバーを再起動することはよく行われることではある。しかし、原因やその影響範囲が不明な段階でサーバーを再起動することは、障害を拡大したり原因の究明を困難にしたりする可能性がある。このため再起動は慎重に行うべきであり、ただちに行うのは適切ではない。1)、2)、4)、5)はいずれもシステム障害が起きたときにシステム管理部門が行うべき対応である。
49,5,システム障害は、発見が遅れるほど被害が広がり、修復に必要な作業量や時間が増える。ところが、管理部門における監視では検出できない段階で、医療現場のユーザーインターフェースに異常動作が生じることがある。さらに、適切な対応の判断には、管理部門による網羅的な障害範囲の特定が不可欠である。したがって利用者は、軽微であっても異常に気づいた場合は、診療業務への影響を含め、可及的速やかに管理部門に報告するとともに、極力自己判断による対応は避け、管理部門による決定を待つことが求められる。したがって選択肢の中では、1)～4)は望ましい行為、5)は避けるべき行為である。
50,3,3)人事管理システムは病院運営上必須のシステムであるが、病院情報システムの対象から外れることが多い。特に公的な病院ではより大きな組織が人事管理を行っており、病院が独立して管理する体制になっていない。人事考課に必要な情報は病院情報システムからも得られるが、病院情報システムを評価する際の関係性は低いと言える。病院情報システムは、部門での業務効率の向上とともに、業務の円滑化、病院全体の業務の最適化、健全経営のための経営指標の導出に役立つことが求められている。また、4)地域連携のためにも情報化は必須といえる。また医療の質の評価のためのデータ収集と評価の指標の導出にも必要である。そして、これらの機能は、1)医療安全の向上、2)患者待遇の向上に有用である。
51,4,4)HELICS(医療情報標準化推進協議会)は、保健医療福祉情報システムの標準化を推進する協議機関である。標準規格のうち、わが国の医療情報分野に適用し利用することが望ましい標準規格を選択審議し指針として定める活動を行っている。1)IPSJは情報処理学会のことである。2)IHE-Jは、運用ワークフロー (ユースケース)を定義し、このワークフローを実装するための標準規格の使い方を規定した仕様書を提供する。このワークフローを「統合プロファイル」といい、仕様書を「テクニカル・フレームワーク」という。3)JAHIS(日本保健医療福祉情報システムエ業会)は保健医療福祉情報システム提供者およびこれに関連する事業を営む法人を会員とする組織であり、技術規準の策定などを行っている。5)MEDIS-DC(医療情報システム開発センター)は標準病名や標準医薬品コードなど医療情報に係わる標準化の推進、個人情報保護や公開鍵基盤による情報セキュリティの確保など、医療情報システムの基盤づくりに取り組んでいる。
52,3,厚生労働省標準規格は、厚生労働省によって制定された標準規格である。制定に際しては、「標準に関する関係者合意を形成しうる団体」として、HELICS協議会が選定されている。制定された規格は厚生労働省が発出する通知で公表されている。2017年6月時点で最新のものは平成28年3月28日付医政発 0328第6号 政社発 0328第1号である。3)「JAHIS HPKI電子認証ガイドライン」はJAHISのセキュリティ委員会によって定められた「医療情報システムの安全管理に関するガイドライン」で示されたPKI(公開鍵基盤)を利用した認証に関連する要求事項を、実装レベルで解説したガイドラインであるが、 上記の通知には収載されていない。他の規格はすべて収載されている。
53,1.3,1)、3)標準病名マスターは「ICD10対応標準病名マスター」のことであり、MEDIS-DCが開発と管理を行っている。標準病名マスターは「索引テーブル」「病名基本テーブル」「修飾語テーブル」からなる。病名基本テーブルにはICD10のコードが収載されている。また、レセプト電算処理マスターとの連携が行われており、同一時期に同一内容でマスター更新されている。2)病名の接頭辞のような病名に付加して利用される修飾語をまとめたものが修飾語テーブルである。4)同義の病名に対しては同一のコードが付与されている。5)電子レセプト請求に用いられる「傷病名マスター」と「標準病名マスター」は事実上同じものとなっている。
54,5,5)画像検査オーダ情報のHISからRISへの送信フォーマットはHL7で規定される。1)読影レポートの規格は、DICOM-SR(DICOM構造化レポート)がある。日本ではあまり普及しているとはいえないが存在する。2)画像の圧縮方式はDICOMのタグに記載することが規定されている。3)画像に付随する検査情報もDICOMタグに記載することが規定されている。4)RISとモダリティ間の通信についてもMWM(Modality Worklist Management)、MPPS(Modality Performed Procedure Step)などが決まっている。
55,1,1)PDQ(Patient Demographic Query)には、患者氏名、生年月日、住所など患者を同定するための患者情報が記載される。2)PIX(Patient Identifier Cross Referencing)は名寄せ結果として、どのサーバーにどのようなIDで登録されているか記載したデータのプロファイルである。3)XCA(Cross Community Access)はコミュニティ間でのデータ連携のためのプロファイルである。4)XDS(Cross-Enterprise Document Sharing)は患者の診療情報を扱う。5)ATNA(Audit Trall and Node Authentication)はサーバー間通信のノード認証と通信のログを記載する。
56,5,1)PDI(Portable Data for Image)はCD-Rなど媒体にて画像データを移動する場合の保存形式、2)PDQはコミュニティ内での名寄せのために患者基本情報を示すためのプロファイル。3)PIXはコミュニティ内での名寄せデータ、各医療機関 (のサーバー)での患者番号を示す。4)SWF(Scheduled Workflow)は放射線ドメインにおけるスケジュールされた検査の業務フローに用いる。
