2017IS,問題文,選択肢,,,,
11,レセプト電算処理システムに関係しないのはどれか。番号を解答記入欄( 11 )にマークしなさい。,医療機関,介護施設,調剤薬局,健康保険組合,審査支払機関
12,通常、予約枠管理が必要でない検査はどれか。番号を解答記入欄( 12 )にマークしなさい。,胸部CT検査,胸部X線検査,血管造影検査,胸部MRI検査,大腸内視鏡検査
13,注射実施時の3点認証によって防止できないのはどれか。 番号を解 答 記入欄( 13 )に2つマークしなさい。,禁忌薬投与,実施入力もれ,患者の取り違え,ミキシングの間違い,オーダ変更の伝達もれ
14,電子カルテの代行入力について適切でないのはどれか。番号を解答記入欄( 14 )にマークしなさい。,作成責任者により速やかに承認する。,代行入力者のIDでシステムにアクセスする。,誰の代行が誰によっていつ行われたかを記録する。,代行入力をどの業務に適用するかを運用管理規程で定める。,一定時間後に自動確定し、代行入力者を作成責任者とする。
15,レジメンシステムに求められる機能として適切でないのはどれか。番号を解答記入欄( 15 )にマークしなさい。,登録されたレジメンに基づくスケジュール管理,オーダ時に抗がん剤を自由に組み合わせる機能,薬剤師による監査のための投与内容の確認機能,オーダされた抗がん剤の用量から最適な規格の組み合わせを示す機能,オーダ確定後、医師による最終承認が行われるまで実施ができない機能
16,処方監査にもっとも関連が低い患者情報はどれか。番号を解答記入欄( 16 )にマークしなさい。,体重,年齢,検査値,手術日,アレルギー歴
17,医薬品との関連がもっとも低いのはどれか。番号を解答記入欄( 17 )にマークしなさい。,手術オーダ,創傷処置オーダ,糖尿病食オーダ,レジメンオーダ,胸部単純撮影オーダ
18,医療用医薬品へのバーコード表示の目的でないのはどれか。番号を解答記入欄( 18 )にマークしなさい。,有効期限の明示,医薬品価格の明示,取り違え事故の防止,医薬品流通の効率化,トレーサビリティの確保
19,麻薬施用者番号を管理するシステムはどれか。番号を解答記入欄( 19 )にマークしなさい。,麻薬管理システム,処方オーダシステム,ユーザー管理システム,服薬指導支援システム,薬品情報提供システム
20,処方オーダの機能に含まれないのはどれか。番号を解答記入欄( 20 )にマークしなさい。,調剤監査,薬剤検索,禁忌チェック,薬剤情報表示,院外処方箋発行
21,オーダエントリシステムの抗がん剤プロトコルに関する機能として適切でないのはどれか。番号を解答記入欄( 21 )にマークしなさい。,休薬期間を管理する,抗がん剤のロット番号を管理する。,抗がん剤の累積投与量を管理する。,患者の体表面積から抗がん剤の投与量を算出する。,患者の検査結果値から抗がん剤の投与量を算出する。
22,臨床検査情報システムが有する品質管理機能でないのはどれか。番号を解答記入欄( 22 )にマークしなさい。,デルタチェック,レシオチェック,ストレスチェック,リミットチェック,パニック値チェック
23,検体採取ラベルに印字する必要がないのはどれか。番号を解答記入欄( 23 )にマークしなさい。,住所,採取日,患者氏名,患者番号,依頼診療科
24,検体検査に関するシステムについて正しいのはどれか。番号を解答記入欄( 24 )に2つマークしなさい。,標準化マスターの使用が義務付けられている。,オーダと検査結果は必ず1対1の関係にある。,微生物検査は結果に応じて追加オーダが発生する。,採取検体に対して複数の検査項目を指定できる必要がある。,血液検査の場合、入院・外来とも採血の実施時に実施情報が送信される。
25,生理機能検査に関するシステムの記述について適切なのはどれか。番号を解答記入欄( 25 )にマークしなさい。,呼吸機能検査の結果は数値のみである。,検査レポートの項目・書式は標準化されている。,心電図波形を自動判定するためにPDF形式で保存する。,心臓超音波検査の画像はPACSに保存することもできる。,腹部超音波検査では、患者受付時点で検査内容が確定している。
26,放射線検査の運用とそれに関連するシステムの組み合わせで誤っているのはどれか。番号を解答記入欄( 26 )にマークしなさい。,医師が検査を依頼する ― RIS,検査依頼情報を撮影装置に送る ― RIS,読影医が画像診断を行う ― PACS,医師が画像を閲覧する ― PACS,医師が撮影実施情報を確認する ― オーダエントリシステム
27,RISの機能でないのはどれか。番号を解答記入欄( 27 )にマークしなさい。,検査画像の参照,検査依頼の受付,使用した造影剤の登録,医事会計システムヘの実施情報の送信,物流システムヘの使用物品情報の送信
28,PACSについて適切でないのはどれか。番号を解答記入欄( 28 )にマークしなさい。,検像に利用する。,画像の保存と交換を行う。,DICOM規格が用いられている。,心電図波形の保管に対応している。,画像は1/20以上に圧縮して保存する。
29,「患者紹介等に付随する医用画像についての合意事項」(平成28年9月16日)に記載されていないのはどれか。番号を解答記入欄( 29 )にマークしなさい。,画像の圧縮を行わないこと,大量の画像を送らないこと,DICOM規格に違反しないこと,IHE統合プロファイルに準拠すること,1枚のCD-Rに家族のデータをまとめて記録すること
30,輸血部門システムについて誤っているのはどれか。番号を解答記入欄( 30 )にマークしなさい。,血液型不適合輸血を防止する機能が必要である。,血液製剤の使用記録ならびに患者輸血歴の保存期間を5年間とする。,血液製剤出庫の際にはコンピュータクロスマッチの機能が必要である。,輸血後2～3か月後に感染症マーカーをチェックできることが望ましい。,患者本来の血液型とは異なる血液製剤の払い出しを可能にする必要がある。
31,通常、手術管理システムに実装されないのはどれか。番号を解答記入欄( 31 )にマークしなさい。,使用材料入力機能,術中看護記録機能,麻酔管理記録機能,医師手術記録機能,手術室予約管理機能
32,歯科システムについて誤っているのはどれか。番号を解答記入欄( 32 )にマークしなさい。,患者基本情報は医科と同様の項目が必要である。,歯の部位毎に過去の診療履歴を保持する必要がある。,ミス防止のため複数歯を同時に選べない機能が必要である。,歯がない状態(喪失歯)でも、病名部位として選択できる必要がある。,複数歯に同一病名が付けられる場合、レセプトではそれらを部位で統合して表記する。
33,歯科の電子カルテシステムの運用において誤っているのはどれか。番号を解答記入欄( 33 )にマークしなさい。,処置中に参照される機会が多い。,処置終了後に入力される機会が多い。,患者基本情報のうち感染症情報がしばしば参照される。,診療開始前に直近の治療履歴が参照される機会が多い。,保険診療と自費診療では診療録を区別する必要がある。
34,看護業務を支援するシステムについて適切でないのはどれか。番号を解答記入欄( 34 )にマークしなさい。,患者の看護上の問題点の入力にNANDA-Iを利用することができる。,看護の経過を叙述的に記録するためSOAP形式の入力が用いられる。,看護計画の実施入力に利用できるMEDIS標準マスターが整備されている。,看護計画は患者の個別性に対応するためマスターを用いずに自由記載とする。,バイタルサインやケアの実施状況を表形式で一覧表示できる機能が求められる。
35,病棟指示の説明として適切でないのはどれか。番号を解答記入欄( 35 )にマークしなさい。,身体拘束は安静度の指示に基づき実施される。,医事会計システムと連携が必要な指示がある。,用法が複雑な注射・処方は病棟指示に基づき実施される。,測定・観察は指示がなくても看護師自らの判断で実施できる。,予測指示 (約束指示)に基づき患者に薬剤を投与し実施入力をする。
36,病院情報システムを更新する際の考え方として適切でないのはどれか。番号を解答記入欄( 36 )にマークしなさい。,要求仕様書作成のために詳細な現状分析を実施する。,現行システムで実現できている機能は要求仕様書に記載しない。,システム移行日は診療報酬請求や統計情報を考慮して設定する。,現行システムに接続中の既存機器を移行後も使用できるようにする。,データ移行では現行システムから抽出する情報をベンダーに詳細に確認する。
37,バランストスコアカード(BSC)の4つの視点に含まれないのはどれか。番号を解答記入欄( 37 )にマークしなさい。,顧客の視点,安全の視点,財務の視点,学習と成長の視点,業務プロセスの視点
38,システム導入手順のなかで、通常病院が実施しないのはどれか。番号を解答記入欄( 38 )にマークしなさい。,仕様書の作成,マスターの作成,リハーサルの実施,ユーザーの教育訓練,システムの内部設計
39,削除,,,,,
40,リース契約 (ファイナンス・リース)について正しいのはどれか。番号を解答記入欄( 40 )にマークしなさい。,物件の所有者はリース会社である。,リース料には保守料が含まれている。,リース期間中の中途解約はいつでも可能である。,リース会社はリース物件に対する瑕疵担保責任を負う。,契約期間満了時は必ず再リース契約をしなければならない。
41,医療情報システムにおける技術的安全対策でないのはどれか。番号を解答記入欄( 41 )にマークしなさい。,アクセスの記録,盗難、窃視等の防止,アクセス権限の管理,利用者の識別及び認証,ネットワークからの不正アクセス防止
42,病院と外部の機関とを接続する場合、セキュリテイの担保に必要でないのはどれか。番号を解答記入欄( 42 )にマークしなさい。,利用実態の監査を行う。,患者情報は必ず匿名化する。,セキュリティレベルを一致させる。,関連する組織で責任分界点を予め定める。,利用者の研修を行い、修了者にのみ利用させる。
43,診療録等の電子保存の3基準にあてはまるのはどれか。番号を解答記入欄( 43 )に2つマークしなさい。,運用性,可用性,完全性,見読性,保存性
44,電子保存の3基準のなかの真正性について誤っているのはどれか。番号を解答記入欄( 44 )にマークしなさい。,代行操作を認める場合は運用管理規程で定める。,情報の作成責任者が明確で、いつでも確認できる。,保存された情報を必要に応じて直ちに書面に表示できる。,過失による虚偽入力、書き換え、消去及び混同の防止を行う。,一旦確定した診療録等を更新した場合、更新履歴を保存する。
45,保健医療福祉分野 PKI(HPKI)署名用電子証明書を使わないのはどれか。番号を解答記入欄( 45 )にマークしなさい。,利用者の医療資格を確認するとき,診療報酬請求を電子的に行うとき,地域医療情報システムにログインするとき,紙のカルテをスキャンして電子保存するとき,診療情報提供書や患者紹介状を電子的に発行するとき
46,オンラインで医療情報の外部保存を委託する場合、適切でないのはどれか。番号を解答記入欄( 46 )にマークしなさい。,受託事業者が情報漏洩の責任をすべて負う。,受託事業者が独 自に第三者に提供しないように規定する。,受託事業者との委託契約に守秘に関連した項目を定める。,受託事業者が各種ガイドラインを遵守することを契約で定める。,受託事業者と結ぶネットワーク回線がガイドラインに適合していることを確認する。
47,システム管理部門における電子カルテシステムのアカウント管理について適切でないのはどれか。番号を解答記入欄( 47 )に2つマークしなさい。,2要素認証を採用した。,医師のIDを退職後に削除した。,複数のユーザーが共用のアカウントを使用できるようにした。,アクセスログを取得して、不正なアクセスをしていないか定期的に確認した。,アカウント登録時に、IDと初期パスワードが印刷された紙を直接本人に渡した。
48,障害発生時のシステム管理部門の対応として適切でないのはどれか。番号を解答記入欄( 48 )にマークしなさい。,障害の原因を調査する。,障害発生を院内に伝達する。,ただちにサーバーの再起動を行う。,障害の影響範囲の切り分けを行う。,障害の回復を確認して院内に伝達する。
49,システム障害時に利用者が行うべきでないのはどれか。番号を解答記入欄( 49 )にマークしなさい。,現在の業務への影響を把握する。,異常現象をシステム管理部門へ連絡する。,予想される影響をシステム管理部門へ正確に伝える。,周辺の端末でも類似した現象が起きていないかを確認する。,システム管理部門に報告することなく手書き運用に切り替える。
50,病院情報システムの評価と関係が薄いのはどれか。番号を解答記入欄( 50 )にマークしなさい。,医療安全の向上,患者待遇の向上,人事考課への反映,地域医療への貢献,事務作業の効率向上
51,医療情報標準化指針を採択している組織はどれか。番号を解答記入欄( 51 )にマークしなさい。,IPSJ,IHE-J,JAHIS,HELICS,MEDIS-DC
52,保健医療情報分野の標準規格(厚生労働省標準規格)でないのはどれか。番号を解答記入欄( 52 )にマークしなさい。,ICD10対応標準病名マスター,JAHIS臨床検査データ交換規約,JAHIS HPKI電子認証ガイドライン,SS-MIX2 ストレージ仕様書および構築ガイドライン,IHE統合プロファイル「可搬型医用画像」およびその運用指針
53,標準病名マスターについて正しいのはどれか。番号を解答記入欄( 53 )に2つマークしなさい。,MEDIS-DCが作成・管理している。,病名の接頭辞は病名ごとに別個のコードが振られている。,各々の病名に対してICD-10の分類コードが振られている。,同義の病名が複数ある場合はそれぞれにコードが振られている。,病名を電子レセプト請求に用いるために専用の変換ソフトが用意されている。
54,DICOM規格で規定されていないのはどれか。番号を解答記入欄( 54 )にマークしなさい。,読影レポート,画像の圧縮方式,画像に付随する検査情報,RISとモダリテイ間の通信,画像検査オーダの送信フォーマット
55,地域医療連携において患者名などによって患者情報の検索を行うための統合プロファイルはどれか。番号を解答記入欄( 55 )にマークしなさい。,PDQ,PIX,XCA,XDS,ATNA
56,コミュニティ間の連携基盤を提供する統合プロファイルはどれか。番号を解答記入欄( 56 )にマークしなさい。,PDI,PDQ,PIX,SWF,XCA
57,病院情報システムに格納されている検体検査情報をSS-MIX2標準化ストレージに保存するときに用いられるのはどれか。番号を解答記入欄( 57 )にマークしなさい。,DICOM,HL7,HOT,J-MIX,MFER
58,SS-MIX2標準化ストレージについて誤っているのはどれか。番号を解答記入欄( 58 )にマークしなさい。,災害対策として活用することも可能である。,リレーショナルデータベースの利用が必須である。,保健医療情報分野の標準規格(厚生労働省標準規格)の一つである。,提供・利用者が相互合意したJPEG形式の画像ファイルを拡張ストレージに保管できる。,標準化ストレージにはHL7 v2.5をベースとした処方、注射、検体検査結果を保管できる。
59,医療情報技師の3Cに含まれないのはどれか。番号を解答記入欄( 59 )に2つマークしなさい。,Collaboration,Communication,Connection,Consultation,Coordination
60,ナショナルデータベース(NDB)の説明で誤っているのはどれか。番号を解答記入欄( 60 )にマークしなさい。,医療動向を評価する上で悉皆性が高い。,レセプト情報と特定健診情報が含まれる。,介護保険による各種サービス利用情報は含まれない。,二次利用可能な一般公開されるデータベースである。,医療費適正化計画作成のための調査や分析に用いられる。
