2017II,問題文,選択肢,,,,
19,入院診療計画書について誤っているのはどれか。番号を解答記入欄( 19 )にマークしなさい。,患者に渡す必要はない。,多職種が共同して作成する。,推定される入院期間を記載する。,主治医以外の担当者名も記載する。,緊急入院の場合でも作成が必要である。
20,クリニカルパスの説明として誤っているのはどれか。番号を解答記入欄( 20 )にマークしなさい。,医療経営の効率化を図るうえで有用である。,診療所や病院が連携するうえで有用である。,医師独自の治療方針や検査計画の立案が可能となる。,診療情報を医療スタッフ間で共有することができる。,患者に治療過程を明示することによって安心感を与えることができる。
21,診療ガイドラインの目的でないのはどれか。番号を解答記入欄( 21 )にマークしなさい。,治療結果の評価,エビデンスの提供,患者への情報提供,施設間格差の解消,医療の標準化の推進
22,消化器に含まれるのはどれか。番号を解答記入欄( 22 )にマークしなさい。,肝臓,腎臓,尿管,副腎,下大静脈
23,24時間継続してデータを記録する検査はどれか。番号を解答記入欄( 23 )にマークしなさい。,心臓CT検査,トレッドミル検査,ホルター心電図検査,心臓カテーテル検査,心筋シンチグラフィ検査
24,大腸に含まれないのはどれか。番号を解答記入欄( 24 )にマークしなさい。,回腸,直腸,盲腸,S字結腸,横行結腸
25,適切でない組み合わせはどれか。番号を解答記入欄( 25 )にマークしなさい。,痛風 ― 尿素,糖尿病 ― インスリン,脂質異常症 ― コレステロール,バセドウ病 ― 甲状腺ホルモン,慢性閉塞性肺疾患 ― 喫煙
26,自己免疫性疾患はどれか。番号を解答記入欄( 26 )に2つマークしなさい。,帯状疱疹,関節リウマチ,自律神経失調症,本態性高血圧症,全身性エリテマトーデス
27,特定生物由来製品の使用記録の保存義務期限はどれか。番号を解答記入欄( 27 )にマークしなさい。,2年,5年,10年,20年,50年
28,全身的な効果が期待できない医薬品はどれか。番号を解答記入欄( 28 )にマークしなさい。,坐剤,顆粒剤,注射剤,軟膏剤,内用錠剤
29,院外処方箋の有効期間は発行日を含めて何日か。番号を解答記入欄( 29 )にマークしなさい。,1日,4日,7日,14日,30日
30,重症度、医療・看護必要度の評価に含まれないのはどれか。番号を解答記入欄( 30 )にマークしなさい。,寝返り,開腹手術,自己注射,食事摂取,心電図モニタ
31,前立腺がんの診療に用いられる腫瘍マーカーはどれか。番号を解答記入欄( 31 )にマークしなさい。,AFP,CEA,PSA,CA125,CA19-9
32,疾患と検査項目の組み合わせで正しいのはどれか。番号を解答記入欄( 32 )に2つマークしなさい。,肝炎 ― 血清アミラーゼ,腎不全 ― 血清クレアチエン,糖尿病 ― HbA1c,膵臓がん ― AFP,脂質異常症 ― CRP
33,誤っている組み合わせはどれか。番号を解答記入欄( 33 )にマークしなさい。,内視鏡検査 ― 検体検査,血糖検査 ― 検体検査,組織診断 ― 病理検査,12誘導心電図 ― 生理機能検査,スパイロメトリー ― 生理機能検査
34,X線検査に該当するのはどれか。番号を解答記入欄( 34 )に2つマークしなさい。,CT検査,MRI検査,核医学検査,超音波検査,血管造影検査
35,造影剤を使わずに血管撮影ができるのはどれか。番号を解答記入欄( 35 )にマークしなさい。,PET検査,MRI検査,X線CT検査,X線単純撮影検査,心筋シンチグラフィ
36,誤っている組み合わせはどれか。番号を解答記入欄( 36 )に2つマークしなさい。,ギプス ― 骨折の治療,ブジー ― 病的貯留の排出,栄養処置 ― 滋養浣腸,ドレナージ ― 狭窄部位に管を挿入して拡大,カウンターショック ― 心室細動に対する電気的刺激
37,診療報酬上リハビリテーションに分類されないのはどれか。番号を解答記入欄( 37 )にマークしなさい。,運動器リハビリテーション,感覚器リハビリテーション,廃用症候群リハビリテーション,心大血管疾患リハビリテーション,脳血管疾患等リハビリテーション
38,放射線治療について誤っているのはどれか。番号を解答記入欄( 38 )にマークしなさい。,形態や機能の温存ができる。,良性腫瘍で行うことはない。,手術後に予防的に行うことがある。,陽子線・重粒子線を用いる場合がある。,化学療法と併用して行うことがある。
39,POS(Problem Oriented System)について誤っているのはどれか。番号を解答記入欄( 39 )に2つマークしなさい。,POMRは監査しやすい記録形式である。,初期計画には患者に対する教育も含まれる。,問題点リストは疾患名を列挙したものである。,治療方針が変更された場合にもサマリーを作成する。,1回の経過記録でSOAP形式の全ての項目を記載する必要がある。
40,SOAP形式の経過記録について正しい組み合わせはどれか。番号を解答記入欄( 40 )に2つマークしなさい。,S ー 患者の訴え,O ー 病名,A ー 治療計画,P ー 検査結果,P ー 処方オーダ
41,看護記録の保管を義務づけているのはどれか。番号を解答記入欄( 41 )にマークしなさい。,医師法,健康増進法,医療法施行規則,保健師助産師看護師法,看護師の人材確保の促進に関する法律
42,人を対象とする医学系研究において配慮すべき点でないのはどれか。番号を解答記入欄( 42 )にマークしなさい。,倫理審査を受けること,研究の必要性を十分説明すること,プライバシーに十分配慮すること,研究者が医師の資格を有していること,被験者へのインフォームドコンセントを実施すること
43,「人を対象とする医学系研究に関する倫理指針」おいて「侵襲」として扱われないのはどれか。番号を解答記入欄( 43 )にマークしなさい。,切開,穿刺,放射線照射,治療のための投薬,造影剤を用いたMRI検査
44,コホート研究について誤っているのはどれか。番号を解答記入欄( 44 )にマークしなさい。,介入研究である。,前向き研究がある。,後ろ向き研究がある。,一定期間追跡調査する。,固定集団を観察対象とする。
45,有病割合が10%の母集団Aと、有病割合が20%の母集団Bに対して、感度と特異度がどちらも90%の検査を実施した。正しいのはどれか。 番号を解答記入欄( 45 )にマークしなさい。,陽性的中率も陰性的中率もAの方が高い。,陽性的中率も陰性的中率もBの方が高い。,陽性的中率も陰性的中率も、AとBは等しくなる。,陽性的中率はAの方が高く、陰性的中率はBの方が高い。,陽性的中率はBの方が高く、陰性的中率はAの方が高い。
46,順序尺度のデータの場合に使用しても差し支えない統計量はどれか。番号を解答記入欄( 46 )に2つマークしなさい。,分散,最頻値,中央値,平均値,標準偏差
47,年齢層が幅広く、分布が非対称である場合、年齢分布の要約統計量としてもっとも適切なのはどれか。番号を解答記入欄( 47 )にマークしなさい。,中央値と範囲,平均値と範囲,最頻値と変動係数,中央値と標準偏差,平均値と標準偏差
48,次の箱ひげ図から読み取れる解釈として、正しいのはどれか。番号を解答記入欄( 48 )にマークしなさい。,四分位範囲は15である。,平均値と中央値は等しい。,左右対称に分布するデータである。,10から50の範囲に含まれるデータ数は約50%である。,平均値±1×標準偏差の範囲に95%以上のデータが含まれる。
49,次の5つの値の中央値が2のとき、[ ]に当てはまる数値はどれか。番号を解答記入欄( 49 )にマークしなさい。-8、 [　 ]、 -5、 2、 4,-6,-2,0,1,7
50,「がん登録等の推進に関する法律」について誤っているのはどれか。番号を解答記入欄( 50 )にマークしなさい。,がんに係る調査研究に活用する。,収集する情報に個人情報は含まれない。,がんの診療に関する詳細な情報の収集を図る。,各都道府県の登録室へがん患者の罹患情報を届け出る。,罹患、診療、転帰等の状況をできる限り正確に把握する。
