2021IS,解答,解説
27,3,3)検体到着処理によって患者 IDやオーダとの結びつけを行うことで検体管理がなされるので必須の処理である。1)採取時刻が重要な検査項 目はあるが、検体検査システムのデータ管理は検査開始時刻で管理が行われる。2)電気泳動の結果など画像データとして報告されるデータもある。4)検査によって結果が出る時間は異なり異常データが出ることもあるので、まとめて報告することは必須ではない。5)検査結果の基準値は検査方法によって決まる。
28,5,1)生化学検査、2)血液凝固検査、3)赤血球沈降速度は血液から、4)細 菌培養同定検査は血液、喀痰、膿などから検体を採取し、当該検査が実施され、結果が返されるフローをとる。一方で、細菌薬剤感受性検査は、オーダ時には菌が検出されるか分からず同定検査結果に依存し、また、複数菌が検出された場合、各々についての感受性を調べるため、検査内容によっては追加オーダや医事システムヘの追加送信が必要な場合があリフローが異なる。よって、5)が正解である。
29,1,1)異常値が出た場合は再検することで複数の結果が出ることがある。2)はHL7に準拠した「JAHIS臨床検査データ交換規約」に基づいて接続される。3)血液ガス検査など外来迅速検査は機器としてシステムと連携することは少ないが、オーダ情報は連携する必要がある。4)POCT(Point of caretesting)は小型分析器や迅速診断キットを用いて患者の傍らで行う検査であり、医療情報システムとデータ連携することはできない場合が多い。5)採取管準備システムはオーダに基づいて、患者 IDと結びつけられた採血管に貼り付けるラベルを印刷するシステムである。
30,5,5)内視鏡による診療は予約時点では検査のみか治療を行うか不明の場合も多いので、確定することはできない。1)内視鏡の洗浄不 良は感染の恐れがあるので検査機器の洗浄・消毒の管理は重要である。2)検査中に組織採取を行った場合、病理検査を行うので連携することが必要である。3)内視鏡検査施行の際にPACSに保存されている画像を参照したり、内視鏡検査で撮影した画像をPACSで管理されることもあるので連携は必要である。4)撮影画像にマークしたり手書きの図を付けることもあるので、画像編集機能があることが必要である。
31,4,4)医療被曝の場合は、医療被曝で得られるメリットとデメリットを考えて決めるものであり、個人毎の被曝線量を計測してもその量だけで判断できるものではない。全体から判断して4)を唯一の誤りとする。1)は正しい。2)DICOM- RDSRは照射線量から被曝線量を推定したものである。3)MPPSにはX線照射情報があるので検査機器の情報から被曝線量を推定できる。5)患者毎の被曝線量を計測することで、他院と比較し平均被曝線量の多いプロトコールについて診断の質を考慮しながら見直しを図る。あるいはプロトコール内の高被曝線量の患者について検討して対策する、などを実行する。
32,5,SPID(Supply Processing Distribution)は、医療現場が必要とする医療消耗品等を各部署に的確に供給し、死蔵・過剰在庫の解消、請求・発注業務の軽減、保険請求漏れを防止することで、病院経営をサポートするシステムである。5)物品の統合・整理をすることはSPDの役割ではあるが、品目の減少にも繋がり多様化とはならない。1)～4)はSPDシステムの主たる導入目的である。
33,3,3)診療報酬明細書の作成業務は医事会計部門の業務であり、診療情報管理部門の業務ではない。診療情報管理部門において行われる業務は、1)がん登録および集計 資料作成、ICDに基づく病名コーディング、2)DPC疾 病分類によるコーディング支援、4)紙の診療録など患者 関連記録物の管理、5)診療録記載内容や退 院サマリーの確認および記載請求、各種統計資料の作成、等であり、システムとして備えるべき機能である。
34,3.5,医療機関におけるDWH(Data Ware House)は患者情報の二次利用を目的として設置するものなので、3)と5)の機能はDWHに求められる機能である。2)と4)は患者情報を入力するシステムが備えるべき機能であり、オーダエントリシステムや医事会計システムが持つべき機能で、DWHが備える機能ではない。1)データ漏洩防止は医療機関が利用するすべてのシステムが備えるべき機能でDWHがあることによって漏洩を防止できるわけではない。
35,3,リモート監視装置を導入して監視をするのはユーザ側であり、障害発生時には一次切り分けをユーザが行う。その際、ユーザ側が障害範囲、前後で行われた操作などを把握する必要がある。よって、3)は誤りである。1)、 4)、 5)は保守契約における基本的な対応と言える。2)端末は、障害発生時に使用する予備機を準備すれば業務に著しい影響はないので、保守の費用の軽減の目的のために、保守をスポット契約とすることは誤りではない。
36,5,5)業務委託は委託された業務を最後まで行うことが基本なので、作業の完成までの責任は受託会社が負う。1)、 2)人材派遣において、労働者は派遣先で業務を行うので業務指揮命令は派遣先が行う。一方、雇用しているのは派遣元なので雇用責任は派遣元にある。3)、 4)業務委託された業務について働く労働者は委託会社ではなく受託会社の下で働くので、受託会社が労働者の管理責任を負い、指揮命令も受託会社が行う。
37,1,利用者向け教育のタイミングと内容を問う問題である。1)新システム用マスタの設定後でないと、入力内容や画面遷移を正しく表示できず、適切でない。2)日時を決めた研修に夜勤などで参加困難な利用者がおり、空き時間の自習環境が必要である。3)教育日程と合わない利用者に教えられるよう代表者の出席を必須とする。4)システム全般に加え職種毎の内容を教える必要がある。5)実患者の履歴等に影響しないよう研修用ダミーを準備する。
38,5,5)ベンダ作成マニュアルでは各医療機関の運用状況が十分反映されず、加えて自習のみでは適切ではない。1)個人情報保護の内容はしばしばアップデートされ、教育の定期的実施が必要である。2)運 用管理規程をもとに教育訓練の周知を各医療機関で行う。3)真正性の担保は、システムだけでなく運用面での対応も必要である。4)オーダ締切時刻や修正権限などは病院によって異なるので、病院ごとに独自に作成したマニユアルを使用する。
39,4,システムの開発スケジュールと修正要望に関する問題である。機能修正の要望が複数の場合もあり、それらの優先順位を院内で合意した後、見積依頼するので、4)は適切である。機能修正の要望が機能設計やプログラム製造に及ぼす影響の大小によって、対応の可・不可があり、1)と2)は適切ではない。機能修正の要望への対応は院内、院外で情報共有し、特に予算は院内で合意を得るプロセスが必要で、3)と5)は適切ではない。
40,3,WTOの政府調達協定は、1996年1月1日に発効した国際条約で、国外企業の参入を容易にする目的で、所定の手続を定めている。「適当な場合には、デザイン又は記述的に示された特性よりも性能に着 目して、また、国際規格が存在するときは当該国際規格、国際規格が存在しないときは国内の強制規格、認められた国内任意規格又は建築規準に基づいて定める」とあり、3)調 達予定金額は含まれない。
41,1,1)システムエンジエアはシステム設計を行う。必要に応じて機器の設置場所や使用状況の調査を行うこともあるが、消耗品の補給は行わないので、誤りである。2)カスタマーエンジニアはシステムの安定稼働のため保守を行う。3)利用者は運用管理規程の遵守が前提である。4)ヘルプデスクはシステム操作のトラブルに対応する。5)CIO(Chief lnおrmation Omcer)は最高情報責任者で、組織全体の情報管理業務に責任を負う。
42,2,運用管理規程には、管理体制[1)、 3)、 5)]、教育と訓練 [4)]などを記載する必要がある。その他にも、管理者及び利用者の責務、一般管理における運用管理事項、業務委託の安全管理措置、情報及び情報機器の持ち出し、外部機関と医療情報を提供・委託・交換する、災害、サイバー攻撃時の対応、監査などがある。総則として、医療情報システムで扱う情報のリストアップは必要としているが、2)具体的な機器名やソフトウェア名は求められていない。
43,2,2)病 院情報システムを導入することで付随的に看護師の勤務状況が把握でき、その分析から問題点を抽出し、看護業務の体制の変更をすることは可能だといえる。しかし、それが残業時間の短縮につながるとは必ずしも言えず、経営状況に直結するとはいえない。
44,2,病院情報システムは導入病院における全業務を網羅していないことが多い。また、病院の業務フローも異なっているので対応していないことも多い。従って2)病院情報システムで実施できない内容は運用の変更で対応する。1)改修により運用の変更が伴わない場合と伴う場合がある。4)要求仕様書を満たしていた場合でも、稼働後に想定とは異なった場合は改修する可能性もある。5)診 療報酬改定の影響はオーダエントリシステムや各種部門システムに及び医事会計システムだけにはとどまらない。
45,5,部門のシステムの変更ではあるが、本番系の最終リリースの承認者は5)医療情報システム管理部門の管理責任者である。変更の影響が他システムにおよぶ可能性があるため事前に検証が必要であり、この作業は4)医療情報システム管理部 門の職員が行う。通常、1)部門の申請者、2)部門の管理者、3)プロジェクトマネージャーが他システムヘの影響を検証することはない。
46,3,「情報機器作業における労働衛生管理のためのガイドライン」(令和元年7月12日)が定められおり、作業環境管理、作業管理、健康管理、労働衛生教育について定めがある。その中で、3)は必要に応じて利用できるようにすることが規定されている。なお、同ガイドラインでは一連続作業時間は1時間を超えない、デイスプレイは、概ね40cm以上の視距離が確保できるようにする、ディスプレイはその画面の上端が眼の高さとはぼ同じか、やや下になる高さにすることが望ましいとされている。また書類上の照度がデイスプレイと大きく異なることは適切でない、とされている。よって3)以外は誤りとなる。
47,3,システム障害発生時は、影響範囲がどの程度かを確認しなければ対策を講じることが不可能であるため、3)を実施する。1)、2)、4)、5)は情報を収集後に行う障害への対応体制といえる。人為的、ハードウェア、ネットワーク、ソフトウェアなどの障害が明確になった場合に、1)、2)、4)、5)の行動をすることになる。
48,4,4)業務モデルに対しその中でHL7、 DICOMなどの標準規格を使って実現するかを示すもので、ある標準規格の使い方を示したものではない。Web技術や認証技術なども使用する。1)統合プロファイルではサーバや検索など機能をする「アクタ」と、「アクタ」を繋ぐ通信の「トランザクション」が規定されている。2)セキュリテイ関連のCT、 ATNA、名寄せ関連のPIX、 PDQ、共有内容自体のXDS、 XDS―Iなど多くのプロファイルを含むことになる。3)IHEのコネクタソンの認証を得たシステムは同等の接続性を持つことで選択可能になるので、選択肢は増えると言える。5)コネクタソンでは3つ以上のシステムの接続性を確認して認証するので、接続性を保証できる。
49,2,現在、わが国において各医療機関独自の患者IDを作成していることが一般的である。そのため、2)患者IDが異なっていた場合であっても、画像データの参照、取り込みは可能である。1)物理的な問題で読み込みができない、3)～5)規格が異なり取り込みができない場合である。
50,5,5)看護実践用語標準マスタは、MEDIS-DCが提供しているが、電子レセプトの基本マスタではない。電子レセプトの基本マスタは、医科診療行為、1)医薬品、2)修飾語、3)傷病名、4)特定機材、コメントマスタである。
51,4,現在医薬品に対して、包装形態の単位を調剤包装単位、販売包装単位、元梱包装単位に分けている。そして、医薬品の種類と包装形態の単位に対して、国コード、製造者コード、商品コード、使用期限、製造番号または、製造記号と数量が分かる仕組みになっている。JANコードには、有効期限、数量、製造番号がないため、4)使用期限が正解である。
52,2,JLAC10は日本臨床検査医学会が制定した臨床検査コードで、検査部 門からHISに検査結果を伝達する場合に使われるものであり、2)が誤りである。1)JJ1017指針はDICOM規格における「予約情報」および「検査実施情報」の利用手法と併せて放射線領域において情報連携される手法・行為を表現するコードとそのマスタを提供する指針である。3)DICOM― MPPS(Modality Performed Procedure Step)はモダリテイからRISに検査の実施状況を伝える。4)DICOM規格では検査機器からDICOMサーバに画像と共に照射情報を送信する。5)HL7では検査、処方等のオーダをオーダエントリシステムから検査システム等にオーダ情報を送信する。
53,1,1)SNOMED-CTは、 SNOMED internationalによってメンテナンスされる国際的な医療用語集である。2)CDA(Clinical Document Architecture)は、HL7による臨床文書の構造に関する規格である。3)CDISC(Clinical Data lnterchange Standards Consortium)は、臨床研究や臨床試験に関連するさまざまなデータの標準化を推進する団体およびその規格の総称である。4)LOINC(Logical observation ldentifiers Names and Codes)は、臨床検査の種類や結果、その他臨床用語、診療報酬請求用の用語・コードの規格である。5)ICNP(International Clas_sincationおr Nursing Practice : 看護実践国際分類)は、国際看護師協会による看護実践を記述する標準用語集である。
54,5,次世代医療基盤法の第 30条において、医療情報取扱事業者はオプトアウト方式で医療情報を認定匿名加工医療情報作成事業者に提供することができるとされており、5)が正解となる。「個人情報の保護に関する法律」では、本人に同意を得ずに第三者提供できる例外を第 23条第 1項～第 4項に示している。1)、2)、4)は第1項「法令に基づく場合」、3)は第 2項「人の生命、身体又は財産の保護のために必要がある場合であって、本人の同意を得ることが困難であるとき。」に該当する。
55,3,2021年1月公開の「医療情報システムの安全管理に関するガイドライン第5.1版」では、外部保存受託事業者がCookieを取得した場合、Cookieは直ちに個人を特定するものでなく患者情報には当たらないと考えられるものの、第三者提供先で個人が特定されるリスクがあるため、事業者は第三者へ提供してはならないとされた。よって3)が誤りである。1)サイバー攻撃を受けた場合のセキュリテイ体制、2)暗号化鍵や電子署名に用いる秘密鍵の鍵管理、4)、 5)新規導入システムの二要素 認証対応やパスワード認証の運用について、新たに追記または改訂された。
56,5,医療情報システムの安全管理に関するガイドライン(第 5.1版 )の「第 6章医療情報システムの基本的な安全管理」より、5)医療情報システム運用管理規程の整備及び適切な運用は、安全管理対策のための組織体制や運用管理規程の整備、対策のPDCAサイクルを確立する等の「組織的安全管理対策」に該当する。1)利用者への教育は人に起因する誤りの防止するための守秘義務や罰則を含む規定や教育、訓練に関する「人的安全対策」に該当する。2)サーバ室入退室の管理、4)機器や装置等の物理的な盗難対策の実施は、端末や媒体の物理的な方法による保護である「物理的安全対策」である。3)利用 者のアクセスログの監 視はICTによる「技術 的安全対策」である。識別・認証、アクセス管理、不正ソフトウェア対策、不正アクセス対策等が該当する。
57,2,医療情報システムの安全管理に関するガイドライン(第5.1版)の「6.10. 災害、サイバー攻撃等の非常時の対応」では、非常時に患者データヘのアクセス制限が医療サービス低下を招かないように、非常時用のユーザアカウントを用意する方法(ブレークグラス)を示している。ブレークグラスでは、非常時用ユーザアカウントは通常時には明示的に封印し、非常時に利用開始することを周知のうえ、使用痕跡を残し、定常状態への復帰後には新たな非常時用ユーザアカウントに変更するとしている。よって、2)が誤りである。1)、 3)～5)は非常時の対応として正しい。
58,1.5,電子保存の3基準である「真正性」とは、正当な権限で作成された記録に対し、虚偽入力、書換え、消去及び混同が防止されており、かつ、第三者から見て作成の責任の所在が明確であることである。1)利用者認証は責任の所在の明確化であり、5)タイムスタンプは作成記録がタイムスタンプを付与した日時から改ざんされていないことを証明できることから、真正性に直接関連する。2)、 4)は「保存性」、3)は「見読性」に関連する。
59,4,HPKI(Healthcare Public Key lnfrastructure : 保健医療福祉分野 PKI)の電子証明書は、本人認証に加えて、ISO17090(Health lnformatics - Public Key lnfrastructure)で定義されたhcRole(healthcare Role)と呼ばれる属性情報も認証することができる。hcRoleは医療従事者の資格に関する属性情報であり、厚生労働省が策定した「保健医療福祉分野 PKI認証局証明書ポリシ」に基づき、医師・薬剤師・看護師など26種類の保健医療福祉分野の国家資格と、院長・管理薬剤師など5種類の管理者資格を認証することができる。HPKIのhcRoleで認証できるのは4)医療従事者の資格のみである。
60,5,2014年11月に施行された医薬品医療機器等法(薬機法)では、単体プログラムも医療機器として規制対象となった。2021年3月に厚生労働省より通知された「プログラムの医療機器該当性に関するガイドライン」より、5)治療計画方法の決定を支援するプログラムは医療機器に該当する。1)、 3)は医療 関係者が使用することを目的とした院内業務支援プログラム、4)はデータの保管や転送のみを行うプログラム、2)は個人での使用を目的とした利用者への情報提供のためのプログラムであり、医療機器に該当しない。
