2021II,解答,解説
11,2.4,日本では、腹腔内脂肪蓄積を反映するウエスト周囲径が男性85cm、女性90cm以上に加え、下に示す3項目のうち2項目以上を満たす場合、メタボリックシンドロームと診断される。2)体重や4)尿酸は用いられない。・脂質 :高トリグリセリド血症 (150mg/dL以上)かつ/または5)低HDLコレステロール血症 (40mg/dL未満)・血圧:1)収縮期血圧130mmHg以上かつ/または拡張期血圧85mmHg以上・血糖 : 3)空腹時血糖 110 mg/dL以上
12,4,病床機能報告制度や地域医療構想では、病床の機能を5)高度急性期、2)急性期、1)回復期、3)慢性期の4つに区分し、それぞれ下表のように定義されている(医療法施行規則第30条33の2)。したがって4)療養期は誤りである。各都道府県は、各医療機関からの病床機能報告の情報を用いて、地域の医療機関が担っている医療機能と資源の現状を分析し、把握する。
13,4,"在宅医療と介護の連携については、平成23～24年度に「在宅医療連携拠点事業」、平成25年度から「在宅医療連携推進」が実施され、現在の「在宅医療・介護連携推進事業」は、介護保険法の地域支援事業に位置づけられている。本事業は、4)市町村が主体となり郡市医師会等と連携して取り組むものであり、""在宅医療・介護連携の課題の抽出と対応策の検討""、 ""切れ日のない在宅医療と介護の提供体制の構築推進""などを含む、8つの取り組みがなされている。"
14,2.4,医療の質評価は、設備や体制等に着目したストラクチヤー指標、診療の手順に着目したプロセス指標、成果に着目したアウトカム指標の3つの視点から行われる。診療の成果に着目した組み合わせである2)と設備の有無に着目した組み合わせである4)が正解である。1)手術後死亡率は診療の成果を示したものであるためアウトカム指標、3)早期リハビリテーション実施率は診療手順を示したものであるためプロセス指標、5)手術後合併症発症率は診療の成果を示したものであるためアウトカム指標となり、誤りである。
15,3,3)医療法施行規則第1条の11および第9条にて臨床研究中核病院においては倫理審査委員会の設置は義務づけられているが、一般病院や診療所では3)臨床倫理委員会の設置は義務づけられていない。1)、2)、4)、5)は平成19年の第 5次医療法改正により義務づけられた項 目であり、医療の安全に関する事項として各病院において設置が義務づけられている。
16,1.5,インシデントレポートは、医療現場に内在する危険要素やリスクを把握するための情報収集ツールである。1)医療事故が発生した場合にもインシデントレポートを起票するが、医療事故報告書ではない。5)患者の不利益の有無にかかわらず提出する必要がある。3)分析することで原因や関連するリスクを検討し、事前に対策を立てることを目的としている。2)ヒヤリとした、はっとした事例を把握することはインシデントを未然に防ぐことに繋がる。4)インシデントは発見者や当事者が報告し、患者への影響度が軽微なものやインシデントを未然に防いだものについても報告する。
17,1,厚生労働省は医薬品、医療機器等に係る安全対策の強化を目的として医薬品、医療機器等の品質、有効性および安全性の確保等に関する法律(医薬品医療機器等法)を定め、製造、販売、品質管理、副作用報告などを規定している。同法では、医療機器を「高度管理医療機器」、「管理医療機器」、「一般医療機器」に分類している。
18,3,標準予防策とは、「すべての人の血液、体液、分泌物、汗以外の排泄物、創傷、および粘膜には感染性がある」という考え方に基づいて行う感染対策のことである。トリアージとは、災害発生時などに多数の傷病者が発生した場合に、傷病の緊急度や重症度に応じて治療の優先度を決めることである。標準予防策には、2)手指衛生や4)個人防護具の使用、咳エチケット、腰椎処置の際の感染対策、安全な注射処置、1)患者配置、患者に使用した物品の安全な取り扱い、環境への対策、5)リネン類などの洗濯、職員の安全、安心な蘇生処置がある。
19,3,入院診療計画書は、入院に際して病名、症状、治療計画、検査内容および日程、手術内容および日程、推定される入院期間、看護計画や栄養計画などからなり、医師・看護師・薬剤師。理学療法士・管理栄養士など関係職員により作成される。これは医療法第6条の4および同施行規則第1条の5にて「入院した日から起算して7日以内に作成し、当該患者又はその家族に対し当該書面を交付して適切な説明を行わなければならない。」と規定されている。なお、入院診療計画書の診療スケジュールは患者用に作成されたクリニカルパスで代用することが可能である。
20,3,日本クリニカルパス学会ではクリニカルパスを「患者状態と診療行為の目標、および評価・記録を含む標準診療計画であり、標準からの偏位を分析することで医療の質を改善する手法」と定義している。診療行為の結果をアウトカム、日標との偏位をバリアンスという。アウトカムが達成されない状態は、3)バリアンスである。バリアンスを集積・分析し、クリニカルパスを改定することで診療の質を向上することができる。
21,1,診療ガイドラインとは、Minds(EBM普及推進事業)の定義によれば「健康に関する重要な課題について、医療利用者と提供者の意思決定を支援するために、システマティックレビューによリエビデンス総体を評価し、益と害のバランスを勘案して、最適と考えられる推奨を提示する文書」とある。したがって1)は正しい。臨床現場における意思決定の際に判断材料の一つとして利用されるが、個々の患者の状況に当てはまるとは限らず、最終的な判断は、患者と主治医が協働して行われる。したがって、2)診療にあたリガイドラインに従う義務はなく、3)保険診療の範囲にも影響しない。診療ガイドラインは専門学会などが5)専門家の意見や経験ではなく、科学的根拠に基づいて作成・公表しており、4)国の審査は不要である。
22,3,3)尿崩症とは、抗利尿ホルモン(バソプレシン)を産生する脳下垂体の機能低下 (中枢性尿崩症)あるいは腎臓の反応性低下 (腎性尿崩症)により、腎臓での尿の濃縮が十分に行われず、体内の水分バランスを崩すほどの多量の尿を排出する疾患である。膀脱や膀眺周囲の疾患(神経因性膀脱、膀脱炎、前立腺肥大など)では、尿回数は増える(頻尿)が尿量は増えない。
23,1,膵臓は、消化酵素を含む膵液を腸管内へ分泌(外分泌)するほかにも、内部に点在するラングルハンス島と呼ばれる小さな細胞の集塊から、インスリンや1)グルカゴン(いずれも血糖値調節に関与)、ソマトスタチンなどのホルモン分泌(内分泌)も行っている。2)オキシトシン、4)成長ホルモンは下垂体後葉、5)アルドステロンは副腎皮質から分泌される。3)カルシトニンはカルシウム・リン代謝に作用ホルモンであり甲状腺から分泌される。
24,5,5)アナフイラキシーは、主として過去に暴露され免疫を有している原因物質に再度暴露された際に急速に引き起こされる全身性のアレルギー反応により、皮膚の紅潮。そう痒、気道狭窄・呼吸困難、血圧低下 ・意識障害などを伴うものである。1)日本脳炎は日本脳炎ウイルスによる感染症、2)腹部大動脈瘤は、 高血圧・動脈硬化・遺伝素因・加齢等により大動脈内腔が異常に拡大するもの、3)再生不良性貧血は骨髄の異常により血球が減少するもの、4)胆のうポリープは胆のうの内腔上皮の一部が増殖していぼ状に隆起したものであり、いずれもアレルギー反応は主因ではない。
25,5,後発医療用医薬品とは、新しい有効成分や効能・効果等を有することが臨床試験等により確認され承認された新薬 (先発医薬品)の特許が切れた後に、その新薬と同一の有効成分を同一量含み、同一投与経路の製剤であり、効能・効果、用法・用量も原則的に同一の医薬品で、5)生物学的同等性試験等にてその新薬と治療学的に同等であることが検証されたものをいう。 したがって、3)開発のために成分探索を行うことはなく、4)新規性の評価が行われることもない。1)開発期間も多くは2～3年と短い。2)後発医薬品の初収載薬価は先発医薬品の×0.5を基本とし、同一銘柄の品目数や同一規格数などによる調整や補正が行われる。
26,4,特定生物由来製品取扱医療 関係者は、担当した特定生物 由来製品の使用の対象者の氏名、住所、名称及び製造番号又は製造記号、使用した年月日、その他の保健衛生上の危害の発生又は拡大を防止するために必要な事項を記録しなければならない。また、薬局の管理者又は病院、診療所若しくは動物診療施設の管理者は、この記録を使用した日から起算して少なくとも4)20年間、保存しなければならない(医薬品医療機器法第68条の22、同施行規則第 237条、240条)。
27,4,麻薬及び向精神薬取締法第3条(免許)に、「麻薬輸入業者、麻薬輸出業者、麻薬製造業者、麻薬製剤業者、家庭麻薬製造業者又は麻薬元卸売業者の免許は厚生労働大臣が、麻薬卸売業者、麻薬小売業者、麻薬施用者、麻薬管理者又は麻薬研究者の免許は都道府県知事が、それぞれ麻薬業務所ごとに行う。」とある。したがって、麻薬施用者免許を交付するのは4)都道府県知事である。
28,3,処方箋の記載事項については、医師法施行規則第21条および歯科医師法施行規則第20条に、「患者に交付する処方せんに、患者の氏名、年齢、薬名、分量、用法、用量、発行の年月日、使用期間及び病院若しくは診療所の名称及び所在地又は医師(歯科医師)の住所を記載し、記名押印又は署名しなければならない。」とある。したがって、3)が正解である。近年、調剤薬局での処方鑑査の一助となるよう、処方箋に5)臨床検査値や、医師が1)病名等を入力して印字する機能を持つ医療機関もあるが必須ではない。4)処方箋は医師による処方指示であり、そこに薬剤師は関与しない。2)患者住所は通常の処方箋では記載の必要はないが、麻薬処方箋では必要である。
29,1.4,看護実践用語標準マスターは、(財)医療情報システム開発センター (MEDIS-DC)が厚生労働省の委託を受けて作成した用語集であり、1)看護観察編と4)看護行為編から構成されている。看護観察編は、観察結果を記載するための項目名称として作成された用語集、看護行為編は行為名称を整理した用語集となっている。
30,3,臨床検査は、患者から排出・採取された血液・組織・糞尿等を材料とする検体検査と、患者の体に各種のセンサーを装着し、その信号を記録する生理検査に大別される。臨床検査は、血液学的検査(赤血球数・血沈など)、 生化学的検査[2)血糖検査・4)血液ガス分析など]、血清学的検査(CRPなど)、微生物学的検査(細菌培養など)、 病理学的検査[1)細胞診・組織診など]、 一般検査(便潜血など)などに分類される。生理機能検査には、5)心電図検査、呼吸機能検査、超音波検査、脳波検査などがある。3)炎症反応検査は代表的な炎症反応性蛋白であるCRPをはじめ、検体を用いる検査である。
31,3,3)ASTやALTは、肝細胞内に存在する酵素であり、軽微な肝細胞の傷害であっても血液中に逸脱し血中濃度が上昇する。厳密な意味での肝臓の機能 (蛋白合成能など)を表すものではないが、肝機能障害の主因がウイルスやアルコールなどによる炎症であり、細胞傷害に伴ってこれらが鋭敏に上昇するため代表的な肝機能検査として用いられる。主に筋に含まれる4)CKは筋細胞の傷害(心筋梗塞など)、 2)尿素窒素(BUN)は腎機能低下、1)血糖と5)HbAlcは糖尿病の診断に用いられる。
32,3,3)PSAは前立腺から精液内に分泌される蛋白で、前立腺がんで血中濃度が上昇するため、腫瘍マーカーとしてスクリーニングや治療判定に用いられる。1)T3は甲状腺ホルモンであり、血中濃度はBasedow病で上昇、橋本病などで低下する。2)GFRは腎臓の糸球体濾過量 (単位時間あたりの糸球体で濾過される血液量)であり、腎臓の機能を反映する。4)CRPは代表的な炎症反応性物質である。5)HbAlcは、赤血球内のヘモグロビンのうち、非酵素的にグルコース(ブドウ糖)と結合したものの割合であり、糖尿病の診断や経過観察に用いられる。
33,1,細胞内電解質は、1)K+とHPO42-でその大部分が占められる(K+:150mEq/L、 HPO42-:100mEq/L程度)。一方、Na+、 Cl-(塩素)は細胞外液(血漿と組織間液)に多く含まれ[3)Na+:140mEq/L、2)Cl~:105mEq/L程度]、体液浸透圧や細胞外液量の維持に寄与している。K+の細胞外液濃度は細胞内の数十分の一と低く保たれている。この濃度差は神経・筋の興奮・収縮に重要であり、例えば血中K+上昇は不整脈の原因となる。4)Ca2+、 5)Mg2+も細胞内でそれぞれ信号伝達や酵素活性化などに関連して重要な役割を持つが、濃度としてはK+よりずっと低い。
34,3,生理機能検査とは、患者の身体を対象にして計測を行う検査であり、心電図検査や3)心臓エコー検査をはじめとする各種超音波検査、肺機能検査、脳波・筋電図検査などがある。1)髄液検査は腰椎穿刺で脊髄腔に針を留置して脊髄圧を測定し、髄液を採取する検査で、髄膜炎等の診断に用いられる。検体の性状観察のほか、細胞数や糖、蛋白、Cl等を測定する。2)骨密度検査には放射線を用いるものが多く、エネルギーの強さの異なる2種類のX線を照射し骨と軟部組織の吸収率の差で骨密度を測定するDEXA法が代表 的である。4)腫瘍マーカーは癌が特異的に産生する物質で、腫瘍の有無や種類、進行度の指標となる血液検査である。5)骨シンチグラフイ検査は核医学検査で、骨のカルシウム代謝の盛んな部位に集積する99mTc-HMDPを用いて画像化し、骨転移や骨折の診断に用いられる。
35,2.4,眼科の検査ではさまざまな診察や検査においてまわりの光環境が影響するのこのため眼科では、診察や検査を明室(明るい部屋)と暗室(暗い部屋)を使い分けて行う。4)視力や調節 ・2)色 (色覚など)・斜視の検査などは明室で行う。一方、細隙灯顕微鏡(立体顕微鏡)を使って眼球の前から奥までを詳細に検査する5)細隙灯検査や、倒像鏡を使って眼底をくまなく観察する1)眼底検査などは、暗室の中で行う。3)視野検査・眼底写真撮影なども暗室の中で行う必要がある。
36,3,3)PET(Positron Enlission Tomography)は腫瘍など目的臓器に集積しやすい放射性同位元素を含む薬剤を人体に投与し、体外に放出されるγ線を体の周囲360°方向から同時計測して、放射性医薬品の体内分布を断層画像にするものである。1)CT、 4)骨密度検査、5)血管造影検査はいずれも放射線等を照射して、その透過像や吸収値から画像を得るものである。2)MRIは磁気と電磁波を用いることで体内の水素原子が反応して放出される信号をコンピュータ解析して画像化するものである。
37,2,MRI、 血管造影検査が用いられる。慢性肝疾患等で、肝表面の観察や組織診断を行うために腹腔鏡検査を行うことはあるが、がんの診断に用いることは少ない。組織診断を行う場合でも超音波下肝生検が行われる。1)胃がんや3)大腸がんのような消化管疾患の診断には内視鏡検査が広く用いられる。4)胆管がんは、肝臓がんと同様に超音波検査やCT、 MRIによる画像診断が重要である。さらに病巣の詳細な観察や組織診断を行う場合は、経乳頭的な胆管鏡を用いる。5)膀洸がんの診断には、経尿道的に膀脱鏡を挿入して直接観察と組織診断を行う。
38,3,悪性腫瘍の治療では、腫瘍の根治を目的とするものを3)根治的治療、根治的治療が困難で症状緩和を目的とするものを姑息的治療といつ。手術を行う場合は 2)外科的治療または 1)観血的治療、手術を行わず薬物を主として行う治療を薬物治療、内科 的治療あるいは 5)非観血的治療という。非観血的治療には放射線、レーザー、凍結など物理エネルギーを使用するものを含む。また、生体の治療に対する負担が大きいものを4)侵襲的治療、負担が少ないものを非侵襲的治療という。
39,3.5,3)手術説明同意書は、インフォームドコンセントの観点から、侵襲性の大きい検査や手術にあたり、患者への説明と同意書の取得時に必須とされているものである。5)入院診療 計画書は医療法第 6条の4および同施行規則第1条の5にて、入院後7日以内に作成し、患者に交付・説明することが義務付けられている。1)看護サマリの保存は医療法で義務づけられているが、患者の確認は必要としない。2)退院サマリは、患者の入院時の診療内容の要約で、退院後に医療従事者間の情報共有で活用されるもの、4)診療情報提供書は、他医療機関への患者紹介時や検査結果の報告等のために作成されるもので、いずれも患者の確認は必要としない。
40,1,医療法施行規則第20条において診療に関する諸記録は病院日誌、各科診療日誌、処方せん、手術記録、看護記録、検査所見記録、エックス線写真、入院患者及び外来患者の数を明らかにする帳簿並びに入院診療計画書とされ、保存期間は1)過去2年間とされている。
41,2,感度とは「病変がある人のうちで、検査が陽性になる人の割合」、特異度とは「病変のない人のうちで、検査が陰性になる人の割合」のこと。従ってこの検査における感度と特異度は以下の通りで、2)が正しい。感度 = 3 / ( 3 + 2 ) = 0.6(60%)　特異度 = 10 / ( 5 + 10 ) = 0.666...(67%)
42,5,5)多くはランダム化比較試験 (RCT)のような質の高い研究が対象であるが、それ以外のものも用いられる。システマティック・レビューとは、文献をくまなく調査して、出版バイアスのようなデータの偏りを限りなく除き、研究のエビデンスについて系統的な検索、特定、選択、評価、統合を行うことで、エビデンスレベルは最も高い。診療ガイドラインとは、複数の臨床研究のシステマティック・レビューとその総体評価、益と害のバランスなどを考慮して、思者と医療者の意思決定を支援するために最適と考えられる推奨を提示する文書である。よって1)～4)は正しい。
43,3.4,3)、4)が正しい。探索試験 (前期・後期)は少人数の患者を対象に「第Ⅱ相」で実施する。1)検証試験は、多数の患者を対象に、実際の治療に近い形での効果と安全性を調べるために「第Ⅲ相」で実施する。2)臨床薬理試験は、臨床試験の「第Ⅰ相」において健常人を対象として実施される。5)製造販売後臨床試験は、時間的制約その他の理由から、新薬の承認・市販後に実施される試験のことで、市販前に行われる臨床試験とは異なる。
44,3,箱ひげ図の作成には、まずデータを大きさ順に並べ25%ずつ4等分する。下位25%点(順位が下から25%点の値、25パーセンタイル)を第1四分位数、50%を2)中央値、75%を5)第3四分位数という。箱の両端は、第1四分位数と第3四分位数で、箱の中に中央値(50%点)を記入する。箱の長さを4)四分位範囲と呼ぶ。ひげは、最大値・1)最小値や5%・95%値を示すのに使用される。適当な形(色を変えた線、星形など)で平均値を示すこともある。3)標準偏差とは平均値からの散らばり具合(ばらつき)を表す指標の一つであり、箱ひげ図で表現することはできない。
45,4.5,データのばらつきを示す指標は、4)標準偏差(正規分布の場合)と5)4分位範囲(正規分布であることを必要としない)である。1)最頻値、2)中央値、3)平均値は、データの分布の位置 (大きさ)を示すものである。
46,2.5,2)符号検定は、「介入」の前後で測定値に変化があったかどうかを検定する方法である。測定値そのものは使用せず、その増減の方向のみを使用するため、母集団の分布を仮定する必要がない。5)Wilcoxonの順位和検定は、測定値の大きさの大小関係に注目して、各測定値の全体中の順位(rank)をデータとして使用する。測定値そのものは使用しないため、母集団の分布を仮定する必要がない。1)、3)、4)は、母集団が正規分布していることを仮定して行う検定である。
47,5,仮説検定では、まず2)対立仮説と帰無仮説を立て、1)有意水準を設定し、3)検定のために使う統計量を決める。4)観測したデータから検定統計量の値を計算し、帰無仮説が成り立つ場合の検定統計量の分布を求め、一定の有意水準での棄却域を決める。検定統計量の値が棄却域に含まれれば帰無仮説を棄却し対立仮説を採用するため、5)は誤りである。
48,2,DPC対象病院のみに提出が求められているのは診断群分類点数表により算定する患者の包括評価点数等をまとめた2)Dファイルである。1)様式1はDPC準備病院を含む調査参加病院、3)Hフアイルは対象入院料を算定している病院、4)外来EF統合ファイルはDPC対象病院およびデータ提出加算 2を算定している病院、5)入院EF統合ファイルは入院医科保険を利用する全患者に提出が求められている。
49,1.4,NDBの正式名称はレセプト・特定健診等情報データベースであり、NDBには電子化された2008年度実施分からの1)特定健診データおよび2009年4月分からの4)医療保険レセプトデータが格納されている。
50,5,全国がん登録は2013年に成立した「がん登録等の推進に関する法律(がん登録推進法)」によって定められた事業であり、がんと診断された人の基本情報・腫瘍情報・初回治療情報・生存状況情報・管理情報の各データを5)都道府県に設置されたがん登録室に届け出ることが義務化されている。
