2021IS,問題文,,,,,
11,地域医療連携システムの名寄せについて誤っているのはどれかの番号を解答記入欄( 11 )にマークしなさい。,各医療機関からPDQ情報を収集して、同一患者を推定してPIX情報を作成する。,医療機関の医師が持つカードと患者のカードで同時に認証して電子カルテを参照する。,患者にカードを配布してそのカード番号と診療を受ける医療機関の患者番号を窓口に登録する。,患者に自分が受診している医療機関の患者番号を列挙したものを窓口に提出してもらい登録する。,A病院が、思者からB病院を受診しているとの報告を受けて、B病院の患者番号を問い合わせて登録する。
12,地域医療連携におけるIHEで関連がない組み合わせはどれか。番号を解答記入欄( 12 )にマークしなさい。,時刻サーバ　ー　CT,名寄せサーバ　ー　PIX,利用者認証サーバ　ー　ATNA,SS-MIX2サーバ　ー　XDS,DICOMサーバ　ー　XDS-I
13,患者基本情報を使用しないのはどれか。番号を解答記入欄( 13 )にマークしなさい。,重症系システム,手術部門システム,物流管理システム,生理機能検査業務支援システム,医用画像管理システム(PACS)
14,下の図は病院情報システムの主要なシステムと情報の流れを示している。図の( A )にあたるシステムはどれか。番号を解答記入欄( 14 )にマークしなさい。,部門システム,医事会計システム,物流管理システム,電子カルテシステム,オーダエントリシステム
15,医療安全への配慮として適切でないのはどれか。番号を解答記入欄( 15 )にマークしなさい。,ある患者のカルテを記載中は、別の患者のカルテは参照モードで開く。,医師は、個々の代行入力内容を確認せずに一覧画面から一括承認できる。,血液型は、異なるタイミングで採血した結果が一致してはじめて確定される。,電子カルテの画面を開じると同一患者のPACSの表示画面も運動して閉じる。,電子カルテシステムにログインしたまま一定時間操作が行われない場合は、強制的にログオフする。
16,削除,,,,,
17,注射実施時の三点認証の対象でないのはどれか。番号を解答記入欄( 17 )2つマークしなさい。,患者,薬剤,実施者,主治医,実施場所
18,JAHISの基本データセットで、薬剤アレルギー情報に含まれないのはどれか。番号を解答記入欄( 18 )にマークしなさい。,症状,病名,発現日,情報提供者,アレルゲン名称
19,医師事務作業補助者の代行入力について誤っているのはどれか。番号を解答記入欄( 19 )に2つマークしなさい。,医師事務作業補助者は医師の権限でログインする。,代行入力の範囲や運用に関する規程を定めなければならない。,医師事務作業補助者の記録を承認することをカウンターサインという。,リスクの高いオーダは代行入力の対象外とすることで安全性を確保できる。,医師事務作業補助者が代行で記載した記録を医師は承認しなければならない。
20,オーダエントリシステムについて誤っているのはどれか。番号を解答記入欄( 20 )にマークしなさい。,利用者認証の機能が実装されている。,診療報酬明細書を発行するシステムである。,医師は行為の承認、結果の確認などを行う。,医師の指示を医療スタッフに伝えるシステムである。,入力される情報は診療報酬請求に必要な内容を含んでいる。
21,予約機能が必要なシステムはどれか。番号を解答記入欄( 21 )に2つマークしなさい。,外来受付システム,病名登録システム,病理検査システム,処方オーダシステム,放射線検査システム
22,病棟指示について誤っているのはどれか。番号を解答記入欄( 22 )にマークしなさい。,病棟処置オーダは医事会計システムとの連携が不要である。,看護師が互いに日常ケアの内容や方法を伝達するために行う。,予測指示 (条件付き指示)にもとづき看護師は薬剤を投与できる。,1回で終了する指示と中止・修正するまで継続する指示が混在する。,病棟指示システムでは正確な進捗状況が把握できることが望ましい。
23,歯科診療に関するシステムの機能として正しいのはどれか。番号を解答記入欄( 23 )に2つマークしなさい。,処置の履歴は歯単位で保持する。,医科と同じ書式のレセプトを用いる。,部位が異なれば病名の重複を認める。,部位を選択するとき、複数歯を同時に選べないようにする。,歯がない状態(喪失歯)では、病名部位を選択できないようマスタ設定する。
24,ゼネラルリスクマネージャーが中心となって使用するシステムはどれか。番号を解答記入欄( 24 )にマークしなさい。,SPDシステム,病床管理システム,オーダエントリシステム,レセプトチェックシステム,インシデントレポートシステム
25,処方オーダシステムの仕様として適切でないのはどれか。番号を解答記入欄( 25 )にマークしなさい。,調剤開始後であっても、医師は処方を修正できる。,内服薬は、1回量と1日服用回数での表記を標準とする。,特別な理由があれば、定められた日数以上の処方ができる。,患者の状態に応じて調剤形態(一包化など)の指示ができる。,原薬量指示の場合には、それが原薬量であることを明確に伝達できる。
26,注射薬の払い出し方法について適切でないのはどれか。番号を解答記入欄( 26 )にマークしなさい。,払い出しは実施単位で行うことが推奨される。,払い出しと実施のタイミングは近いことが望ましい。,緊急で使用する定数配置されていない医薬品は、1本渡し方式となる。,定数配置されている医薬品を使用する場合は、週末に1週 間分をまとめてオーダする。,締め切り時間内になされたオーダについては、部署ごとに定時に一括で払い出す方式が効率的である。
27,検体検査部門システムについて正しいのはどれか。番号を解答記入欄( 27 )にマークしなさい。,検体採取時刻による管理が行われる。,検査結果はすべてテキストデータである。,検体到着処理を行ってから検査を実施する。,同時に依頼された検査はまとめて報告される。,同一医療機関の同一検査項目の基準範囲は一定である。
28,業務フローが他と異なる検体検査オーダはどれか。番号を解答記入欄( 28 )にマークしなさい。,生化学検査,血液凝固検査,赤血球沈降速度,細菌培養同定検査,細菌薬剤感受性検査
29,臨床検査部門システムについて正しいのはどれか。番号を解答記入欄( 29 )にマークしなさい。,単一の検査オーダから複数の検査実施結果が出る場合がある。,検査情報システムと自動分析機との接続にはDICOMが用いられる。,外来迅速検査のオーダ情報は医事会計システムヘ連携する必要がない。,臨床現場即時検査(POCT:POint Of care Testing)機器はオーダ情報を受け取る。,採取管準備システムは、採取管に付けられた番号を読み取り、それを患者 IDと関連付ける。
30,内視鏡部門システムについて誤っているのはどれか。番号を解答記入欄( 30 )にマークしなさい。,洗浄・消毒の履歴管理を行う。,病理検査との連携が必要である。,放射線画像との連携が必要である。,レポートに使用する画像の編集機能が必要である。,予約時点で検査か治療かを確定する機能が必要である。
31,令和2年4月から施行された医療法施行規則の被曝線量管理について誤っているのはどれか。番号を解答記入欄( 31 )にマークしなさい。,透視装置では線量計の情報を用いることもある。,CTの場合、DICOM-RDSRに患者被曝線量が記載されている。,DICOM―RDSRに対応していない場合にはDICOM― MPPSを用いる。,患者毎の被曝線量を管理し、患者個人の被曝線量を減らすことが目的である。,患者毎の被曝線量を管理し、プロトコール毎の被曝線量を減らすことが目的である。
32,SPDシステムの導入目的でないのはどれか。番号を解答記入欄( 32 )にマークしなさい。,在庫スペースの削減,定数管理に基づく安定した供給,余剰在庫、デッドストックの解消,発注・検品にかかわる業務の効率化,物品の統合・整理による品目の多様化
33,診療情報管理部門システムに求められる機能でないのはどれか。番号を解答記入欄( 33 )にマークしなさい。,がん登録支援,DPCコーディング支援,診療報酬明細書作成支援,紙の診療録のアリバイ管理・貸出管理,患者基本情報と退院時要約情報の収集、点検
34,医療機関におけるDWHの機能はどれか。番号を解答記入欄( 34 )に2つマークしなさい。,データの漏洩を防止する。,入カデータを自動的に標準化できる。,研究対象となる症例候補を検索できる。,入力途中のデータを判別して自動で抽出できる。,症例の基本データセットを統計解析用に出力できる。
35,ベンダとの保守契約の締結で誤っているのはどれか。番号を解答記入欄( 35 )にマークしなさい。,SLAの内容が契約書に組み込まれていることを確認する。,保守契約はサーバ系のみとし、端末はスポット対応とする。,リモート監視ツールを導入して、一次切り分けをベンダに依頼する。,インフラや部門システムの優先度に応じた保守体制のSLAを締結する。,ベンダとの対応が可能な各部門の担当者、病棟責任者などで構成される緊急連絡網を構築する。
36,業務委託と人材派遣に関する記述で正しいのはどれか。番号を解答記入欄( 36 )にマークしなさい。,人材派遣では派遣先に労働者の雇用責任がある。,人材派遣では労働者は派遣元から指揮命令を受ける。,業務委託では委託会社が労働者の労務管理責任を負う。,業務委託では労働者は委託会社から指揮命令を受ける。,業務委託では受託会社が作業の完成についてのすべての責任を負う。
37,新システム導入時の利用者向け教育について適切でないのはどれか。番号を解答記入欄( 37 )にマークしなさい。,利用者向け教育は、新システム用各種マスタの作成前に行う。,操作研修は日時を決めて行う他、空き時間に各自白習できる環境を準備する。,各部署の代表者の出席を必須とし、出席できない利用者への周知を依頼する。,システム全般に係る教育と職種毎の内容に特化した教育を分けてスケジュールする。,利用者向けの操作研修時に使用する患者として、実在しない研修用のダミーを準備する。
38,医療情報システムの利用者教育について適切でないのはどれか。番号を解答記入欄( 38 )にマークしなさい。,個人情報保護に関する教育を定期的に実施する。,教育訓練の周知体制について運用管理規程に記載する。,真正性を担保するための運用ルールについて教育する。,病院が作成した運用マニュアルを用いて、操作訓練を実施する。,ベンダが作成した操作マニュアルの自習のみで業務に就かせる。
39,機能設計 (Function Design : FD)フェーズが完了し、プログラム製造に入るところで、病院内で重要な機能修正の要望があがった。病院側の医療情報技師の対応として適切なのはどれか。番号を解答記入欄( 39 )にマークしなさい。,既にFDが終了しているため、対応はできないことを院内に周知する。,ベンダの担当SEに仕様追加を増額なしで対応してもらうよう依頼する。,既にFDが終了しているため対応は困難であり、当面誰にも言わないでおく。,院内で変更管理委員会にはかった上で、ベンダの担当営業に見積もりを依頼する。,ベンダの担当営業に見積もりを依頼し、提示された金額に基づいて変更作業を進める。
40,WTO政府調達協定に基づいた病院情報システムの調達において、通常調達仕様書に含まれないのはどれか。番号を解答記入欄( 40 )にマークしなさい。,仕様書概要,接続機器一式,調達予定金額,ハードウェアの技術要件,ソフトウェアの技術要件
41,情報システムの運用管理に関わる人とその役割について誤っている組み合わせはどれか。番号を解答記入欄( 41 )にマークしなさい。,システムエンジニア　ー　消耗品の補給,カスタマーエンジニア　ー　システムの保守,利用者　一　運用管理規程の遵守,ヘルプデスク　ー　システム操作のトラブル対応,CIO　一　組織全体の情報管理業務に関する運用に関与
42,病院情報システム運用管理規程に記載が必須でないのはどれか。番号を解答記入欄( 42 )にマークしなさい。,患者や利用者からの苦情に対する受付体制,システムを構成する具体的な機器名やソフトウェア名,監査計画立案、実施、報告書作成と運用責任者への報告,運用上必要な作業手順書の整備と利用者の教育・訓練の実施,システム管理者や監査責任者からの問題点の報告に対する対応
43,病院情報システムの導入効果を測る評価項目の組み合わせのうち適切でないのはどれかの番号を解答記入欄( 43 )にマークしなさい。,患者満足度　―　診察待ち時間,経営状況　一　看護師の勤務時間,業務効率　―　記録作成に要する時間,作業確実性　一　診療報酬請求の査定・返戻の件数,医療安全　―　インシデント・アクシデントの発生件数
44,病院情報システムの改修について正しいのはどれか。番号を解答記入欄( 44 )にマークしなさい。,システム改修による運用の変更は生じない。,運用の変更でシステム改修を回避することがある。,費用対効果の低いものからシステム改修を実施する。,要求仕様書を満たすシステムであればシステム改修の必要は生じない。,診療報酬改定に伴うシステム改修は医事会計システムのみに発生する。
45,部門のシステムを変更した場合、本番系へのリリースを最終的に承認するのは誰か。番号を解答記入欄( 45 )にマークしなさい。,部門の申請者自身,部門の管理責任者,プロジェクトマネージャー,医療情報システム管理部門の職員,医療情報システム管理部門の管理責任者
46,情報機器作業のための環境として適切なのはどれか。番号を解答記入欄( 46 )にマークしなさい。,一連続作業時間を2時間に設定する。,画面との視距離を15cmに設定する。,キーボードにパームレスト、リストレストを用意する。,パソコンのディスプレイの中心を目の高さに設定する。,書類上の照度がディスプレイの照度の2倍になるように設定する。
47,システム障害発生時、病院のシステム担当が最初に行うべきことはどれか。番号を解答記入欄( 47 )にマークしなさい。,ベンダの営業担当者に連絡する。,マスコミ向けの報告文書を作成する。,各部署から情報を収集し、状況把握を行う。,影響範囲、復旧見込みなどを病院内にアナウンスする。,システムを所管する責任者に状況を報告し、指示を仰ぐ。
48,IHEについて誤っているのはどれか。番号を解答記入欄( 48 )にマークしなさい。,統合プロファイル内の各機能を提供する「アクタ」同士の通信をトランザクションと呼ぶ。,地域医療連携における情報連携基盤技術仕様はさまざまな統合プロファイルを含んでいる。,システム導入時にIHEを参考にすることで、システム構成の選択肢が増えることが期待で,システム連携を実現するための標準規格の使い方を示したガイドラインを統合プロファイルと呼ぶ。,システムや機器同士の接続試験を行うコネクタソンを開催し、接続性のとれたシステムや機器を認定する。
49,他院から提供された画像CDのデータを取り込みできない場合、原因から除外できるのはどれか。番号を解答記入欄( 49 )にマークしなさい。,提供された媒体に傷がある。,患者 IDが自院のIDと異なっている。,過去に取り込み済みの画像が含まれている。,IHE-PDI規格以外の形式で保存されている。,DICOMに含まれない特殊なファイル形式の画像が含まれている。
50,電子レセプト(医科)で使用される基本マスタでないのはどれか番号を解答記入欄( 50 )にマークしなさい。,医薬品マスタ,修飾語マスタ,傷病名マスタ,特定器材マスタ,看護実践用語標準マスタ
51,医薬品でJANコードに含まれず、GSl-128コードに含まれている項目はどれか。番号を解答記入欄( 51 )にマークしなさい。,価格,製造者,製品名,使用期限,包装単位
52,放射線部門システムについて誤っているのはどれか。番号を解答記入欄( 52 )にマークしなさい。,放射線画像検査種のコードにJJ1017がある。,モダリテイに患者情報をJLAC10で伝達する。,モダリティから検査進捗情報をDICOMで受け取る。,検査ごとの照射線量をDICOMでPACSに保存可能である。,オーダエントリシステムからオーダ情報をHL7で受け取る。
53,標準規格とその内容の説明の組み合わせのうち正しいのはどれか。番号を解答記入欄 ( 53 )に マー クしなさい。,SNOMED-CT　一　国際的な医療用語集,CDA　―　臨床試験データの標準規格,CDISC　―　臨床文書の構造に関する規格,LOINC　一　看護実践を記述する標準用語集,ICNP　―　臨床検査や生理機能検査を表現するコードセット
54,患者本人の同意がなくともオプトアウトにより情報提供が可能となるのはどれか。番号を解答記入欄( 54 )にマークしなさい。,裁判所の令状によるカルテ開示,児童虐待疑い所見の児童相談所への通告,大規模災害時における家族への存否情報の提供,指定感染症患者の診断の都道府県知事等への届け出,認定匿名加工医療情報作成事業者への患者情報の提供
55,医療情報システムの安全管理に関するガイドライン(第5.1版)について誤っているのはどれか。番号を解答記入欄( 55 )にマークしなさい。,医療情報システムがサイバー攻撃を受けたときは厚生労働省へ報告する義務がある。,秘密鍵の管理は認証局が定める証明書ポリシー等に基づく鍵管理の要件を満たす必要がある。,外部保存受託事業者が取得したサービス利用患者のCookie情報は第三者提供することができる。,令和9年時点で稼働が想定されるシステムを今後導入する際に、二要素認証対応システムの採用を求めている。,英数字、記号を混在させた13文字以上の推定困難な文字列をパスワードにしている場合は定期的な変更を求めていない。
56,医療情報システムの整備・運用管理における「組織的安全管理対策」に該当するのはどれか。番号を解答記入欄( 56 )にマークしなさい。,利用者への教育,サーバ室入退室の管理,利用者のアクセスログの監視,機器や装置等の物理的な盗難対策の実施,医療情報システム運用管理規程の整備及び適切な運用
57,医療情報システムの安全管理に関するガイドラインの非常時の対応についてのチェックリストについて誤っているのはどれか。番号を解答記入欄( 57 )にマークしなさい。,正常復帰時に代替手段で運用した間のデータ整合性を図る規約がある。,非常時用ユーザアカウントはいつでも誰でも使えるよう常に掲示している。,BCPの一環として「非常時」と判断する仕組み、正常復帰時の手順を設けている。,サイバー攻撃等で医療サービス提供体制に支障が発生する場合の措置を規定している。,組織全体のBCPと整合のとれた医療情報システムの非常時における事業継続計画を策定している。
58,病院情報システムの「真正性」確保に直接関連するのはどれか。番号を解答記入欄( 58 )に2つマークしなさい。,IDと指紋で利用者認証を行う。,外部保存の管理を第三者に委ねる。,いつでも診療データが確認できるようにする。,データの自動バックアツプシステムを用意する。,データ保存時に自動的にタイムスタンプを付ける。
59,HPKIで確認できる属性はどれか。番号を解答記入欄( 59 )にマークしなさい。,患者属性,保険者の種類,医療機関の種別,医療従事者の資格,所属医療機関の名称
60,医療機器に該当するのはどれか。番号を解答記入欄( 60 )にマークしなさい。,健診結果管理プログラム,糖尿病の発症予測ツール,療養指導用のプログラム,診療記録の保存・管理プログラム,治療計画方法の決定を支援するプログラム
