21021JS,解答,解説
11,2,2)RJ-45(モジュラー式コネクタ)はネットワークケーブルを接続するのに用いられる。1)HDMI Type Aコネクタはディスプレイやプロジェクタとコンピュータをデジタル接続し、映像信号と音声信号を送る。3)USB Type Aコネクタ、4)USB Type Cコネクタともに、周辺機器とコンピュータを接続するのに用いられる。5)D-Sub15ピンコネクタはディスプレイやプロジェクタとコンピュータをアナログ接続するのに用いられる。
12,2,2)MDMは、Mobile Device Managementの略で一般にスマートデバイスの集中管理を行うシステムを指す。1)DRM(Digital Rights Management)は不正コピー防止などのデジタル著作権管理技術、3)BYOD(Bring Your Own Device)は私物端末を業務システムに接続して使用することを指す。4)MIMO(Multiple lnput Multiple Output)は無線LANにおける端末とアクセスポイントの間でN対Nの通信を実現する技術である。5)MVNO(Mobile Virtual Network Operator)は「仮想移動体通信事業者」と呼ばれる、自社で通信基地局を所有していない通信事業者のことである。
13,5,5)Androidはスマートフォンで良く用いられるOSである。1)FHIR(Fast Healthcare lnteroperability Resources)はHL7により開発された医療情報関連の標準規格、2)Javaは汎用プログラミング言語とソフトウェアプラットフォームの双方を指す総称ブランドである。なお、Javaはオラクルおよびその関連会社の登録商標である。3)Rubyはオブジェクト指向スクリプト言語のひとつである。4)Apacheはフリーかつオープンソースで、クロスプラットフォームのWebサーバソフトウェアである。
14,1,論理型変数は取り得る値は「真」と「偽」のみである。したがって、必要な情報量は1)1bitである。
15,2,データ構造の図から、2)ツリー(木)構造であることがわかる。1)キューは最初に格納したデータから順に取り出す構造を持った一次元配列、3)リストはセル(ノードともいう)と呼ばれる単位からなるデータ構造である。4)スタックは最後に格納したデータから順に取り出す構造を持った一次元配列のことである。5)ネットワークはデータ構造を示す言葉としては使用されない。
16,1,標本化は、時間的に連続して変化する量を一定の時間間隔で区切り(離散化し)、区切ったところの値を取り出す。量子化は、連続量を持つ1点の値を等間隔で区切り、離散化する。符号化は、情報を一定の規則に従ってデータに置き換える。アナログ(連続する)信号のデジタル化は、まずアナログ信号を時間的に離散化し、取り出された各点の値を量子化し、量子化された情報を変換する(符号化)することでデジタル信号へと変換する。したがって正解は1)である。
17,1,このフローチャートは、和を求める計算を示している。ここで変数xは、最後に印刷を行っているため、和(計算結果)を表し、変数 i は計算が行われた回数を示している。したがって、ループ内で行われる(①)の作業として行われるのは1)となる。
18,3,"""「WHERE 検査1 > 8.0 AND 検査2 > 70」で、検査1の値が8.0より大きく、かつ、検査2の数値が70より大きいものが抽出される。(検査1,検査2)の組み合わせで条件を満たすものは、4行目(13.8 , 80)、 10行目(13.3 , 81)、 12行目(10.6 , 71)の3行である。「GROUP BY 患者番号,氏名」で、患者番号と氏名が同じ4行目と12行目がまとめられ、結果は3)2行となる。"""
19,5,"""「WHERE 検査2 > 50」で、検査2が50より大きいものが抽出される。「ORDER BY 検査2」で、検査2の小さいものから順に並べられる。ORDER BYは、昇順 (ASC)と降順 (DESC)の指定ができるが、省略した場合は昇順を意味する。検査2が50以上の行のうち、最小値は5行目の51、 2番目に小さいのは2行目の67、 3番目は最終行の71となる。したがって結果の3行目の検査値は表の最終行の5)検査1 : 10.6,検査2 : 71、となる。"""
20,3,3)原子性は、トランザクション処理が「すべて実行される」か「1つも実行されない」のどちらかの状態となる特性である。1)一貫性は、トランザクションの前後や途中でも整合性が保たれる特性である。2)機密性は、情報セキュリティの3要素 (CIA)の一つでトランザクション処理とは関係ない。4)持続性は、確定したトランザクションの結果が確実に記録され失われない特性である。5)独立性は、トランザクションの過程が隠蔽され、他のトランザクションに影響しない特性である。
21,3,3)射影は関係データベースで表から特定の列を取り出す操作である。1)差は、2つの表から一方にしかない行を取り出す操作である。2)結合は、複数の表を結合して1つの表のように扱う操作である。4)選択は、表から条件に適合する行を取り出す操作である。5)直積は、2つの表から1行ずつを取り出した組み合わせすべてを作る操作である。
22,3,3)デッドロックは、2つのトランザクションで排他制御が競合して処理が進まなくなる状態である。1)アボートは、トランザクションの中断である。2)コミットは、トランザクションの処理結果を確定することである。4)ロールバックは、トランザクション失敗時に開始前の状態に巻き戻すことである。5)ロールフォワードは、処理完了のログは残っているが障害等でストレージに書き込まれなかったトランザクションを処理完了の状態まで戻すことである。
23,2,2)IPv6はIPv4とパケットのフォーマットが異なるため直接通信することはできない。1)最近の無線LANルータはIPv6に対応しているため利用可能である。3)IPv6は128ビットのアドレス長で構成され、32ビット長のIPv4よりも多くのアドレスを扱える。4)IPv6は通信を暗号化する機能 IPsecが拡張されている。5)IPパケットのヘッダはIPv4では可変長だが、IPv6では40バイトの固定長になっている。
24,4,"""末尾の数値22はサブネットマスクの長さが22ビットであることを表す。IPアドレス32ビットのうちアドレス部が22ビット、ホスト部が10ビットになる。したがって10ビットが表すことができるホスト部のアドレス数は、210で1,024になる。正解は4)になる。ただし、実際には、0x0000000000と0x1111111111は予約されているため端末に割り当てられるホストアドレス数は1,022になる。"""
25,3,3)NAPT(Network Address Port Translation)はプライベートとグローバルのIPアドレス間の変換を自動で行い接続を可能にする。1)CIDR(Classless lnter-Domain Routing)は従来のIPアドレスのクラスA、B、Cのクラス分けを廃止し経路の選択を柔軟にできる仕組みである。2)ICMP(Internet Control Message Protocol)は、通信における誤り通知や通信状態を知るのに利用される。4)SNMP(Simple Network Management Protocol)はルータやサーバなどを監視するためのプロトコルである。5)RADIUS(Remote Authentication Dial In User Service)はユーザの認証や利用状況を記録するためのプロトコルである。
26,3,3)スパニングツリーはスイッチなどで誤ってループを作ってしまったときにデータの循環を回避するための機能である。1)トークンリングは リング状のネットワーク形態の規格である。2)フレーム リレーはパケット交換網を利用したデータ通信である。4)マルチホーミングは負荷分散と耐障害性のため複数の異なる回線を介してインターネットに接続することである。5)リンクアグリゲーションは通信速度や耐障害性を向上させるため、複数の回線をひとつの回線とする技術である。
27,2,2)DHCP(Dynamic Host Configuration Protocol)はネットワークに接続した端末などにIPアドレスなどのネットワーク情報を提供するプロトコルである。1)FTP(File Transfer Protocol)はファイル転送を行うためのプロトコルである。3)HTTP(Hyper Text Transfer Protocol)はWebブラウザとWebサーバとのデータの送受信のためのプロトコルである。4)POP3(Post Office Protocol)は電子メールを受信するためのプロトコルである。5)SMTP(Simple Mail Transfer Protocol)は電子メールを転送するためのプロトコルである。
28,4,4)デフォルトゲートウェイは送信相手までの経路が不明な場合にパケットを送るためにあらかじめ設定されたIPアドレスをいう。1)DNSサーバはDomain Name Systemの仕組みによりIPアドレスとドメイン名を変換するコンピュータ、またはソフトウェアをいう。2)LDAP(Lightweight Directory Access Protocol)サーバはTCP/IPネットワークで利用者に関する情報や接続機器の情報などディレクトリサービスにアクセスするためのプロトコルを提供する。3)WINS(Windows Internet Name Service)サーバはIPアドレスとコンピュータ名を相互に変換するためのWindowsネットワークのサービスを提供する。5)リンクローカルアドレスは端末が属するネットワークセグメントでのみで通信が可能なIPアドレスをいう。
29,3,3)VPNはVirtual Private Networkの略で、仮想専用線と訳される。1)VDTはVisual Display Terminalの略で、情報端末を示す。2)VODはVideo On Demandの略で、ユーザが希望したタイミングで視聴できる映像サービスを指す。4)VLANはVirtual Local Area Networkの略で、 複数のL3ネットワークをまたいだL2セグメントを仮想的に構築する技術である。5)VoIPはVoice over Internet Protocolの略で、IPネットワーク上で音声通信を行う技術を指す。
30,3,3)IEEE802.11acの最大通信速度は6.9Gbpsと、伝送速度が選択肢中で最大である。通信には5GHz帯を使用する。1)IEEE802.11aの最大通信速度は54Mbpsで、5GHz帯を使用する。2)IEEE802.11bの最大通信速度は11Mbpsで、2.4GHz帯を使用する。4)IEEE802.11nの最大通信速度は600Mbpsで、2.4GHz帯、5GHz帯の両方を使用する。5)IEEE802.11gの最大通信速度は54Mbpsで、2.4GHz帯を使用する。
31,4,1Gbpsの回線では、毎秒1Gビットのデータを転送できる。間の条件では伝送効率が50%なので、ダウンロードのデータ転送は毎秒0.5Gビットとなる。ダウンロードするファイルは1Gbyte、すなわち8Gビットなので、転送には 4)16秒を要する。8Gビットー0.5Gビット/秒 = 16秒
32,2,2)スター型ネットワークは、中心となるノードから放射状に機器が接続される形態で、上流から描くと各ノードで分岐するツリー状の接続形態となる。1)バス型ネットワークは、一本のケーブルに複数の機器が接続される形態である。3)リング型ネットワークでは、各ノードが一つの輪を作るように接続される。4)メッシュ型ネットワークには、すべてのノードが他のすべてのノードと接続されたフルメッシュ型と、この接続が一部省略された 5)パーシャルメッシュ型がある。
33,5,5)Cookieは Webサイトにアクセスした際にサーバから発行されるテキストファイルで、次回アクセス時にブラウザが保存していた Cookieをサーバに送信することで、そこに書かれたログイン情報などを再利用できる。1)CGI(Common Gateway lnterface)は Webサーバが他のプログラムを呼び出してコンテンツを動的 に生成する仕組みである。2)CSS(Cascading Style Sheets)は 、 Webコンテンツの表示形式を定義する言語である。3)URL(Uniform Resource Locator)は、インターネット上に存在するリソースの所在を表すアドレスである。4)HTML(Hyper Text Markup Language)は 、文書構造を記述する言語であり、Webコンテンツの作成に広く使われている。
34,5,5)ゼロデイアタック とは、ソフトウェアにセキュリティ上の脆弱性 (セキュリティホール)が発見されたときに、開発元などから提供される修正プログラムやパッチが適用される前にその脆弱性を悪用して行われる攻撃をいう。1)と 4)は DoS攻撃 (Denial of Service attack)についての内容である。2)はDoS攻撃の1つである DDoS攻撃 (Distributed Denial of Service attack)で 、多数の端末からメールやファイルを大最に送りつけ、情報システムに負荷をかけ、サービスを停止させる行為である。3)はフィッシングメールで、実在する企業やサービスを装ったメールを送りつけ、対象の個人情報を窃取する手法のことである。
35,4,4)ソーシャルエンジニアリングとは、問題文の行為のほか、パスワードの入力操作を覗き見する、廃棄された書類や中古PCなどから情報を入手する方法などがある。1)DoS攻撃(Denial of Service attack)は、標的に大量の要求(メールやファイル)を送りつけ過負荷にさせ、サービスを停止させる行為である。2)フィッシングは、偽装されたURLをクリックさせ、個人情報を取得するオンライン詐欺のことである。3)ポートスキャンは、サーバ上の稼働サービスを調査する方法で、サイバー攻撃の事前調査として悪用されるケースがある。5)クロスサイトスクリプティングは、攻撃対象のWebサイトの脆弱性を利用して悪質なサイトヘ誘導するスクリプトを仕掛けることで、サイトに訪れるユーザーの個人情報などを詐取する攻撃のことである。
36,5,5)物理的対策とは、災害や人的破壊などから機器・装置などを物理的な方法で守ることで、入退室管理や情報機器などの記録媒体の移動や廃棄も含めた管理である。1)人的対策とは、人によるセキュリテイリスクに対応するための対策で、ユーザーに対する教育・訓練の実施などを行う。2)環境的対策とは、地震や火災、停電などにより利用不能になることを防ぐ対策のことである。3)技術的対策とは、情報技術を用いてシステムの破損を防ぐことで、ウイルス対策やファイアウォールによる防御、ネットワークの常時監視などがある。4)組織的対策とは、情報資産を取り扱う上でのルールの作成および遵守徹底などを行う。
37,4,4)IPS(Intrusion Protection System)は、侵入防止システムを表し、通信を監視して不正なアクセスを検知すると自動的に防御するシステムである。1)DMA(Direct Memory Access)は、CPUを介さずに周辺機器やメインメモリなどの間で直接データ転送を行う方式である。2)DMZ(DeMilitarized Zone)は、非武装地帯を意味し、外部ネットワークと内部ネットワークの間に置かれ、どちらのネットワークにも属さないファイアウォールに守られた領域のことである。3)IDS(Intrusion Detection System)は、侵入検知システムを表す。5)WPA(Wi-Fi Protected Access)は、Wi-Fi Allianceが発表した無線LANの暗号化方式である。
38,2,2)電子署名とは、紙文書でのサインや印鑑に相当し、電子文書に電子署名を行うことで本人確認や偽造・改ざん防止のために用いられる。1)「生体認証」とは、顔や指紋などの生体情報を使って本人を識別する仕組みである。3)多要素認証とは、認証の3要素である知識情報、所持情報、生体情報のうち、2つ以上の要素を組み合わせて認証する。4)IDとパスワードによる認証は、情報システムを利用する際に最も一般的な認証方法であるが、認証の限界があり多要素認証に移行しつつある。5)ワンタイムパスワードは、一定時間ごとにパスワードが更新される認証の仕組みである。
39,4,公開鍵を用いた暗号化通信では、受信者は「公開鍵」と「秘密鍵」というペアの鍵を作成し、1つを公開し、もう1つは自分で保管する。このアルゴリズムは、「公開鍵で暗号化したものは、秘密鍵でしか復号できない」、「片方の鍵から、もう一方の鍵を類推することはできない」という特性がある。暗号化されたメッセージは受信者の持つ秘密鍵でしか復号できないため、途中で第三者に傍受されても中身を解読されることはないので、安全にメッセージの送受信が可能となる。
40,2,2)SQLインジェクション攻撃は、データベースと連動したWebサイトで用いられる検索や問い合わせ操作を行うプログラムに対して、SQL文の断片を与えることでデータベースの改ざんや不正に情報を入手する攻撃で、標的型攻撃の1つである。1)水飲み場攻撃は、攻撃対象のユーザーが普段アクセスするWebサイトを改ざんし、そのWebサイトヘの訪問によリマルウェアに感染する手法である。3)バッファオーバーフロー攻撃は、確保されたメモリ領域(バッファ)を超えたデータを送り付けることにより、システムの機能を停止させたり、プログラムを暴走させる攻撃である。4)クロスサイトスクリプティング攻撃は、Webサイトの訪問者の入力をそのまま画面に表示する掲示板などのプログラムが、悪意のあるコードを訪問者のブラウザに送ってしまう脆弱性のことである。5)DNSキャッシュポイズニング攻撃は、DNSサーバの脆弱性を利用してDNSのキャッシュ情報を意図的に書き換え、利用者を誤ったサイトヘ誘導する攻撃である。
41,1,1)ボット(bot)は、外部からの簡単な指示に対してロボットのように、ある程度自律的に動作する。さらに、司令塔となるC&Cサーバを介して、複数のボットを連携させ、ボットネットを構成することもある。2)アドウェアは、プログラム作成者が著作権を保持した上で無料使用を認めたフリーウェアにおいて、無償の代わりに広告が表示されるものをいう。3)スパイウェア(Spyware)は、侵入先のコンピュータから情報を盗み出すマルウェアのこと。多くの場合、抜き取った情報は特定の第三者に送信され、詐欺などの不正行為に悪用されていると考えられる。4)エクスプロイト(exploit)は、ソフトウェアの脆弱性またはセキュリティ上の欠陥を利用して攻撃すること、あるいはその具体的なコードのことである。5)ランサムウェア(Ransomware)は、侵入先のコンピュータ内のデータを暗号化して使用不能にし、暗号化解除の対価を要求するマルウェアである。
42,2,2)性能テストは、システム結合テストの一つで、レスポンスやスループットなどのシステム性能が要求通りであるかを確認する。1)機能テストは、要求された機能が正しく動作することや実装されていることを確認する。3)耐久テストは、性能テストの一環で長時間の連続稼働に耐えて性能を維持できるかを確認する。4)負荷テストは、性能テストの一環で通常の稼働状況よりも高い負荷をかけ、性能劣化や限界を確認する。5)操作性テストは、使いやすさや操作における間違いにくさなどのユーザビリティを確認する。
43,2,2)ガントチャートは、プロジェクト管理において、工程管理を目的として作業計画や各工程進捗を視覚的に表現する。1)E-R図は、概念データモデルの一種であるE-Rモデルにおいてモデルを表記する。RDBMSを前提としたデータモデルの表記にもよく使用される。3)ネットワーク図は、プロジェクト管理において、関係する工程間を矢印で繋いで図示することで、各工程がどのように依存し、各工程の遅れが全体の遅れに繋がるかを把握しやすくする。4)クリティカルパスは、ネットワーク図で表現した工程全体において開始ノードから最終ノードに至る経路のうち作業所要時間の合計が最大となる作業プロセスのことである。5)レーダーチャートは、複数項目の数量を正多角形上に表現したグラフで、主にその項目を属性としてもつ主体の性能などを比較するために用いる。
44,5,5)nslookupは、DNSの情報を取得するコマンドである。1)pingは、リモートコンピュータまたはコンピュータヘの接続状態を確認するコマンドである。2)netstatは、ホストのネットワーク接続状態やソケットやインターフェイスごとのネットワーク統計などを確認するためのコマンドである。3)tracertは、 自分から指定したホストまでの到達経路と中継時間を表示するコマンドで、ネットワーク障害が発生した際に、どこで回線障害が発生しているのか特定しやすくなる。4)ipconigは、TCP/IPネットワーク構成値を表示するコマンドである。
45,5,5)サブスクリプションは、「定期購読、継続購入」を意味し、商品やサービスを所有・購入するのではなく、一定期間利用できる権利に対して料金を支払うライセンス形態である。定額支払いがサブスクリプションではないことに注意すること。1)無料で利用できるソフトウェアの形態としては、フリーソフトウェアライセンスがある。2)分割払い契約、3)リボルビング払い、4)買い取り契約がそれぞれ相当する。
46,1,1)MTBF : 平均故障間隔 (Mean Time Between Failures)であり、信頼性(一定期間故障なく安定して稼働すること)を評価する指標である。2)MTBR : 平均修理間隔 (Mean Time Between Repair)として使われる場合があるがMTBFと関連し、かつ、修理に要する時間を含むなど大きく結果が異なることもあり標準的な定義がなく評価指標としては適切でない。3)MTTA : 平均確認時間 (Mean Time To Assist)でインシデントヘの対応にかかる平均時間をさす。4)MTTF : 平均故障時間 (Mean Time To Failure)で稼働を開始してから故障するまでの平均稼働時間を表す。5)MTTR:平均修復時間 (Mean Time To Repair)で、保守性(システムが規定の時間内に回復すること)を表す指標である。
47,3,3)著作権法では、プログラムが一定の条件を満たす場合に著作物として保護されることが記載されており、無断複製は行えない。ただし、誰が作っても同じ表現や表示となる場合は、著作権法上の保護対象とならない。1)意匠法は、プログラムの動作結果の画面やパソコンなどの形状について、保護される。2)商標法は、商品やサービスのマーク(文字、記号、図形など)が保護対象である。4)個人情報保護法は、個人情報の取り扱いに関するものである。5)不正競争防止法は、公正な競争を確保するための法律である。
48,1,1)デュアルシステムは、同じ構成で二重化したシステムで処理結果を共有することにより1つのシステムとして稼働する。2)フェールオーバーは、本番系の障害時に自動的に待機系に切り替える機能を指す。3)ホットスタンバイは、障害が発生した機器の代わりに、スタンバイ中の機器が直ちに稼働する方式である。4)コールドスタンバイは、本番系の正常稼働中は待機系の電源を切った状態にし、本番系障害時に待機系の電源を投入して稼働をさせる方式である。5)デュプレックスシステムは、2つのシステムを本番系と待機系に分けて、障害時に待機系が本番系に切り替わり稼働する構成のシステムを指す。3)ホットスタンバイと4)コールドスタンバイはデュプレックスシステムにおける待機系の状態を指している。
49,3,3)オンプレミスはサービスを構成するサーバやソフトを自施設構内に保有、管理して運用する形態をさす。1)クラウドはインターネット上のリソース(サーバなどの機器や機能)をサービスとして提供し利用する。2)ハウジングはデータセンターのラックなどの場所を借りてサーバを設置しサービスを運営する形態である。4)ホスティングは複数ユーザの共有するサーバのリソースをつかってサービスを運用する。5)データセンターはサーバなどを設置・運用するための施設をさす。
50,5,5)センドバック保守には、故障機器を送った後に代替品が届く契約だけでなく、先に代替品の送付を受ける先出しセンドバック方式もある。1)定期保守は、保守契約時に定めた保守計画に基づき機器の状況確認や動作テストなどを行う。2)予防保守は、障害を未然に防ぐために事前に部品交換を行う。3)リモート保守は、遠隔地からアクセスし障害の確認や対処を行う。4)オンサイト保守は、障害発生時など保守担当者が現場に直接来訪して対処する。
