2021JS,問題文,選択肢,,,,
39,公開鍵暗号を用いた暗号化通信で必要となる鍵の組み合わせはどれか。番号を解答記入欄( 39 )にマークしなさい。,送信者の公開鍵 と受信者の秘密鍵,送信者の公開鍵と送信者の秘密鍵,送信者の公開鍵と受信者の公開鍵,受信者の公開鍵と受信者の秘密鍵,受信者の公開鍵と送信者の秘密鍵
40,Webアプリケーション上で悪意のあるデータを入力し、データベースのデータを改ざんしたり、データを不正に取得したりする攻撃はどれか。番号を解答記入欄( 40 )にマークしなさい。,水飲み場攻撃,SQLインジェクション攻撃,バッファオーバーフロー攻撃,クロスサイトスクリプティング攻撃,DNSキャッシュポイズニング攻撃
41,外部からの簡単な指示に対して、ある程度自律的に動作するマルウェアはどれか。番号を解答記入欄( 41 )にマークしなさい。,ボット,アドウェア,スパイウェア,エクスプロイト,ランサムウェア
42,レスポンスタイムが要求仕様通りであるかを確認するのはどれか。番号を解答記入欄 ( 42 )にマークしなさい。,機能テスト,性能テスト,耐久テスト,負荷テスト,操作性テスト
43,工程管理で用いられる次の図の名称は何か。番号を解答記入欄( 43 )にマークしなさい。,E-R図,ガントチャート,ネットワーク図,クリティカルパス,レーダーチャート
44,ホスト名からIPアドレスを確認する際に利用するコマンドはどれか。番号を解答記入欄( 44 )にマークしなさい。,ping,netstat,tracert,ipconfig,nslookup
45,ソフトウェアのライセンス形態の一つであるサブスクリプションについて正しいのはどれか。番号 を解答記入欄 ( 45 )にマークしなさい。,無料で利用できる。,購入料金を分割して支払う。,購入金額によらず毎月定額を支払う。,支払い後に無期限の利用権が付与される。,料金支払いによって利用権が一定期間付与される。
46,安定して稼働できる期間を評価する指標(信頼性)はどれか。番号を解答記入欄( 46 )にマークしなさい。,MTBF,MTBR,MTTA,MTTF,MTTR
47,プログラムの無断複製を制限する法律はどれか。番号を解答記入欄( 47 )にマークしなさい。,意匠法,商標法,著作権法,個人情報保護法,不正競争防止法
48,完全にシステムを二重化し、通常時は2つのシステムを並列に用いてあたかも一つのシステムのように運用するのはどれか。番号を解答記入欄( 48 )にマークしなさい。,デュアルシステム,フェールオーバー,ホットスタンバイ,コールドスタンバイ,デュプレックスシステム
49,自施設の構内に機器を設置してシステムを導入・運用するのはどれか。番号を解答記入欄( 49 )にマークしなさい。,クラウド,ハウジング,オンプレミス,ホスティング,データセンター
50,故障機器をメーカーに送り、代替品と交換または修理する保守サービスはどれか。番号を解答記入欄( 50 )にマークしなさい。,定期保守,予防保守,リモート保守,オンサイト保守,センドバック保守
