2008JS,問題文,選択肢,,,,
30,データベースの運用上、ユーザからの要求処理を適切な応答時間でサービスするために必要な点検・監視項目として関係ないのはどれか。解答記入欄( 37 )にマークしなさい。,ヒット率,ホップ数,入出力回数,ロック待ち数,ページング数
31,セキュリティ対策として適切でないのはどれか。解答記入欄( 38 )にマークしなさい。,通信を暗号化する。,ファイアウォールを利用する。,ログファイルを定期的に点検する。,ユーザごとにアクセス権を設定する。,パスワードをグループ内で共有する。
32,情報セキュリティ特性の用語と説明について、正しい組み合わせはどれか。解答記入欄( 39 )にマークしなさい。,完全性 ― 情報の改竄(かいざん)が防止されていること。,真正性 ― 必要な期間内、復元可能な状態にしておくこと。,機密性 ― 許可されたものだけが情報にアクセスできること。,可用性 ― 情報の処理方法が正確に保たれていること。,保存性 ― 許可されたとき、確実に情報にアクセスできること。
33,2種類の鍵を用いる暗号方式はどれか。解答記入欄( 40 )にマークしなさい。,AES,DES,MD2,RSA,WEP
34,公開鍵暗号方式に関する記述として誤っているのはどれか。解答記入欄( 41 )にマークしなさい。,非対称暗号方式ともいう。,2種類の異なる鍵が利用される。,共通鍵方式に比べ処理速度が遅い。,公開鍵暗号アルゴリズムにはSSHがある。,共通鍵方式に比べ鍵の管理が容易となる。
35,本人確認のための認証技術でないのはどれか。解答記入欄( 42 )にマークしなさい。,生体認証方式,IDパスワード方式,デジタル署名方式,ワンタイムパスワード方式,チャレンジ＆レスポンス認証方式
36,安全な電子メール交換のための、改竄(かいざん)防止と暗号化の仕組みはどれか。解答記入欄( 43 )にマークしなさい。,IMAP,POP3,PPP,SMTP,S/MIME
37,削除,,,,,
38,以下の文の(　)に当てはまる単語の正しい組み合わせはどれか。解答記入欄( 45 )にマークしなさい。,①分析、②外部、③内部、④システム,①設定、②内部、③システム、④単体,①分析、②内部、③外部、④システム,①分析、②外部、③内部、④単体,①設定、②外部、③内部、④単体
39,以下のDFDの(A)に入れるべきもっとも適切な語句はどれか。解答記入欄( 46 )にマークしなさい。,オーダ番号,診療科名,主治医コード,患者ID,受診日
40,以下のERDに関する記述として誤っているのはどれか。解答記入欄( 47 )にマークしなさい。,科コード、科名は科の属性である。,患者ID、患者氏名は患者の属性である。,1つの科に複数の患者が受診することがある。,1人の患者は複数の科を受診することはできない。,患者と科の間には受診という関係があり、受診は受診日という属性を持つ。
41,以下のクリティカルバス上の最長作業の所要時間を50%短縮した。その結果、新たなクリティカルパスの作業全体に要する時間はいくらになるか。解答記入欄( 48 )にマークしなさい。,12,13,14,15,16
42,日程計画においてPERTを用いることによってわかることはどれか。解答記入欄( 49 )にマークしなさい。,どの作業を省略できるかがわかる。,どの作業に何人の人員が必要かがわかる。,どの作業が遅れると全体に影響を与えるかがわかる。,大切な作業を忘れていないかを事前に見つけることができる。,時間経過にともなって各工程にどの作業が割り当てられているかがわかる。
43,情報システムの保守管理に関する記述として誤っているのはどれか。解答記入欄( 50 )にマークしなさい。,障害が発生したときだけ行う。,障害の発生を予防するために行う。,日常的に見回って点検確認を行う。,保守作業は手順を決めて実施する。,あらかじめ設定したサイクルで正常稼動を確認する。
44,サーバ室の環境に関して優先度のもっとも低いのはどれか。解答記入欄( 51 )にマークしなさい。,防音対策を施す。,漏水検知器を設置する。,無停電電源装置を設置する。,室内温度を適温に保持する。,空調に防塵フィルタを用いる。
45,障害対策を表す用語として誤っているのはどれか。解答記入欄( 52 )にマークしなさい。,ホットプラグ,フェイルセーフ,フールプルーフ,ホットスタンバイ,フォールトトレランス
46,物理容量が250ギガバイトのハードディスク4台でRAID5を構成した。このとき全体の実効容量は最大何ギガバイトになるか。解答記入欄( 53 )にマークしなさい。,200ギガバイト,500ギガバイト,666ギガバイト,750ギガバイト,1000ギガバイト
47,システムの安全性を確保するセキュリティ管理に関する記述として正しいのはどれか。解答記入欄( 54 )にマークしなさい。,データを2つの独立なディスク装置に保管することは物理的セキュリティに分類される。,バックアップテープを耐火金庫に保管することは物理的セキュリティに分類される。,個人認証システムの導入は管理的セキュリティに分類される。,障害対策マニュアルの整備は組織的セキュリティに分類される。,遠隔地バックアップ施設は技術的セキュリティ対策に分類される。
48,ウイルスによるシステムの機密性に対する脅威はどれか。解答記入欄( 55 )にマークしなさい。,通信速度が低下する。,ファイルやフォルダが削除される。,システムファイルやシステム領域が破壊される。,アプリケーションやデータファイルが損傷を受ける。,個人のデータファイル等がメールによって転送される。
49,システムのサーピス水準評価指標として正しいのはどれか。解答記入欄( 56 )にマークしなさい。,輻輳(ふくそう)回数,応答時間,CPU使用率,メモリ使用率,ディスク使用量
50,あるシステムの全運転時間が200時間で故障時間が30分の時、故障率はどれか。解答記入欄( 57 )にマークしなさい。,0.0025,0.05,0.15,0.85,0.9975
