2008IS,問題文,選択肢,,,,
37,病院情報システムのトラブル発生時にシステム運用担当者が優先して行うべきことはどれか。解答記入欄( 40 )に2つマークしなさい。,病院長への報告,各部署への動作,サーバの動作ログの確認,バックアップからのデータ復旧,システム運用管理部門責任者への報告
38,日常業務で病院情報システムの障害の早期発見に効果の低いのはどれか。解答記入欄( 41 )にマークしなさい。,ネットワークの稼動状況をモニタする。,外来診察開始の30分前に出勤しておく。,サーバディスクのデフラグを定期的に行う。,サーバのディスク使用率の推移を把握する。,定期的なジョブが正常終了しているか確認する。
39,システム運用管理規程について正しいのはどれか。解答記入欄( 42 )に2つマークしなさい。,個人情報保護の管理規程は別途定める。,サーバ室への入退室管理に関する項目を含む。,システム運用管理責任者は医師でなければならない。,システム運用管理規程を定めた時には所轄の保健所に届ける。,システム運用管理規程の中に、電子保存に関する操作マニュアルを盛り込む。
40,病院情報システムの運用管理規程の作成について誤っているのはどれか。解答記入欄( 43 )にマークしなさい。,運用管理規程を病院内でオーソライズする。,作成時点の実装技術を踏まえて各条文を記述する。,他の業務マニュアルとの矛盾がないかチェックする。,病院情報システムの運用ポリシーに基づき条項を整備する。,用語の定義欄を設けて条文が曖昧に解釈されないように配慮する。
41,レセプト電算処理(いわゆるレセ電)に関する記述について誤っているのはどれか。解答記入欄( 44 )に2つマークしなさい。,病名はICD-10コードである。,DPCによる請求にも対応している。,オーダエントリシステム導入が必須である。,診療行為、医療品等のコードはレセ電コードを使う。,レセ電の請求データは、レセコンベンダに依存しない。
42,院外処方について正しいのはどれか。解答記入欄( 45 )にマークしなさい。,処方せんには有効期限がない。,処方せんはコピーして繰り返し使ってよい。,ファックスで送付しても原本を患者が持参しなければならない。,個人を特定できる電子的認証を得て薬局へ送付されれば薬を購入できる。,処方内容を後発医薬品に変更した場合は、発行元に直接通知しなければならない。
43,ワムネット情報システムの機能はどれか。解答記入欄( 46 )にマークしなさい。,施設介護サービス事業を支援する。,介護の必要度から要介護度を導出する。,福祉・保健・医療に関する情報を総合的に提供する。,介護保険に関する処理が適正に行われているかどうかを監査する。,介護保険サービスが適正に提供されているか否かについて評価する。
44,保健情報システムの目的として誤っているのはどれか。解答記入欄( 47 )にマークしなさい。,保健指導支援,病診連携の促進,健康上の問題の早期発見,保健事業の事務処理の効率化,個人へのフィードバックによる行動変容の促進
45,健康診断システムについて正しいのはどれか。解答記入欄( 48 )にマークしなさい。,健康診断は健康診断法で規定されている。,従業員の健康診断は医療保険者に義務付けられている。,健康診断システムは厚生労働省が統一的なソフトウェアを提供している。,個人が持つ健康カードで医療・保健データが全国で統一して管理されている。,特定健診および特定保健指導が2開8年4月から医療保険者に義務づけられた。
46,病診連携システムの効果でないのはどれか。解答記入欄( 49 )にマークしなさい。,医療機関の役割分担が促進される。,患者プライバシーの保護が強化される。,地域における電子紹介状が可能となる。,地域における1人1カルテが推進される。,診療報請求のオンライン化が可能になる。
47,遠隔医療に関して誤っているのはどれか。解答記入欄( 50 )にマークしなさい。,遠隔医療に患者対面診療は含まれない。,テレパソロジーは保険支払いの対象となっている。,テレカンファレンス専門家の意見を得ることができる。,テレラジオロジーはテレコンサルテーションの一つである。,遠隔医療にデータ伝送などの即時性は必ずしも要求されない。
48,遠隔医療システムについて正しいのはどれか。解答記入欄( 51 )に2つマークしなさい。,在宅医療に有効である。,医療の標準化が前提である。,医療施設間連携が条件となる。,保険診療として認められていない。,専門医の偏在による医療格差が緩和される。
49,地域医療ネットワークの構築に際してもっとも重要性が低いのはどれか。解答記入欄( 52 )にマークしなさい。,可用性,地域性,暗号化通信,認証システム,通信情報の信頼性
50,HL7について正しいのはどれか。解答記入欄( 53 )に2つマークしなさい。,医療情報の交換規約である。,画像情報の蓄積に適している。,保健医療データベースの統一化に使用できる。,わが国の医療情報システムには適用できない。,ISO-OSIにおける第7層に対応する規格を定義する。
51,IHEについて正しいのはどれか。解答記入欄( 54 )にマークしなさい。,検査機器の標準接続手順である。,医療物品管理用の標準表記方法である。,物流管理用に作られたICタグの規格である。,病名の標準化に取り組む国際組織の名称である。,医療情報システム実装のガイドラインを作っている。
52,「電子保存された診療録情報の交換のためのデータ項目セット」の通称として正しいのはどれか。解答記入欄( 55 )にマークしなさい。,HL7,MDC,J-MIX,IHE-J,ICD-10
53,国際看護協会の開発による看護実践分類はどれか。解答記入欄( 56 )にマークしなさい。,NIC,NOC,ICNP,NANDA,SNOMED/CT
54,医療情報の標準化について誤っているのはどれか。解答記入欄( 57 )にマークしなさい。,米国ではHIPAA法で規定している。,欧州ではCENが中心となって進めている。,国際的な標準化推進団体としてISOがある。,日本では、e-Japan計画として政府主導で進められている。,HL7、DICOM、IHEでは日本支部を作り、国際規格作成に参画している。
55,病院経営指標の計算式で誤っているのはどれか。解答記入欄( 58 )にマークしなさい。,1),2),3),4),5)
56,診療情報の一次利用にあたるのはどれか。解答記入欄( 59 )にマークしなさい。,医療圏の推定,診療行為の法的立証,平均在院日数の算出,降圧剤の消費量の調査,消化器外科の手術成績の算出
57,診療情報の二次利用にあたるのはどれか。解答記入欄( 60 )にマークしなさい。,安全な診療・看護の過程の支援,患者へのインフォームドコンセント,学術資料や研修教材としての利用,報共有による円滑なチーム医療の推進,医療保険など社会保障機能の享受の担保
58,次のうち誤っているのはどれか。解答記入欄( 61 )にマークしなさい。,データマイニングは帰無仮説を検定する統計手法のひとつである。,データマイニングは隠れた関係性を見つけ出す手法のひとつである。,データマイニングツールによって一定の'仮説'を導き出すことができる。,身近なデータマイニングツールには、Excel、SAS、JMP、SPSSなどがある。,テキストマイニングはテキストデータを対象に有益な知識を発見する技術のひとつである。
59,病院情報システムと独立したデータウェアハウスを構築する本来の目的はなにか。解答記入欄( 62 )に2つマークしなさい。,業務用帳票の作成,臨床研究用データの抽出,病院経営改善資料の作成,患者情報開示用資料の作成,病院業務用データベースのバックアップ
60,以下の組織のうちANSI(米国標準化機構)のもとにあるのはどれか。解答記入欄( 63 )にマークしなさい。,ICD,ICNP,HISB,JAHIS,MEDIS-DC
